IdAluno;Bimestre;Resultado;1>;1>2>;1>46>;1>46>2>;14>;14>14>;14>14>14>;14>14>41>;14>2>;14>2>14>;14>3>;14>3>2>;14>31>;14>31>14>;14>31>30>;14>31>30>14>;14>31>30>30>;14>31>30>31>;14>31>31>;14>32>;14>41>;14>41>31>;14>41>41>;14>41>41>41>;14>41>41>41>41>;14>41>41>41>41>41>;14>41>43>;14>43>;14>43>44>;14>43>44>44>;14>48>;14>49>;14>7>;14>7>5>;14>7>5>5>;16>;16>31>;17>;17>30>;2 30>;2 31>;2 41>;2>;2>1>;2>1>46>;2>1>46>2>;2>14>;2>14>41>;2>2>;2>3>;2>41>;2>46>;2>46>1>;2>46>1>2>;29>;3>;3>14>;3>2>;30 31>;30 31>30>;30 41>;30>;30>14>;30>14>41>;30>30>;30>30>30>;30>30>30>30>;30>31>;30>31>30>;30>41>;30>48>;31 41>;31 41>30>;31 41>41>;31>;31>14>;31>14>31>;31>14>41>;31>30>;31>30>14>;31>30>30>;31>30>30>30>;31>30>30>30>30>;31>30>31>;31>30>31>30>;31>31>;31>31>30>;31>32>;31>41>;31>41>41>;31>48>;32>;32>14>;32>31>;32>31>30>;41 43>;41 44>;41>;41>14>;41>2>;41>30>;41>31>;41>31>14>;41>31>30>;41>41>;41>41>2>;41>41>31>;41>41>41>;41>41>41>41>;41>41>41>41>41>;41>41>41>41>41>41>;41>41>41>41>41>41>41>;41>41>43>;41>41>43>44>;41>43>;41>43>44>;41>43>44>44>;41>43>44>44>44>;41>44>;42>;43 44>;43>;43>14>;43>41>;43>44>;43>44>14>;43>44>44>;43>44>44>14>;43>44>44>44>;43>44>44>44>44>;43>44>44>44>44>44>;44>;44>14>;44>14>41>;44>14>41>41>;44>14>43>;44>14>43>44>;44>44>;44>44>14>;44>44>14>41>;44>44>44>;44>44>44>14>;44>44>44>44>;44>44>44>44>14>;44>44>44>44>44>;44>44>44>44>44>44>;45>;45>43>;46>;46>1>;46>1>2>;46>2>;48>;48>14>;48>29>;48>30>;48>48>;49>;49>48>;49>49>;5>;5>5>;6>;6>6>;6>6>6>;6>6>6>6>;7>;7>14>;7>5>;7>5>5>;7>6>;8>;8>7>;Total Geral
40101-6590;20130201;SUCESSO;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;;;;3;4;;20;;;;;;5;;;;;;;10;;;1;;;9;;;3;2;;1;;;;3;;2;17;;;;2;;2;;;;;1;;;3;;;;;;;1;;36;;1;;2;;;6;;;3;;;;;;;;;;;;;;1;;;;;;;;;;1;;;;;;1;;;;;;;;;;;5;;;;3;;;;;;;;;;21;1;;;4;;;;;;;183
40116-6030;20130101;SUCESSO;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;1;14;;;;;;1;;1;;;;;;;;1;;1;4;;;;;;;;;;3;;;6;;;;1;;;;;;;;;;;;;;;;;1;;47;;;;;;;5;;;3;1;;;;;;1;;;;1;;2;7;;;5;;;;;;;18;;;;;;2;;;;;;;;;;;4;;;;4;;;;;2;;;;;1;;;;2;;;;;;;147
40162-6401;20130102;SUCESSO;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10;;8;;2;1;6;30;;;;;;4;;6;;;;;12;;;7;1;3;35;;;5;2;;8;3;1;;;;;50;;;;18;;2;;;;;5;;;;;;26;;;;1;5;76;;6;1;5;;;23;;;9;4;;;;;;2;;;;2;;2;15;;;10;;6;;;;;33;;;;;;14;;;7;;;;;;;;6;;;;23;;;;;5;;;11;4;17;6;;;12;;3;;;;;558
40169-6400;20130102;SUCESSO;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;2;;;;1;7;;;;;;1;;;;;;;4;;;;;3;9;;;2;2;;1;1;;;;;;8;;;;1;;1;;;;;2;;;2;;;11;;;;;;37;;;1;2;;;8;;;4;1;;;;;;1;;;;;;;2;;;2;;;;;;;3;;;;;;1;;;1;;;;;;;;1;;;;12;;;;;6;;;3;1;;;;;5;;2;;;;;153
40270-6401;20130102;SUCESSO;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;2;5;;;;;;;;;;;;;;;;2;;2;9;;;3;;;1;;1;;2;;;13;;;;3;;1;;;;;1;;;;;;;;;;1;1;52;;;;;;;12;;;2;;;;;;;;;;;1;;;3;;;1;;;;;;;8;;;;;;1;;;1;;;;;;;;2;;;;3;;;;;1;;;2;2;29;11;;;6;;1;;;;;189
40309-6590;20130201;SUCESSO;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;3;;;2;1;19;;;;;;1;;1;;;;;1;;;4;3;4;29;;;12;7;;1;;2;;5;1;;29;;;;9;;6;;;;;3;;;;;;;;;;;;29;;;2;2;;;7;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;1;;;;;;;;7;3;;;;;5;;3;;;;;210
40389-6895;20130201;SUCESSO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;1;;1;;3;8;;;;;;1;;1;;;;;2;;;6;2;4;19;;;4;1;;;;3;;3;;1;18;;;;4;;1;;;;;2;;;2;;;;;;;;;12;;;;1;;;1;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;5;;;;;;3;;;;;;;113
40640-6402;20130102;SUCESSO;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;21;;;;;;1;;;;;;;;;;;;1;6;;;1;;;;;1;;1;;;3;;;;1;;;;;;;;;;1;;;;;;;;1;12;;;;2;;;1;;;;;;;;;;;;;;;;2;4;;;2;;;;;;;3;;;;;;2;;;;;;;;;;;1;;;;;;;;;;;;2;;;;;;2;;;;;;;74
40755-7114;20130202;SUCESSO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;;;;1;;;;;;;;;;;1;;;1;;;;;;;;;;3;;;;1;;1;;;;;;;;;;;;;;;6;6;34;;;;1;;;13;;;3;1;;;;;;4;;;;4;;5;14;;;4;;1;;;;;28;;;;;;7;;;2;;;;;;;;;;;;;;;;;;;;8;;;;;;4;;1;;;;;156
40777-6400;20130102;SUCESSO;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;16;;;;;;;;1;;;;;;;;;;5;8;;;1;1;;;;3;;6;3;3;14;;;;4;;1;;;;;;;;4;;;;;;;;;67;;2;3;5;;;17;;;8;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;1;1;;;;;1;;1;;;;;189
