IdAluno;Bimestre;Resultado;1>;1>2>;1>46>;1>46>2>;14>;14>14>;14>14>14>;14>14>2>;14>14>41>;14>2>;14>2>14>;14>2>2>;14>3>;14>3>2>;14>31>;14>31>14>;14>31>30>;14>31>30>14>;14>31>30>30>;14>31>30>30>30>;14>31>30>31>;14>31>31>;14>32>;14>41>;14>41>2>;14>41>31>;14>41>41>;14>41>41>41>;14>41>41>41>41>;14>41>41>41>41>41>;14>43>;14>43>44>;14>43>44>44>;14>48>;14>49>;14>7>;14>7>5>;14>7>5>5>;14>8>;16>;16>31>;17>;17>30>;2>;2>1>;2>1>46>;2>1>46>2>;2>14>;2>14>2>;2>14>41>;2>2>;2>3>;2>41>;2>46>;2>46>1>;2>46>1>2>;29>;3>;3>14>;3>2>;30>;30>14>;30>14>31>;30>14>41>;30>30>;30>30>14>;30>30>30>;30>30>30>30>;30>30>30>30>30>;30>31>;30>31>30>;30>31>30>31>;30>41>;30>48>;31>;31>14>;31>14>31>;31>14>41>;31>30>;31>30>14>;31>30>30>;31>30>30>30>;31>30>30>30>30>;31>30>31>;31>30>31>30>;31>31>;31>31>30>;31>41>;31>48>;32>;32>14>;32>31>;32>31>30>;41>;41>14>;41>2>;41>31>;41>31>30>;41>41>;41>41>2>;41>41>31>;41>41>41>;41>41>41>31>;41>41>41>41>;41>41>41>41>41>;41>41>41>41>41>41>;41>41>41>41>41>41>41>;41>41>43>;41>41>43>44>;41>43>;41>43>44>;41>43>44>44>;42>;43>;43>41>;43>44>;43>44>14>;43>44>44>;43>44>44>44>;43>44>44>44>44>;43>44>44>44>44>44>;44>;44>14>;44>14>41>;44>14>43>;44>44>;44>44>14>;44>44>14>41>;44>44>44>;44>44>44>14>;44>44>44>44>;44>44>44>44>14>;44>44>44>44>44>;45>;45>43>;46>;46>1>;46>1>2>;46>2>;48>;48>14>;48>29>;48>48>;49>;49>48>;49>49>;5>;5>5>;6>;6>6>;6>6>6>;6>6>6>6>;7>;7>14>;7>5>;7>5>5>;7>6>;8>;8>7>;Total Geral
32045-4434;20120102;insucesso;2;2;;;88;4;;2;;9;2;;;;10;4;4;;;;;;1;27;;1;13;5;4;2;2;2;2;;3;2;;;;3;3;2;;21;;;;6;1;4;;;;1;1;1;1;;;;16;2;;;5;;2;1;;4;2;;;2;25;8;1;5;9;2;;;;2;2;1;1;;2;3;2;;;79;1;1;2;;29;;1;11;;6;3;1;;2;2;2;2;2;;4;;4;1;4;2;2;2;4;3;2;2;4;3;2;2;2;2;2;2;1;;2;2;2;;8;3;;;4;3;;1;;;;;;7;4;1;;;;;563
32278-4434;20120102;SUCESSO;2;2;;;69;3;;;2;20;8;1;3;2;6;1;3;1;2;2;;;;29;3;;13;8;3;2;;;;;;4;1;1;;;;;;38;;;;13;;6;1;;4;2;2;2;;13;5;7;14;4;1;;8;3;6;2;1;1;1;;2;;14;1;;;11;1;8;6;2;;;;;1;;3;;;;46;1;10;3;2;22;;2;16;1;8;7;6;5;4;;6;3;3;;7;1;3;;3;3;3;;3;3;1;;3;3;1;3;3;3;;;1;;2;2;2;;1;;;;;;;3;3;4;1;;;8;;2;2;1;2;;596
32369-4603;20120102;SUCESSO;2;1;1;1;41;3;;;1;;;;1;;3;;;;;;;1;;12;;;3;2;;;;;;;1;1;;;;2;2;;;8;;;;3;;1;2;;;1;1;1;;1;1;;;;;;;;;;;;;;;;11;2;;1;;;;;;;;2;;2;1;1;;;;35;1;1;3;;11;;;6;;3;2;2;1;;;1;1;1;;1;;1;;1;1;;;1;1;;;1;1;;1;1;;;;;;2;1;1;1;4;1;;;2;2;2;;;;;;;1;;;;;;;212
32377-4433;20120102;insucesso;;;;;1;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;1;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;8
32380-4434;20120102;SUCESSO;4;3;1;1;90;4;;;1;7;2;;1;;8;;4;;2;2;;2;11;36;;;6;3;;;3;3;3;1;1;1;1;1;;5;4;1;1;17;;;;4;;1;;;1;2;2;2;6;6;3;1;46;4;;;29;3;17;12;7;7;6;1;;5;41;6;1;3;27;1;20;13;9;2;2;4;2;;3;25;;19;14;110;;;2;1;19;;1;8;;3;1;1;;;;2;1;1;;13;;10;;8;4;3;;24;1;1;;14;1;1;7;1;4;;1;3;;6;3;3;1;10;1;;;2;2;1;9;7;1;1;;;8;;6;6;1;8;;909
32508-4448;20120101;SUCESSO;2;;1;;62;7;;;;7;1;;1;;8;2;3;1;;;;;;8;;;1;1;1;1;6;6;2;;;4;;;;4;4;4;4;13;1;1;;1;;;;;;1;1;;2;1;;;14;3;;;3;1;2;;;;;;;1;23;5;1;1;9;2;1;;;;;2;;1;3;5;;3;1;32;1;1;;;4;;;2;;2;1;1;1;;;1;1;;;10;;8;1;3;2;1;;29;2;;;6;;;3;;2;;1;;;2;1;;;9;2;;;;;;1;1;7;2;2;1;4;;1;1;;1;;393
32895-6030;20130101;insucesso;3;2;1;1;115;10;;1;5;13;4;2;;;12;2;8;;;;;1;5;39;;1;15;7;4;4;5;5;4;5;;7;3;;6;6;6;1;;24;1;1;1;10;1;3;2;3;1;1;1;1;;3;1;2;21;10;;1;;;;;;2;1;;1;;33;9;2;3;16;8;;;;2;1;2;;;;12;7;4;4;79;6;3;5;1;40;3;3;17;;10;8;6;5;1;1;3;3;2;;10;;8;1;7;6;4;3;12;5;3;2;7;4;;6;4;4;2;3;;;3;2;2;1;8;4;;;;;;6;4;35;7;2;1;20;4;6;4;2;8;5;909
32895-6590;20130201;SUCESSO;1;1;;;127;28;;;2;9;7;;;;21;3;13;7;;;3;1;;25;;;4;2;2;1;;;;1;;3;;;;2;2;2;2;10;;;;7;;;;;;1;1;1;;;;;26;10;4;;2;;;;;3;2;;;;33;6;;2;21;8;1;;;3;2;1;1;2;1;3;;;;42;;1;2;1;10;;;4;;4;2;2;;1;;3;1;1;;4;1;2;;2;2;1;;2;1;1;;2;1;1;2;1;1;;;;;1;1;1;;4;3;;;;;;;;20;4;;;5;;;;1;;;558
33161-5061;20120201;SUCESSO;2;1;1;1;20;;;;;4;;3;6;3;2;;1;;1;1;;;;3;;;;;;;;;;;;;;;;1;1;;;11;1;1;1;2;;;3;;;1;1;1;;9;;6;5;;;;2;;2;;;;;;;2;7;1;;;2;;1;1;;;;1;;1;;;;;;15;;;1;;3;;;1;;1;;;;;;;;;;1;;1;;1;;;;1;1;;;1;1;;;;;;;;;2;1;1;1;2;;;;;;;;;;;;;1;;;;;;;149
33168-4434;20120102;insucesso;2;;2;2;20;3;;2;;8;;;;;;;;;;;;;;3;;;2;1;;;2;1;1;;;1;;;;;;;;9;2;2;2;;;;;1;1;;;;;2;1;;1;1;;;;;;;;;;;;;1;;;;1;1;;;;;;;;;;;;;;11;;;;;3;;;1;;;;;;;;;;;;5;1;5;;5;3;1;1;8;3;1;2;7;3;1;4;2;1;;1;1;;2;;;2;;;;;;;;;;;;;;1;;;;;;;150
