IdAluno;Bimestre;Resultado;1>;1>2>;1>46>;1>46>2>;14>;14>14>;14>14>41>;14>2>;14>2>14>;14>2>2>;14>3>;14>3>2>;14>31>;14>31>14>;14>31>30>;14>31>30>14>;14>31>30>30>;14>31>30>30>30>;14>31>30>31>;14>31>31>;14>32>;14>41>;14>41>31>;14>41>41>;14>41>41>41>;14>41>41>41>41>;14>41>41>41>41>41>;14>43>;14>43>44>;14>43>44>44>;14>48>;14>49>;14>7>;14>7>5>;14>7>5>5>;16>;16>31>;17>;17>30>;2>;2>1>;2>1>46>;2>1>46>2>;2>14>;2>14>2>;2>14>41>;2>2>;2>3>;2>41>;2>46>;2>46>1>;2>46>1>2>;29>;3>;3>14>;3>2>;30>;30>14>;30>14>31>;30>14>41>;30>30>;30>30>14>;30>30>30>;30>30>30>30>;30>30>30>30>30>;30>31>;30>31>30>;30>41>;30>48>;31>;31>14>;31>14>31>;31>14>41>;31>30>;31>30>14>;31>30>30>;31>30>30>30>;31>30>30>30>30>;31>30>31>;31>30>31>30>;31>31>;31>31>30>;31>41>;31>48>;32>;32>14>;32>31>;32>31>30>;41>;41>14>;41>2>;41>31>;41>31>30>;41>41>;41>41>2>;41>41>31>;41>41>41>;41>41>41>41>;41>41>41>41>41>;41>41>41>41>41>41>;41>41>41>41>41>41>41>;41>41>43>;41>41>43>44>;41>43>;41>43>44>;41>43>44>44>;42>;43>;43>41>;43>44>;43>44>14>;43>44>44>;43>44>44>44>;43>44>44>44>44>;43>44>44>44>44>44>;44>;44>14>;44>14>41>;44>14>43>;44>44>;44>44>14>;44>44>14>41>;44>44>44>;44>44>44>14>;44>44>44>44>;44>44>44>44>44>;45>;45>43>;46>;46>1>;46>1>2>;46>2>;48>;48>14>;48>29>;48>48>;49>;49>48>;49>49>;5>;5>5>;6>;6>6>;6>6>6>;6>6>6>6>;7>;7>14>;7>5>;7>5>5>;7>6>;8>;8>7>;Total Geral
30705-5799;20130101;SUCESSO;3;1;2;1;39;8;5;5;1;;;;2;;;;;;;;;16;;1;;;;;;;1;2;;;;;;;;9;1;1;1;2;;1;;;;;;;;1;;1;1;;;;;;;;;;;;;5;1;;;;;;;;;;1;;1;1;;;;;31;1;1;1;;7;;;2;2;2;1;1;;;1;;;;2;;;;;;;;;;;;;;;;;;;;;3;1;1;1;4;1;;;2;2;1;1;1;;;;;1;;1;1;;;;187
30739-4434;20120102;SUCESSO;2;2;;;51;;;2;;;2;1;4;1;2;1;1;;;1;;19;;2;1;;;3;3;;;;1;;;2;2;3;3;10;;;;2;;;;;;2;2;2;;3;2;1;10;4;2;1;5;;1;;;2;2;;;15;5;;1;8;3;4;1;;1;1;2;;;;2;;2;2;66;;;2;1;12;;1;4;;;;;1;;1;1;1;;13;;12;;3;1;;;27;5;1;;8;4;1;4;3;3;1;4;;2;2;2;;1;;;;;;;2;2;20;7;5;3;7;1;;;3;2;;446
30745-5490;20120202;SUCESSO;2;;2;2;111;2;1;5;2;;;;37;2;29;3;7;3;4;;;25;;8;2;1;1;2;1;;1;;8;5;4;12;11;10;10;9;1;1;1;2;;;;;;;;;;;;;60;12;1;3;9;1;3;1;;12;4;2;3;79;8;3;2;46;8;8;3;1;7;3;2;1;3;;;;;;61;;1;7;2;22;;5;10;8;4;2;1;;;1;1;1;;6;;4;;2;1;;;20;2;;;6;2;;2;1;;;;;2;;;2;5;;;;;;;10;10;3;2;;;13;3;9;8;;;;851
30777-4433;20120102;SUCESSO;2;;2;2;33;2;;10;2;;;;3;;1;1;;;;1;;14;;7;2;2;;2;2;1;;1;;;;1;1;;;22;1;1;1;3;;1;3;;2;;;;;1;1;;6;2;;1;;;;;;1;1;1;;10;;;;6;2;;;;;;1;1;1;;;;;;35;1;3;2;1;15;;1;6;4;2;2;2;1;;2;2;;;5;;5;;2;1;1;;12;2;1;;4;;;2;;1;1;1;;2;;;2;;;;;1;;;;;;;;;;;;;;;;283
30799-5384;20120202;SUCESSO;2;1;;;74;4;1;12;4;;;;20;;18;11;7;4;;;;25;;12;1;;;6;4;3;;;7;;;4;4;2;2;19;;;;6;;1;;;1;1;1;;;;;;33;22;8;8;12;8;9;4;2;3;1;2;;39;4;1;2;31;14;12;9;4;1;;2;1;2;;;;;;70;1;4;6;1;27;;5;6;2;2;1;;2;;2;2;1;;16;;14;;7;4;4;;30;3;3;;9;3;3;6;3;5;3;;;2;2;1;;;;;;;;;1;1;20;5;1;1;8;2;1;1;2;;;784
30807-5489;20120202;SUCESSO;2;1;1;1;54;1;1;5;;;;;8;;3;1;1;1;;;;20;;5;;;;;;;1;5;1;1;1;1;1;;;14;1;1;1;1;;;1;;2;;;;;;;;7;1;1;1;1;;1;1;;;;1;1;16;1;1;;7;1;1;1;1;;;;;2;;;;;;64;5;4;5;2;9;;;1;;;;;;;;;;;3;;2;;;;;;16;;;;;;;;;;;;;2;1;1;1;8;4;;;6;4;;3;2;;;;;5;;3;2;;;;336
30808-4435;20120102;SUCESSO;3;3;1;1;44;2;;2;;;;;18;;16;;14;10;;1;;9;;3;2;1;1;4;2;1;;;3;1;1;1;1;2;2;11;;;;1;;1;;;2;2;2;2;;;;;43;2;;1;31;2;23;19;15;5;2;4;;38;2;;;31;;24;19;17;2;1;4;3;2;;1;;;;42;;3;6;3;13;;1;7;3;3;3;2;1;;3;1;1;;8;;3;;3;2;;;7;3;1;;6;1;;4;1;2;2;2;;3;3;3;1;2;1;;;1;;1;8;8;1;;;;11;;6;6;1;;;654
30812-5490;20120202;SUCESSO;2;2;;;44;1;;10;1;;;;;;;;;;;;;12;;6;1;1;;;;;;;;;;;;;;17;;;;1;;;;;5;2;2;2;;;;;21;1;;1;5;;2;2;1;1;;2;5;19;2;;;13;1;3;2;2;;;;;3;;;;;;84;2;2;4;2;24;;2;11;3;1;;;;;1;1;1;;3;;2;;2;;;;2;;;;2;;;;;;;;;2;2;2;;5;;;;;;;1;1;;;;;6;;1;1;;;;365
30813-5490;20120202;SUCESSO;3;2;1;1;63;5;1;5;1;;5;2;9;1;6;1;2;1;1;1;;27;;8;3;;;1;1;;1;;3;1;1;1;;1;1;15;1;1;1;5;;1;1;;3;;;;;6;2;2;21;3;1;1;6;1;1;;;5;4;;1;23;3;1;1;17;2;5;1;;5;4;2;1;1;;1;;1;;71;2;3;4;2;18;;;5;1;1;1;1;;;;;;;2;;2;;;;;;3;1;;;1;;;;;;;1;;3;2;2;1;4;2;;;1;;;3;3;4;2;1;1;7;2;2;2;1;2;;474
30834-4435;20120102;SUCESSO;2;1;1;1;68;7;1;14;4;;;;28;2;22;;7;5;6;1;;13;;5;;;;;;;;;;;;1;1;8;8;25;1;1;1;10;;;2;;1;1;1;1;;1;1;;61;5;2;;16;2;10;2;1;10;6;5;1;47;5;2;1;39;1;11;8;2;10;6;1;1;1;;;;;;41;3;1;1;1;16;;;3;1;;;;;;1;1;;;4;;4;;1;;;;11;1;1;;1;;;;;;;;;2;1;1;1;1;;;;;;;3;3;;;;;3;;3;3;;1;;622
