IdAluno;Bimestre;Resultado;1>;1>2>;1>46>;1>46>2>;13>;14>;14>14>;14>14>14>;14>14>2>;14>14>41>;14>2>;14>2>14>;14>2>2>;14>3>;14>3>2>;14>31>;14>31>14>;14>31>30>;14>31>30>14>;14>31>30>30>;14>31>30>30>30>;14>31>30>31>;14>31>31>;14>32>;14>32>31>;14>41>;14>41>2>;14>41>31>;14>41>41>;14>41>41>41>;14>41>41>41>41>;14>41>41>41>41>41>;14>43>;14>43>44>;14>43>44>44>;14>48>;14>49>;14>7>;14>7>5>;14>7>5>5>;16>;16>31>;17>;17>30>;2>;2>1>;2>1>46>;2>1>46>2>;2>14>;2>14>2>;2>14>41>;2>2>;2>3>;2>41>;2>46>;2>46>1>;2>46>1>2>;29>;3>;3>14>;3>2>;30>;30>14>;30>14>31>;30>14>31>30>;30>14>41>;30>30>;30>30>14>;30>30>30>;30>30>30>30>;30>30>30>30>30>;30>31>;30>31>30>;30>32>;30>41>;30>48>;31>;31>14>;31>14>31>;31>14>41>;31>30>;31>30>14>;31>30>30>;31>30>30>30>;31>30>30>30>30>;31>30>31>;31>30>31>30>;31>31>;31>31>30>;31>41>;31>48>;32>;32>14>;32>31>;32>31>30>;41>;41>14>;41>2>;41>31>;41>31>30>;41>41>;41>41>2>;41>41>31>;41>41>31>30>;41>41>41>;41>41>41>31>;41>41>41>41>;41>41>41>41>41>;41>41>41>41>41>41>;41>41>41>41>41>41>41>;41>41>43>;41>41>43>44>;41>43>;41>43>44>;41>43>44>44>;42>;43>;43>41>;43>44>;43>44>14>;43>44>44>;43>44>44>44>;43>44>44>44>44>;44>;44>14>;44>14>41>;44>44>;44>44>14>;44>44>14>41>;44>44>44>;44>44>44>14>;44>44>44>44>;44>44>44>44>14>;44>44>44>44>44>;45>;45>43>;46>;46>1>;46>1>2>;46>2>;48>;48>14>;48>29>;48>48>;49>;49>48>;49>49>;5>;5>5>;6>;6>6>;6>6>6>;6>6>6>6>;7>;7>14>;7>5>;7>5>5>;7>6>;8>;8>7>;Total Geral
31747-5799;20130101;SUCESSO;3;2;1;1;;17;1;;;1;1;;;10;;1;;;;;;;;;;4;1;;1;;;;1;1;1;;;;;;;;;;8;1;1;1;1;;;;;3;1;1;1;;10;;6;1;;;;;;;;;;;;;1;;2;;;;1;;;;;;;1;1;1;;;;;;11;;1;1;;6;;1;;2;1;1;;;;1;;1;;;;3;2;2;;2;2;2;2;;;2;;;2;;2;;1;;;3;2;2;1;;;;;;;;;;;;;;;;;;;;;145
31755-4917;20120201;insucesso;;;;;;17;;;;;;;;;;2;;1;;;;;;;;6;;;2;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;3;1;;;1;;;;;;2;2;;;;7;3;;1;3;1;;;;1;1;;;;;;;;;14;;;1;1;4;;1;1;1;;;;;;;;;;;;2;;2;;2;2;1;8;1;;6;;;3;;1;;;;;;;;;;;;;;;;1;1;;;;;1;;1;1;;;;112
31755-7114;20130202;insucesso;;;;;;13;1;;;;;;;;;2;;1;;;;;;;;4;;;;;;;1;1;;;;1;;;;;;;1;;;;1;;;1;;;;;;1;;;;2;;;;;1;;;;;;;;;1;4;;;;2;;1;;;;;1;;1;;;;;;18;;;;;1;;;;;;;;;;;;;;;;4;;4;1;3;3;1;6;4;4;3;2;2;3;2;1;;1;;;;;;;1;;1;;1;;;3;3;;;;;2;;2;2;;;;119
31759-4114;20120101;insucesso;1;;1;1;;21;5;;1;1;1;;;;;1;;;;;;;;;;5;;;1;;;;;;;1;;;;;;;;;5;1;1;1;1;;1;1;;;;;;2;;;;3;1;;;1;1;;1;1;;;;;;;4;;;;1;;1;1;1;;;1;;;2;;;;;39;1;;1;;9;;;;1;;1;;;;;;1;;;;3;;3;;1;;;3;;;1;;;;;;;;;;1;;;1;3;;2;;;;;;;;;;;2;;;;;;;145
31759-4917;20120201;SUCESSO;2;1;;;;20;;;;;2;;;;;2;;1;;;;;;;;3;;;;;;;;;;;2;;;;;;;;8;;;;;;;;;1;1;1;;;;;;2;;;;;;;;;;;;;;;7;1;;;1;;;;;;;1;;1;;;;;;19;;;;;3;;;;;;;;;;;;;;;;2;1;1;;;;;2;1;1;;;;;;;;;;;2;2;1;;2;1;;;3;1;2;;;;;;;;;;;;;;101
31784-4448;20120101;SUCESSO;2;2;;;;39;2;;;;5;;;;;5;1;1;;;;;1;;;12;;;3;;;;2;1;;;;4;1;1;;;;;12;;;;2;;;2;;;1;1;1;;;;;5;;;;;2;;;;;;;;2;;13;2;;;5;;2;;;;;2;;2;2;;;;;52;1;;2;1;11;;;;5;;1;;;;;;;;;;5;;5;;1;;;21;2;1;5;;;1;;;;;;;2;2;2;;2;;;;;;;3;3;1;;;;7;2;3;3;;;;282
31805-5489;20120202;insucesso;2;1;1;1;;43;12;1;;6;3;;;;;1;;;;;;;;;;18;;;9;8;6;4;2;;;;;5;;;1;1;;;6;1;1;1;3;;3;;1;1;1;1;1;;1;1;1;;;;;;;;;;;;;;;;4;3;;1;;;;;;;;1;;;1;;;;;37;;2;3;;16;1;3;;11;;9;5;4;4;;;3;2;1;;4;2;2;1;1;1;1;2;2;;1;1;;1;1;1;;1;;;2;1;1;1;1;;;;;;;;;22;6;;;6;;;;4;;;325
31805-6030;20130101;insucesso;2;1;1;1;;38;5;1;1;1;7;1;;2;2;2;;1;;;;;;;;12;;1;6;4;2;1;3;2;;;1;2;;;;;;;23;1;1;1;5;;;2;2;2;1;1;1;;10;;8;1;;;;;;;;;;1;1;;;;8;5;;2;1;;;;;1;1;1;;;;;;;;37;2;3;7;;16;1;5;;9;;5;3;3;2;2;2;4;4;3;;7;1;6;;5;5;5;8;4;1;6;4;1;6;4;5;;4;1;1;2;1;1;1;;;;;1;;;;;14;2;1;;3;;;;3;;;391
31805-6895;20130201;SUCESSO;2;1;1;1;;19;3;;;1;3;1;;;;2;;2;;;;1;;;;7;;;3;3;2;1;1;;;;;3;;;;;;;7;;;;3;;;;;1;1;1;1;;;;;3;1;;;;;;;;;1;1;;1;;5;2;;1;3;1;;;;1;1;;;;;;;;;19;;1;1;;10;;1;;6;1;5;3;2;;2;;3;3;1;;3;;3;;1;1;1;3;1;;1;1;;1;1;1;1;1;;;2;1;1;1;;;;;;;;;;7;3;1;;4;1;;;2;;;193
31806-4114;20120101;insucesso;2;1;1;1;;51;6;2;2;1;5;1;;9;2;2;;1;;;;;;2;1;12;;;4;;;;;;;1;;2;;;1;1;;;19;1;1;1;7;;2;;1;5;;;;3;13;6;5;4;1;;;;;;;;;2;1;1;;1;7;2;;;3;;;;;2;1;2;1;;3;6;2;3;;45;1;3;1;;16;1;1;;4;;2;;;;;;1;1;;;4;;3;3;;;;8;3;;1;;;;;;;;3;2;2;1;1;1;7;;3;;2;;1;4;4;3;;;;8;;3;3;1;6;6;376
