IdAluno;Bimestre;Resultado;1>;1>2>;1>46>;1>46>2>;13>;14>;14>14>;14>14>14>;14>14>2>;14>14>41>;14>2>;14>2>14>;14>2>2>;14>3>;14>3>2>;14>31>;14>31>14>;14>31>30>;14>31>30>14>;14>31>30>30>;14>31>30>30>30>;14>31>31>;14>32>;14>32>31>;14>41>;14>41>2>;14>41>31>;14>41>41>;14>41>41>41>;14>41>41>41>41>;14>41>41>41>41>41>;14>41>41>41>41>41>41>;14>43>;14>43>44>;14>43>44>44>;14>48>;14>49>;14>7>;14>7>5>;14>7>5>5>;14>8>;16>;16>31>;17>;17>30>;2>;2>1>;2>1>46>;2>1>46>2>;2>14>;2>14>2>;2>14>41>;2>2>;2>3>;2>41>;2>46>;2>46>1>;2>46>1>2>;29>;3>;3>14>;3>2>;30>;30>14>;30>14>31>;30>14>41>;30>30>;30>30>14>;30>30>30>;30>30>30>30>;30>30>30>30>30>;30>31>;30>31>30>;30>41>;30>48>;31>;31>14>;31>14>31>;31>14>41>;31>30>;31>30>14>;31>30>30>;31>30>30>30>;31>30>30>30>30>;31>30>31>;31>30>31>30>;31>31>;31>31>30>;31>41>;31>48>;32>;32>14>;32>31>;32>31>30>;41>;41>14>;41>2>;41>31>;41>31>30>;41>41>;41>41>2>;41>41>31>;41>41>41>;41>41>41>41>;41>41>41>41>41>;41>41>41>41>41>41>;41>41>41>41>41>41>41>;41>41>41>41>41>41>41>41>;41>41>43>;41>41>43>44>;41>43>;41>43>44>;41>43>44>44>;42>;43>;43>44>;43>44>14>;43>44>44>;43>44>44>44>;43>44>44>44>44>;43>44>44>44>44>44>;44>;44>14>;44>14>41>;44>44>;44>44>14>;44>44>14>41>;44>44>44>;44>44>44>14>;44>44>44>44>;44>44>44>44>44>;45>;45>43>;46>;46>1>;46>1>2>;46>2>;48>;48>14>;48>29>;48>48>;49>;49>48>;49>49>;5>;5>5>;6>;6>6>;6>6>6>;6>6>6>6>;7>;7>14>;7>5>;7>5>5>;7>6>;8>;8>7>;Total Geral
36615-6895;20130201;insucesso;;;;;;22;2;;;1;2;;;;;5;1;;;;;;;;8;;1;5;1;1;1;1;;;;;;;;;;;;;;4;;;;1;;;;;2;;;;;;;;2;;;;;;;;;1;;;;8;2;;;2;;;;;1;;1;;1;;;;;;15;;1;1;1;7;1;;2;2;1;1;;;1;1;3;3;3;;4;3;;3;2;1;1;3;3;2;3;3;2;2;2;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;155
36637-5489;20120202;SUCESSO;2;1;;;;77;23;;;4;5;1;;;;7;;5;;3;1;2;;;26;1;;8;4;2;;;7;6;4;;;3;1;1;;2;2;;;11;;;;2;;;;;;1;1;1;;;;;16;2;;;10;1;5;3;3;1;1;;1;19;2;;1;12;;8;3;1;1;1;2;;2;1;1;;1;1;127;2;1;4;3;34;;3;17;10;6;4;1;;2;;5;1;1;;16;10;;9;5;4;;14;5;3;11;4;;5;2;4;3;4;;2;2;1;;3;1;;;;;;4;4;;;;;9;2;4;4;;;;669
36672-5489;20120202;insucesso;;;;;;5;1;;;;;;;;;1;;;;;;;;;2;;;1;;;;;;;;;1;;;;;;;;;1;;;;;;;;;;;;;1;;;;1;;;;1;;;;;;;;;1;;;;;;;;;;;;;;1;;;;;2;;1;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1;1;2;;1;;;;;;;;;;;;;;27
36694-5489;20120202;insucesso;;;;;;5;;;;;;;;;;;;;;;;;;;3;;;3;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;1;;2;;;;1;;;;;;;1;;1;;;;;;5;;;2;1;5;;1;2;1;;;;;;;;;;;1;1;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;52
36699-4917;20120201;insucesso;;;;;;14;;;;;;;;;;2;;;;;;;;;5;;;3;;;;;;;;1;1;;;;2;1;1;;;1;;;;;;;;;;;;;1;1;;;4;;;;3;;2;1;;;;;;9;;;;4;;3;2;;;;;;2;;2;;2;2;17;1;;2;1;6;;1;3;1;1;;;;;;;;;;4;3;;1;1;1;1;3;;;1;;;1;;1;1;2;1;;;;;1;;1;;2;;1;;;;;;;5;2;;;;3;3;141
36758-5799;20130101;SUCESSO;3;;2;1;;27;6;;;1;3;1;;;;2;;1;;;;;;;10;2;;4;1;1;1;;;;;;;;;;;;;2;2;9;1;1;1;4;;3;1;;2;;;;;;;;6;;;;;;;;;;;;;8;1;;;2;;;;;;;1;1;1;1;1;;1;;34;;4;;;22;;;10;6;5;4;2;;1;;1;;;;6;4;;2;2;2;;5;1;;4;;;2;;2;1;;;3;1;;1;1;;;;;;;3;3;;;;;3;;3;3;;;;256
36914-5490;20120202;insucesso;;;;;;26;;;;;;;;;;4;1;3;;;;;;;8;;;2;;;;;2;2;;;1;1;1;;1;;;;;;;;;;;;;;;;;;;;;;10;2;;1;;;;;;2;2;2;;10;1;1;;8;;;;;1;1;;;;1;;;;;38;;;2;1;17;;2;5;3;2;2;2;2;1;1;1;1;;;4;4;;;;;;4;;;;;;;;;;;;;;;;2;;;1;2;1;2;4;3;;;;;5;2;3;3;;1;1;216
36992-5384;20120202;SUCESSO;2;1;1;1;;67;;;;;8;1;;6;5;12;2;5;;1;1;3;;;17;;;6;2;1;1;;;;;;;1;1;1;;4;4;4;4;30;1;1;1;4;;;;;3;1;1;1;;10;;7;34;4;;;6;;5;2;2;5;3;3;;38;4;;2;25;3;4;3;2;3;3;4;3;1;;1;;1;;70;;3;1;1;25;;;9;3;1;;;;;;1;1;1;;5;5;;2;1;;;17;1;1;2;1;;1;1;;;;;2;1;1;1;;;;;;;;8;8;;;;;8;;8;8;;;;581
37574-5489;20120202;insucesso;;;;;;3;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4
37609-5489;20120202;SUCESSO;2;1;;;;29;1;;;1;2;;;;;4;;1;;;;2;;;13;;;6;3;3;1;;1;;;;;;;;;1;1;2;1;3;;;;1;;;;;1;2;2;1;;;;;4;2;1;;;;;;;;;;;6;;;;3;1;;;;;;2;1;1;;;;;;22;1;;1;1;14;;1;8;7;4;3;3;;2;;3;3;;;6;4;;;;;;7;;;;;;;;;;;;2;2;1;;;;;;;;;;;1;;;;1;;;;1;;;204
