IdAluno;Bimestre;Resultado;1>;1>2>;1>46>;1>46>2>;14>;14>14>;14>14>14>;14>14>41>;14>2>;14>2>14>;14>3>;14>3>2>;14>31>;14>31>14>;14>31>30>;14>31>30>14>;14>31>30>30>;14>31>30>30>30>;14>31>30>31>;14>31>30>31>30>;14>31>31>;14>31>41>;14>32>;14>41>;14>41>31>;14>41>41>;14>41>41>41>;14>41>41>41>41>;14>41>43>;14>43>;14>43>44>;14>43>44>44>;14>43>44>44>44>;14>48>;14>49>;14>49>49>;14>7>;14>7>5>;14>7>5>5>;14>8>;16>;16>31>;16>31>14>;17>;17>30>;2>;2>1>;2>1>46>;2>1>46>2>;2>14>;2>14>41>;2>2>;2>3>;2>41>;2>46>;2>46>1>;2>46>1>2>;29>;3>;3>14>;3>2>;30>;30>14>;30>14>31>;30>14>31>30>;30>14>41>;30>30>;30>30>14>;30>30>30>;30>30>30>30>;30>30>30>30>30>;30>30>30>30>30>30>;30>31>;30>31>30>;30>31>30>31>;30>31>30>31>30>;30>41>;30>48>;31>;31>14>;31>14>31>;31>14>41>;31>30>;31>30>14>;31>30>14>31>;31>30>30>;31>30>30>30>;31>30>30>30>30>;31>30>30>30>30>30>;31>30>31>;31>30>31>30>;31>30>31>30>31>;31>31>;31>31>30>;31>32>;31>41>;31>41>41>;31>48>;32>;32>14>;32>31>;32>31>30>;41>;41>14>;41>2>;41>31>;41>31>14>;41>31>30>;41>41>;41>41>2>;41>41>31>;41>41>41>;41>41>41>31>;41>41>41>41>;41>41>41>41>41>;41>41>41>41>41>41>;41>41>41>41>41>41>41>;41>41>43>;41>41>43>44>;41>43>;41>43>44>;41>43>44>44>;41>43>44>44>44>;42>;43>;43>14>;43>41>;43>44>;43>44>14>;43>44>44>;43>44>44>44>;43>44>44>44>44>;43>44>44>44>44>44>;43>44>44>44>44>44>44>;44>;44>14>;44>14>41>;44>14>41>41>;44>14>43>;44>14>43>44>;44>44>;44>44>14>;44>44>14>41>;44>44>44>;44>44>44>14>;44>44>44>44>;44>44>44>44>14>;44>44>44>44>44>;44>44>44>44>44>44>;45>;45>43>;46>;46>1>;46>1>2>;46>2>;48>;48>14>;48>29>;48>30>;48>48>;49>;49>48>;49>49>;5>;5>5>;6>;6>6>;6>6>6>;6>6>6>6>;7>;7>14>;7>5>;7>5>5>;7>6>;8>;8>7>;Total Geral
35936-7297;20130202;SUCESSO;1;1;;;24;;;;2;1;;;2;1;1;1;;;;;;;;7;;1;;;1;;;;;;3;;1;;;;;;;;;3;;;;2;;;;;1;1;1;;;;;3;2;;;;;;;;;;;;;;1;;4;1;;1;3;2;;;;;;;;;;;;;;;;;;;30;;1;1;;1;10;;;6;;3;1;1;;1;1;4;3;2;;;6;;1;5;;3;2;2;1;;8;1;1;;;;6;1;1;3;1;3;1;2;;;;1;1;1;;5;3;;;;6;4;2;;;5;1;1;;1;;;;;1;;217
35950-5799;20130101;insucesso;1;1;;;18;1;;;1;;;;1;;;;;;;;;;;4;;3;1;;;;;;;;;;;;;;;;;;;2;;;;;;;;1;1;1;1;;;;;1;;;;;;;;;;;;;;;;;2;;;;1;;;;;;;;;;;;;;;;;;;;11;;;1;;1;3;;1;1;;;;;;1;;1;;;;;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;;;;;;;;;;;;;;;;;;;;;;;66
35950-6590;20130201;SUCESSO;1;;1;1;29;1;;1;2;;;;1;;;;;;;;;;;2;;2;1;1;;;;;;;;;;;;;1;1;;1;1;4;1;1;1;;;;;1;;;;;;;;4;1;1;;;;;;;;;;;;;;;5;1;;;;;;;;;;;;;;;;;;;;;;;10;;;;;;5;;;3;;1;1;1;;;;1;1;1;;;2;;;1;;1;1;1;1;;7;1;;;;;1;1;;1;1;1;1;1;;;;1;;;1;;;;;;;;;;;;;;;;;;;;;;115
35962-6401;20130102;insucesso;2;1;1;1;15;1;1;;3;;;;2;;2;;;;1;;;;;6;;2;1;1;;;;;;;1;;1;;;;;;;;;6;;;;1;;;;;1;1;1;;;;;8;1;;;;;;;;;;4;4;;;;;7;;;;7;;;;;;;4;4;;;;;;;;1;1;;;9;;2;;;;2;1;;1;;1;;;;;;2;;;;1;2;;1;;;;;;;;;;;;;;;;;;;;;;;;;2;1;1;1;;;;;;1;;;1;1;;;;;2;1;1;1;;;;128
35962-6895;20130201;insucesso;2;1;1;1;16;5;1;;1;1;;;1;;1;;;;;;;;;5;;;;;;;;;;;;;;;;;;;;;;4;;;;3;;;;;1;1;1;;;;;1;1;;;1;;;;;;;;;;;;;1;;;;1;1;;;;;;;;;;;;;;;;;;;6;;2;;;;;;;;;;;;;;;;;;;;1;;;1;;1;1;1;;;1;1;1;;;;1;1;1;1;1;1;1;;;;;2;1;1;1;;;;;;;;;2;1;;;;;1;;1;1;;;;86
36057-7297;20130202;SUCESSO;1;1;;;23;6;;4;2;;;;2;;1;1;;;;;;;;10;1;2;;;;;;;;;;;;;;;;;;;;3;;;;;;;;;1;1;1;;;;;3;2;;;1;2;1;;;;;;;;;;;4;;;;3;1;;2;;;;;;;;;;;;;;;;;19;;1;1;;1;2;;;;;;;;;;;;;;;;2;;;2;1;1;;;;;2;2;1;;;;1;1;;;;;;;;;;1;1;1;;;;;;;;;;;;;;;;1;1;;;;1;;122
36066-6030;20130101;insucesso;;;;;9;;;;;;;;;;;;;;;;;;;5;;2;2;1;1;;;;;;;;1;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;1;;1;;8;;;;;;4;;;3;;1;;;;;;1;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;;;;2;;;;1;;;53
36099-5061;20120201;insucesso;1;1;;;33;;;;2;;;;3;;1;;1;;;;;;;3;;1;;;;1;1;1;;;;;1;1;;;1;1;;;;7;;;;1;;2;;2;1;1;1;;;;;5;;;;;3;;1;;;;;;;;1;;8;;;;5;;;3;1;;;;;;;;;;;1;1;1;;;20;;1;1;;1;7;1;1;1;;1;;;;1;1;2;1;;;;4;;;3;;1;1;1;;;6;1;;;1;1;2;1;;2;1;1;1;;;1;1;1;1;1;;2;;;;1;;;;1;1;;;;;2;;1;1;;;;178
36099-6895;20130201;insucesso;1;1;;;15;1;;;;;;;2;;1;;;;;;;;;6;;2;;;1;;;;;;;;;;;;1;1;1;;;2;;;;;;;;;1;1;1;;;;;3;;;;;;;;;;;;;;;1;;5;1;;1;3;;;;;;;;;;;;;;;;;;;;15;;;2;;2;5;;1;1;;;;;;;;1;1;;;;4;;;4;;2;;;;;7;;;;;;3;;;1;;;;;;;;1;1;1;;;;;;;;;;;;;;;;;;;;;;;104
36130-6401;20130102;insucesso;1;;1;1;25;2;;;4;2;8;7;4;;4;;3;;1;;;;;2;;;;;;;;;;;;;1;1;;;;;;;;13;;;;4;;;;;;;;;8;1;7;11;2;;;;10;;6;4;;;3;3;;;;;6;2;;;6;;;6;4;4;;2;2;;1;;;;;;;;;;11;1;;;;;;;;;;;;;;;;1;1;;;;1;;;1;;;;;;;7;;;;;;2;;;1;;1;;1;;;;1;;;1;;;;;;;;;1;1;;;;;2;;1;1;;;;208
