IdAluno;Bimestre;Resultado;1>;1>2>;1>46>;1>46>2>;14>;14>14>;14>14>41>;14>2>;14>2>14>;14>3>;14>3>2>;14>31>;14>31>14>;14>31>30>;14>31>30>14>;14>31>30>30>;14>31>30>30>30>;14>31>30>31>;14>31>31>;14>32>;14>41>;14>41>2>;14>41>31>;14>41>41>;14>41>41>41>;14>41>41>41>41>;14>41>43>;14>43>;14>43>44>;14>43>44>44>;14>43>44>44>44>;14>48>;14>49>;14>7>;14>7>5>;14>7>5>5>;14>8>;16>;16>31>;17>;17>30>;2>;2>1>;2>1>46>;2>1>46>2>;2>14>;2>14>41>;2>2>;2>3>;2>41>;2>46>;2>46>1>;2>46>1>2>;29>;3>;3>14>;3>2>;30>;30>14>;30>14>31>;30>14>31>30>;30>14>41>;30>30>;30>30>14>;30>30>30>;30>30>30>30>;30>30>30>30>30>;30>30>30>30>30>30>;30>31>;30>31>30>;30>31>30>31>;30>32>;30>41>;30>48>;31>;31>14>;31>14>31>;31>14>41>;31>30>;31>30>14>;31>30>14>31>;31>30>30>;31>30>30>30>;31>30>30>30>30>;31>30>30>30>30>30>;31>30>31>;31>30>31>30>;31>31>;31>31>30>;31>32>;31>41>;31>41>41>;31>48>;32>;32>14>;32>31>;32>31>30>;41>;41>14>;41>2>;41>31>;41>31>14>;41>31>30>;41>41>;41>41>2>;41>41>31>;41>41>41>;41>41>41>31>;41>41>41>41>;41>41>41>41>41>;41>41>41>41>41>41>;41>41>41>41>41>41>41>;41>41>43>;41>41>43>44>;41>43>;41>43>44>;41>43>44>44>;41>43>44>44>44>;42>;43>;43>14>;43>41>;43>44>;43>44>14>;43>44>44>;43>44>44>44>;43>44>44>44>44>;43>44>44>44>44>44>;44>;44>14>;44>14>41>;44>14>41>41>;44>14>43>;44>14>43>44>;44>44>;44>44>14>;44>44>14>41>;44>44>44>;44>44>44>14>;44>44>44>14>41>;44>44>44>44>;44>44>44>44>14>;44>44>44>44>44>;44>44>44>44>44>44>;45>;45>43>;46>;46>1>;46>1>2>;46>2>;48>;48>14>;48>29>;48>30>;48>48>;49>;49>48>;49>49>;5>;5>5>;6>;6>6>;6>6>6>;6>6>6>6>;7>;7>14>;7>5>;7>5>5>;7>6>;8>;8>7>;Total Geral
41138-6030;20130101;insucesso;;;;;20;2;1;4;;;;;;;;;;;;;6;;;3;2;2;2;;;;;;;2;2;;1;;;;;8;;;;1;;;;1;;;;;;;;4;;;;;1;;;;;;1;;;;;;4;1;;;2;;;1;;;;;;1;1;;;;;;;;;15;;;;;;9;;;6;;4;2;1;;2;;6;3;2;1;;7;;3;4;;3;2;;;14;1;;;;;5;;;2;;;;;;;;;;;;;;;;;;;;;5;4;;;;;5;;4;3;;1;;187
41179-7114;20130202;insucesso;;;;;18;5;;3;;1;1;1;;;;;;;;;3;;1;1;;;;;;;;1;1;3;1;;;;;;;4;;;;;;;;;;;;;1;;1;;;;;;;;;;;;;;;;;;3;;;;;;;;;;;;;;;;1;;;;;;;6;;;1;;;2;;;;;;;;;;;;;;;;2;;;2;;2;1;1;1;2;1;;;;;2;1;;1;;;1;;1;1;;;;;;;2;1;;;1;1;1;;2;2;1;;;;4;;2;2;;;;97
41260-6400;20130102;insucesso;1;;1;1;21;;;3;1;;;2;;1;;1;;;;;5;;;2;1;1;;;;;;;;2;1;;;;;;;6;;;;2;;;;1;;;;;;;;2;;;;;2;;1;;;;;;;;;;4;;;;1;;;1;;;;;;;;;;;;;;;;9;;1;;;;2;1;;1;;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;1;;;;;;;;;1;;;;;;2;;1;;;;;88
41273-6400;20130102;insucesso;1;;1;1;22;2;;;;;;;;;;;;;;;2;;;;;;;1;1;1;;;;1;;;;;;;;2;1;1;1;1;;;;;;;;;;;;1;;;;;;;;;;;1;1;;;;;2;1;;;1;;;;;;;;;1;;;;;;;;;;21;;;;;;2;;;1;;;;;;;;;;;;;1;;;1;;1;1;1;1;1;1;;;1;1;1;1;;1;1;;1;1;1;;;;1;;;1;;;;;;;;;;;;;;;3;;;;;;;93
41281-6401;20130102;SUCESSO;1;;1;1;66;2;;1;;;;34;3;24;;3;3;7;1;1;10;1;2;4;2;1;1;6;5;1;;;9;4;2;2;;5;5;7;7;4;1;1;1;1;;;;;;;;3;;;;41;8;4;4;1;9;1;6;3;1;1;16;8;4;;;6;50;11;5;4;30;3;2;5;5;3;1;11;7;2;;;;;8;3;;2;2;14;;1;5;;3;7;;3;3;2;2;2;2;;3;3;4;4;2;;;11;;1;10;;3;2;1;1;11;3;1;;1;1;4;2;1;2;1;1;1;1;1;1;;;1;;;1;24;5;3;1;3;12;9;3;7;6;;;;;7;1;5;5;;;;714
41289-6400;20130102;SUCESSO;1;;1;;35;2;1;2;;;;2;;1;;1;;;1;;10;;;4;2;1;1;1;1;1;1;;;;;;;;;;;4;1;1;;;;3;;1;;;;;;;;2;;;;;1;;;;;;;;;;2;;4;;;;2;;;1;;;;;;1;;;1;;;;;;;21;1;;2;;1;6;;2;3;1;2;1;1;;1;;2;1;1;;;5;;;4;;2;1;;;12;;;;;;5;;;2;;;;;;;1;;1;;;;;;;;;;;;1;1;;;;;1;;1;1;;;;177
41292-6400;20130102;insucesso;1;;;;13;1;;1;;;;4;;1;;1;;;1;;5;;1;1;;;;;;;;;;;;;;1;1;;;2;;;;;;;;1;;;;;;;;2;1;;;1;1;;;;;;;;;;;;7;;;;1;;;1;;;;;;1;;1;1;1;1;1;;;;12;;1;3;;;3;;;1;;;;;;;;;;;;;1;;;1;1;;;;;3;1;;;;;1;;;;;;;;;;;;1;1;;;1;;;1;;;;;;;;;;;;;;;;;;87
41299-6401;20130102;SUCESSO;1;;1;1;19;1;;1;;;;1;;;;;;;;;7;;;2;2;;;;;;;1;;2;;;;;;;;5;1;1;1;;;;;3;;;;;;;;4;;;;;1;;;;;;;;;;;;3;;;;1;;;;;;;;;;;;;;;;;;;21;;2;;;;4;;;3;;1;;;;;;;;;;;1;;;1;;;;;;1;;;;;;;;;;;;;;;;;;1;;;1;3;;;;;;;;;;8;1;;;2;;;;1;;;110
41314-6401;20130102;insucesso;1;;1;1;46;;;5;;;;1;;;;;;;;;15;;1;2;;;1;3;2;1;;6;1;2;;;;;;;;8;1;1;;;;1;;;;;;;1;;;6;;;;;2;;1;1;;;;;;;1;2;7;;;;4;;;;;;;;;;;;1;;;;;;;26;;;2;;1;5;;;1;;1;;;;;;1;1;;;;9;;;9;1;2;;;;16;3;;;1;;3;;;;;;;;;;;;1;;;1;17;2;;;8;7;7;3;;;10;;;;3;;;;2;;;269
41322-6400;20130102;SUCESSO;1;;1;1;33;2;;2;;;;;;;;;;;;;9;;;2;2;;;4;2;1;1;;1;1;1;1;;;;;;2;;;;1;;;;;;;;;;;;5;;;;;;;;;;;;;;;1;;5;;;;3;;;;;;;;;;;;1;;;;;;;30;;;1;;1;6;;;3;;;;;;1;1;1;1;1;;;11;;2;6;1;2;2;;;24;3;2;;1;;3;;;2;;;;;;;;;1;;;1;1;;;1;;1;;;1;1;;;;;1;;1;1;;;;198
