IdAluno;Bimestre;Resultado;1>;1>2>;1>46>;1>46>2>;14>;14>14>;14>14>14>;14>14>41>;14>2>;14>2>14>;14>2>2>;14>3>;14>3>2>;14>31>;14>31>14>;14>31>30>;14>31>30>14>;14>31>30>30>;14>31>30>30>30>;14>31>30>31>;14>31>31>;14>32>;14>41>;14>41>31>;14>41>41>;14>41>41>41>;14>41>41>41>41>;14>41>41>41>41>41>;14>41>43>;14>43>;14>43>44>;14>43>44>44>;14>43>44>44>44>;14>48>;14>49>;14>49>49>;14>7>;14>7>5>;14>7>5>5>;14>8>;16>;16>31>;16>31>14>;17>;17>30>;2>;2>1>;2>1>46>;2>1>46>2>;2>14>;2>14>41>;2>2>;2>3>;2>41>;2>46>;2>46>1>;2>46>1>2>;29>;3>;3>14>;3>2>;30>;30>14>;30>14>31>;30>14>41>;30>30>;30>30>14>;30>30>30>;30>30>30>30>;30>30>30>30>30>;30>31>;30>31>30>;30>41>;30>48>;31>;31>14>;31>14>31>;31>14>41>;31>30>;31>30>14>;31>30>30>;31>30>30>30>;31>30>30>30>30>;31>30>30>30>30>30>;31>30>31>;31>30>31>30>;31>30>41>;31>31>;31>31>30>;31>32>;31>41>;31>41>41>;31>48>;32>;32>14>;32>31>;32>31>30>;41>;41>14>;41>2>;41>31>;41>31>14>;41>31>30>;41>41>;41>41>2>;41>41>31>;41>41>41>;41>41>41>31>;41>41>41>41>;41>41>41>41>41>;41>41>41>41>41>41>;41>41>41>41>41>41>41>;41>41>43>;41>41>43>44>;41>43>;41>43>44>;41>43>44>44>;41>43>44>44>44>;42>;43>;43>14>;43>41>;43>44>;43>44>14>;43>44>44>;43>44>44>14>;43>44>44>44>;43>44>44>44>44>;43>44>44>44>44>44>;43>44>44>44>44>44>44>;44>;44>14>;44>14>41>;44>14>41>41>;44>14>43>;44>14>43>44>;44>44>;44>44>14>;44>44>14>41>;44>44>44>;44>44>44>14>;44>44>44>44>;44>44>44>44>14>;44>44>44>44>44>;44>44>44>44>44>44>;45>;45>43>;46>;46>1>;46>1>2>;46>2>;48>;48>14>;48>29>;48>30>;48>48>;49>;49>48>;49>49>;5>;5>5>;6>;6>14>;6>6>;6>6>6>;6>6>6>6>;7>;7>14>;7>5>;7>5>5>;7>6>;8>;8>7>;Total Geral
35908-5490;20120202;insucesso;1;;1;1;8;;;;1;;1;;;;;;;;;;;;2;;1;;;;;1;1;;;;;;;;;;;;;;;3;1;1;1;1;;1;1;;;;;1;1;;1;;;;;;;;;;;;;;3;1;;;;;;;;;;;;;;;1;1;1;;;;;10;;;1;;;4;;1;1;;;;;;;;;;;;;1;;;1;;;;;;;;1;;;;;;;;;;;;;;;;;1;;;1;1;;1;;;;;;;;;;;;;;;;;;;;61
35908-5799;20130101;insucesso;2;1;1;;7;;;;1;;;;;1;1;;;;;;;;6;;3;1;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;1;1;1;;;;;;;;;;;;;;;;;;1;1;;1;;;;;;;;;;;;;;;;;;;;6;2;;;;;3;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;1;1;;3;2;;;2;;;;;;;;;;;;;;;;;;55
35920-5490;20120202;SUCESSO;2;;2;2;35;6;;2;2;1;;2;;1;;1;;1;;;;;12;;2;;;;;6;5;3;2;;;;2;;;;;;;;;6;2;2;2;4;;;;;;;;;3;;;3;1;;1;3;1;2;1;1;;;;;4;1;;;1;;1;;;;;;;;;;;;;;;;;50;2;1;1;;;8;;;3;;1;1;;;;;;;;;;16;;1;13;;8;;6;4;4;;23;5;2;;2;2;15;3;;9;2;6;1;5;;2;;2;;;2;;;;;;;;;3;2;24;;1;;;5;;1;1;1;1;1;368
35936-5489;20120202;insucesso;;;;;12;;;;;;;;;;;;;;;;;;5;;2;;;;1;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;1;;;;;11;1;;;;;4;;;;;;;;;;;1;1;;;;1;;;1;1;;;;;;;1;1;1;1;;;;;;;;;;;;;;;;;;1;1;;1;;;;;;;4;2;1;1;1;4;;;;2;;;69
35936-7297;20130202;SUCESSO;1;1;;;24;;;;2;1;;;;2;1;1;1;;;;;;7;;1;;;;1;;;;;;3;;1;;;;;;;;;3;;;;2;;;;;1;1;1;;;;;3;2;;;;;;;;;;1;;4;1;;1;3;2;;;;;;;1;;;;;;;;;;;30;;1;1;;1;10;;;6;;3;1;1;;1;;4;3;2;;;6;;1;5;;3;;2;2;1;;8;1;1;;;;6;1;1;3;1;3;1;2;;;;1;1;1;;5;3;;;;6;4;2;;;5;;1;1;;1;;;;;1;;217
35950-5799;20130101;insucesso;1;1;;;18;1;;;1;;;;;1;;;;;;;;;4;;3;1;;;;;;;;;;;;;;;;;;;;2;;;;;;;;1;1;1;1;;;;;1;;;;;;;;;;;;;2;;;;1;;;;;;;;;;;;;;;;;;;11;;;1;;1;3;;1;1;;;;;;1;;1;;;;;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;66
35950-6590;20130201;SUCESSO;1;;1;1;29;1;;1;2;;;;;1;;;;;;;;;2;;2;1;1;;;;;;;;;;;;;;1;1;1;1;1;4;1;1;1;;;;;1;;;;;;;;4;1;1;;;;;;;;;;;5;1;;;;;;;;;;;;;;;;;;;;;;10;;;;;;5;;;3;;1;1;1;;;;1;1;1;;;2;;;1;;1;;1;1;1;;7;1;;;;;1;1;;1;1;1;1;1;;;;1;;;1;;;;;;;;;;;;;;;;;;;;;;;116
35962-5384;20120202;insucesso;2;1;1;;24;3;;2;8;1;;1;1;2;2;;;;;;;1;9;;1;;;;1;;;;;;;;;;;;;;;;;10;1;1;;2;;;;;1;1;1;;1;;1;;;;;;;;;;;;;;3;3;1;1;;;;;;;;;;;;;;;;1;;;;12;;;1;1;;1;;;;;;;;;;;1;1;;;;1;;;1;;;;;;;;1;;;;;;;;;;;;;;;;;2;1;1;;;;;;;;;;;;;;;;;;;;;;;;112
35962-6895;20130201;insucesso;2;1;1;1;16;5;1;;1;1;;;;1;;1;1;;;;;;5;;;;;;;;;;;;;;;;;;;;;;;4;;;;3;;;;;1;1;1;;;;;1;1;;1;;;;;;;;;;1;;;;1;1;;;;;;;;;;;;;;;;;;6;;2;;;;;;;;;;;;;;;;;;;;1;;;1;;1;;1;1;;;1;1;1;;;;1;1;1;1;1;1;1;;;;;2;1;1;1;;;;;;;;;2;1;;;;;;1;;1;1;;;;87
35966-5384;20120202;SUCESSO;1;1;;;74;3;;;11;3;;;;32;;31;5;9;3;4;;;9;;4;2;;;;2;2;1;1;;2;2;;;;;4;4;1;7;7;14;;;;6;;1;;;1;1;1;1;;;;65;19;4;5;26;6;13;5;3;6;6;2;5;49;3;;;40;7;15;7;2;;4;4;;1;;;2;2;;;;;;21;1;;2;;1;9;;;5;;3;1;;;1;;3;1;1;;;6;;1;4;;2;;2;;;;7;;;;;;2;;;2;;;;;;;;1;1;1;;8;;;3;2;4;3;4;;;;;;;;;;;;;;;653
