IdAluno;Bimestre;Resultado;1>;1>2>;1>46>;1>46>2>;14>;14>14>;14>14>41>;14>2>;14>2>14>;14>3>;14>3>2>;14>31>;14>31>14>;14>31>30>;14>31>30>14>;14>31>30>30>;14>31>30>30>30>;14>31>30>31>;14>31>30>31>30>;14>31>31>;14>32>;14>41>;14>41>31>;14>41>41>;14>41>41>41>;14>41>41>41>41>;14>41>41>41>41>41>;14>41>43>;14>43>;14>43>44>;14>43>44>44>;14>43>44>44>44>;14>48>;14>49>;14>49>49>;14>7>;14>7>5>;14>7>5>5>;14>8>;16>;16>31>;17>;17>30>;2>;2>1>;2>1>46>;2>1>46>2>;2>14>;2>14>41>;2>2>;2>3>;2>41>;2>46>;2>46>1>;2>46>1>2>;29>;3>;3>14>;3>2>;30>;30>14>;30>14>31>;30>14>31>30>;30>14>41>;30>30>;30>30>14>;30>30>30>;30>30>30>30>;30>30>30>30>30>;30>30>30>30>30>30>;30>31>;30>31>30>;30>31>30>31>;30>32>;30>41>;30>48>;31>;31>14>;31>14>31>;31>14>41>;31>30>;31>30>14>;31>30>14>31>;31>30>30>;31>30>30>30>;31>30>30>30>30>;31>30>30>30>30>30>;31>30>31>;31>30>31>30>;31>30>31>30>31>;31>31>;31>31>30>;31>32>;31>41>;31>41>41>;31>48>;32>;32>14>;32>31>;32>31>30>;41>;41>14>;41>2>;41>31>;41>31>14>;41>31>30>;41>41>;41>41>2>;41>41>31>;41>41>41>;41>41>41>31>;41>41>41>41>;41>41>41>41>41>;41>41>41>41>41>41>;41>41>41>41>41>41>41>;41>41>43>;41>41>43>44>;41>43>;41>43>44>;41>43>44>44>;41>43>44>44>44>;42>;43>;43>14>;43>41>;43>44>;43>44>14>;43>44>44>;43>44>44>44>;43>44>44>44>44>;43>44>44>44>44>44>;44>;44>14>;44>14>41>;44>14>41>41>;44>14>43>;44>14>43>44>;44>41>;44>44>;44>44>14>;44>44>14>41>;44>44>44>;44>44>44>14>;44>44>44>44>;44>44>44>44>14>;44>44>44>44>44>;44>44>44>44>44>44>;45>;45>43>;46>;46>1>;46>1>2>;46>2>;48>;48>14>;48>29>;48>30>;48>48>;49>;49>48>;49>49>;5>;5>5>;6>;6>6>;6>6>6>;6>6>6>6>;7>;7>14>;7>5>;7>5>5>;7>6>;8>;8>7>;Total Geral
28177-4114;20120101;insucesso;1;;1;1;14;2;2;;;;;1;;1;1;;;;;;1;5;;1;;;;1;;;;;;;;1;;;;;;;;2;1;1;1;1;1;1;;;;;;1;1;;;4;2;1;;1;;;;;;;;;;;;;6;;;;2;1;;;;;;;;;1;;;1;;1;1;;1;1;14;;;2;;;2;;;;;;;;;;;1;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;1;2;;;;1;2;1;1;1;;16;4;2;;3;;1;;1;;;124
28198-5490;20120202;insucesso;1;;1;1;22;;;2;;2;;1;;;;;;;;;;8;;3;1;1;;;3;3;;;;;;1;;;;;;;;4;1;1;1;;;;;1;;;;;2;1;;3;;;;;3;;1;1;;;;;;;;;5;;;;3;;;3;1;1;;;;;;;;;;;;;;;14;1;;1;;1;8;;;3;;1;;;;1;;1;;;;;6;;1;5;;1;;;;10;3;2;1;1;1;;4;2;1;2;2;2;2;1;;;;1;;;1;;;;;;;;;1;1;;;;;2;;;;;;;166
28250-4917;20120201;SUCESSO;2;1;1;1;30;2;;3;;;;5;;;;;;;;2;;7;;3;2;1;;;;;;;2;;;;;;;1;;1;1;5;1;1;1;1;;;;;1;1;1;;;;;4;2;;;1;1;;;;;;;;;;;1;14;;;;3;1;;1;;;;;;;4;;;1;;2;;;;;17;;;3;;1;3;;;2;;1;;;;;;;;;;;2;;;2;;1;1;1;;5;1;;;;;;1;1;;1;1;1;1;;;;;2;1;1;1;8;1;;;;;;;;;;;;;;;;;;;;172
28256-5061;20120201;insucesso;;;;;5;;;;;;;1;;1;;1;;;;;;1;1;;;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;3;;;;;2;;1;1;;;;;;;1;;3;2;1;1;3;;;2;1;1;;;;;1;1;;;;;;;;;4;;;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;3;1;1;1;;;;1;;;53
28386-5061;20120201;insucesso;;;;;10;;;4;1;;;1;;1;;;;;;;;3;;;;;;1;;;;;;;;;;;;;;;;5;;;;2;;;1;1;;;;;1;;1;1;;;;;;;;;;;;;;;;;2;1;;;1;;;;;;;;;;;;;;;;;;;;3;;;1;1;;1;;;;;;;;;1;;1;1;;;;1;1;;1;;1;1;;;1;1;1;;;;1;1;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;60
28391-5489;20120202;insucesso;;;;;2;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;1;;;;1;1;;;;;;;;;;;;;;;;;;;4;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;13
28835-4435;20120102;SUCESSO;1;;1;1;11;2;;4;;;;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;;;;;;;;;;;;;;;;3;;;;;1;;1;1;;;1;1;;;;;4;;;;3;;;1;1;1;;1;1;;;;;;;;;;;;2;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;1;;;;;;;;;;;;;;;;;;;;;;53
29011-4114;20120101;SUCESSO;1;;1;1;32;1;1;;;4;;2;;1;;1;;;;;;13;;5;1;1;;2;6;6;1;1;;1;;;;;;1;1;;;6;;;;1;;;;1;;;;;5;;1;7;3;;;1;4;3;1;1;;;;;;;2;;9;;;;6;;;3;1;1;;;;;1;1;;;;2;1;;;;40;1;3;2;;1;17;;1;9;1;4;2;1;;3;1;6;3;;;;16;;1;12;2;2;2;1;;20;3;2;;1;1;;3;2;2;3;2;1;1;;;1;1;1;;;1;2;;;2;;3;;1;1;1;;;;;2;;1;1;;;;335
29016-4114;20120101;insucesso;1;1;;;24;;;2;;1;;2;;1;;;;1;;;;6;;2;;;;;;;;;;;;;;;;1;1;;;4;;;;1;;;2;;;;;;3;3;;6;;;;;;;;;;;6;2;;;;;9;5;;1;6;;;;;;;6;2;;1;1;2;;;;2;1;2;;20;;1;1;;1;7;;1;2;;2;1;1;;;;;;;;;3;;;2;;1;;;;5;;;;;;;2;;;1;;;;;;2;1;1;1;1;;;;;;;;;;;;5;1;1;1;4;;;;2;3;3;185
29016-5061;20120201;SUCESSO;1;;1;1;24;2;;5;3;;;4;;2;;;;;;;2;5;;;;;;;1;1;1;;;1;;;;;;1;1;1;1;8;;;;3;;;;;;;;;1;;;7;3;;;1;;;;;;;4;3;3;;;;12;7;1;1;6;3;;;;;;3;3;3;;;;;;;5;;3;2;15;;;;;;4;;;1;;;;;;;;;;;;;1;;;1;1;1;;;;1;1;1;;1;1;;1;1;;;;;;;;;;1;;;1;;;;;;2;;1;1;1;;;;;1;;;;;;;179
