aluno;1>;2>;3>;5>;6>;7>;8>;14>;16>;17>;29>;30>;31>;32>;41>;42>;43>;44>;45>;46>;48>;49>;1>46>;1 2>;2>1>;2>2>;2>3>;2>14>;2>31>;2>41>;2>46>;2 14>;2 14 41>;2 41>;3>2>;3>14>;3 14>;5 14>;6>6>;6 14>;6 41>;7>5>;7 14>;7 41>;14>2>;14>3>;14>7>;14>14>;14>31>;14>31>30>;14>31>30>30>;14>31>30>31>;14>31>31>;14>41>;14>41>31>;14>41>41>;14>41>41>41>;14>41>41>41>41>;14>43>;14>43>44>;14 30>;14 30>31>;14 30>41>;14 30 41>;14 31>;14 31 41>;14 41>;14 41>31>;14 41>41>;14 41>41>41>;14 41 43>;14 41 44>;14 43>;14 44>;14 48>;16>31>;17 30>;30>14>;30>14>31>;30>30>;30>30>14>;30>30>30>;30>30>30>30>;30>30>30>30>30>;30>30>31>;30>31>;30>31>30>;30>41>;30>41>41>;30>48>;30 31>;30 31>30>;30 41>;31>14>;31>30>;31>30>14>;31>30>30>;31>30>30>30>;31>30>30>30>30>;31>30>31>;31>30>31>30>;31>31>;31>31>30>;31>32>;31>41>;31>48>;31 41>;31 41>30>;32>31>;32>31>30>;41>2>;41>7>;41>14>;41>30>;41>31>;41>31>30>;41>31>30>30>;41>41>;41>41>31>;41>41>41>;41>41>41>41>;41>41>41>41>41>;41>41>41>43>;41>41>43>;41>41>43>44>;41>43>;41>43>44>;41>43>44>44>;41>43>44>44>44>;41>44>;41 43>;41 43>44>;41 44>;41 48>;43>41>;43>44>;43>44>14>;43>44>44>;43>44>44>44>;43>44>44>44>44>;43>44>44>44>44>44>;44>14>;44>14>41>;44>14>43>;44>14>43>44>;44>41>;44>43>;44>44>;44>44>14>;44>44>14>41>;44>44>44>;44>44>44>14>;44>44>44>44>;44>44>44>44>14>;44>44>44>44>44>;45>43>;48>29>;48>30>;48>48>;49>49>;
31165-4448;1;1;;;9;5;3;35;2;1;;17;28;3;18;;1;1;;1;;;;;;;;;;;1;;;;;;;;7;1;;;1;;1;;1;3;9;4;2;1;;3;;1;1;;;;9;3;1;;12;;7;2;;;;;;;;1;1;1;1;5;;2;1;;1;5;3;1;1;;2;1;;5;8;;3;2;1;2;2;1;1;2;1;;3;;3;2;1;1;;;3;1;;5;;2;1;1;;;;1;1;;;;;;;;;1;1;;;;;1;;;;;;;;;;;;;;;;;;;
27760-4434;;1;;;;;;6;;;;6;3;;8;;1;1;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;1;1;;;;1;;;;;;;2;;1;;;;2;;;;;;;;;;;1;1;1;;;;;;;;2;1;;;;;;2;1;;;;;;;;;;;2;1;;;;;;1;;;;1;;1;1;1;1;1;1;1;1;;;;;;;;;1;1;;;;;1;;;;;;;;;;;;;;;;;;;
23668-5490;1;2;;3;2;2;;11;;;;7;4;;10;;2;3;;1;;;;;;1;;;;;1;2;1;1;;;;1;;1;;1;;;1;;;;2;1;;;;1;;;;;;;4;1;1;;;;4;;;;;;;1;;;;;;2;;;;;;2;1;1;;;;;;;2;;;;;1;;;;;;;2;;;;;1;;;;;;1;;;;;;;;;;;;1;2;1;;;;1;;1;1;;;;;;;;;1;;;1;;;;;;;;;;
27455-6030;;;;;;2;;1;;;;;;;4;;2;1;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1;;;;;;;;;;1;1;1;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;
27455-5061;1;1;;;1;;;4;;;;;;;3;;;;;1;;;1;;1;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15016-4433;;;;;2;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22977-5799;;;2;;;1;;9;;;;4;4;;7;;2;;2;;;;;;;;;;;;;;;;;;1;;;;;;1;;;;;1;;;;;;2;;;;;;;3;;1;1;2;1;4;;1;;;;1;;;;;;;;;;;;;;;1;;;;;1;;1;;;;;;;;;;;;1;;;;;;1;;1;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28164-4114;1;4;6;1;3;2;;24;;;;4;5;3;17;4;2;;2;1;2;;;;;1;1;2;;;1;2;2;3;1;3;2;1;1;1;1;;1;;;4;1;1;;;;;;;;;;;1;;3;;;1;2;;11;;;;;;;;;;;;;;;;;;;1;;;;;;;1;;1;;;;;1;;;;1;;2;;;3;1;1;1;1;;;;;1;;;;;;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30985-4433;2;3;;2;3;5;2;16;;1;5;6;11;;17;;4;3;;2;6;3;2;1;1;;;;;;2;2;1;1;;;;1;;1;;1;1;;;;1;1;3;;;;;3;;2;;;;;1;;;;;;6;;1;;2;;2;;;;1;;;1;;;;;;;;;;2;3;;;;1;;;;;;;1;;;;6;1;;;;;2;;;2;1;;4;1;;;;;;;;;;;1;4;1;1;;;1;;1;1;1;1;1;1;;;;;2;1;1;2;1;1;1;1;;4;;2;1;
22433-4434;;1;;;;;;16;1;;;2;8;;13;;3;4;;;6;;;;;;;;;;;1;1;1;;;;;;;;;;;;;;;3;;;;1;3;;;;;;;;;;;1;1;9;1;3;;2;;2;2;4;1;;;;;;;;;;1;;;;;;;;1;2;;;;;1;;3;1;;2;;2;;;;;;;;2;;;6;;1;1;;;1;1;1;1;1;1;;2;;;2;;1;;1;1;1;1;1;;;;;;2;1;;2;1;1;1;1;;;;1;;
27747-5061;;8;;;11;2;;19;;1;;6;6;;25;;6;7;;;4;;;;;1;;;;1;;3;1;5;;;;;2;2;5;;;;1;;1;;2;1;;;;4;;2;1;;;;2;;1;;2;;6;;;;1;2;1;3;;;;1;;1;;;;;;;;1;;;;;;;2;;1;;;;;1;1;;;1;;;;;;;;;1;;;7;1;3;1;1;1;1;;4;2;1;1;1;2;1;2;1;1;3;1;1;1;1;;2;2;;;;;1;1;1;1;1;1;1;;;;1;;;
22612-4603;;;;;;;;6;1;;;6;5;;5;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;1;;;;;;;3;;;1;1;;3;1;1;;;;;;1;1;;;;2;;;;;;;;;;;1;;1;;2;;1;;;;;;;;;;1;;;;;;;;2;2;1;1;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;1;;;
26940-4435;4;13;;4;;3;2;50;3;;;19;28;;59;3;13;21;4;4;3;;3;2;2;1;;2;2;1;2;5;3;6;;;;2;;;;2;;;1;;1;;10;3;;;1;6;1;3;3;2;3;2;8;;1;1;1;;25;3;2;;;;;3;1;1;;;;4;;3;2;1;;1;;2;2;;1;;1;2;7;;2;2;2;1;;3;1;;;1;5;;;;1;1;1;;8;3;;11;3;5;3;;1;2;1;4;3;;;3;4;3;2;1;;9;2;6;3;2;;7;1;3;2;;;9;4;1;5;3;3;2;;2;;1;;;
27780-7297;;;;;;;;1;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28173-4433;1;2;;;2;2;;22;1;;;5;9;1;17;;1;3;;1;10;4;;;;;;;;1;;;;;;;;;;2;;;;;;;1;1;3;1;;;1;5;1;1;;;;;1;;;;3;;9;1;2;1;;;1;2;4;;;1;;;;;;;;;;1;;;;;;;3;;;;;;;1;;;2;1;1;1;;;1;;;1;4;1;;2;;1;;;;;;;;;;;;;;;;1;;;;;;;;;;1;;;;;;;;;;;;1;4;2;
27780-5799;1;1;;;;1;;12;1;2;;4;5;;10;;1;1;;1;;1;1;;1;1;;1;;;;;;;;;;;;;;;1;;1;;1;;1;;;;;1;;1;1;;;;1;;;;3;;6;1;;;;;;;;1;2;;;1;;;;;;;;;;;;;;;1;;;;;;;1;1;;1;;;;;;;;1;;1;;;2;;1;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
26616-7114;1;4;1;;2;1;;17;;;;15;10;;10;1;3;1;;1;1;1;1;;1;;;;1;;;3;;1;;;;;;1;1;;;;;1;1;2;5;1;;;;3;;;;;;;6;1;;1;3;1;5;1;2;;;;1;;1;;;1;1;5;1;2;1;1;1;2;1;1;;;4;2;1;1;3;;3;1;1;1;1;;;;;;1;;;;;;;;1;;;2;;;;;;;;1;;;;;1;;;;;;;;;;;1;;;;;;1;1;;;;;;;;;;;1;
16014-6590;;;;;;;;1;;;;;1;;2;;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;;;1;;;;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1;1;1;1;;;1;1;;;;;1;;1;1;;;;;;;;;;;;;;;;
27928-5384;;;;;;1;;4;;;;;1;;2;;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;1;1;;;;;;;1;;;;;;;1;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;;;;;1;1;1;1;1;1;1;;1;1;;;1;1;;1;1;1;1;1;;;;;;
22135-4114;;4;1;;;;;9;;;;13;7;;11;;2;2;;;;;;;;;;;1;2;;;;;;;1;;;;;;;;2;;;;2;1;;1;;1;;1;;;;;5;1;1;1;;;2;;;;;;;;;;;1;;4;1;2;1;1;;2;1;2;2;;;;1;;3;;2;1;1;1;1;1;;;1;;1;;;;;;1;;1;1;1;3;1;1;1;1;;;;;;;;1;1;1;;;;2;;2;;;;1;;;;;;2;1;;;;;;;;;;;;
27482-4435;;3;2;2;;3;;26;;1;2;13;13;1;21;;4;4;;;5;2;;;;1;1;;;;;1;;;;2;;1;;;;1;;;;;2;;3;2;1;;;6;;2;1;1;;;2;1;;;3;;8;;3;2;;;;;1;;1;3;1;4;1;1;1;;;4;1;;;2;2;;3;1;5;1;1;;;2;;3;2;1;1;;5;1;;;1;1;1;2;1;1;;4;;3;1;1;2;2;1;2;1;1;;;;;1;1;;3;2;1;;;;3;3;;;;;2;2;2;;;;;;;1;1;;2;
18444-5384;;3;3;;;1;1;8;;;;;;;9;;;;;1;;;;;;;;;;;1;;;;3;;2;;;;;;1;;;3;;1;;;;;;1;;;;;;;;;;;;;6;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28177-4114;;2;;;2;1;;17;;;;1;3;;11;;6;7;;;7;1;;;;;;;1;;;2;1;1;;;;;;2;;;;;;;1;;1;;;;;2;;;;;2;1;;;;;2;2;5;;1;;;;;3;4;;;;;1;;1;1;1;;;;;;;;;;;;;;;;;;;;;;;2;;;;;1;;;;;;2;;;;;;;;3;2;;;;3;;;2;;2;1;;;;;3;;1;;1;;;;;;;;;;;;;1;;
27403-4435;1;12;;3;;2;;37;3;;1;24;24;;22;;5;9;;1;4;3;;1;;;;;;2;;7;2;2;;;;1;;;;1;1;;1;;;1;1;;;;;6;;3;;;;;9;1;1;;10;4;11;;2;1;1;2;2;5;1;1;;;;4;;1;1;1;;3;;1;;1;1;;;2;5;;2;1;1;;;1;1;;3;;7;1;;;;;;1;4;1;1;5;2;1;;;;1;;2;2;1;;;1;;2;;;2;;1;;;;1;1;;;1;;1;1;1;;;;;;;;;1;2;
31359-6590;;14;5;;;4;;26;;;1;6;10;6;12;;5;5;2;;3;2;;;;;2;2;;2;;8;;;;1;1;;;;;;3;;2;1;;2;2;1;;1;;3;1;;;;2;1;;;;;2;;3;;;;;;;2;;;;1;;;;;;;;5;1;;;;1;;;1;4;1;;;;3;;1;;6;;1;2;;3;2;;;1;;2;;;1;;;;;;;;1;;;;;1;;;;;3;2;1;;;;2;1;;;;2;1;;;;;;;;2;1;;;;
26930-4433;;2;2;2;;1;;12;;;;15;10;;10;;4;4;;;2;1;;;;;;;1;;;1;;;1;;;1;;;;;;;;2;;2;4;3;2;;;1;;1;1;1;2;2;1;;;;2;;2;;;;;;;1;1;;;4;1;6;3;;;;;;;1;1;;1;;1;1;7;1;3;;;;;;;;1;;1;1;;;;;;1;2;2;;3;;1;1;;;1;1;2;1;1;;1;1;1;;1;;2;1;1;1;;;2;;2;2;1;;3;2;;2;1;1;;1;;;;;1;
22659-5490;1;6;2;2;1;2;;24;1;;;10;9;;22;1;5;6;1;1;2;2;1;;1;1;;;1;1;;3;1;3;;1;1;1;;1;;1;;;;1;1;2;6;4;3;;;4;;2;1;;2;1;4;2;;;1;;10;1;1;1;;;;2;1;1;;1;1;3;;;;;;3;;;;;;;;;4;1;3;;;;;;;;;1;1;;;;2;;1;;1;1;;3;;2;1;1;1;2;2;3;3;3;3;1;2;1;;;1;4;;3;3;1;1;1;1;;;1;;3;1;1;3;;1;;1;1;;1;;1;
17491-4917;;3;;;9;1;;15;1;;;10;8;;9;;6;5;;;1;;;;;;;;;;;2;1;1;;;;;2;1;2;;;1;;;;1;4;1;;;2;;;;;;1;1;2;;;;1;;4;1;;;1;;2;2;;;;2;2;1;;;;;1;4;1;;;;1;;;3;3;2;1;;;1;1;3;2;;;;1;;;;;;1;;1;;;;;;;;;;;1;1;1;1;1;2;1;;;;3;;3;3;2;1;;;;;;2;3;;;3;;2;;1;;;;1;;
25326-5490;;1;;;;;;1;;;;3;1;;1;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;1;;1;1;;;;;;;;;;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28136-4114;;;;;1;1;;5;;;;2;1;;4;;1;;;;;;;;;;;;;;;;;;;;;;;1;;;1;;;;;;1;;;;;1;1;;;;;;1;;;;;;2;;;;;;;;;;;1;1;;;;;;;;;;;;;;;1;1;1;;;;;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27820-4603;;1;;;;1;;10;1;;;5;4;;10;;3;3;;;;;;;;;;;;;;;;1;;;;;;;;;;1;;;;;2;2;1;;;2;;1;;;1;;1;;1;1;1;1;3;;2;1;;;1;1;;;;1;;1;;1;;;1;1;;2;1;;;;2;;3;1;1;1;;;;;;;;;2;1;;;;;2;1;;;;3;;1;;;;;;1;;;;;;;;;;;;;;;;1;;1;;;;1;1;;;;;;;;;;;;
