aluno;1>;2>;3>;5>;6>;7>;8>;14>;16>;17>;29>;30>;31>;32>;41>;42>;43>;44>;45>;46>;48>;49>;1>46>;2>1>;2>2>;2>14>;2>31>;2>31>30>;2>41>;2>46>;2 14>;2 14>31>;2 14 41>;2 41>;5 14>;6>6>;6 14>;7>5>;7 14>;7 41>;14>2>;14>7>;14>7>5>;14>14>;14>30>;14>31>;14>31>14>;14>31>30>;14>31>30>14>;14>31>30>14>31>;14>31>30>30>;14>31>30>30>30>;14>31>30>31>;14>31>31>;14>41>;14>41>31>;14>41>41>;14>41>41>41>;14>43>;14>43>44>;14>43>44>44>;14>48>;14>49>;14 30>;14 30>31>;14 30>31>30>;14 30>41>;14 30 31>;14 31>;14 31>31>;14 31 41>;14 41>;14 41>31>;14 41>41>;14 41>41>41>;14 41 43>;14 43>;14 44>;14 48>;14 48>31>;14 49>;16>31>;16 31>;17>30>;17 30>;17 30>30>;30>14>;30>14>31>;30>14>31>30>;30>30>;30>30>14>;30>30>30>;30>30>30>30>;30>30>30>30>30>;30>30>30>30>30>30>;30>30>31>;30>31>;30>31>14>;30>31>30>;30>31>30>30>;30>31>30>31>;30>31>30>31>30>;30>31>30>31>30>31>;30>41>;30 31>;30 31>30>;30 41>;30 48>;31>14>;31>14>31>;31>30>;31>30>14>;31>30>14>31>;31>30>30>;31>30>30>30>;31>30>30>30>30>;31>30>31>;31>30>31>30>;31>30>31>30>31>;31>30>31>30>31>30>;31>30>31>30>31>30>31>;31>31>;31>31>30>;31>41>;31>48>;31 41>;31 41>30>;32>31>;41>2>;41>7>;41>14>;41>30>;41>31>;41>31>30>;41>41>;41>41>31>;41>41>41>;41>41>41>31>;41>41>41>41>;41>41>41>41>41>;41>41>41>41>41>41>;41>41>43>;41>41>43>44>;41>41>43>44>44>;41>43>;41>43>44>;41>43>44>44>;41>44>;41 43>;41 43>44>;43>41>;43>44>;43>44>14>;43>44>44>;43>44>44>44>;43>44>44>44>44>;44>14>;44>14>41>;44>14>43>;44>43>;44>44>;44>44>14>;44>44>44>;44>44>44>14>;44>44>44>44>;44>44>44>44>14>;44>44>44>44>44>;46>1>;48>14>;48>29>;48>30>;48>31>;49>49>;
29016-5061;1;2;1;;;;;14;;;;3;3;;7;;7;9;1;1;;;1;;;;;;;1;1;;;;;;;;;;;;;;;2;;1;;;;;1;;1;;1;1;1;;;;;1;;;;;;;;4;;1;1;;2;4;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;2;;;;;;2;;;;;;;;;;;;;;;;;;1;;1;;1;;;;;;;;;2;2;2;;2;;;;;1;;;1;1;;1;;1;;;;;;;;;
31191-4434;3;6;1;10;;7;1;39;;1;2;22;23;6;20;1;6;7;3;3;8;2;2;1;;1;;;1;2;2;;1;1;2;;;5;2;;3;3;3;2;;13;;8;1;1;2;;3;;3;;;;1;1;1;;1;6;2;2;;;8;2;2;6;1;;;;1;3;2;;1;;;;1;;2;2;1;5;1;1;1;1;;1;6;;4;2;;;;;3;1;;1;1;;12;1;1;3;1;1;4;2;;;;3;1;;;5;2;4;;;1;2;1;1;3;;1;;;;;1;1;;3;2;;;1;;;3;1;1;1;1;2;;;;2;1;1;;1;;1;1;1;1;1;;;
30777-4433;2;14;;;;;;21;;;;2;2;;9;;3;4;1;2;2;1;;1;;2;;;;1;12;;3;3;;;;;;;1;;;1;;1;;;;;;;;;2;;;;;;;1;;1;;;;;1;;1;7;;;;;2;1;1;;1;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1;;;2;1;;;2;2;1;1;1;1;1;2;;;;;;
23467-4433;;;;;5;1;;5;;;;3;3;1;1;;1;1;1;;2;;;;;;;;;;;;;;;1;;;1;;;;;;;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;2;1;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;1;1;;
30940-4435;2;10;;2;1;2;2;44;3;;;9;21;;48;1;6;9;1;3;5;;;;1;;;;2;1;6;;4;5;;;;1;;;2;;;2;1;7;;4;;;2;2;1;;8;;3;2;3;3;3;2;;2;1;1;;;4;;1;23;2;5;3;;;2;;;;2;1;;;;2;2;1;2;1;2;1;;;;2;;1;;1;1;1;;;;;;4;;7;2;2;2;2;1;1;1;1;1;1;3;1;2;1;6;1;;1;1;2;1;5;2;10;2;4;2;3;1;1;1;1;1;1;1;1;;2;;;3;;3;3;1;3;;2;;4;2;3;1;1;1;;1;3;;;;;
18398-5384;1;5;1;;;3;2;30;;;2;11;11;;26;;7;9;;1;3;1;;;;;;;1;1;;;;1;;;;;2;;3;1;;2;;4;;2;;;;;;;4;;1;;;;;2;1;6;1;;;;1;;;12;;2;;;1;4;;;;;;;;;1;1;1;3;;;;;;;1;;;;;;;;2;1;1;;;;5;;;2;;;;;;;;1;1;;;1;;;;;1;;;;4;;;;;;;1;1;;3;1;;;2;;1;1;;;;;;;;;2;;1;;1;;;1;1;1;;;;
31031-5384;1;2;;;;1;;36;1;8;;43;33;;15;;1;1;;1;3;;;1;;;1;;;;1;1;;;;;;;;;;1;;;1;17;1;7;2;2;2;1;;;3;1;;;;;;;;22;10;5;3;4;6;;1;5;1;;;;;;2;1;;1;;3;7;3;4;4;1;11;2;3;3;;;1;11;;5;1;;;;3;7;1;1;;2;1;12;3;3;6;3;2;;;;;;1;;1;;5;1;;;;;1;2;;;;;;;;;;;;1;1;;;;;;1;1;;;;1;1;;;;;;;;;;1;;;;1;;
30705-5799;;;;2;5;2;;8;1;1;;8;7;;1;;1;2;;;;;;;;;;;;;;;;;1;2;1;1;;;;2;1;;;4;;4;2;2;1;1;;;1;;;;;;;;;3;1;1;;;1;;;1;;1;;;;1;;;;;1;;1;;2;2;2;1;;1;;;;;1;;1;;;;;;1;;;;;;4;2;2;1;1;;;;;;;;;;;;;;;;;;;;1;;;;;;;1;1;1;1;1;1;;;;;1;;1;1;1;;;;;1;;1;;1;;1;;;;;;;
22525-4435;1;3;;2;;1;;10;;;;5;5;;5;;2;1;;1;;;;;;1;1;1;;1;1;1;;;1;;;1;;;2;;;;;1;;1;;;;;;;1;;;;;;;;;1;;;;;1;;;4;;1;;;;;;;;;;;;;;;;3;;;;;;;;;;;;;;;1;1;;;;;4;;;2;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;1;;;;;;
30807-5489;1;9;1;5;;4;;36;;;;6;11;;37;;7;6;;1;6;;;;;2;1;;;1;5;1;1;1;2;;;2;1;2;3;;;2;;4;;1;;;;;;2;5;;1;1;2;1;1;;;2;;;;;4;1;2;22;;2;1;1;2;1;2;;;;;;;;;;;2;;;;;;;;;;;;;;1;;;2;;;;2;;;1;;;;;;;;3;1;2;2;3;;;2;1;2;;2;;9;1;6;1;3;;;1;;;3;1;1;;1;;1;2;1;2;2;1;2;;1;;3;1;2;;1;;;1;;;;1;;
