aluno;1>;2>;3>;5>;6>;7>;8>;14>;16>;29>;30>;31>;32>;41>;43>;44>;45>;46>;48>;49>;1>46>;2>2>;2>3>;2>3>2>;2>14>;2>14>2>;2>31>;2>41>;2>41>41>;2>46>;2>46>1>;2 14>;2 14>31>;2 14>41>;2 14 31>;2 14 41>;2 31>;2 41>;3>2>;3>2>14>;5 14>;6>6>;6>6>6>;6>6>6>6>;6 7>;6 14>;7>5>;7 14>;7 41>;14>2>;14>2>3>;14>2>14>;14>3>;14>14>;14>30>;14>31>;14>31>30>;14>31>30>14>;14>41>;14>41>31>;14>41>41>;14>41>41>41>;14>43>;14>43>44>;14>48>;14 30>;14 30 41>;14 31>;14 31 41>;14 41>;14 41>41>;14 41>41>41>;14 41 43>;14 43>;14 44>;14 48>;16>31>;16>31>14>;16 30>;16 30>31>;16 31>;30>14>;30>30>;30>30>30>;30>30>30>30>;30>31>;30>31>30>;30>41>;30 31>;30 31>30>;30 41>;31>14>;31>30>;31>30>14>;31>30>30>;31>30>30>30>;31>30>30>30>30>;31>30>31>;31>30>41>;31>31>;31>41>;31 41>;41>2>;41>14>;41>30>;41>31>;41>31>30>;41>41>;41>41>31>;41>41>31>30>;41>41>41>;41>41>41>41>;41>41>41>41>41>;41>41>43>;41>43>;41>43>44>;41>44>;41>44>44>;41>44>44>44>;41>44>44>44>44>;41 43>;41 43>44>;41 43>44>44>;41 43>44>44>44>;41 43>44>44>44>44>;41 44>;41 48>;43>44>;43>44>44>;43>44>44>44>;43>44>44>44>44>;43>44>44>44>44>44>;44>14>;44>14>41>;44>14>43>;44>41>;44>44>;44>44>14>;44>44>14>41>;44>44>44>;44>44>44>14>;44>44>44>44>;44>44>44>44>14>;44>44>44>44>44>;44>44>44>44>44>44>;46>1>;48>14>;48>48>;48>49>;
21513-5384;;1;;;4;1;;8;3;;1;5;;7;1;1;;;;;;;;;;;;;;;;1;;;;1;;1;;;;;;;;1;;;1;;;;;;;;;;1;;;;;;;;;;;2;;;;;;;2;1;1;1;1;;;;;1;;;;;;2;;;;;;;;;;1;;;;;;;;;;;;;;;1;1;;;1;1;1;;;;;1;1;;;;1;;;;1;1;;;;;;;;;;;;
25326-4114;1;5;;1;;;;7;;;;1;1;7;3;3;;1;2;;;1;;;;;;;;1;1;3;;;;;;1;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;1;1;2;;;1;2;;1;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;1;;;;;;1;;;;;;1;;;;;;;;;1;1;;;;;;;;;1;;;;
16014-5799;;4;;1;;1;;5;;;5;5;;5;2;2;;;;;;;;;;;1;;;;;2;;;;1;1;1;;;;;;;;;1;;;;;;;;1;;;;;;;;;;;1;;1;;1;;;;;;;;;;;;;;;;1;1;2;;;;;2;;;;;;1;;;;;;1;1;1;2;1;1;1;1;1;;;;1;1;;;1;1;1;;;;;2;1;1;1;1;;;;1;2;;;1;;1;;1;;;;;;
26930-4433;;4;4;;;;;15;2;4;8;8;2;7;1;;1;;7;;;1;2;1;;;;2;2;;;3;;1;;;;1;2;;;;;;;;;;;1;1;;2;;;2;1;1;3;;1;1;;;1;2;;;;2;1;;;;;3;2;;1;1;1;2;2;1;1;3;1;1;;;1;;4;1;1;1;1;;;1;;;1;1;;1;;4;;;2;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;2;;;
22957-6590;;1;;2;;1;;6;1;;2;5;;6;1;2;;;;;;;;;;;;;;;;1;;;1;1;1;1;;;1;;;;;;1;;1;;;;;;;2;1;1;;;;;;;;1;1;2;1;3;;;;;;;1;1;1;1;1;1;;;;1;;;2;;1;1;1;1;;;;;;1;;1;;;;;;;;;;;;;;;1;1;;;1;1;1;;;;;1;1;;;;;;;;2;;;;;;;;;;;;;
17491-5799;;1;;;;;;9;;;;1;;7;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;;3;1;;;;;;1;;6;3;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;;3;1;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
21955-4603;;4;;2;3;2;;27;;;4;4;;24;10;13;1;;1;;;;;;2;;;;;;;3;;;;;;1;;;;1;1;;1;;1;;1;;;;;2;;1;1;1;9;2;4;3;1;;;2;;1;;11;2;1;2;3;3;;;;;;;1;;;;1;1;1;;;;;2;1;;;;;;;;;;4;;2;1;6;;;5;1;;;1;;5;4;4;3;6;5;4;4;3;1;;6;5;5;4;3;3;1;;;6;3;1;6;3;5;3;3;2;;;;;
21283-7297;;5;;;;1;;16;2;;7;9;;19;7;6;;;1;;;;;;1;;1;;;;;4;1;;2;2;2;3;;;;;;;;;;;1;;;;;;;2;2;;2;;1;;1;;;2;1;3;1;5;;;;1;;;1;;1;1;;;1;;;1;;1;;;1;;2;;;;;;;1;2;2;;3;;;;4;;;2;1;;3;3;1;1;1;1;1;1;1;1;1;1;;;3;3;1;1;;3;;1;;4;3;;2;2;1;1;;;;;;;
22659-5490;2;12;;3;14;2;;14;;;;1;;15;5;3;;3;2;;1;;;;;;;4;2;2;1;6;;3;;3;;5;;;;6;4;2;;1;1;;1;1;;;;;;;;;4;;2;;1;;;;;;;9;3;2;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;1;;6;1;;4;3;2;2;4;;;;;;1;;;;;;;;;;;;;;;2;2;;;2;;2;;2;1;1;;;;
24407-6030;;5;;2;2;6;1;17;1;;8;8;;14;3;3;1;;3;1;;;;;1;;1;1;;;;3;1;;1;1;1;2;;;;;;;1;1;2;1;;;;;;;1;2;1;;1;;1;1;1;1;;1;;4;1;8;1;1;;;1;1;1;;1;1;;;2;1;;1;;1;1;1;;;4;;1;;;;;1;;1;1;1;1;1;1;4;1;1;2;2;;;1;1;;;;;1;;;;;;1;2;1;1;;;1;;1;;1;1;;1;1;1;1;;;;;2;1;
