aluno;1>;2>;3>;5>;6>;7>;8>;14>;16>;17>;29>;30>;31>;32>;41>;42>;43>;44>;45>;46>;47>;48>;49>;1>2>;1>46>;1 2>;2>1>;2>2>;2>3>;2>14>;2>41>;2>46>;2>46>1>;2 14>;2 14 41>;2 41>;3>2>;5>5>;5 14>;6>6>;6 14>;7>5>;7>5>5>;7>14>;7 14>;7 41>;8>7>;14>2>;14>3>;14>3>2>;14>7>;14>7>5>;14>8>;14>8>7>;14>14>;14>30>;14>31>;14>31>30>;14>32>;14>32>31>;14>41>;14>41>31>;14>41>41>;14>41>41>41>;14>41>41>41>41>;14>41>41>41>41>41>;14>41>41>43>;14>43>;14>43>44>;14>43>44>44>;14>48>;14>49>;14 30>;14 30 41>;14 31>;14 32>;14 41>;14 41>14>;14 41>31>;14 41>41>;14 41>41>41>;14 41>41>41>41>;14 41 43>;14 41 44>;14 41 48>;14 43>;14 44>;14 44>43>;14 48>;14 49>;16>31>;16 31>;30>14>;30>30>;30>30>30>;30>31>;30>31>30>;30>41>;30 31>;30 41>;31>7>;31>14>;31>14>31>;31>30>;31>30>14>;31>30>30>;31>30>30>30>;31>30>31>;31>31>;31>31>30>;31>41>;31>48>;31 41>;32>14>;32>31>;32>31>30>;41>2>;41>7>;41>14>;41>31>;41>31>14>;41>31>30>;41>41>;41>41>31>;41>41>31>14>;41>41>41>;41>41>41>31>;41>41>41>41>;41>41>41>41>41>;41>41>41>41>41>41>;41>41>41>41>41>41>41>;41>41>41>41>41>41>41>41>;41>41>41>41>41>41>41>41>41>;41>41>43>;41>41>43>44>;41>41>43>44>44>;41>43>;41>43>44>;41>43>44>44>;41>43>44>44>44>;41>43>44>44>44>44>;41>44>;41 43>;41 43>44>;41 44>;41 48>;43>14>;43>41>;43>43>;43>44>;43>44>44>;43>44>44>44>;43>44>44>44>44>;43>44>44>44>44>44>;44>14>;44>14>41>;44>14>43>;44>43>;44>43>44>;44>44>;44>44>14>;44>44>14>43>;44>44>44>;44>44>44>14>;44>44>44>14>43>;44>44>44>44>;44>44>44>44>14>;44>44>44>44>44>;44>44>44>44>44>14>;45>43>;46>1>;46>1>2>;47>48>;48>14>;48>29>;48>48>;49>48>;49>49>;
27747-5061;1;9;;7;;5;1;19;;;1;5;4;;16;;7;9;;1;;1;1;1;;;;1;;;1;;;2;;1;;3;1;;;3;2;;1;;;1;;;2;2;;;1;;;;;;3;;2;2;1;;;;;;1;;2;;;;4;;;1;1;1;;;;;3;;;;;;;;;1;;1;;;1;1;;1;;;;;1;1;;;;;;;;;;;;;6;;;4;;3;1;1;;;;1;;;6;2;1;;;;;;;;;2;;3;2;;;;1;;;;;2;;;;;;;;;;;1;1;;;1;;;1;
22433-4434;;2;1;7;;5;;11;;;;2;1;;9;;2;;;;;;;;;;;;;1;1;;;;;;1;2;2;;;4;2;;1;;;1;1;1;1;1;;;;;;;;;;;;;;;;;;;;;1;;;;7;;;;;;;;;;;;;;;;;;;1;1;;1;;;;;1;;;;;1;1;;;;;;;;1;;;;;2;;;1;;1;1;1;1;1;1;1;;;1;;;;;;;;;;;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22612-4603;;1;;;;;;2;;;;2;2;;1;;1;;;;;;;;;;;;;;;;;1;1;1;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;1;;;;1;;;;;;1;;;1;;;;;;;;;;1;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13346-4434;;2;;;1;1;;4;;;;;;;2;;3;3;;;;;;;;;;1;;;;;;;;1;;;;1;;;;;;;;1;;;;;;;1;;;;;;;;;;;;;2;1;1;;;;;;;1;1;;;;;1;1;;1;3;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;2;;1;;1;;;1;1;1;;;1;;1;1;1;1;;;1;;;;;;;;;;;;;;;;
18444-4114;3;8;2;;;1;1;7;;;;;;;4;1;;;;3;;1;;2;2;2;2;1;1;2;;1;1;4;1;1;;;;;;;;;;;1;2;;;;;1;1;1;;;;;;2;;1;;;;;;;;;;;;;;3;;;1;1;;;;1;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1;;;;1;;;1;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;2;2;;;;;;;
26940-4435;1;19;7;5;7;11;5;81;1;2;2;14;27;11;50;2;9;8;2;1;11;32;16;1;;;;4;1;3;;1;1;5;;2;4;1;;1;4;3;1;;3;;2;4;2;2;2;1;1;1;4;2;7;2;4;1;9;2;4;1;1;1;1;;;;6;11;3;1;2;1;20;2;3;3;;;;;;1;;;9;3;1;1;1;4;;4;2;;;1;2;8;;5;;2;;2;4;;2;5;5;3;5;1;3;2;5;7;5;;19;4;3;7;1;3;2;2;1;1;1;4;3;2;4;3;2;1;1;;1;;;;;;;6;5;3;1;1;2;;;1;;6;2;;3;2;;1;1;1;1;1;1;1;9;7;1;7;7;4;
24082-4114;1;3;2;;;;;5;;;;;;;13;;;;;1;;;;;1;;;;;;1;;;2;1;1;;;;;;;;;;;;;1;;;;;;;;;;;;2;;2;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;;;1;;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
21283-6895;;2;1;;;;;11;;;;1;4;1;16;;2;2;;;;;;;;;;;1;;;;;1;;;;;;;;;;;;;;;1;;;;;;1;;;;;;3;;1;1;1;1;;1;1;1;;;;;;;4;;;;;;;;;;;;;;;;;;;;;;1;;;1;;;;;;;;;1;;2;1;;;;;2;;;;4;;;4;;2;2;1;1;1;1;;;;2;2;1;1;1;;;;;;;;;2;1;1;1;;2;2;1;;;1;1;1;1;1;1;1;1;;;;;;;;;;;;
26616-7114;1;3;;2;;2;1;16;;;1;4;5;;19;1;4;5;2;1;;2;;;;;;1;;;1;1;1;2;;1;;;;;;1;;;1;1;;1;;;;;;;;;4;;;;5;;1;;;;;1;1;;;;1;1;;;8;;1;1;1;;;;;;2;1;;;;;1;;;1;;;1;1;;3;3;1;;;;1;;;;2;1;;;;;;;1;;;2;;;1;;;;;;;;;;;1;1;1;;;;;;;;;;;4;3;1;1;1;2;1;;2;2;3;2;;1;1;;1;1;1;1;2;1;;;;1;;;;
16014-6590;;1;;;;;;5;;;;;2;;6;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;1;1;1;1;;1;;;;;;;1;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;1;;;;;;1;;;1;;1;1;;;;;;;;1;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
21380-4114;;;;3;1;1;;4;;;;3;4;;5;;3;3;;;;;2;;;;;;;;;;;;;;;1;1;;1;1;1;;;;;;;;;;;;;;;;;;2;;1;;;;;;;;;1;;;;;;;;;;;;;;1;1;;;;;;1;1;1;;;;1;1;;1;;1;;1;1;;;;;;1;;;;;1;;2;;1;2;2;;1;1;1;;;;;;;;;;;;;;1;1;1;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;
27482-4917;;1;;;;2;;8;;;;1;2;;7;;3;5;;;;2;;;;;;;;;;;;1;;;;;;;;;;1;;;;;;;1;;;;1;;1;;;;2;1;1;;;;;;;;;;;;;;4;;;;;;1;;1;1;;;1;;;;1;;;;;;;;;;;1;1;;;;;;1;;;;;;;2;1;1;;1;2;;;;;;;;;;;;;;;;;;;;1;;;2;;;1;2;2;1;1;;2;1;;;;3;;;1;;;1;;;;;;;;1;;;;;
22135-4114;;4;1;;4;3;4;17;1;1;;5;4;3;8;;2;2;;;;3;;;;;;1;1;1;;;;1;1;1;1;;;2;;;;;;;1;1;;;;;1;1;;3;2;1;1;;;;;;;;;1;1;1;1;;2;;1;;4;;;;;;;;1;1;1;;1;;1;1;4;2;;1;;;;;;1;;3;2;;;1;1;;;;;1;;;1;;1;;;;1;;;1;;;;;;;;;;;;;;;;;1;;;2;1;;;1;1;1;;;;;;;;1;;;1;;;;;;;;;;;;;;;;
27482-4435;1;10;2;4;;2;;18;;;2;8;6;1;17;1;3;1;1;1;;2;;;;1;;3;;2;2;;;5;2;3;1;;2;;;2;;;;;;2;1;1;1;1;;;1;;1;1;1;1;1;;1;1;1;1;;;;;;;2;1;1;;6;1;;;;;;;;;;;;;;;;1;;3;2;1;;1;;;;4;;;;2;;;;;2;;1;1;2;;2;1;;1;5;1;;4;1;3;3;3;3;2;2;2;1;1;3;1;1;1;1;;1;;;;;1;2;1;1;1;1;1;1;1;;1;1;1;1;;1;1;;1;1;1;1;1;;;;;1;;;;
18444-5384;1;4;3;;;;;10;;;;1;4;;6;;;;1;1;;2;2;1;;;;;;1;;1;1;2;;;;;;;;;;;;;;1;2;;;;;;;;1;;;;1;;;;;;;;;;1;1;;;;;3;;1;;;;;;;;;;1;1;;;;1;;;;;;;;1;;1;;1;;;1;;2;;1;;;;1;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;1;;;;;
27403-4435;2;14;3;4;3;5;;43;;2;;8;13;2;29;1;11;16;1;2;;8;3;1;1;;1;;2;3;1;;;6;1;4;;1;1;2;;;;1;3;2;;1;;;;;;;6;1;;;;;4;;2;;;;1;3;1;1;4;;3;1;4;1;14;1;;1;;;;1;2;1;7;1;4;2;;;;2;1;3;1;;1;1;1;3;;2;;;;1;1;1;;;3;;1;;;;3;1;;;7;;;1;;1;;;;;;2;1;1;3;1;1;1;;2;2;2;1;2;1;;3;6;5;4;2;2;5;;1;1;1;7;3;1;5;2;1;2;1;2;1;;1;1;;4;;2;;;
21513-5384;;4;;2;;2;;9;;;;5;6;;6;;5;8;;;;;;;;;;;;1;;;;1;;2;;;;;;1;;;1;;;1;;;1;1;;;;;2;1;;;1;1;;;;;;1;;;;;2;;;;1;;;;;;;;;1;1;;;;;;;1;1;;;2;;;;;;4;;1;1;;;;;;1;;;;;;;1;;1;2;;;2;;1;1;1;;;;;;;;;;;;;;;;;;;;1;;;;;2;;1;;;3;2;1;2;2;1;1;1;1;1;;;;;;;;;;
25326-4114;;2;1;2;;1;;11;;;;1;4;2;7;;1;;1;;;1;;;;;;;;1;;;;1;1;1;;;1;;;;;;1;;;;1;;;;;;;;2;1;;;;;;;;;;;;;;;;;1;1;6;;1;;;;;;1;1;;;1;;;;;;;;;;;;;;;1;;;;;;;;;1;1;1;;;;;1;;1;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
26930-4433;;2;;;2;3;;11;;;;;3;;13;1;2;3;;;;2;;;;;;;;1;;;;1;1;1;;;;;2;;;1;2;2;;1;;;1;;;;1;;;;;;5;;3;2;2;2;1;1;1;;1;;;;1;;7;1;;3;3;2;;;;;1;;1;;;;;;;;;;;;;1;;;;;;;;;2;;;;;;1;;1;1;1;;6;1;1;5;1;3;3;3;1;1;;1;1;1;2;2;1;1;1;;;;;;;;;2;1;1;1;1;2;1;1;;;1;1;;1;1;;1;1;1;1;;;;;;;;;;
