aluno;1>;2>;3>;5>;6>;7>;8>;14>;16>;17>;29>;30>;31>;32>;41>;43>;44>;45>;46>;48>;49>;1>46>;2>1>;2>2>;2>14>;2>31>;2>41>;2>46>;2>46>1>;2 14>;2 14>31>;2 14 41>;2 31>;2 41>;5 14>;6>6>;6 14>;7>5>;7 14>;14>2>;14>7>;14>7>5>;14>14>;14>30>;14>31>;14>31>14>;14>31>30>;14>31>30>14>;14>31>30>30>;14>31>30>31>;14>31>31>;14>41>;14>41>41>;14>41>41>41>;14>41>41>41>41>;14>43>;14>43>44>;14>49>;14 30>;14 30>31>;14 30>31>30>;14 30 31>;14 31>;14 31>31>;14 31 41>;14 41>;14 41>31>;14 41>41>;14 41 43>;14 43>;14 44>;14 48>;14 49>;16>31>;16 31>;17>30>;17 30>;17 30>30>;30>14>;30>14>31>;30>14>31>30>;30>30>;30>30>14>;30>30>30>;30>30>30>30>;30>30>30>30>30>;30>30>31>;30>31>;30>31>30>;30>31>30>31>;30>31>30>31>30>;30>31>30>31>30>31>;30>41>;30 31>;30 31>30>;30 41>;31>14>;31>14>31>;31>30>;31>30>14>;31>30>14>31>;31>30>30>;31>30>30>30>;31>30>30>30>30>;31>30>31>;31>30>31>30>;31>30>31>30>31>;31>30>31>30>31>30>;31>30>31>30>31>30>31>;31>31>;31>31>30>;31>41>;31>48>;31 41>;31 41>30>;32>31>;41>2>;41>14>;41>30>;41>31>;41>31>30>;41>41>;41>41>31>;41>41>41>;41>41>41>31>;41>41>41>41>;41>41>41>41>41>;41>41>41>41>41>41>;41>41>41>41>41>41>41>;41>41>43>;41>41>43>44>;41>43>;41>43>44>;41>43>44>44>;41 43>;43>44>;43>44>44>;43>44>44>44>;43>44>44>44>44>;44>14>;44>14>41>;44>43>;44>44>;44>44>14>;44>44>44>;44>44>44>14>;44>44>44>44>;44>44>44>44>14>;46>1>;48>14>;48>31>;49>49>;
18607-4917;2;5;;;;;;11;;;;4;4;;10;;;;2;2;;2;2;1;;;;;;4;;1;;1;;;;;;2;;;1;;1;;1;;1;;;;;;;;;;2;1;1;;;;;5;;;;;;1;;;;;;;1;;;1;1;1;1;;;1;1;;;;;;;;;;3;;;1;1;1;;;;;;;;;;1;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28250-4917;1;12;1;3;;2;;43;6;;1;29;36;1;30;3;2;;1;9;;;;;;3;1;1;1;8;2;3;;6;2;;;2;;1;2;2;1;1;11;;4;;2;;3;3;3;3;2;1;;;9;2;;;4;;;8;1;1;;1;1;6;;2;6;;;;2;2;2;9;2;4;2;1;2;6;3;;;;1;3;2;3;1;1;17;;;6;4;1;2;2;;;;9;5;1;;4;3;1;;1;3;5;2;8;;7;;5;1;1;;;;;;;1;1;1;1;1;;;;1;;1;;1;;1;;2;;
29016-5061;;2;;3;11;4;;40;4;4;;18;25;;17;12;15;;;3;;;;;;;1;;;;;;;;1;3;2;1;;1;2;1;;;11;;6;;;;;8;1;;;5;4;;9;5;3;1;10;3;1;6;;1;1;1;5;1;;3;4;2;1;1;2;1;;3;;2;1;;1;6;3;;;;1;2;1;1;1;;10;1;;1;1;;;;;;;5;4;;1;1;;;1;;;1;1;4;;1;;1;1;1;1;2;2;5;2;1;1;7;4;4;4;4;1;;4;4;4;4;4;4;;;;;
31191-4434;5;21;1;18;5;19;2;70;4;;2;23;34;7;56;11;15;2;5;14;2;3;1;2;4;;4;3;2;11;;3;1;3;4;;2;9;3;5;7;5;2;;14;;10;;4;4;;11;4;1;;1;;1;5;2;2;;10;1;3;20;3;2;;1;1;4;1;1;3;;;;2;2;1;7;2;1;1;1;1;7;4;;;;;3;1;1;2;;14;1;;5;1;1;5;2;;;;4;1;1;1;7;1;4;1;3;1;7;4;14;2;4;1;;;;;3;2;5;3;;2;4;;;;5;2;1;3;3;;;;;2;1;;;
30777-4433;2;8;;6;;4;;14;;;;10;9;;22;10;17;1;2;;;;;;1;;;1;1;5;;2;2;2;;;;2;;;1;;1;;;;;;;;;;;;;3;2;;2;;;1;1;;1;3;;;;;3;;;;;;;;;;;2;;1;1;1;;1;1;;;;1;2;;1;;;4;;;2;1;1;;;;;;;;1;;3;1;;;;1;2;2;7;2;6;1;2;1;1;1;3;1;4;2;;3;5;3;2;1;2;;3;5;1;4;1;2;;1;;;;
23467-4433;;5;;;;2;;21;;;2;10;12;;7;2;4;;;7;;;;;1;2;;;;2;2;;1;1;;;;;1;1;1;;;;9;1;2;1;1;;;2;1;;;;;;7;4;2;1;3;1;1;1;;;;;2;3;;;;;;;1;1;;3;;;;;;4;2;;;;;1;;;1;;2;1;1;1;;;;;;;;1;;;;2;;;1;;;;;2;;;;;;;;1;1;1;1;1;1;1;1;;;;;;1;;;;;;;2;2;;
30940-4435;2;14;;4;6;9;5;89;2;9;;51;47;1;70;20;22;3;2;8;2;;;2;3;1;1;1;1;4;;4;;9;;;3;2;;2;1;;1;2;18;;7;1;5;;1;9;3;3;;4;3;1;22;8;4;4;11;1;2;30;2;2;1;3;6;4;;1;;3;8;3;6;6;2;16;4;8;6;;1;10;4;;;;3;7;1;1;1;;16;4;4;11;8;5;;;;;;5;1;2;1;8;1;;4;2;1;7;3;9;3;4;1;2;1;;;2;2;6;6;2;3;12;5;2;2;6;2;5;7;3;2;;2;;1;2;1;2;
18398-5384;2;13;1;;1;4;;50;;;;17;22;1;63;11;13;1;2;3;;2;1;1;1;1;1;;;4;1;2;;6;;;;;1;2;3;;2;2;5;1;2;;1;1;;8;3;;;1;;;2;;;;5;;1;24;2;3;1;2;4;1;;;;;;;1;1;1;6;;3;2;1;1;4;2;2;1;1;2;3;1;2;4;2;10;;;5;2;1;3;2;2;1;1;2;;3;1;5;2;;;2;2;7;3;15;2;6;1;4;2;2;2;3;2;4;2;1;3;3;2;;;2;1;;4;1;1;;1;;;;1;;
31031-5384;1;1;;;;;;50;4;;;21;29;;55;11;11;1;1;1;2;;;;1;;;1;1;1;;;;;;;;;;;;;1;2;6;;4;2;1;;1;12;5;2;2;3;2;;8;;;1;9;1;4;18;1;2;1;2;3;;1;1;4;;;;6;3;1;3;;1;1;;;;;;;;5;1;;5;3;;10;5;3;2;1;1;;;;;;4;2;3;;7;2;;;2;2;7;1;15;3;7;;6;4;2;1;1;1;7;6;3;1;7;5;4;2;6;3;1;6;3;6;3;3;2;1;;;;
30705-5799;;4;;;;;;29;1;1;;24;24;2;21;;;;;1;;;;;1;;2;;;2;;;1;;;;;;;1;;;1;;8;;4;;;1;;4;2;1;;;;;15;3;;3;8;1;1;7;2;;;;;1;;;1;1;1;1;2;2;2;3;1;2;1;1;1;6;;;;;1;6;1;3;;;5;;;2;2;1;1;;;;;2;1;2;;2;;1;1;;;5;2;7;2;4;;3;2;2;1;;;;;;;;;;;;;;;;;;;;;;1;;
