aluno;1>;2>;3>;5>;6>;7>;8>;14>;16>;17>;30>;31>;32>;41>;43>;44>;45>;46>;48>;49>;1>2>;1>46>;1>46>2>;2>1>;2>1>46>;2>2>;2>3>;2>14>;2>31>;2>41>;2>46>;2>46>1>;2 14>;2 14>2>;2 14 31>;2 14 41>;2 30>;2 31>;2 41>;2 46>;3>2>;3>14>;3 14>;5>5>;5 14>;6>6>;6>6>6>;6>6>6>6>;6 14>;7>5>;7>5>5>;7 14>;7 41>;14>2>;14>2>14>;14>3>;14>7>;14>7>5>;14>14>;14>30>;14>31>;14>31>30>;14>31>30>30>;14>31>30>30>30>;14>32>;14>32>31>;14>41>;14>41>41>;14>41>41>41>;14>41>41>41>41>;14>43>;14>43>44>;14>49>;14 30>;14 30>31>;14 30>31>30>;14 31>;14 31 41>;14 41>;14 41>31>;14 41>41>;14 43>;14 44>;14 48>;16>31>;16 31>;16 31>31>;17>30>;17 30>;17 30>30>;30>2>;30>14>;30>30>;30>30>14>;30>30>30>;30>30>30>30>;30>30>30>30>30>;30>30>30>30>30>30>;30>30>31>;30>31>;30>31>30>;30>31>30>30>;30>31>30>31>;30>32>;30>32>31>;30>41>;30 31>;30 41>;31>14>;31>30>;31>30>14>;31>30>30>;31>30>30>30>;31>30>30>30>30>;31>30>30>30>30>30>;31>30>31>;31>30>31>30>;31>31>;31>31>30>;31>41>;31 41>;31 41>30>;32>31>;32>31>30>;41>2>;41>7>;41>14>;41>30>;41>31>;41>31>30>;41>41>;41>41>31>;41>41>41>;41>41>41>41>;41>41>41>41>41>;41>41>41>41>41>41>;41>41>41>41>41>41>41>;41>41>43>;41>43>;41>43>44>;41>43>44>44>;41>44>;41 43>;41 43>44>;43>44>;43>44>44>;43>44>44>44>;44>14>;44>14>41>;44>43>;44>44>;44>44>14>;44>44>44>;44>44>44>14>;44>44>44>44>;45>43>;46>1>;46>1>2>;46>2>;48>14>;49>49>;
18398-5384;2;29;7;;;;;51;6;3;29;28;1;38;6;8;3;2;3;;;;;;;1;3;4;1;4;1;1;24;1;1;6;3;1;6;1;1;;2;;;;;;;;;;;2;;3;;;1;1;5;3;1;;1;;6;2;;;;;;6;;;7;;13;;1;1;1;;2;5;1;2;3;2;;;13;;7;4;3;1;2;2;1;1;;;;2;5;1;1;11;;5;2;1;1;;;3;1;1;4;2;;;2;;;2;3;1;9;1;3;2;2;2;2;1;2;2;1;2;3;2;4;1;1;3;2;;1;1;1;1;;2;1;;;;;
31520-5489;1;6;;;;;;14;1;;5;7;;6;2;2;;1;;;;;;;;;;1;;1;1;1;4;;;1;;1;1;;;;;;;;;;;;;;;1;;;;;2;;1;1;;;;;1;;;;1;;;2;;;1;;2;;;;2;;1;1;1;;;;1;2;;;;;;;;;;;;;;;1;;;3;2;;;;;;;1;1;;1;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;1;;;;;
31522-4917;;5;1;;22;2;;21;;;3;3;;21;4;4;1;;2;;;;;;;1;;2;;;;;3;;;1;;;2;;;;;;;9;4;3;3;;;1;1;1;;1;;;;;1;;;;;;2;1;;;1;1;;1;;;1;;9;1;;;1;;;;;;;;;;;;;;;;;1;;;;;;;;1;;2;;;;;;1;;1;;1;;;;;;;1;;1;;3;;1;;;;;1;3;1;;;1;;3;1;1;1;1;;1;1;1;1;;1;;;;;;
27352-6401;2;7;1;;;;;16;;;2;4;1;9;2;5;;2;1;1;;;;;;;;;;;;;4;;;;;;;2;1;;;;;;;;;;;;;;;1;;;;;;;;;;;1;;;;;;;;;;1;;5;;1;;2;1;;;;;;;;1;;;;;;;;;;;;1;1;;;;;2;1;;;;;;;1;1;;1;;1;;;;;;1;1;2;1;1;;;;;;;;;;;;1;;;;;;1;;;;;;;;;;;
30705-5799;1;6;;;;;;25;1;3;24;26;3;16;;;;1;2;;;1;1;1;1;;;2;;;;;2;;;;;;;;;;;;;;;;;;;;;1;1;;;;3;;14;5;1;;;;1;;;;;;;7;5;2;3;;3;1;;;;;1;1;1;2;;;1;1;5;;3;1;1;1;1;9;3;;1;1;;2;4;5;1;11;;3;2;1;1;4;;7;4;1;7;3;2;1;;;;3;3;1;3;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;
31031-5384;2;19;;5;3;6;;51;;;11;18;1;35;10;23;1;2;8;1;;2;2;1;1;4;;5;2;3;1;;13;4;2;1;1;2;3;;;;;1;1;;;;1;2;1;2;1;7;3;;1;1;1;;5;2;1;1;;;9;3;2;1;3;3;1;3;1;1;4;1;11;2;1;2;6;2;;;;;;;1;3;7;2;5;2;;;1;3;3;1;;;;;2;1;;6;1;5;3;2;;1;1;2;1;4;4;1;1;;1;;;2;4;2;4;;2;1;1;1;;;2;2;2;1;2;1;7;4;3;1;1;1;6;1;5;1;4;;;;2;1;1;
22559-5384;1;10;;7;;3;;12;;;12;14;;15;2;5;;1;;;;;;;;;;;2;;1;1;3;;;1;2;1;3;;;;;;;;;;;3;;;;;;;;;;2;5;1;;;;;1;1;;;;;;2;1;;2;;3;;;;;;;;;;;;2;;4;;;;;;;1;;;;;;;;;;6;;3;;;;;;1;;1;2;;;;;;;1;1;1;2;;;;;;;;;;;;1;;1;1;1;2;1;;3;2;2;1;1;;1;;;;;
30807-5489;1;17;;15;;13;;63;;;31;35;;41;11;10;2;1;15;14;1;;;;;4;;8;2;1;1;1;7;2;;1;1;;1;;;;;6;2;;;;;9;5;3;2;7;2;;4;3;3;1;17;9;2;2;;;10;5;4;4;2;1;8;7;2;2;2;;12;1;1;2;2;4;;;;;;;;4;9;3;5;2;1;;3;8;6;1;;;;2;4;;6;18;2;7;4;2;1;1;;5;2;3;4;1;;;1;1;3;1;10;3;14;4;9;6;3;2;2;1;3;3;1;1;1;1;5;2;2;3;1;2;4;2;2;2;1;1;1;1;;4;10;
31601-6590;2;13;;4;33;8;2;27;;;7;9;;9;4;5;;2;11;;;1;1;1;1;2;;2;1;;;;7;2;;;;;1;1;;;;3;;9;6;2;4;1;;;;4;1;;2;1;1;2;1;1;;;;;2;1;;;;;;4;;;4;1;4;;1;1;2;;;;;;;;3;;;;;;;;;1;;;;;;;;;;3;;;;;;1;;2;;1;1;;;;;;;;2;;3;2;;;;;;;;;;1;2;1;1;1;1;1;1;;1;1;1;1;1;;2;;1;;;
31210-5799;1;7;8;4;4;3;3;45;;;20;18;20;15;3;4;;1;7;1;;;;;;;1;1;;;;;5;;;;;;;1;;;4;;2;1;;;1;1;;1;;;;1;;;4;;1;;;;11;11;2;;;;1;;1;10;1;;1;;7;;;;2;3;;;;;;;;4;5;1;2;2;1;;;2;;;;1;1;;;1;;8;;4;2;2;1;1;;;;;1;;16;8;;;1;;;;1;;1;1;1;1;;;;;;;2;;;;;1;;1;;;;;;;;;;;;
