aluno;1>;2>;3>;5>;6>;7>;8>;14>;16>;30>;31>;32>;41>;43>;44>;45>;46>;48>;49>;1>46>;2>1>;2>1>46>;2>2>;2>2>14>;2>3>;2>14>;2>31>;2>41>;2>46>;2>46>1>;2 14>;2 14>2>;2 14>14>;2 14>41>;2 14 41>;2 31>;2 41>;3>2>;5>5>;5 14>;6>6>;6>6>6>;6 7>;6 14>;6 41>;7>5>;7>6>;7 14>;7 41>;8>7>;14>2>;14>2>14>;14>3>;14>7>;14>14>;14>31>;14>31>30>;14>31>30>31>;14>41>;14>41>31>;14>41>41>;14>41>41>41>;14>41>41>41>41>;14>41>41>41>41>41>;14>41>41>41>41>41>41>;14>43>;14>43>44>;14>43>44>44>;14 30>;14 30>31>;14 31>;14 31>31>;14 31 41>;14 41>;14 41>31>;14 41>41>;14 41>41>41>;14 41 43>;14 43>;14 44>;14 48>;16>31>;16 31>;16 31>31>;30>14>;30>14>31>;30>30>;30>30>30>;30>30>31>;30>31>;30>31>30>;30>31>30>31>;30 31>;30 31>30>;30 41>;31>14>;31>14>31>;31>30>;31>30>14>;31>30>30>;31>30>30>30>;31>30>31>;31>30>31>30>;31>31>;31>31>30>;31>41>;31>48>;31 41>;32>31>;41>2>;41>14>;41>31>;41>31>14>;41>31>30>;41>41>;41>41>31>;41>41>41>;41>41>41>41>;41>41>41>41>41>;41>41>41>41>41>41>;41>41>41>41>41>41>41>;41>41>43>;41>43>;41>43>44>;41>44>;41>44>44>;41 43>;41 43>44>;41 43>44>44>;41 44>;43>44>;43>44>44>;43>44>44>44>;43>44>44>44>44>;43>44>44>44>44>44>;44>14>;44>14>41>;44>14>43>;44>41>;44>44>;44>44>14>;44>44>44>;44>44>44>14>;44>44>44>44>;44>44>44>44>44>;44>44>44>44>44>44>;46>1>;46>2>;48>14>;
22607-5384;1;9;;3;;2;;18;;5;6;;11;;;;1;1;;1;;;2;1;;5;;;1;;7;2;3;;;;1;;2;1;;;;;;2;;;;;4;3;;2;3;;;;3;1;1;;;;;;;;;;;;;3;;;;;;;;;;;2;;3;1;2;2;2;2;4;2;;1;;3;;1;1;2;2;;;;1;2;;;;2;;;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14770-5489;;4;;;7;5;;16;;7;6;;9;3;4;;;3;;;;;;;;1;1;;;;4;;1;;;;;;;;3;1;1;1;;;1;1;3;;;;;;2;1;1;;2;;1;;;;;;;;;;;;;5;;1;;;;1;1;;;;3;;1;;1;1;1;;;;;;;5;2;;;;;;;;;;;;1;1;;1;3;;1;;;;;1;1;1;1;1;1;1;1;;3;2;;;;2;;;1;2;1;;;;;;;;;
30492-5384;1;7;2;;2;2;;10;;1;2;1;13;2;2;;1;;;1;;;2;;;;;1;1;;3;;;;2;;2;1;;;;;1;1;1;;;;;;1;;;;;1;;;;;;;;;;;;;;;1;;;7;1;;;;;1;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;1;;;1;;;3;;2;;;;;1;1;;;;1;;;;;;;;;;;;;;;;;;;;;;;
23182-6030;;5;;;;;;6;;6;4;;3;;;;;;;;;;;;;;;;;;4;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;1;;;1;;;;;;;;;;;;;;;;1;;;;;1;;;2;;;;1;;1;1;;;;;;;1;;1;2;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27455-7297;1;8;1;4;9;5;1;29;;9;12;;21;8;8;;1;;;1;1;1;;;;;;1;;;4;;;;1;1;3;;1;2;7;4;2;1;;2;1;1;2;;1;;;;2;2;;;2;1;1;;;;;1;;;2;;3;;2;10;;1;;1;2;6;;;;;2;;2;2;1;1;1;1;2;;2;2;;4;1;1;1;1;;2;1;;;3;;1;;3;;1;4;2;1;;;;;1;2;;;;3;;;1;;;;;;1;;1;;;;;;;;;;;;
28164-5799;2;9;;6;16;8;;30;1;16;12;5;20;5;4;1;2;12;1;2;2;2;1;;;;;1;;;6;1;;;;;;;;2;5;2;;2;1;3;1;3;2;;2;;;1;1;3;;;3;;;;;;;;;;6;;;;;8;1;1;;1;1;2;2;1;;;1;;2;;;2;;;1;;1;1;1;5;;1;;1;;2;1;1;2;1;3;;;2;;;1;;;;;;;;;;1;1;4;1;1;1;2;2;1;1;1;1;;;;2;1;1;;1;1;1;;;;
31158-5384;;5;2;4;6;8;2;21;2;5;11;1;19;2;10;1;;4;1;;;;;;;2;;2;;;2;;1;;;;;1;1;;2;2;1;2;;1;1;2;1;1;2;;;2;3;5;2;1;3;;1;;;;;1;1;1;1;1;1;1;;4;1;;;;;4;1;2;2;2;2;;;;;4;3;3;;;;2;2;4;1;;;3;3;2;1;1;2;2;;1;1;1;;;4;;2;2;;;;;;;1;1;2;1;1;1;1;1;1;1;;1;;1;2;2;;1;;1;;;;;1;
27002-5489;;1;;;;1;;3;;2;3;;7;;;;;;;;;;1;1;;1;;;;;1;1;;;;;;;;;;;;;;;;1;1;;1;1;;;;1;;;;;;;;;;;;;1;;;;;2;;;;;;;;;;;;;1;;;;;;;;1;;;1;;1;;;;2;1;;;1;;;;1;;;1;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
31256-5061;;6;;1;;3;;18;;2;7;;25;;;;;3;1;;;;;;;1;;1;;;6;;1;1;4;;4;;;;;;;;;1;;;;;;;;1;1;1;;;7;1;1;1;1;1;;;;;;;1;;1;12;;3;1;;;;;;;;;;1;1;;;;;;;;4;;;;;;;;;;;1;3;;;1;2;2;;8;2;4;4;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;
31410-5384;;6;;2;;5;;21;;5;6;;21;4;7;2;;2;2;;;;;;;;;;;;6;;;;3;;3;;1;1;;;;;;1;;3;1;;;;;1;;1;;;5;1;1;1;1;;;1;1;1;1;;2;;;9;1;2;;;;1;1;;;;1;;1;;;;;;1;;2;1;;2;1;;;;;;;;;1;;;2;3;1;;6;2;1;1;;;;;1;1;1;;3;1;;;2;1;;;;1;1;;1;2;1;;;;;;;;;
31165-4448;4;19;;;;3;;46;2;4;7;2;36;6;6;2;3;1;1;;;;2;1;;4;;1;2;2;14;1;1;1;3;1;3;;;;;;;;;;;3;3;;3;1;;;2;1;1;1;8;;4;2;1;1;1;3;2;2;2;;3;1;;20;;;;1;1;2;1;2;2;2;;;;;;1;;;;;1;1;;2;;;;1;;3;2;;;;;;2;;;;7;;4;2;1;1;1;1;3;3;;;3;;;1;3;2;2;1;1;2;1;1;;3;2;3;2;1;1;1;2;1;;
