aluno;1>;2>;3>;5>;6>;7>;8>;14>;16>;17>;30>;31>;32>;41>;43>;44>;45>;46>;48>;49>;1>2>;1>46>;2>1>;2>1>46>;2>2>;2>3>;2>14>;2>31>;2>41>;2>46>;2>46>1>;2 14>;2 14>2>;2 14 31>;2 14 41>;2 30>;2 31>;2 41>;3 14>;5>5>;5 14>;6>6>;6>6>6>;6>6>6>6>;6 14>;6 41>;6 48>;7>5>;7>5>5>;7 14>;7 41>;14>2>;14>2>14>;14>3>;14>7>;14>7>5>;14>14>;14>31>;14>31>30>;14>31>30>30>;14>31>30>30>30>;14>32>;14>32>31>;14>41>;14>41>41>;14>41>41>41>;14>43>;14>43>44>;14>43>44>44>;14>45>;14>49>;14>49>49>;14 30>;14 30>31>;14 30>31>30>;14 30 31>;14 30 41>;14 31>;14 31>31>;14 31 41>;14 41>;14 41>31>;14 41>41>;14 41>41>41>;14 43>;14 44>;14 48>;16>31>;16 30>;16 30>31>;16 31>;16 31>31>;17>30>;17 30>;30>2>;30>14>;30>30>;30>30>14>;30>30>30>;30>30>30>30>;30>30>30>30>30>;30>30>30>30>30>30>;30>30>31>;30>31>;30>31>30>;30>31>30>30>;30>31>30>31>;30>32>;30>32>31>;30>41>;30>48>;30 31>;30 41>;31>14>;31>30>;31>30>14>;31>30>30>;31>30>30>30>;31>30>30>30>30>;31>30>30>30>30>30>;31>30>30>30>30>30>30>;31>30>31>;31>30>31>30>;31>31>;31>31>30>;31>32>;31>41>;31>48>;31 41>;31 41>30>;32>31>;32>31>30>;41>2>;41>7>;41>14>;41>30>;41>31>;41>31>30>;41>41>;41>41>31>;41>41>41>;41>41>41>41>;41>41>41>41>41>;41>41>43>;41>43>;41>43>44>;41>43>44>44>;41>43>44>44>44>;41>44>;41 43>;41 43>44>;43>44>;43>44>14>;43>44>44>;43>44>44>44>;43>44>44>44>44>;44>14>;44>14>41>;44>14>43>;44>41>;44>43>;44>44>;44>44>14>;44>44>44>;44>44>44>14>;44>44>44>44>;44>44>44>44>44>;45>43>;46>1>;46>1>2>;46>2>;48>14>;48>30>;48>48>;49>48>;49>49>;
18398-5384;1;14;1;2;;1;;30;4;1;11;19;;25;3;2;;1;2;;;;;;;;1;;3;;;13;;2;2;2;2;2;;;1;;;;;;;1;;;;1;;1;;;1;4;1;;;;;6;2;1;;;;;;;2;;;;1;8;1;1;7;;2;1;1;;;2;1;1;3;1;;1;;1;4;1;1;1;1;;;3;;;;;;;1;;1;1;4;;1;1;1;1;;2;;4;2;;2;;6;3;;;1;1;;3;;;5;;2;2;2;;;;;;;2;;;;;;;1;1;;;;1;1;;;;;;;;;;1;;;;
31520-5489;1;1;;1;3;2;1;8;;;;5;;7;1;2;;1;2;;1;;;;;;;;;1;1;;;;;;;;;1;;1;1;;;;2;;;;;1;;;1;;;;;;;;;1;1;;;;;;;;;;;;;2;;2;3;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;1;;2;;;;;;;;2;;2;2;;;;;;;;;1;1;1;1;;1;1;1;1;1;;;;1;1;1;1;1;;;1;1;;;;1;;;
31522-4917;;3;;2;20;4;1;8;;;4;3;;1;;;;;10;;;;;;;;;1;;;;2;;;;;;;;2;;5;5;2;1;;6;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;2;;;1;;;;;;;;;;;;;;1;;;;;;;;;1;;;;;;;;;;;2;;;;;;;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;;;
31031-5384;1;5;1;2;6;8;3;29;;;9;9;4;21;7;8;2;1;6;;1;;;;;1;;;;;;2;;;2;1;;2;;2;;1;;;1;;1;1;1;3;1;1;;;1;;1;2;2;2;1;2;2;5;1;;1;;;1;;;3;;;;1;1;;1;10;1;2;;1;4;4;;;;;;;;;;4;;3;2;;;;;;;;;;2;;;1;2;4;;4;3;2;;;;;;;;;;3;1;3;1;;;3;1;1;1;4;;;;;1;2;;;;1;1;1;2;;1;1;;1;;;1;1;3;1;1;;;;1;1;1;;;1;;;;
27352-6401;;1;;;;;;8;;;2;5;;11;1;2;;;;;;;;;;;;;1;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;1;1;1;;;;;;;1;1;;;;1;;1;4;;;;;1;;;;;;;;;;;;;;;;;;2;1;;1;;;;;;;;2;;;;;;;1;1;1;1;;;;3;;;;;;1;;;;3;;2;1;1;;;;;;1;1;1;1;;1;1;1;;;;;;1;;1;;1;1;;;;;;;;;;
30705-5799;;2;;;5;2;;4;;;2;3;;5;3;5;;;;;;;;;;;;;;;;1;;;1;;1;1;;;;;;;;2;;;;;1;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;1;;;;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;1;1;;;;;1;;1;;;;;1;;;;;1;;;;;;;;;;;;;;;
30807-5489;1;4;;4;2;3;;23;;;1;7;;22;8;18;1;1;6;;;1;1;1;1;;1;;;;;3;1;;;;;1;;;1;;;;;;1;1;;1;;2;;;1;1;2;1;;;;;;4;2;1;3;3;2;1;;;;;;;;3;;1;8;1;;;2;3;1;;;;;;;;;;1;;1;;;;;;;;;;;;1;;;;;;;;;;;;;2;;;4;1;2;;;;;;1;1;3;;4;1;3;;;;1;1;1;1;2;3;2;6;1;4;2;2;3;2;1;;2;8;2;4;1;4;4;;;;;1;1;1;;;
22559-5384;;2;;;;;;6;;;;1;;5;1;2;;;1;;;;;;;;;;;;;1;;;1;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;1;;;2;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;1;;;;;;1;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;
31601-6590;1;15;3;3;2;6;1;35;2;;6;14;3;31;6;3;;1;5;1;1;;;;3;2;6;1;;1;1;8;3;;;1;;3;;2;;1;;;1;;1;1;1;2;2;6;2;2;1;;3;4;1;1;1;;;10;4;1;;;;;;;3;1;;;;4;;1;7;;1;;1;;2;2;;;2;2;;;1;1;3;;3;1;1;1;;1;;;;1;;1;;;;2;4;;3;3;1;1;1;;;3;;2;2;1;3;1;;;1;1;;1;3;1;11;1;5;1;1;3;5;3;3;3;;;;3;;3;3;2;2;;;;;3;2;3;2;2;;;1;1;;1;1;2;;1;
31210-5799;2;10;;2;1;1;;13;;;6;8;;16;1;1;1;2;;;;1;;;1;;;1;1;;;4;;1;2;1;1;6;;;;;;;1;;;1;;;;1;;;;;;1;1;;;;;2;2;1;;;;;;;2;;;1;1;2;;;6;;1;1;;;;;;;;;;;;1;2;;1;1;1;1;;;;;;;;1;;1;1;;3;1;2;1;1;1;1;;;;;;1;;2;2;;;1;;;2;1;;5;1;3;1;;1;1;1;1;;;;;1;;1;;;1;;;;;1;1;1;;;;;;;1;;;;;;
