aluno;1>;2>;3>;5>;6>;7>;8>;14>;16>;17>;30>;31>;32>;41>;43>;44>;45>;46>;48>;49>;1>46>;2>1>;2>1>46>;2>2>;2>14>;2>31>;2>41>;2>46>;2>46>1>;2 14>;2 14 41>;2 41>;5 14>;6>6>;6>6>6>;6 7>;6 14>;6 41>;7>5>;7 14>;7 41>;14>2>;14>7>;14>7>5>;14>14>;14>31>;14>31>30>;14>31>30>30>;14>41>;14>41>41>;14>41>41>41>;14>41>41>41>41>;14>43>;14>43>44>;14>43>44>44>;14>49>;14 30>;14 30>31>;14 30 31>;14 30 41>;14 31>;14 31>31>;14 31 41>;14 41>;14 41>31>;14 41>41>;14 41>41>41>;14 41 43>;14 41 44>;14 43>;14 44>;14 48>;16>31>;16 30>;16 31>;16 31>31>;17>30>;17 30>;30>14>;30>14>31>;30>30>;30>30>14>;30>30>30>;30>30>30>30>;30>30>30>30>30>;30>30>31>;30>31>;30>31>30>;30>41>;30 31>;30 41>;31>14>;31>30>;31>30>14>;31>30>14>31>;31>30>30>;31>30>30>30>;31>30>30>30>30>;31>30>31>;31>30>31>30>;31>31>;31>31>30>;31>41>;31 41>;31 41>30>;41>2>;41>7>;41>14>;41>30>;41>31>;41>31>30>;41>41>;41>41>31>;41>41>41>;41>41>41>41>;41>41>41>41>41>;41>41>41>41>41>41>;41>41>43>;41>43>;41>43>44>;41>44>;41>44>44>;41 43>;41 43>44>;41 43>44>44>;41 44>;43>44>;43>44>44>;43>44>44>44>;43>44>44>44>44>;43>44>44>44>44>44>;43 44>;44>14>;44>14>41>;44>14>43>;44>41>;44>43>;44>44>;44>44>14>;44>44>44>;44>44>44>14>;44>44>44>44>;44>44>44>44>14>;44>44>44>44>44>;46>1>;48>14>;
30705-5799;;1;;;9;;;8;;;3;3;;5;4;4;;;;;;;;;1;1;;;;;;;;3;3;;1;;;;;1;;;1;3;;;1;;;;1;;;;2;;;;1;1;;2;1;;;;;;1;;;;;;;;;;1;;;;;;;;1;;;;1;;;1;;;;;2;1;;;;;;;;1;;;;;;;;;2;;;;;;;;2;2;1;1;1;1;1;;;;;3;1;3;1;1;;1;;;
22525-4435;1;4;;;;1;;10;;;3;3;;7;;;;1;;;;;;;1;;;1;1;1;;;;;;;;;;1;;2;;;;2;2;1;1;;;;;;;;1;;1;1;1;;1;3;;;;;;;;;;;;;;;2;2;1;1;1;;;;;;;1;1;;2;2;2;1;1;;;;;;;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;
30968-4434;;;;2;2;1;;7;;;;;;6;8;13;1;;;;;;;;;;;;;;;;;;;1;;;;;;;;;2;;;;;;;;3;2;2;;;;;;;;;1;;;;1;;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;2;;1;;;;;;;2;1;3;2;1;1;4;3;2;2;1;3;2;;1;;2;6;1;4;1;2;;1;;;
31210-5799;1;5;3;;4;3;1;19;;;2;5;;14;10;12;;1;2;;1;;;;1;;;1;;3;;1;;;;2;3;1;;2;1;;;;1;1;;;4;1;;;3;1;;;;;;;;;;3;;;;;;;7;1;;;;;;;;;;;;;;;1;;;;;;2;;;;;;1;;2;1;;1;1;;;1;1;;;2;;2;1;;;2;3;1;;;1;;;;4;1;1;;;1;1;;;2;1;2;;2;;1;;;;1;
27512-4435;;2;;2;4;1;;27;4;2;12;14;;21;7;10;;;;;;;;;1;;;;;1;1;1;;1;;;1;1;1;;;1;1;1;1;8;4;2;3;1;;;2;1;;;5;;1;1;3;1;2;11;3;1;1;1;;2;2;;4;1;3;3;2;;2;;2;;;;;1;2;1;2;1;1;3;6;;;2;;;;;5;2;;3;;;1;1;;5;2;2;;2;1;;;;;;1;1;3;1;1;;2;1;1;;;1;5;1;2;;;3;2;2;2;1;1;1;;;
28043-4435;;3;1;4;;4;4;13;1;;4;4;1;5;2;2;1;;;1;;;;;;1;;;;3;;;3;;;;;;1;1;;;1;;;1;;;3;2;;;;;;1;1;;;;1;;;3;;2;1;;;;1;;1;1;;;;;2;;;;;;;;1;1;1;;;;3;2;;;;;;;1;;1;;;;;1;;1;1;4;1;3;1;1;;;1;1;;;;;;;1;1;1;1;;;1;;;;;1;1;1;1;1;1;;;;
21361-4917;1;7;;7;2;6;;43;6;4;24;40;;21;5;9;;1;3;1;;;;1;;1;;1;1;1;;2;3;1;;;;;4;;;2;4;3;1;11;7;2;6;4;2;1;1;;;1;4;2;1;;10;2;;11;4;2;1;;;1;2;3;1;;6;1;4;3;5;1;9;2;3;1;1;3;6;3;;6;;2;15;3;1;4;3;1;2;1;4;1;1;;;;;;;7;4;6;2;3;1;;;;;;1;;2;1;;;2;1;1;;;;1;;;;;2;;1;;;;;1;;
24192-6401;1;6;;;;2;;9;;;3;4;;11;2;2;;1;;;;1;;1;;;1;;;5;1;1;;;;;;;;1;1;1;;;;;;;2;;;;;;;;1;;1;1;1;;1;3;;;;1;1;1;1;;;;;;;;;;;;;;;;;;1;1;1;;2;;;;;;;;;;;3;1;;;2;1;1;1;2;;;;;;;1;1;;;1;;;1;1;;;;;1;;;;;;;;;;;;;1;;
31317-4114;1;6;;4;;2;2;20;;;6;8;3;15;4;3;;1;;2;;;;;1;1;1;;;2;2;4;2;;;;;;2;;;2;;;;5;2;1;2;2;2;2;;;;2;5;3;;;;;;7;;;;;;1;1;;;;;;;;2;2;1;;1;1;;;3;1;;;;1;3;2;2;1;1;1;;;2;1;;;;;;;;2;;2;1;2;2;1;1;;1;1;;;1;;;;1;1;1;;;;;;;;;1;;1;;;;;1;;
31306-4433;1;3;2;;;1;;20;;;5;6;;12;1;2;1;1;1;1;;1;;;;;1;;;2;;1;;;;;;;;1;;;;;2;1;;;2;1;1;1;;;;1;3;1;;;3;;2;7;;;;;;;1;1;;;;;;;1;;;;;;;;2;1;;;;;2;;;;;;1;1;2;1;;3;1;;;;1;;;1;;1;1;1;1;;;;1;1;1;1;1;;1;1;;;;;;;;;;1;;;;;;;1;;
