aluno;4>;6>;7>;8>;11>;13>;14>;16>;17>;28>;29>;30>;31>;32>;33>;34>;36>;37>;38>;39>;41>;42>;47>;48>;49>;6>6>;8>7>;14>7>;14>8>;14>14>;14>14>14>;14>14>31>;14>31>;14>31>14>;14>31>14>31>;14>31>30>;14>31>30>14>;14>31>30>30>;14>31>30>30>30>;14>31>30>31>;14>31>31>;14>31>41>;14>31>48>;14>32>;14>32>31>;14>38>;14>41>;14>41>31>;14>41>41>;14>41>41>41>;14>42>;14>48>;14>49>;16>31>;16>31>14>;16>31>30>;16>31>31>;16>31>48>;17>30>;17>30>30>;17>31>;28>30>;29>4>;29>30>;29>48>;30>14>;30>14>31>;30>14>31>30>;30>30>;30>30>14>;30>30>30>;30>30>30>30>;30>30>30>30>30>;30>30>30>30>30>30>;30>30>31>;30>31>;30>31>14>;30>31>30>;30>31>30>31>;30>31>30>31>30>;30>31>30>31>30>31>;30>31>30>31>30>31>30>;30>32>;30>48>;31>14>;31>14>31>;31>14>31>30>;31>14>41>;31>30>;31>30>14>;31>30>14>31>;31>30>30>;31>30>30>30>;31>30>30>30>30>;31>30>30>30>30>30>;31>30>31>;31>30>31>30>;31>30>31>30>31>;31>30>31>30>31>30>;31>30>31>30>31>30>31>;31>30>48>;31>31>;31>31>30>;31>31>31>;31>32>;31>41>;31>41>41>;31>48>;31>48>29>;31>48>30>;31>48>48>;32>14>;32>14>31>;32>31>;32>31>30>;34>36>;34>36>37>;34>37>;36>34>;36>34>37>;36>36>;36>37>;37>34>;37>36>;37>38>;38>14>;38>33>;41>14>;41>31>;41>31>30>;41>41>;41>41>31>;41>41>41>;41>41>41>41>;47>48>;48>13>;48>14>;48>29>;48>29>48>;48>30>;48>30>30>;48>31>;48>48>;48>48>48>;49>14>;49>48>;
35637-5102;1;;1;;;1;39;3;1;1;1;13;19;2;2;2;6;2;3;;8;;1;7;1;;;;;2;;;15;1;1;6;;;;;1;1;1;;;1;5;;2;;;;;3;;2;;1;1;;;1;1;;;1;;;2;;1;;;;;;;;;;;;1;2;1;1;;;9;;;1;1;;;;;;;;1;1;;;;1;;3;;1;;2;2;;;;;1;2;1;3;1;;1;1;;2;1;;;4;;1;;1;;;1;;2;1;;1;;1;;
31856-4429;1;2;1;;;3;43;6;4;;8;34;36;2;3;3;8;3;8;2;13;1;;10;;;;1;;5;1;2;20;1;;5;;3;2;;3;;3;;;1;5;1;1;1;1;;;6;2;3;;;3;1;1;;1;4;;6;1;1;17;1;10;7;4;3;3;5;2;1;;;;;1;;5;2;1;2;14;1;;6;2;1;1;;;;;;;6;4;1;;1;;6;5;;;1;;1;;2;1;;;;;2;2;;;;3;2;2;1;2;;2;;;3;1;5;;1;;1;;;;;
30698-4429;;2;3;;;;20;1;2;1;;9;18;8;3;3;4;3;5;;9;;;2;;1;;2;;;;;8;2;1;;;;;;;;;;;1;5;;2;;;;;1;;;;1;;;2;1;;;;;;;3;;1;;;;;4;;2;1;;;;;1;2;1;;1;5;;;;;;;4;2;1;;;1;2;1;1;8;;;1;;1;;4;2;1;1;1;1;1;2;1;1;2;1;;;1;3;;1;1;2;1;;;;;;;;2;2;;;;;;
30753-4429;;;3;;;;22;2;1;1;;13;15;1;2;2;2;2;6;;11;;1;2;;;;1;;;;;5;1;1;2;;;;;;;;;;3;5;;1;;;1;;2;;1;;;;;1;1;;;;2;;;6;1;4;1;1;1;1;1;;1;;;;;;;3;2;1;1;8;;;5;3;1;1;;;;;;;2;;;1;1;1;;;;;;;;;1;;1;1;1;;;1;;1;;2;;3;2;7;3;2;2;;;;;;;;;;;;;
31256-4429;;;3;2;;;36;3;3;;;21;37;4;2;2;9;2;4;;21;;;2;;;2;;1;;;;10;5;1;2;;;;1;;;;2;1;1;7;;1;;;1;;3;;2;;;2;;1;;;;;1;;;5;;3;2;1;1;;4;2;2;;;;;;;6;3;1;2;15;1;;3;3;2;1;4;2;;;;;1;;;1;;;;;;;1;1;1;1;2;1;;1;;1;2;1;;1;1;1;;1;1;3;;1;1;;;2;;;;;;;;;;
32892-4428;1;;;;;1;7;7;8;;1;23;26;;;;;;;;14;;2;14;1;;;;;;;;6;;;2;;;;;1;1;1;;;;1;;;;;;1;5;;1;2;2;5;1;2;;;;;1;;;6;;6;2;1;;2;6;;4;1;;;;;6;;;;;16;1;;4;4;1;1;4;2;;;;3;4;3;1;;2;;4;;1;1;;;;;;;;;;;;;;;;;1;1;1;2;;;;1;;;1;;7;1;2;4;1;;1;
18200-6547;;;;;8;;30;3;1;;2;10;20;;;;;;3;;10;;;4;;;;;;2;;;6;1;;;;;;;3;;1;;;2;6;2;1;;;;;3;1;;;2;;;1;;;1;;2;;;3;;3;2;2;2;;;;;;;;;;;3;;;1;3;1;;1;1;;;;;;;;;3;1;1;;;;4;1;2;1;;;;;;;;;;;;;;;1;;;2;;2;;;;;;;2;;2;;;1;;;;
31417-4429;;;;1;;;13;2;2;1;;8;18;5;;;;;;;1;;;3;3;;;;;1;;;8;;;1;;;;;2;;;2;2;;;;;;;;2;2;;;1;;;;2;;;;;1;1;1;3;;1;1;1;;;;;;;;;;;1;;;;;2;;;1;1;1;1;;;;;;;3;;1;3;1;;1;;1;;2;;3;1;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;1;1;
15183-5786;;;;;1;;11;;1;;;1;2;;3;3;4;3;8;;3;;1;3;1;;;;;;;;;;;;;;;;;;;;;4;1;;1;1;;;1;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;1;1;1;1;2;;;1;;3;1;;;2;;1;1;1;;1;;;;;;1;;;1;
18344-4912;1;;;;2;;21;3;2;;;16;19;2;1;1;1;1;2;1;14;;;7;5;;;;;1;;;12;2;1;9;;3;2;3;1;1;;;;;3;;1;;;1;4;3;;3;;;1;;1;;;;;2;2;2;8;;5;3;2;2;;7;1;5;2;2;2;2;1;4;3;1;1;;15;2;2;7;4;2;1;7;5;2;2;2;2;1;1;1;2;2;1;;;;;2;2;1;1;;;1;;;;;;1;;;1;;2;1;2;1;;;;;4;;;;;1;1;1;3;2;
33165-4428;2;;;;;2;59;1;3;;4;26;36;2;3;3;4;3;7;2;32;1;2;10;4;;;;;3;;;22;3;1;5;1;2;1;;3;1;2;;;1;3;;2;;1;;2;1;1;;;;1;;2;;2;;;2;2;1;7;;3;1;;;;;;;;;;;;1;10;7;1;;8;1;1;3;1;1;;;;;;;;4;1;;1;2;1;3;1;;2;1;1;1;;1;;1;2;1;;;1;1;1;1;2;;1;;8;1;2;;2;1;2;3;;3;1;;4;2;;3;
31569-4224;5;15;8;10;;4;44;2;1;;42;10;35;6;3;2;2;2;4;1;22;1;5;52;3;1;8;;4;3;;1;20;2;1;1;;;;;3;;8;2;2;1;5;;;;1;4;1;2;;1;;1;;;1;;4;3;15;2;2;;2;1;1;1;;;;1;;;;;;;;3;5;2;;;4;;;2;1;1;;;;;;;1;3;1;2;2;1;;15;14;;2;;;5;;1;1;1;1;1;;1;1;;1;2;1;;;;2;;;;4;1;5;39;10;1;1;5;6;2;2;2;
31288-4429;;15;1;;;;25;4;3;;;34;28;;1;1;4;1;2;;19;;1;4;1;8;;;;2;;1;6;;;5;;1;1;1;;;;;;;7;;1;;;1;1;4;1;3;;;2;1;1;;;;;2;;;11;2;5;3;;;2;8;2;5;2;2;2;2;;;3;;;;19;;;5;3;2;;5;4;2;2;2;;;;;;;;;;;;;;;;1;1;;;;1;1;;;;1;;;;;3;;;;1;;2;;;;;1;;;1;1;
31539-4429;;13;4;1;;;37;2;2;1;2;19;30;1;3;3;8;3;6;;23;;;2;;3;1;2;1;;;;14;;;3;;;;1;4;;1;;;1;7;1;1;1;;;;2;;1;1;;1;;1;1;;1;1;2;;;5;;1;1;1;;;2;;;;;;;;;3;1;;;7;;;3;1;1;1;1;;;;;;5;1;2;1;;;2;2;;;1;1;;;1;1;1;2;1;2;2;1;1;1;1;2;;4;;5;1;1;;;;;2;1;;;;;;;;
32935-4429;;;;;;;2;;;;;;1;;1;1;1;1;3;;3;;;;;;;;;;;;1;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;;;;;1;;1;;;;1;;1;;;;;;;;;;;;;;
31390-4429;;;;;;;9;1;;;1;12;8;1;;;;;;;4;1;;3;;;;;;1;;;2;;;1;;;;;;;;;;;1;;;;1;;;1;;;;1;;;;;;;;;;;5;;;;;;;;;;;;;;;1;;;;;5;;;2;;;;;;;;;1;2;2;2;;1;1;1;;1;;;;1;;;;;;;;;;;;;;;1;;2;1;1;1;;;;1;;1;1;1;;;;;
24295-4224;;;;1;;;16;3;1;1;;9;18;;2;1;1;1;3;;7;;;2;;;;;1;1;;1;6;;;;;;;;2;;;;;1;2;;2;2;;;;3;;1;2;;;;1;1;;;;;;;3;;1;;;;;1;;;;;;;;;1;1;;;3;;;2;;;;;;;;;;6;1;2;;;;2;;;;;;;;;;1;;;;;;1;;1;2;;2;;3;;3;2;;;;;;;;;;;;;
31885-4428;3;;;;;;21;2;1;;8;6;20;1;2;2;3;2;5;1;15;;;10;2;;;;;6;3;;7;2;1;1;;;;;2;1;1;;;2;5;;2;1;;;1;2;1;;;1;1;1;;;3;1;5;;;;1;;;;;;;2;;;;;;;;1;3;1;;3;2;;;;;;;;;;;;1;6;;;;5;2;7;5;;2;;;1;1;1;;1;1;1;;;1;;;;1;2;5;;4;3;1;1;;;2;8;3;1;;2;5;2;1;1;
31546-4224;;;1;1;;;40;4;1;;1;8;21;3;1;1;1;1;3;;16;;;5;1;;;;;3;;;7;1;;;;;;;;;1;;;1;5;1;1;;;2;;4;1;1;;;;;1;;;;;3;;;2;;2;2;;;;3;;2;;;;;;;3;;;;5;3;;1;1;1;;;;;;;;;;;2;;;2;;1;;1;;1;;1;1;;1;;;1;;;1;1;;;2;1;3;1;1;;;;;1;;1;;1;;;1;;
35921-5102;3;;1;4;;3;33;3;4;;6;12;16;9;1;1;11;1;2;;25;3;1;12;10;;1;;;8;6;;1;;;;;;;;;;1;3;2;;6;1;2;2;;1;1;2;;1;1;;4;3;;;2;1;;;;;5;;1;;;;1;1;;;;;;;1;1;;;;;3;;;1;1;;;;;;;;;2;;;;2;1;3;2;;1;;;3;;1;1;;1;;7;1;;;;;;;4;;7;1;5;1;1;;2;5;;;;1;3;2;;2;
31743-4429;3;16;2;2;;2;17;4;8;3;2;32;28;3;2;2;9;3;4;;13;;3;11;;5;1;1;;1;;;3;;;;;;;;1;1;;;;;2;;;;;3;;4;;3;;;7;2;1;2;2;;;2;;;9;;3;2;1;1;1;3;;2;;;;;;1;;;;;14;2;;3;2;2;1;2;1;;;;;3;2;;1;1;;1;;1;;;;;;;;2;2;2;5;;;1;1;;;;2;1;2;1;;;3;;;2;;1;;1;2;;;;
31456-4912;;;1;1;;;15;1;;;;1;6;;;;;;;;7;1;;1;;;;1;;;;;2;;;;;;;;;;;;;;3;;1;;;;;1;;;;1;;;;;;;;;;;1;;1;;;;1;1;;;;;;;;;;;;;1;;;1;1;;;;;;;;;1;1;;;;;1;;;;;;;;;;;;;;;;;;;;;1;;2;1;;;;;1;;;;;;;;;;
31360-4428;;;;;;;8;2;;;1;5;9;;1;1;4;1;4;;6;;;4;1;;;;;;;;2;;;;;;;;;;;;;3;1;;;;;;1;2;1;;;;;;;;;1;;;;;1;;;;;;;;;;;;;;;;2;1;;;2;;;;;;;;;;;;;;;;;1;1;1;1;;;;;;;;;1;1;1;1;;;;;;1;;;;2;;;;;;1;1;;;;;;;;1;
35677-5786;;;;;4;;25;;1;;;19;24;;1;1;2;1;3;;14;;;14;;;;;;2;;;8;;;5;;;;4;1;;;;;2;9;2;2;1;;;;;;;;;;;1;;;;;1;1;1;3;;1;;;;2;13;4;8;5;5;4;4;;4;6;2;1;2;16;1;1;3;1;;;13;8;5;5;4;3;2;1;;;;;3;;2;;;;;;;;;1;;;;;1;;1;1;2;4;2;3;1;2;;;;2;;;3;;2;;;;;
31135-4429;;;3;3;;;16;2;9;1;;18;18;2;;;;;;;6;1;;3;;;2;1;2;;;;9;1;;2;;;;1;1;;;;;;;;;;;;;2;;1;1;;7;2;2;1;;;;;;;4;;1;;;;2;3;1;1;;;;;;1;2;1;1;;6;;;1;1;;;1;;;;;;3;;2;;;;;;;;;;1;1;;;;;;;;;;;;;;;;1;;;;;;;;;1;1;;1;;;;
31751-4429;;;1;;;;27;2;;1;7;8;27;;3;3;5;3;6;;23;;;10;;;;1;;1;;1;11;;;1;;;;;;1;1;;;;9;;1;1;;;;2;;;;1;;;;1;;1;1;2;1;;2;1;;;;;;1;;;;;;;;;4;1;1;;4;1;;;;;;;;;;;;1;;;;1;;6;4;;1;;;;;;;2;2;1;;;;2;1;1;2;;;;2;;1;;;;;7;1;1;1;3;3;1;;;
30698-6019;;;;;;;5;2;;1;1;1;5;;;;;;;;;;;1;2;;;;;1;;1;3;;;;;;;;;;;;;;;;;;;;;2;1;1;;;;;;1;;;;;;;1;;;;;;;1;;;;;;;;;1;;;;1;;;1;;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;1;
31891-4429;;;1;;;;30;2;8;;1;24;35;6;3;3;4;3;4;;18;1;;10;;;;;;2;;;12;;;2;;;;;1;;3;;;1;6;;;;1;2;;2;;;1;1;5;;3;;;;;1;1;;4;;3;1;;;;1;;1;;;;;1;4;3;;;;13;;;2;2;;;;;;;;2;5;3;;1;;;4;;4;;;;3;1;;;3;2;2;;;;1;1;;3;;2;1;2;;;;;;;1;;4;1;;;;;;
31489-6019;;;;;3;;24;3;1;;;8;18;;2;2;8;2;4;;;;;3;1;;;;;1;;;8;;;2;;1;1;;1;;1;;;3;;;;;;;1;3;1;;1;;;;1;;;;;1;;;5;1;4;3;3;2;1;3;;2;;;;;;;2;;;;5;;;3;2;1;1;;;;;;;2;;;;;;2;;2;;;;;;2;2;;2;;3;2;;;1;1;2;;;;;;;;;;;;;2;1;;1;1;;1;
