aluno;1>;2>;3>;4>;5>;6>;7>;8>;9>;11>;13>;14>;16>;17>;28>;29>;30>;31>;32>;33>;34>;36>;37>;38>;39>;41>;42>;46>;48>;49>;2>14>;5>5>;6>6>;6>6>6>;7>5>;11>9>;11>14>;14>2>;14>7>;14>11>;14>14>;14>14>31>;14>31>;14>31>14>;14>31>30>;14>31>30>14>;14>31>30>30>;14>31>30>30>30>;14>31>30>31>;14>31>31>;14>31>31>30>;14>31>48>;14>32>;14>38>;14>38>14>;14>38>33>;14>41>;14>41>31>;14>41>41>;14>41>41>41>;14>48>;14>49>;16>31>;16>31>30>;17>30>;17>30>14>;17>31>;28>30>;29>48>;30>14>;30>14>31>;30>14>31>30>;30>30>;30>30>14>;30>30>30>;30>30>30>30>;30>30>30>30>30>;30>30>30>30>30>30>;30>30>31>;30>31>;30>31>30>;30>31>30>31>;30>41>;30>48>;31>14>;31>14>31>;31>14>41>;31>30>;31>30>14>;31>30>14>31>;31>30>30>;31>30>30>30>;31>30>30>30>30>;31>30>30>30>30>30>;31>30>31>;31>30>31>30>;31>31>;31>31>30>;31>31>31>;31>32>;31>38>;31>41>;31>48>;31>48>29>;31>48>30>;32>14>;32>31>;32>31>30>;34>36>;34>36>37>;34>37>;34>38>;36>34>;36>34>37>;36>36>;36>37>;36>38>;37>34>;37>38>;38>14>;38>14>31>;38>31>;38>33>;38>36>;38>38>;41>14>;41>31>;41>31>30>;41>41>;41>41>31>;41>41>41>;41>41>41>41>;48>14>;48>29>;48>29>48>;48>30>;48>48>;48>48>48>;49>48>;49>49>;
35854-5102;1;15;1;;4;14;15;1;1;11;;132;2;2;;1;48;75;3;3;3;24;2;22;;53;;1;12;2;1;3;4;3;3;;;5;5;4;6;;31;;16;;7;1;1;4;3;1;2;10;;;18;1;4;1;;1;2;1;;;2;;;6;;;20;3;4;;;;;2;1;;1;1;;;;36;1;;17;4;;;1;1;13;7;1;;2;6;3;;1;;3;2;1;1;1;1;2;1;3;1;;;;1;;4;3;2;;1;4;1;16;1;4;3;2;1;;3;4;1;1;1;
23060-4428;;2;6;;;;1;;;;;41;;1;;;3;14;;3;3;4;3;11;7;20;1;;4;2;;;;;;;;1;;;;;7;2;2;2;;;;;;3;;2;1;1;7;1;1;;;1;;;;;1;;;2;;;1;;;;;;1;1;;;;;7;1;1;3;2;;;;;;;;;;;;;;3;;;;;;2;;;1;;;;1;2;1;1;5;1;;3;1;1;;1;;4;;;;3;;;;;;1;1;
30965-4429;;7;;;3;;6;;;2;1;49;2;4;;1;27;38;3;4;4;4;3;12;;34;1;;20;;;2;;;3;;;3;;1;;;7;;1;;;;;;;2;1;5;1;2;6;;;;1;;2;;;;4;;1;;;;6;;4;1;;;1;2;;;1;;2;;1;11;;;2;2;;;;;3;2;;;;;5;1;1;;1;;2;2;;1;3;;;2;1;;;1;;1;4;1;;;1;1;2;;1;1;2;1;1;3;6;1;;;
35968-6019;;3;;;;;;;1;2;;30;2;3;;;6;15;1;4;4;6;4;6;;41;1;;2;;;;;;;1;1;;;1;1;;2;1;;;;;;;;;;2;1;1;2;;;;;;2;1;1;1;2;;;2;;;;;;;;;;;;;;1;1;;;2;1;;;;;;;;3;;;;;1;;;;1;;;1;1;2;;3;2;2;2;;1;;2;;;3;;;;;;9;;3;;;;;1;;;;;
31673-4428;1;2;;1;;;2;;1;3;1;46;5;3;1;7;27;52;2;3;3;3;3;8;;66;2;1;10;2;;;;;;1;;2;;3;2;1;10;;4;;1;;1;2;;;;1;;1;9;;1;;1;;5;3;1;;2;1;1;1;;;14;1;6;3;1;1;3;5;2;;4;2;;;;19;;;11;4;2;;1;;8;1;;;;5;2;1;1;;1;1;1;1;1;;;;;1;1;;;;;1;3;;;1;2;;16;;2;;;7;1;1;1;;1;1;
35738-4912;1;5;1;3;;16;3;;1;3;;57;3;6;2;5;22;36;7;6;6;10;6;14;1;40;1;2;15;1;3;;10;4;;;1;1;2;2;12;1;7;;3;1;1;1;;;;;5;5;;2;19;1;6;1;2;1;3;3;1;;4;1;3;2;;;6;;5;5;2;1;1;3;;;2;4;3;;1;11;2;;1;1;1;;2;;1;;;2;;1;3;;2;2;6;1;1;1;3;1;4;2;1;1;1;;2;2;;;6;4;;1;3;1;10;1;2;;2;4;3;3;3;;;;
32891-4428;1;9;5;2;;;1;;1;2;3;71;5;2;;33;6;44;4;6;6;23;4;13;1;37;1;1;38;8;3;;;;;1;1;6;1;1;6;2;28;1;2;1;1;1;;5;;15;;3;;1;17;1;6;3;1;2;3;;;;2;;13;3;1;;1;;1;;;;;;;;;2;4;2;;3;1;;1;1;;;;;7;;1;;3;2;29;27;;1;3;;2;2;2;;4;2;7;2;3;;2;2;;1;3;1;;;6;;10;1;3;1;9;31;11;;3;;6;4;
32619-6019;1;6;;;;;;;1;2;;14;;3;;;3;7;;2;2;2;2;5;;18;;1;;;;;;;;1;;2;;;;;2;;;;;;;;;;;;;;1;;1;;;;;;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;1;1;;1;;;;2;;1;1;;;1;1;;;;1;;6;1;1;1;;;;;;;;;
30823-4224;1;6;;6;;5;3;1;1;3;4;72;3;5;4;29;13;53;;5;4;15;3;15;;27;;1;32;3;;;;;;1;;2;2;2;8;3;26;1;1;;;;;6;2;16;;5;;1;11;2;3;1;1;;3;;;;5;1;8;4;2;;3;3;2;;;;;1;1;;1;3;6;1;;8;1;1;2;2;;;1;1;7;3;;;2;;23;18;;;;;1;;2;1;3;2;6;1;2;1;1;2;1;2;5;3;1;;3;;4;;1;;2;27;7;2;3;;1;;
12849-4224;1;7;;;;;1;;1;10;;98;4;8;3;10;33;68;1;4;4;10;3;21;3;37;1;1;25;2;1;;;;;1;;2;;4;8;2;41;1;13;5;;;1;3;1;8;;12;2;;12;3;4;1;;;4;2;4;2;4;2;1;13;5;3;4;2;2;1;1;;;5;4;2;;2;2;1;;27;10;3;3;2;1;1;3;2;5;2;1;;2;1;15;9;1;;1;1;;;2;2;3;2;;;2;;2;4;1;3;3;3;3;5;5;2;11;1;4;1;5;10;1;2;4;1;1;;
