aluno;1>;2>;3>;4>;5>;6>;7>;8>;9>;11>;13>;14>;16>;17>;28>;29>;30>;31>;32>;33>;34>;36>;37>;38>;39>;41>;42>;46>;48>;49>;2>14>;5>5>;6>6>;6>6>6>;7>5>;11>9>;11>14>;14>2>;14>7>;14>11>;14>14>;14>14>31>;14>31>;14>31>14>;14>31>30>;14>31>30>14>;14>31>30>30>;14>31>30>30>30>;14>31>30>31>;14>31>31>;14>31>31>30>;14>31>48>;14>32>;14>38>;14>38>14>;14>38>33>;14>41>;14>41>31>;14>41>41>;14>41>41>41>;14>48>;14>49>;16>31>;16>31>30>;17>30>;17>30>14>;17>31>;28>30>;29>48>;30>14>;30>14>31>;30>14>31>30>;30>30>;30>30>14>;30>30>30>;30>30>30>30>;30>30>30>30>30>;30>30>30>30>30>30>;30>30>31>;30>31>;30>31>30>;30>31>30>31>;30>41>;30>48>;31>14>;31>14>31>;31>14>41>;31>30>;31>30>14>;31>30>14>31>;31>30>30>;31>30>30>30>;31>30>30>30>30>;31>30>30>30>30>30>;31>30>31>;31>30>31>30>;31>31>;31>31>30>;31>31>31>;31>32>;31>38>;31>41>;31>48>;31>48>29>;31>48>30>;32>14>;32>31>;32>31>30>;34>36>;34>36>37>;34>37>;34>38>;36>34>;36>34>37>;36>36>;36>37>;36>38>;37>34>;37>38>;38>14>;38>14>31>;38>31>;38>33>;38>36>;38>38>;41>14>;41>31>;41>31>30>;41>41>;41>41>31>;41>41>41>;41>41>41>41>;48>14>;48>29>;48>29>48>;48>30>;48>48>;48>48>48>;49>48>;49>49>;
30696-4224;1;5;1;1;1;;1;;1;6;1;66;3;10;;1;16;44;;6;6;8;5;16;;15;;1;4;;;1;;;1;1;;1;;1;4;;17;;6;;2;1;;;;1;;5;;1;4;;1;1;1;;3;1;3;1;7;;;1;1;1;4;;1;;;;1;2;1;;;1;2;;;8;;;2;1;;;;;5;;2;;;;2;;2;;;;1;1;4;1;6;4;;1;1;;1;3;2;2;4;1;;;1;;2;1;1;;;1;;2;;;;;
30869-4428;1;13;;1;1;3;7;1;1;5;;163;3;10;11;;133;150;3;6;6;25;9;30;;31;2;1;53;5;;;1;1;1;1;1;7;2;4;4;1;77;1;39;7;14;7;;5;3;4;;15;1;2;12;2;3;;7;4;3;3;5;1;5;4;;28;12;7;55;9;31;20;9;5;6;9;4;;2;24;3;;;81;11;2;26;11;5;3;2;1;13;5;2;1;1;1;8;;3;1;1;1;3;2;2;1;4;2;5;2;1;;2;11;2;5;5;3;1;;6;4;3;2;;;12;;;20;16;4;3;3;
31172-4428;1;10;5;2;;;1;;1;2;2;108;4;7;2;5;29;46;3;7;7;15;7;21;6;41;1;1;14;1;3;;;;;1;2;5;1;1;18;3;23;7;9;3;;;1;;;2;2;5;2;1;18;1;4;3;3;;4;2;4;3;3;2;;16;4;3;4;2;;;;;;5;5;1;;2;15;2;3;18;7;2;1;;;;5;5;2;;;;;;4;;2;2;1;;1;;4;2;3;2;1;;4;1;2;6;;;6;5;1;2;1;;11;;5;3;4;5;;2;1;;;;
30834-4224;1;10;;1;6;;11;3;1;6;;125;3;6;2;;53;82;8;5;4;10;3;25;1;35;2;1;13;4;5;6;;;6;1;;8;7;5;9;3;46;6;23;;3;1;14;;;1;5;18;9;3;19;;6;2;1;3;3;2;3;;3;1;;6;2;2;11;2;4;2;2;2;1;20;12;8;;1;17;8;1;37;2;1;7;3;1;1;19;11;2;;;4;1;;3;;2;1;6;3;;;2;;3;2;;;1;;1;10;4;4;5;3;1;;3;;11;2;3;1;1;;;5;1;;3;2;
31462-4224;1;8;1;;;2;9;3;1;5;1;56;4;9;2;3;32;47;7;6;6;8;4;13;1;31;1;1;9;1;1;;2;1;;1;1;4;3;4;2;1;21;3;9;;5;2;;;;3;;2;;1;10;1;5;;1;;4;2;4;1;5;1;1;4;1;;17;1;9;5;4;3;;;;;;1;5;;1;15;1;;7;3;2;2;;;3;;;2;1;2;4;2;1;1;4;1;1;;3;2;3;2;1;1;1;1;;3;2;3;5;1;;;6;1;9;1;;;2;2;1;2;1;1;;;
30987-4429;1;6;;;1;1;4;;1;4;1;80;3;6;5;1;34;45;5;6;5;17;5;16;2;6;;1;8;2;;1;;;1;;1;4;2;3;5;;23;;8;;1;;2;1;;1;;10;2;2;5;;1;1;;1;3;1;2;;4;4;1;4;1;1;3;;2;;;;;5;2;;;3;2;;;14;1;;2;1;;;3;2;5;;2;3;;;1;;1;3;3;2;3;1;1;2;2;;3;4;5;3;;5;1;1;5;4;1;;1;;1;;1;;3;1;1;1;3;2;1;1;
31526-4224;1;4;;;;27;1;;2;4;;22;2;3;;;6;25;;1;1;1;1;5;;11;1;1;3;1;;;7;3;;2;;1;1;1;1;;4;;1;;;;;2;;;;3;;;2;;1;;1;;1;;;;3;;;;;;1;;;;;;;1;;;;1;;;;2;;;;;;;;;4;;2;;1;1;;;;;;;;;1;;1;1;;;;;;;;3;;;;1;1;;4;1;1;;1;;;2;;;1;;
32029-4428;1;8;2;2;;;;;;1;2;45;2;2;;2;8;24;3;7;7;14;5;13;1;25;;1;6;7;2;;;;;;;3;;1;7;;7;1;4;;1;;1;;;1;2;2;;;6;;1;1;1;2;2;;;;2;;;;;;2;;1;;;;1;3;1;;;;2;1;;8;;;2;1;;;2;1;1;;;2;;2;4;1;;1;2;;2;1;2;2;6;2;3;1;2;;2;3;;;4;;;;3;;5;1;2;1;1;2;;;1;;1;1;
19930-4428;1;8;;;;;1;;1;4;;62;2;1;;;9;18;;6;6;8;4;20;;37;;1;6;;1;;;;;1;1;3;1;2;;;12;2;1;;;;;1;1;1;;8;3;2;18;;5;;1;;2;1;;;1;;;3;2;;2;1;1;1;1;1;;;;;1;1;3;2;;3;1;;;;;;;;2;1;;;3;;3;;1;;;;2;1;2;2;3;2;2;2;1;1;1;6;;1;5;;1;;1;;9;;;;;;;3;2;1;;;
31250-4224;;1;;;2;1;5;1;1;3;;56;3;6;;;14;33;1;5;4;6;3;8;;28;;;;;;2;;;2;1;;1;1;;3;;16;1;4;;1;;;4;1;;;1;;;8;;1;1;;;3;1;2;;4;;;2;1;;4;2;1;;;;;2;1;;1;;4;;1;10;;;2;1;;;1;;6;2;1;;1;2;;;;1;;;2;1;1;1;2;1;1;1;1;;1;1;1;;3;1;;;;;4;;1;;;;;;;;;;
30800-4428;1;7;;8;;1;6;2;1;6;3;69;4;6;;44;19;46;11;4;4;8;3;13;2;58;;1;49;9;1;;;;;1;1;2;2;;4;1;11;;;;;;;1;1;4;5;7;;2;22;2;5;1;2;2;4;1;4;;2;;12;3;;;2;;;;;;1;1;;;;5;3;;2;3;;;1;;;;;;3;1;;2;1;2;14;13;;;7;1;2;;1;1;2;1;1;1;1;1;;3;;1;3;;;3;4;;10;;2;2;1;39;9;1;3;1;8;5;
31248-4429;1;6;;1;11;61;15;;1;3;1;107;3;15;6;13;31;67;8;4;4;6;3;14;;70;1;1;25;1;1;9;34;20;8;1;;1;8;2;9;;24;2;5;2;2;;;;;;;7;3;1;36;3;6;3;1;1;2;;6;1;9;2;5;6;1;;8;2;5;4;3;2;;2;2;;;1;4;;1;15;2;1;6;3;2;1;1;1;4;;;5;;3;2;;1;1;6;3;;;2;2;3;2;3;1;;1;;3;3;;3;4;1;1;9;3;10;3;4;3;1;13;5;1;12;3;;;
31311-4429;1;13;1;1;6;;7;7;1;4;1;120;5;3;4;3;50;97;21;4;4;13;2;17;1;43;7;1;10;1;;3;;;3;1;1;3;;2;7;2;36;3;4;;3;1;;1;;;12;8;2;1;13;1;3;2;;1;5;4;1;;2;2;1;1;;;11;1;6;3;1;;;9;6;1;1;3;4;2;3;33;;;6;3;2;;8;5;5;;1;6;;1;4;1;2;4;16;9;2;1;;2;3;;3;1;;;1;3;;2;2;3;1;2;4;;12;1;5;1;;2;1;3;;;;1;
31508-4224;1;6;;2;2;;3;;1;3;4;28;5;6;1;9;12;31;1;5;5;5;4;12;;43;;1;26;;1;2;;;2;1;;;;;1;;8;;2;;;;;;;1;;2;;;8;;3;1;1;;5;;1;;5;;4;;;;4;;2;1;;;;;;;2;3;1;;;5;;;1;;;;;;5;1;1;;;1;6;3;1;;;;3;2;1;1;2;1;;2;1;;2;4;1;;3;;2;3;1;;12;1;5;5;10;9;4;2;1;;;;
31816-4224;1;7;2;2;2;22;12;1;1;9;2;156;3;7;;4;41;77;14;4;3;15;2;18;2;68;2;1;16;3;4;2;10;6;2;;2;4;10;7;14;1;45;8;17;6;1;1;4;3;2;2;1;12;2;3;43;4;12;7;5;1;3;2;3;2;4;;2;13;3;1;8;1;4;3;2;;1;12;8;4;;1;15;6;5;36;10;2;7;4;3;2;12;8;8;3;;3;1;2;5;2;1;9;4;1;1;1;1;1;2;1;5;1;1;;;6;3;;3;5;1;;13;5;16;7;9;2;6;4;1;2;1;1;2;2;
34845-4912;1;4;;;;;;;1;4;;29;1;4;;;12;18;1;3;3;6;3;7;2;19;;1;1;1;1;;;;;1;;1;;3;1;;4;;3;1;;;;;;;;2;;1;8;;2;;;1;1;1;2;1;2;;;3;;;;;;;;;;4;1;1;;;3;;1;7;2;;;;;;2;;3;;1;;;;;;;1;;;1;1;2;;2;2;;1;;;1;2;;;2;1;;;;;2;;;;;;;;;;1;1;
31477-5786;1;7;3;;;14;1;;1;7;;73;2;8;;;36;48;3;4;4;4;4;11;5;44;1;2;3;;1;;3;;;;2;3;;2;4;;16;;6;1;1;1;1;4;3;;;5;1;2;13;1;3;;;;2;;5;;2;;;5;;;14;3;6;1;1;1;;4;2;;1;;2;;;23;2;;8;5;1;1;2;1;10;7;1;;;3;;;;2;;;3;3;;;3;;;4;;;2;5;;1;3;;;;5;2;9;2;1;;;;;;;;;;
30480-6019;;;;;;;;;;;;4;;1;;;1;2;;1;1;3;1;4;;1;;;;;;;;;;;;;;;;;1;;;;;;;;;;;1;;;;;;;;;;;;;1;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;1;1;;;1;;1;1;;;1;1;1;;1;;;;;;;;;;;;;;;;;;
31586-4428;;3;2;1;;;;;1;10;;78;3;4;;4;31;67;21;6;5;8;4;9;2;35;4;;24;11;;;;;;;2;1;;7;7;;17;2;3;;;;1;1;1;1;6;2;;;6;;2;;2;2;3;1;1;;3;;1;2;;;3;1;1;;;;1;9;7;4;;;5;3;;19;1;;;;;;8;4;3;1;;5;;;8;;5;7;9;4;1;;3;1;2;1;;;3;1;;1;1;;3;;;2;2;;8;1;3;1;4;4;1;6;4;2;5;1;
31476-5102;1;7;1;;;;3;;2;13;1;111;3;5;5;;95;86;9;6;6;12;5;26;2;50;;1;7;4;1;;;;;2;;6;2;8;4;;48;4;35;8;12;6;4;3;1;;2;11;3;1;19;3;3;1;2;3;3;2;3;;2;5;;24;14;9;37;12;19;13;9;7;3;19;13;8;2;1;15;7;2;63;10;6;23;12;10;6;14;11;6;2;;2;2;;1;;1;6;3;1;2;;2;;1;1;1;2;2;3;;9;3;;5;3;1;;6;4;9;;2;;1;;;3;;;;;
31547-4428;1;11;;1;1;;2;;1;1;18;86;1;2;;6;20;49;4;4;3;5;2;13;;53;;1;44;5;2;1;;;1;1;1;3;1;1;8;1;25;4;9;;4;1;1;1;;3;1;6;1;1;19;1;5;2;16;1;;;;;2;;1;1;;;10;;5;3;3;3;1;2;2;1;2;7;6;3;1;15;;;9;5;3;3;2;2;4;;;1;4;2;6;1;2;3;;;2;1;;1;1;;;1;;1;1;2;1;2;4;1;1;1;3;1;18;;10;2;8;6;1;3;10;4;3;1;
35906-5102;1;4;;1;9;;10;;1;26;1;106;3;4;;14;54;81;9;3;3;12;2;12;1;46;2;1;29;6;;8;;;9;1;;3;5;13;1;;44;3;22;2;13;7;1;1;;1;2;2;;;9;1;1;1;;1;2;2;;;4;;4;6;4;2;29;4;14;9;6;1;4;8;4;;4;4;4;2;1;38;2;2;21;10;5;3;3;2;5;;;2;2;3;3;1;2;3;3;2;1;1;1;1;2;;6;1;;;1;2;2;1;1;;1;;2;1;8;;3;2;6;13;3;3;9;5;3;2;
32024-4428;;2;;;;;;;1;1;;41;3;3;1;3;27;38;2;5;4;11;3;10;;23;1;;16;3;;;;;;1;;;;1;4;2;14;2;5;1;3;;;;;;;1;;;6;;3;;6;3;3;2;2;;1;;1;8;3;1;12;2;3;2;2;1;3;7;2;1;2;4;5;3;;21;3;1;11;3;2;2;2;;3;;2;1;1;2;3;;3;;2;2;2;;1;2;1;1;;;;2;1;2;;;5;2;;3;3;2;9;2;3;;3;3;1;5;4;2;2;;
32377-4429;1;6;;;1;;2;2;1;2;;44;2;3;1;2;2;21;3;3;3;3;2;11;3;30;2;1;3;2;1;1;;;1;1;;3;1;;2;;7;2;;;;;;;;1;2;6;3;;12;;3;;1;1;2;;;;3;;;;;;;;;;;;;;;;;;3;;1;;;;;;;;;;1;;;;;;1;1;;1;1;;2;;;1;;;;1;1;2;;5;1;;2;;1;2;1;;5;1;;;;2;;;;;;;
29648-5786;1;10;1;2;1;5;5;1;1;8;1;82;5;16;;2;64;106;7;3;3;7;4;15;;42;1;1;8;1;;1;;;1;;1;5;2;;4;;45;;19;1;3;1;1;8;4;;2;6;;1;8;1;1;;;;5;1;8;1;8;;;6;3;1;18;1;8;4;2;2;3;13;5;1;2;2;;;;49;3;2;13;5;3;1;7;4;18;10;1;2;3;6;3;;2;1;3;2;1;1;2;;2;2;2;1;;;;;;6;2;1;;1;2;2;4;;;;2;2;;3;2;2;1;;
30904-4428;3;10;1;;;;;;1;2;;74;3;5;;4;17;43;9;3;3;6;2;13;1;26;1;3;6;5;3;;;;;1;1;4;;1;7;1;24;3;8;3;1;1;2;2;;3;4;7;3;1;12;1;5;3;1;2;3;1;1;;4;;1;9;6;4;2;1;1;;;;;9;5;2;;;9;3;1;14;5;3;2;1;;;6;4;5;;;6;1;1;3;3;;1;5;4;1;1;1;1;3;1;1;1;;;1;7;3;;3;1;;1;3;;12;1;6;3;1;4;1;;1;;2;3;
31116-4429;;7;;1;;29;3;;1;6;;69;3;2;;;18;32;1;3;3;5;2;10;1;45;;;4;1;1;;11;2;;1;2;3;2;5;2;1;13;1;4;1;1;1;;3;2;;;3;;1;17;;2;;;1;3;;;;2;;;1;;;6;;4;3;2;1;1;2;;;1;;4;;;10;1;;4;3;2;1;;;3;2;;1;;1;3;;3;1;;;2;1;1;;1;1;1;1;;;2;1;;1;1;2;;2;3;;6;1;2;1;;;;3;;;1;1;
28531-5102;3;16;1;;1;2;3;;1;5;;78;4;7;1;;37;61;1;3;3;21;2;22;1;46;;3;;;1;;;;1;;2;3;2;;3;;38;1;21;;7;3;3;3;3;;;14;4;1;13;;1;;;;3;;3;2;4;1;;3;1;1;12;;4;3;3;2;2;5;;;1;;6;1;1;31;1;;12;4;3;3;3;;11;5;1;;1;3;;;;;;;;;1;1;1;1;6;1;1;1;;7;3;3;3;;1;;2;;7;1;1;1;;;;;;;;;
30799-4224;2;23;;1;3;6;11;7;1;7;2;165;4;14;5;1;81;138;10;6;6;15;5;20;;78;1;2;15;2;;1;;;3;1;;14;4;1;1;1;75;8;38;12;9;3;7;8;3;1;1;5;;1;34;5;9;3;2;;4;1;6;4;7;1;;28;12;9;19;4;6;2;1;1;5;20;8;4;5;1;15;6;4;68;18;7;18;6;2;1;15;7;15;8;2;5;2;4;6;;1;5;6;3;1;;4;1;5;4;2;;2;;4;5;2;2;6;3;;2;9;5;15;2;3;2;5;;;1;1;;1;1;
31771-4429;1;4;;;;10;3;1;1;1;;42;3;5;;;15;30;;4;3;5;2;7;;39;;2;5;;1;;2;1;;1;;1;2;;;;10;1;3;1;;;1;1;1;;;3;;2;15;2;2;;1;;3;;1;;3;;;5;1;1;;;;;;;;1;;;1;;2;;1;8;4;;;;;;1;;6;2;3;;;;2;;1;;;;;;2;1;2;1;1;;1;;;2;2;;3;1;;;6;1;4;;1;;2;;;2;1;;;;
30588-4224;1;5;1;1;2;12;7;5;1;4;;61;3;4;2;21;4;48;4;5;4;6;5;13;;34;;1;30;8;1;2;2;1;1;1;1;1;2;1;3;1;19;1;;;;;;2;;5;1;4;;;11;1;;;1;3;3;1;;;4;;7;1;;;1;;;;;;;1;;;;2;8;1;1;1;;;;;;;;;3;;1;2;;1;15;14;;2;2;;1;1;1;1;3;1;1;2;;1;1;3;1;;5;1;2;;4;;5;;1;1;6;21;7;;6;2;7;2;
31496-4224;1;10;2;;5;2;8;;1;2;;73;3;4;;1;19;48;5;8;7;25;7;22;2;57;2;1;9;1;2;3;1;;5;1;;2;3;1;5;;18;4;2;;1;;;1;;1;;7;3;1;13;;1;1;2;1;3;1;;;4;;1;2;;;8;1;;;;;;3;1;;;1;13;3;;8;1;;4;;;;2;1;3;;;2;;2;3;1;;4;;;2;1;3;1;7;3;7;2;1;;3;6;1;2;6;1;2;2;5;;11;1;4;1;2;1;1;;1;;;;
31732-4224;1;6;2;;;;4;1;1;7;;43;7;4;;1;21;32;2;5;5;7;4;16;;36;;1;13;1;1;;;;;1;1;3;;3;1;;9;1;2;;1;1;;;;3;;4;;1;10;;2;;1;;6;1;1;;3;;1;3;;;9;2;5;1;;;;1;1;;1;3;3;1;1;9;;;4;3;1;;;;3;;1;;1;2;7;1;3;;1;;2;1;2;1;2;1;;2;2;1;;3;;3;5;;1;;1;;6;;;;3;1;;5;1;1;;;
31762-4429;1;10;;2;4;3;8;2;1;7;1;84;6;9;7;1;37;73;8;4;4;13;2;14;5;43;1;1;14;4;1;4;;;4;1;1;3;3;4;2;1;33;1;5;2;;;1;3;;4;1;8;1;2;4;;1;;;1;6;3;2;;7;3;;9;1;;12;2;3;2;1;1;2;7;3;1;;4;6;1;1;25;4;;4;;;;4;2;6;3;2;5;;3;6;1;;7;;;1;;;2;2;;1;2;;2;;5;1;3;3;1;4;1;1;1;7;1;;;2;1;;1;1;1;;;
35812-5102;1;4;;1;;2;1;;1;4;2;27;5;;;2;4;17;;3;2;9;1;11;;44;;2;4;1;;;1;;;;;1;;2;;;4;;1;;;;;1;1;;;5;;1;8;;2;;;;5;;;;;;1;;;;1;;;;;;;;;;1;1;;;;3;;;;;;;;;4;2;2;;;1;3;;1;;;;2;1;;;;;2;1;1;;;;;;2;2;;;3;;9;2;3;1;;;;1;;;;;
31831-4428;3;6;1;;1;2;2;;1;3;;57;2;5;3;;27;45;12;6;6;12;6;12;;30;3;3;4;2;;;;;1;;1;3;;2;3;;14;;5;1;;;;;;;3;3;;;17;2;3;2;;;2;2;1;;4;2;;5;1;;1;;;;;;;6;5;;;1;5;;1;17;4;1;;;;;4;3;2;;;4;1;2;2;;1;4;9;3;2;1;3;1;4;2;2;1;2;;2;2;2;;2;2;1;1;4;2;6;1;2;;1;;;1;1;;1;1;
35699-5102;1;6;1;3;;;2;;1;3;3;64;3;10;;8;19;38;5;4;4;7;3;12;3;26;1;1;15;3;1;;;;;;;1;1;2;6;1;10;;5;;2;2;1;1;;1;2;3;;3;9;1;2;1;1;1;3;;7;;3;;4;;;;4;;2;1;1;;;3;1;;;1;1;;;11;;;3;2;1;1;1;;3;;;1;;2;3;3;;2;2;1;;;2;1;3;2;1;1;;1;1;2;1;1;4;1;1;;3;1;5;1;2;2;1;7;4;;;;2;1;
35788-4912;1;15;;;1;10;7;;1;7;;129;8;19;3;;59;104;5;3;3;20;4;22;;37;;10;4;;2;1;5;1;;1;3;7;2;6;6;2;58;4;25;3;6;2;2;6;2;1;;8;1;;15;1;6;4;;;7;4;10;1;7;3;;11;4;1;10;4;3;2;1;;1;6;2;;1;;14;2;2;42;8;;9;2;1;1;2;1;15;4;;3;3;5;2;;1;;5;3;;;2;1;3;2;9;;;;1;4;2;4;2;;4;1;5;;13;2;9;7;;;;1;1;1;;;
27953-4428;;1;;;;;;;1;2;;25;1;3;;;4;16;;6;6;17;4;10;;16;;;;;;;;;;1;;;;1;;;6;;1;;;;;;;;;1;1;;1;;;;;;1;1;;;3;;;1;;;;;;;;;;1;1;1;;;1;1;;2;;;;;;;1;1;1;;;;;;;;;;;;3;3;1;2;6;1;5;3;;;1;3;2;;3;;;;;;1;;;;;;;;;;;;
31365-4428;1;10;;;;;1;;1;3;;30;3;6;1;3;18;34;2;6;6;12;5;11;;27;;1;4;1;1;;;;;1;1;4;;1;;;5;;1;;;;;1;1;;;3;;2;9;1;;;;;3;2;3;1;3;;;1;;;5;;2;1;;;1;1;;;2;;2;;;9;;;2;1;1;;;;3;1;;;;2;3;3;;1;1;;2;1;;2;;;2;5;1;4;;2;;1;5;2;1;1;1;;3;;;;1;3;;;;;;;
17555-6395;1;4;;;;;;;;;2;22;1;14;1;;28;23;;1;;;;2;;6;1;3;4;;;;;;;;;1;;;;;15;;10;1;;;;3;1;1;;2;;1;2;1;;;1;;1;;11;2;2;;;3;1;;1;;;;;;;;;;1;;;;;15;1;;;;;;;;3;1;1;;;;2;;2;;;;;;;;;;;;;;;;;;1;;;1;1;;1;;;;;;;2;;;;;
31453-4429;1;8;;1;6;6;10;1;1;5;;94;5;26;2;1;61;104;1;5;5;11;4;18;;25;;1;2;;;4;2;1;3;1;1;5;4;2;7;3;34;5;12;4;2;;2;2;1;;;4;3;;9;1;4;4;1;;5;5;10;;16;;;8;4;1;13;3;5;1;;;4;29;20;12;;1;10;5;3;49;5;2;10;5;1;;18;11;9;2;1;1;5;1;;;;1;;;2;1;2;1;3;2;2;1;1;1;2;5;1;3;3;;1;;1;;16;1;7;5;;1;;1;;;;;
35920-4912;1;9;;1;4;17;10;2;1;7;1;129;6;16;2;4;67;75;4;3;3;7;2;16;2;59;2;1;14;2;;3;2;2;4;1;2;7;5;4;3;;38;;21;1;11;8;2;3;1;4;2;4;;2;17;;1;;1;2;6;3;9;2;7;1;1;12;6;4;33;3;25;17;15;11;3;8;6;;1;2;13;5;2;43;4;2;24;19;13;12;4;3;7;2;3;;;3;6;3;2;;4;4;1;1;;1;2;;;1;;;;4;2;1;3;3;;3;2;;12;1;1;1;2;4;1;4;1;;;1;
31776-4224;1;5;2;4;;10;9;9;3;22;4;132;4;11;5;5;24;93;13;7;7;9;5;22;4;56;2;1;28;5;;;3;2;;3;1;2;3;10;8;1;28;;7;;1;1;1;8;2;1;10;5;1;1;11;;2;1;2;2;4;1;2;;9;;;1;;;6;;3;2;1;;1;5;1;;1;2;4;1;;19;1;;4;2;1;1;2;;19;3;5;;2;7;3;;1;1;10;1;5;2;2;;1;1;;2;4;1;1;4;2;3;4;;1;1;2;;12;1;4;1;1;2;;4;4;3;1;2;
32097-6395;;12;2;;;;4;1;;;;43;3;9;;;26;45;;3;3;13;3;12;;18;;;1;;1;;;;;;;4;1;;4;3;24;1;5;;2;1;;3;1;;;3;;1;8;3;2;;;;3;2;3;1;6;;;4;2;;10;;3;1;;;2;3;2;1;2;1;3;1;1;16;2;2;6;2;1;;2;1;6;3;2;;3;3;;;;;;;;;1;;2;1;4;1;;1;;3;2;2;3;1;;4;4;2;6;1;1;1;;;;;;;;;
14770-4429;1;4;;;;;1;1;1;2;;36;2;4;2;;15;33;2;7;7;9;6;15;;27;;1;4;;;;;;;1;;;1;1;13;3;10;;2;;1;1;;1;;;1;3;;;10;1;3;2;;;2;;1;;3;;;3;1;1;5;;4;2;;;1;3;;;1;;2;1;;6;;;2;1;1;;1;;9;3;3;;;1;3;;2;1;1;;2;1;3;;3;3;;2;2;1;2;3;1;1;6;1;3;;2;;6;;2;1;;;;2;;;;;
35937-4912;1;6;1;;1;;2;;1;12;;155;5;17;3;;54;96;7;6;6;20;4;23;1;47;;1;2;;;1;;;1;;2;6;2;8;13;3;51;4;21;4;5;4;2;5;1;;;12;2;4;24;3;3;;;;5;4;9;5;8;2;;15;5;5;10;1;6;3;1;1;2;13;6;3;;;14;4;2;37;6;3;10;6;3;1;8;3;7;1;1;2;1;3;;;;6;1;;2;;2;2;3;2;8;2;2;2;;4;1;6;5;;;1;4;2;7;1;;;;;;;1;1;;;
31522-4224;1;5;;;;;;1;1;4;;89;4;7;3;9;32;58;13;4;4;10;2;14;1;21;;1;22;5;1;;;;;;;;;2;11;5;36;1;12;1;4;1;1;2;1;8;3;8;2;3;9;1;3;1;;4;4;2;2;;5;2;;7;2;1;8;3;1;1;;;1;4;;;;3;4;1;;18;1;;5;1;;;2;;7;2;1;5;;;13;2;2;8;3;;;;2;2;4;2;;;1;;2;6;1;;4;2;2;1;1;;6;;1;;1;8;;3;3;;;2;
31170-4224;1;10;;2;4;15;7;1;1;8;1;104;6;20;1;5;46;90;;3;3;7;2;14;1;39;;1;12;1;5;2;10;7;4;1;1;6;3;8;12;6;49;16;23;7;2;2;1;1;1;2;;7;2;2;15;1;3;3;;;6;2;11;6;9;1;;15;5;3;3;;3;3;3;3;;9;5;2;;;25;9;3;36;7;1;2;2;2;2;5;2;4;2;;;;1;5;3;;;;;1;1;1;1;2;;3;1;2;;;5;3;;3;2;;1;6;;10;2;5;3;4;5;;;1;1;;1;
27548-6547;;1;1;1;;;1;;1;3;;29;3;3;3;3;20;24;8;1;1;1;1;2;;8;;;6;;;;;;;;;;;1;2;1;8;;1;;;;;;;;5;;;;2;;;;1;;3;;2;;1;3;2;;;;4;;2;2;;;;2;1;;;2;1;;;8;;;1;1;1;;1;1;2;2;;1;;;3;1;1;2;4;3;1;1;;;1;;;1;;;1;1;;;1;;;;;;2;;;;;3;1;2;1;1;;;
31743-5102;;2;;;;2;3;;1;3;;31;2;2;;1;16;25;2;5;4;13;3;20;1;8;;;4;2;;;1;;;1;;;;;1;;7;;4;;2;;;;;;;9;5;1;3;;;;2;1;2;1;1;1;1;;;1;1;1;6;;1;;;;;1;;;;;1;;;12;;;6;1;;;1;;3;;1;;1;2;1;;;1;1;1;1;;;3;2;;9;2;2;2;;8;;1;3;1;1;1;2;1;2;;1;;;1;;;1;;;1;
31883-4224;;1;;;;;1;;1;1;;29;2;2;;1;18;23;;4;4;7;3;11;;11;;1;4;;;;;;;1;;1;;;;;16;;5;;4;2;;3;1;;;2;;1;5;1;;;;;2;1;1;;1;;1;2;1;;9;2;5;4;1;1;;1;;;1;2;;;;9;;;6;3;3;1;1;;4;2;;;;1;;;;;;;1;;1;1;1;1;1;1;1;2;;;;;3;2;;1;2;;2;;2;;1;1;1;1;1;1;;;
27352-6395;;2;;;;;1;;;;;30;3;3;;;8;23;1;3;3;4;3;8;;10;;;1;;1;;;;;;;1;1;;3;1;12;1;4;1;1;1;;1;;;;3;1;1;7;2;3;;1;;2;;;;3;;;1;;;4;;3;;;;1;1;;;1;;3;1;1;6;1;;2;2;;;;;1;;;1;1;;;;;1;;;2;2;1;;;;;2;1;;;2;;1;3;1;;1;2;;4;;1;;;;;;;;;;
31699-4912;1;7;;;;5;1;;1;3;;40;2;7;;;30;48;;3;3;6;2;7;;30;;1;3;;1;;3;;;1;;3;;;2;;20;;8;;1;;;3;3;;;3;;;9;1;2;1;;;2;2;2;;5;;;3;1;;10;1;5;5;4;1;2;5;3;;1;2;2;1;1;27;2;1;9;5;5;4;2;1;5;5;;;1;1;;;;;;;2;;;;1;;2;1;2;1;;3;2;;3;;2;;2;2;8;;5;1;;;;1;1;;;;
31572-4912;;;;2;;;1;3;1;3;;34;1;1;;;10;21;2;3;3;5;4;11;;5;;;2;;;;;;;1;;;;2;2;1;9;2;2;;;;;2;;1;1;1;;;4;1;;;;;1;;;;1;;;1;;;3;;2;;;;;1;;;;;3;1;;5;;;2;2;;;;;3;;2;;;;2;;1;1;;;1;1;2;;2;2;;1;;;1;1;;2;2;1;;;1;;;;;;;;;1;1;1;;;
