aluno;4>;6>;7>;8>;11>;13>;14>;16>;17>;28>;29>;30>;31>;32>;33>;34>;36>;37>;38>;41>;42>;47>;48>;49>;6>6>;14>8>;14>14>;14>14>31>;14>31>;14>31>14>;14>31>30>;14>31>30>14>;14>31>30>30>;14>31>30>30>30>;14>31>30>31>;14>31>31>;14>31>31>30>;14>31>41>;14>31>48>;14>31>48>29>;14>32>;14>32>31>;14>38>;14>41>;14>41>31>;14>41>41>;14>41>41>41>;14>48>;14>49>;16>31>;16>31>14>;16>31>30>;16>31>48>;17>30>;17>30>31>;17>31>;28>30>;29>14>;29>30>;29>48>;29>48>29>;30>14>;30>14>31>;30>14>31>30>;30>30>;30>30>14>;30>30>30>;30>30>30>30>;30>30>30>30>30>;30>30>30>30>30>30>;30>30>30>30>30>30>30>;30>30>30>31>;30>30>31>;30>30>31>30>;30>30>48>;30>31>;30>31>14>;30>31>30>;30>31>30>30>;30>31>30>31>;30>31>30>31>30>;30>32>;30>41>;30>48>;30>48>30>;31>14>;31>14>31>;31>14>31>30>;31>14>41>;31>30>;31>30>14>;31>30>14>31>;31>30>30>;31>30>30>30>;31>30>30>30>30>;31>30>30>30>30>30>;31>30>31>;31>30>31>30>;31>30>31>30>31>;31>30>48>;31>31>;31>31>30>;31>31>31>;31>32>;31>41>;31>48>;31>48>29>;31>48>30>;32>14>;32>14>31>;32>31>;32>31>30>;34>36>;34>36>37>;34>37>;36>34>;36>34>37>;36>36>;36>37>;37>34>;37>38>;38>14>;38>14>31>;38>33>;38>36>;41>31>;41>31>30>;41>41>;41>41>31>;41>41>41>;41>41>41>41>;48>13>;48>14>;48>14>31>;48>29>;48>29>14>;48>29>30>;48>29>48>;48>29>48>29>;48>30>;48>30>30>;48>48>;48>48>48>;49>14>;49>48>;49>49>;
30886-4429;;2;2;;;1;25;3;2;1;;19;28;1;2;2;7;2;4;19;;1;8;1;;;;;16;2;5;;4;2;1;3;1;;1;;;;;3;;1;;;;3;;2;1;;;2;1;;;;;2;2;2;9;1;6;4;4;3;1;1;1;;1;6;;4;;;;;1;3;1;3;2;;1;10;1;1;4;2;1;1;3;2;;2;3;1;1;;1;3;;2;1;1;;;1;1;1;1;1;1;1;;;1;1;1;;2;;3;1;1;;;3;2;;;;;;4;;1;1;1;;1;
31697-4428;1;;;;;3;24;3;1;1;4;17;24;2;1;1;2;1;2;14;;1;6;1;;;;;12;;7;1;2;2;;1;;1;3;1;;;1;4;;2;1;2;;3;2;1;;;;1;;;1;;;1;;;2;;2;;;;;;;;;2;1;;;;;1;;1;;5;4;1;;11;1;;2;2;;;2;;;;2;;;;2;3;1;;;;;;;;;1;;;;;;;;1;;2;;3;1;1;;1;3;;2;;1;;;1;;1;1;;;;
31774-4224;3;5;10;10;;6;90;3;2;;76;20;74;3;1;;2;;7;24;3;2;81;3;1;6;3;1;46;4;3;1;;;;6;2;;23;22;1;;4;7;;2;1;1;2;3;;;3;1;;1;;11;5;34;26;9;5;;3;1;1;;;;;;;;;1;;;;;;;;3;;11;1;;1;6;3;2;;;;;;;;1;6;2;;;1;39;35;;1;;;;;;;;;;;;;3;1;;1;3;;5;1;1;;6;9;2;71;9;4;32;25;;;9;1;1;2;3;
31313-4224;;9;1;;;;42;3;4;3;;36;49;2;3;3;6;4;10;22;1;;4;;;;;;20;;10;;3;3;3;2;2;;;;;;5;7;;3;1;;;3;;1;1;3;2;1;2;;;;;5;;;18;2;11;4;3;2;1;4;4;1;1;14;2;10;6;2;1;1;;1;1;3;1;;;30;2;;16;10;4;3;9;7;;;5;3;;1;2;2;;1;1;1;2;2;1;1;2;3;2;;1;;;3;;2;3;4;2;6;3;2;1;;;;;;;;;2;1;2;1;;;;
14874-6547;1;2;1;;2;;12;3;2;;1;18;18;;1;1;12;1;2;23;;;1;;1;;;;2;;2;;1;1;;;;;;;;;;6;2;;;;;3;;3;;1;1;1;;;1;;;;;;7;;4;1;1;;;;;;;1;;1;1;;;;1;1;;;;;;11;;;5;3;1;1;;;;;;;;;1;1;1;;;;;;;;;;;2;1;1;;;;;;4;2;2;;;;;;;1;;1;;;;;;;;;;
28589-4428;;;;;;;19;1;1;;;4;9;;1;1;1;1;3;4;;;1;;;;1;;2;;;;;;;;;;;;;;;2;1;1;1;;;1;;;;;;1;;;;;;;;;2;;1;1;;;;;;;;;;;;;;;;;;1;;;;1;;;1;1;1;;;;;;1;1;;;;;;;;;;;;;1;1;1;;;;1;1;;1;;1;;2;;2;1;;;;;;;;;1;;;;;;;
31369-4429;1;;5;5;;2;65;3;1;3;3;26;48;9;3;3;5;3;8;42;2;1;11;3;;4;7;5;28;3;10;3;4;;2;1;;2;1;;2;2;2;22;5;9;1;3;;3;;2;1;;;1;2;;;;;10;5;1;9;;3;1;;;;2;2;1;;4;1;3;;;;1;1;1;;11;4;3;3;20;7;2;7;2;;;2;2;;1;5;;2;1;4;5;;1;1;1;8;1;1;;1;1;1;3;2;2;1;2;1;3;;7;;14;2;2;;1;1;;2;;;;;2;1;2;1;1;2;;
30639-5102;;;8;5;;;60;4;2;4;1;47;54;2;1;1;2;1;7;29;5;;3;5;;1;4;2;28;;17;;7;3;1;4;2;1;;;;;3;6;2;;;;2;4;;4;;2;;;4;;;1;;2;;;22;1;10;6;2;1;;2;3;;1;7;1;;;;;;6;1;1;2;;;;36;1;;13;6;4;1;3;;;;9;4;2;1;4;;;;;;1;;;;1;;;;;;;2;;1;;6;2;5;;2;1;;1;1;1;;;1;;1;;;;;2;2;
32892-4912;;;;;3;;6;3;2;4;;10;12;;1;1;3;1;2;1;;;;;;;1;;3;;2;;1;;;;;;;;;;;;;;;;;3;;3;;;;2;4;;;;;1;;;2;1;;;;;;;;;;1;;1;;;;;1;;;;;;;6;;;1;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;1;;1;1;;;;;;;;;;;;;;;;;;;;
31529-4224;;;;;;;21;3;3;;;18;19;;1;1;6;1;3;22;;;4;;;;1;;4;;2;;1;;;;;;1;;;;;6;;2;;;;3;;2;1;2;1;1;;;;;;;;;9;;3;1;;;;;1;;;2;;;;;;;;;;;;;;9;;;6;3;1;;;;;;1;1;;;1;4;;3;;;;;;;1;1;1;1;;;1;;;;1;2;;4;2;1;1;;;;;;;;;3;;1;1;;;;
31243-4224;;;;2;;;68;5;1;3;;14;28;5;2;1;4;1;6;33;1;;6;4;;;4;1;12;6;4;1;;;3;;;;1;;3;2;2;17;;4;3;2;1;5;2;2;1;;;1;3;;;;;4;1;1;1;1;1;;;;;;;;;10;3;7;;4;2;2;;;;9;4;2;1;12;3;1;1;1;;;7;5;4;;1;;;;;3;;1;1;1;4;2;;;;;;;1;1;;3;;2;1;2;1;6;1;3;1;;3;;;;;;;1;;;;3;1;;
31216-4224;2;;2;;;2;25;3;2;;6;21;20;1;2;2;3;2;8;17;;4;15;5;;;1;;7;;;;;;;3;1;;1;;;;1;4;;3;2;;2;3;;3;;1;;1;;1;;1;1;2;;;6;;3;2;2;2;1;;;;;1;;1;1;;;;2;;;;;;;6;1;;2;;;;1;1;;;6;1;3;;1;3;;2;;;;;;;2;1;1;1;;;1;1;;1;1;1;;7;1;3;1;;1;;5;1;;1;1;3;;7;4;1;2;4;
35958-5786;;;;;4;;19;1;;;;5;11;2;1;1;1;1;3;12;;;1;;;;;;5;;2;;1;1;;1;;;;;1;;1;4;1;1;1;;;1;1;;;;;;;;;;;2;;;3;1;2;2;2;2;2;;;;;;;;;;;1;;;;2;;;;3;1;;2;2;2;2;;;;;1;;;;1;1;;;;;1;1;;;1;1;1;;;;1;1;1;1;;3;1;4;1;1;;;;;;;;;;;;;;;;;
35500-4912;;1;2;;9;;45;2;4;;;22;35;;3;3;3;3;7;20;;;2;;;;4;;14;;5;;2;;1;1;;1;;;;;1;3;;;;;;2;;1;;3;3;1;;;;;;2;;;8;;3;1;;;;;;;;8;;4;2;;;;2;;;;;;;14;1;;6;3;1;;1;;;;4;;1;;2;;;;;;;;;;1;2;1;2;2;1;1;1;1;3;;;;1;;1;;;;;;;;;;;;1;;;;;
32018-4428;;;;;;;29;3;4;;;24;28;;1;1;1;1;2;23;;2;11;3;;;4;1;10;1;3;;1;1;;;;;1;;;;2;5;;2;1;3;1;3;1;2;;3;1;1;;;;;;2;;;7;;5;2;1;;;1;2;1;;3;1;1;1;;;;;3;;4;;;;10;2;;4;4;1;;1;;;3;2;1;1;;2;1;;;;;;;;;;1;;;;;;1;1;1;;4;1;8;2;5;2;;1;;;;;;;2;;3;1;;1;2;
31520-4429;;1;1;1;;1;51;3;2;;1;21;40;1;2;2;3;2;4;17;3;1;2;1;;;1;;9;1;2;;;;1;;;;;;1;;1;6;;;;1;1;3;;;;1;1;1;;1;;;;2;;;;;;;;;;;;;;8;;4;;1;1;;;;;4;1;;1;14;2;;;;;;6;4;1;;2;1;;;;;;;;;;;2;2;;;;;2;;1;1;1;1;;1;;2;;1;1;1;;;;;;;;;;;;;;1;
33958-5102;;;1;;;;22;4;1;;;21;20;4;1;1;2;1;3;16;;;1;1;;;;;4;1;2;;1;1;1;;;;;;3;3;1;7;1;2;;;1;4;;3;;1;1;;;;;;;4;;;10;1;7;4;2;1;1;;;;1;4;1;3;;3;2;;;1;;4;;;1;12;3;;5;4;1;;3;3;3;;;;;;;1;;1;;;4;3;1;;;;;;;1;;1;;1;1;3;3;3;1;;;;;;;;;;;1;1;;;;;1;
29192-4224;;;;;;;26;2;1;;;6;19;1;3;3;3;3;7;9;;;1;;;;;;12;;1;;;;1;2;1;1;;;;;2;1;;1;;;;2;1;1;;;;1;;;;;;1;1;;1;;1;;;;;;;;;1;;;;;;;1;;;1;;;;5;1;1;1;1;;;1;;;;4;1;;1;2;;;;;;;;1;1;;;;;3;2;1;1;1;3;;1;;3;1;;;;;;;;;;;;;;;;;;
32369-4912;;;;;2;;25;2;3;;3;4;20;;1;1;2;1;2;13;;;8;;;;;;12;;2;;;;1;2;1;;4;;;;1;2;;;;;;2;;;1;2;;1;;1;;;;2;2;1;;;;;;;;;;;;1;;;;;;;;;;;;;;3;;;;;;;1;;;;3;1;;;;7;3;1;;;;;;;;1;;;;;;;;1;1;;;2;;1;;;4;3;3;1;;;;1;;;;;;;
32045-4224;1;;;;;;14;;;;1;3;8;3;3;3;7;3;5;16;;;4;1;;;1;;3;1;;;;;;;;;;;1;1;;1;;;;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;;1;;;;;;;;1;;1;;;;1;1;1;;;;;;;;1;;;;1;;2;;;;;2;1;;;2;2;2;1;1;1;1;1;1;2;;;;2;;1;1;;1;;;;;;;;;;;;;;
24701-4429;;16;2;1;;1;83;3;13;1;12;71;89;1;1;1;3;2;9;24;2;;15;2;2;;;;52;;18;;11;2;2;15;6;2;9;6;;;5;6;;2;;;1;3;;;1;10;1;3;1;1;8;2;2;4;2;;42;3;17;10;5;3;2;;3;;3;7;1;3;3;;;;2;3;1;1;;;;45;;;25;7;3;2;3;1;;;22;12;6;;7;13;10;3;;;1;;;;1;1;1;;;;1;;;1;;4;1;5;;;;;;;11;1;8;2;2;4;3;1;;1;1;1;
31872-4428;;;;;;;39;2;2;;;10;24;8;1;1;1;1;3;30;;;;;;;;;7;1;2;;;;1;;;;;;1;;1;16;1;;;;;2;1;;;1;;1;;;;;;1;1;;;;;;;;;;;;;5;;3;;2;2;2;;;;5;1;1;2;7;1;1;;;;;3;2;2;;1;;;2;;;;;2;;4;2;1;;;;;;;1;;2;1;1;;2;1;1;;;;;;;;;;;;;;;;;;;
31833-4224;1;;1;;;1;40;3;2;1;2;46;48;3;1;1;3;1;5;30;;;6;3;;;3;1;21;;8;;6;1;1;3;1;2;3;;;;1;6;1;1;;1;;3;;2;;1;;1;;;;;;5;5;1;26;3;17;8;6;4;3;4;5;1;2;7;;1;;;;;1;2;2;2;;;1;21;1;1;14;7;4;2;2;;;;6;2;4;1;3;4;1;2;2;1;1;1;;;1;;;;;;;;;1;;4;1;9;;1;1;1;1;;2;;;;;4;2;;;2;;;
22435-6547;;;1;;;;28;1;3;;;11;17;;;;;;;9;;;1;;;;2;;11;;7;1;5;2;1;;;;;;;;;5;;2;1;;;1;;1;;2;;1;;;;;;5;2;;6;2;3;1;;;;;;;;2;;1;;;;;;;;1;;;;8;1;1;5;2;1;;1;1;;;1;;;;;1;;;;;;;;;;;;;;;;;;;;;;2;;1;1;;;;;;;;;1;1;1;;;;;
30822-4428;;;;;;;58;5;5;1;3;62;57;14;1;1;3;1;6;19;2;;15;3;;;3;;20;;13;1;6;3;1;2;;;1;;4;2;3;9;1;1;;;1;4;;1;1;3;2;2;1;1;;;;8;3;;19;3;8;3;2;2;1;3;8;3;1;19;2;9;3;3;2;2;;9;;5;1;1;;36;4;2;16;7;3;2;7;4;1;3;3;;1;6;;5;;5;4;3;8;5;1;1;;;;1;1;;;1;;1;2;3;2;2;1;1;;;4;1;3;1;;;;5;2;2;1;2;;;
33173-4224;;;;2;;;18;2;1;;1;6;12;1;1;1;5;1;2;16;;;1;2;;;1;1;6;;;;;;;;;;;;;;;4;;;;;2;2;;1;1;;;1;;1;;;;2;;;3;1;3;1;1;1;1;;;;;2;;1;;;;;;;;;;;;3;1;;;;;;1;;;;;;;;;1;1;;;;;;;;1;1;1;2;;;;;;1;;1;;2;1;;;;;;1;1;;;;;;;;2;;1;
21853-6019;2;;2;;4;;33;2;2;;2;11;21;4;3;3;4;4;6;14;;1;13;5;;;1;;13;3;7;2;3;2;;1;;;1;;;;1;2;;;;3;2;2;1;1;;1;;1;;;;1;;2;2;1;5;;4;;;;;1;1;;1;1;;;;;;1;;1;;5;1;;;10;2;2;4;3;;;;;;;2;;;2;;2;;1;2;1;3;;1;;;1;;;1;2;1;1;1;3;1;1;1;2;1;;;;4;2;1;;;;;1;1;2;;;3;1;
30705-4429;;;;1;;;30;3;1;;5;11;23;;3;3;3;3;6;16;2;;7;1;;1;;;7;;1;;;;1;1;;;;;;;1;4;;2;;;1;3;;;1;;;1;;;2;1;1;;;;4;;2;;;;;;;;;1;;;;;;;1;;;1;;;;2;;;;;;;1;;;;2;;1;;3;4;3;1;;;;;;;3;3;3;;;;2;1;;3;;3;;7;3;2;1;;;;5;;1;1;1;1;;;;;;;
32040-4428;;;;;;;27;2;3;;;13;20;2;3;3;5;3;7;24;1;2;7;3;;;5;4;10;1;3;;2;1;1;;;;;;;;;4;;1;;;1;2;;1;1;3;1;;;;;;;1;1;1;2;;1;;;;;;;;;3;;2;;2;1;1;;1;;1;;;;9;;;2;1;;;2;2;2;;1;;;;1;2;;;1;1;;;1;;1;2;1;;;1;;2;;1;1;3;1;10;2;3;;;3;2;;;;;;1;;2;;1;1;;
31510-4428;1;;;;;1;24;4;1;;19;1;21;1;1;1;3;1;3;16;1;;20;;;;1;;6;;;;;;;;;;1;;1;;1;5;1;2;1;;;4;;;2;;;1;;;;5;4;;;;;;;;;;;;;;;;;;;;;;;;;3;1;;;;;;;;;;;;;;1;;;;1;7;6;;;;;;;;1;1;1;1;;;;;;1;;3;;5;1;3;2;;;;17;;;4;3;;;2;;;;;
31647-4224;;3;3;;;;19;6;3;;6;14;29;;1;1;2;1;4;19;;;9;;1;;3;;8;;3;1;;;;2;;;1;;;;1;5;1;;;;;6;2;2;1;2;;1;;;2;1;1;1;;;6;;2;2;;;;;;;2;1;;;;;;;1;2;;6;3;;2;8;1;;3;;;;;;;;6;1;1;;3;4;1;;;;;;;;;;;;1;1;;;;1;1;3;;3;1;2;1;;;;6;;2;1;1;1;;1;;;;;
31602-4224;;;1;2;;;22;2;1;;;16;26;3;2;2;4;2;7;1;;;4;;;1;;;9;;5;;1;1;;1;1;;;;2;1;3;;;;;;;2;;1;;;;1;;;;;;;;;6;;2;2;1;;;;1;1;1;2;;2;1;;;;;2;1;3;1;1;;12;;;5;2;2;1;1;1;;1;3;1;;1;;;;;;;3;2;2;2;;;;;2;;;1;1;2;1;;;1;;1;;;;;;;;;;3;2;2;1;;;;
31166-4429;;2;2;;;;46;5;5;;;29;48;3;3;3;3;3;4;31;;;2;;;;1;1;24;9;14;5;;;2;;;;;;;;1;12;1;;;;;5;;2;;3;;2;;;;;;10;8;4;1;;;;;;;;1;;;12;2;10;;6;5;;;1;;16;6;3;6;26;9;7;;;;;10;9;6;1;3;;;1;1;1;;;;;3;1;2;2;1;1;1;;2;;1;1;1;3;;1;1;1;;;;;2;1;;;;;;;;;;;;;
31690-4428;;;;;;;23;3;2;;1;18;18;;3;3;3;3;6;17;;;10;2;;;1;1;5;;2;;1;;1;1;1;;1;;;;1;4;;4;2;;1;3;;3;;1;;1;;1;;;;;;;9;;4;4;3;2;2;;1;1;5;2;;2;1;;;;1;6;2;;;;;11;;;6;3;3;2;1;1;;;1;1;;;1;2;;2;;;;;1;1;2;1;1;;1;;2;1;;3;;1;;8;;4;;;1;;1;;;;;6;1;1;1;;;1;
22450-4429;1;;1;;;;21;2;1;1;;15;25;;1;1;6;1;2;12;;1;22;1;;;1;;5;;;;;;;1;;;;;;;;3;;1;1;1;;1;;1;;;;1;1;;;;;;;;5;;2;1;1;1;;;;;;;;;;;;;;1;;;;;;7;;;2;1;1;1;;;;1;3;1;;;1;4;;1;;;;;;;;1;;;;;;;;;;2;1;2;;1;;;;;;;;;;3;2;7;4;;1;1;
32124-4429;;;;;;;9;3;1;;3;2;11;;1;1;1;1;2;12;;;5;1;;;;;4;;;;;;;;;;1;;;;;1;;;;;;3;;;3;;;1;;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;4;2;;;;;;;;1;1;1;;;;;1;1;;;;;;;;;;1;;3;1;;1;;;;2;1;1;1;1;
31888-4428;1;;;;;1;27;4;3;;6;7;21;4;3;3;5;3;5;19;;;11;2;;;2;;8;2;1;;;;1;;;;2;1;1;1;1;8;;;;1;2;4;1;;3;2;;1;;3;2;;;1;1;;2;1;;;;;;;;;;1;;;;;;;;;;4;;;;2;;;;;;;1;;;;1;;1;3;1;7;4;1;1;;2;;1;1;1;2;1;;1;;1;2;1;3;1;;;1;;;;;2;1;6;3;2;;;1;;;;;1;1;
31740-4428;3;;;;;;61;3;2;;1;29;44;3;3;2;3;2;9;49;4;;13;5;;;;;17;;3;;1;1;;1;;3;;;2;1;2;10;;2;;4;3;3;;2;;1;;1;;;;;;;;;10;;4;2;1;;;;1;;;2;;;;;;;1;;;2;1;;;12;;;5;2;1;1;1;;;;9;2;2;;5;2;;;;;1;1;1;1;1;;;;1;;;1;1;2;1;2;;8;;1;;;2;1;;;;;;;;5;;;3;3;
31612-4224;;1;3;;;1;55;3;3;1;2;29;43;3;2;2;3;2;8;32;;1;10;3;;;6;3;25;6;8;1;5;1;2;3;2;1;2;1;1;1;4;14;1;;;1;1;3;;;;2;1;1;1;;;1;;6;3;3;12;3;2;1;;;;;1;;;6;1;1;;;;1;1;1;;9;4;3;1;17;3;2;7;1;;;2;1;;;6;3;;1;1;4;1;1;2;1;1;1;;;1;2;1;;1;;1;2;1;1;1;3;1;3;;1;;;3;1;2;;;1;;3;2;2;;1;2;;
27699-4912;;;1;;8;;43;4;4;3;;15;31;;3;3;10;5;9;11;;;3;1;;;2;;10;;3;1;;;;3;;;2;;;;6;4;;1;;;1;4;;3;;3;;1;;;;;;6;;;6;1;2;1;;;;;;;;1;;;;;;;1;;;9;2;1;1;10;3;;2;1;1;;;;;;7;;2;;1;2;;;;;;;1;1;2;3;2;2;1;;2;;;3;4;;;4;;;;;;;;;;;;1;1;;;1;;;
13483-6547;;;;;;;20;1;3;1;;15;20;3;;;;;;17;1;;1;1;;;3;2;6;;3;;2;1;;;;;;;;;;10;1;1;;;1;1;;1;;2;1;1;1;;;;;;;;6;;3;1;;;;1;1;1;;5;;3;1;;;1;;;;;;;;11;;;5;1;;;1;;;;;;;1;2;1;;1;;;2;2;;;;;;;;;;;;;;3;1;4;1;1;1;;;;;;;;;1;;;;;;1;
30769-4429;1;11;6;6;;1;61;3;1;;7;33;45;;3;3;4;3;8;18;;;14;2;3;3;1;;29;1;11;;2;;;2;2;;5;2;;;4;7;;;;1;;3;;2;1;;;1;;3;1;1;1;5;2;2;11;1;3;2;;;;;;;3;1;;1;;;;;;4;1;3;;;;20;2;1;6;1;;;;;;1;4;3;1;;1;5;3;2;;;;;1;1;1;2;1;;1;;2;2;2;2;;;;2;;1;;;3;2;7;3;1;1;1;3;3;5;3;;2;2;
30988-4224;2;5;3;2;;1;25;3;2;3;3;24;22;10;2;2;3;2;3;20;1;2;12;1;1;1;;;3;;1;;1;;;;;;;;5;5;1;3;;1;;1;;3;;1;;1;;1;1;;1;;;2;;;9;;3;1;1;1;;1;1;1;;2;;1;1;;;1;;1;1;3;;;;10;;;5;2;1;1;;;;1;2;;;3;1;4;2;;2;;7;4;;;1;1;1;2;1;1;;1;1;1;;1;;6;1;;;;2;;2;;1;;;2;1;2;2;1;;;
31493-4224;5;4;2;;;4;65;8;14;1;10;55;74;8;3;3;8;3;12;15;;1;20;3;;;;;36;6;16;4;2;;1;3;2;1;2;;2;1;7;3;;1;;6;;8;;4;1;13;2;1;1;4;;4;;14;9;5;15;4;8;3;2;;;4;5;;1;12;2;4;1;3;2;1;;8;2;12;5;1;2;32;5;5;9;3;1;1;4;2;;3;6;3;1;2;1;6;1;2;3;2;4;2;2;1;1;1;1;;1;1;;3;3;2;3;1;;3;;1;1;2;3;2;7;3;;1;;4;;2;;1;;;
30790-4224;;;1;;;;23;3;1;;;6;13;;1;1;1;1;3;21;;;3;;;;2;;6;;1;;;;;1;;3;;;;;;8;1;2;;1;;2;;1;;;;1;;;;;;;;;4;;3;1;1;;;;;;;1;;;;;;;;;;1;1;;;2;;;;;;;1;;;;1;;;;3;1;;;;;;;;;1;1;1;1;;;1;1;;;;2;;10;;1;;;;;;;;;;2;2;1;1;;;;
30982-4224;;;;;;1;38;3;2;2;1;43;48;14;3;3;5;4;5;13;4;;5;;;;7;1;17;2;10;1;5;1;1;;;;1;;4;3;;5;1;1;;;;3;1;2;;1;;1;2;;;;;4;1;1;26;1;10;7;5;2;2;1;4;3;2;8;;7;2;2;2;2;;2;1;3;;;;27;1;;16;7;4;3;3;3;1;;5;1;;2;;3;;1;3;1;10;5;1;1;2;1;1;1;1;;2;1;1;3;;2;;4;1;1;1;;1;;1;;;;;3;3;2;;;;;
31370-4224;1;;4;5;;6;48;4;5;;29;29;45;14;1;1;1;1;6;20;1;;34;1;;4;2;;21;5;3;1;1;1;;2;1;;8;8;2;2;3;11;2;4;2;6;;4;2;;2;4;2;1;;6;11;4;4;5;2;1;4;2;3;;;;;;;;1;12;2;;;;;3;;2;;8;2;;3;6;2;1;1;1;;;1;;;;3;1;;4;;25;25;;2;;10;1;;;;;;;1;1;;2;1;1;;4;;7;1;4;1;5;2;1;29;6;10;3;3;;;;;;;;
35718-4912;1;15;1;;4;2;36;3;2;1;6;21;27;2;1;1;4;1;3;27;;6;12;1;7;;1;;15;1;4;1;1;;1;2;;2;1;;1;;1;6;;3;2;2;;3;;2;1;1;;1;1;;2;2;;4;2;2;9;1;7;6;2;1;1;1;2;1;;5;;1;;1;;;1;;;1;1;;;12;2;2;7;5;5;1;3;;;;4;2;1;;3;3;1;;;;;;1;;;;;;1;1;;;;1;;3;2;8;1;5;3;;1;1;6;;2;2;;;;2;;;;;
30786-4912;;;1;;7;;44;2;1;;;11;29;;1;1;4;1;5;28;;;3;2;;;6;;16;5;6;2;2;1;1;1;;;1;;;;1;17;2;3;1;;1;2;2;;;;;1;;;;;;4;1;1;4;2;3;1;;;;1;1;;;2;;;;;;;1;1;;11;4;3;3;9;3;1;3;2;1;;1;;;;4;2;1;;1;3;;3;;;;;;;;;;;1;1;;2;1;1;2;5;;5;;2;;;1;;;;;;;3;1;;;1;;1;
31784-4429;1;6;1;1;;1;26;3;2;1;2;24;33;4;2;2;2;2;4;22;2;2;5;1;;;4;2;15;1;4;;3;2;;2;2;;;;;;;4;;1;;3;1;3;;2;;;;2;;;;1;;3;1;1;11;1;5;4;4;2;1;;1;;;1;;;;;;1;;;;4;3;1;;15;3;1;7;4;3;3;;;;;3;2;;2;2;1;1;;2;1;2;;1;1;;1;;;1;;1;2;1;2;;1;;4;;1;;1;1;;2;;;1;;;;2;1;;;;
