aluno;4>;6>;7>;8>;11>;13>;14>;16>;17>;28>;29>;30>;31>;32>;33>;34>;36>;37>;38>;41>;42>;47>;48>;49>;6>6>;14>8>;14>14>;14>14>31>;14>31>;14>31>14>;14>31>30>;14>31>30>14>;14>31>30>30>;14>31>30>30>30>;14>31>30>31>;14>31>31>;14>31>31>30>;14>31>41>;14>31>48>;14>31>48>29>;14>32>;14>32>31>;14>38>;14>41>;14>41>31>;14>41>41>;14>41>41>41>;14>48>;14>49>;16>31>;16>31>14>;16>31>30>;16>31>48>;17>30>;17>30>31>;17>31>;28>30>;29>14>;29>30>;29>48>;29>48>29>;30>14>;30>14>31>;30>14>31>30>;30>30>;30>30>14>;30>30>30>;30>30>30>30>;30>30>30>30>30>;30>30>30>30>30>30>;30>30>30>30>30>30>30>;30>30>30>31>;30>30>31>;30>30>31>30>;30>30>48>;30>31>;30>31>14>;30>31>30>;30>31>30>30>;30>31>30>31>;30>31>30>31>30>;30>32>;30>41>;30>48>;30>48>30>;31>14>;31>14>31>;31>14>31>30>;31>14>41>;31>30>;31>30>14>;31>30>14>31>;31>30>30>;31>30>30>30>;31>30>30>30>30>;31>30>30>30>30>30>;31>30>31>;31>30>31>30>;31>30>31>30>31>;31>30>48>;31>31>;31>31>30>;31>31>31>;31>32>;31>41>;31>48>;31>48>29>;31>48>30>;32>14>;32>14>31>;32>31>;32>31>30>;34>36>;34>36>37>;34>37>;36>34>;36>34>37>;36>36>;36>37>;37>34>;37>38>;38>14>;38>14>31>;38>33>;38>36>;41>31>;41>31>30>;41>41>;41>41>31>;41>41>41>;41>41>41>41>;48>13>;48>14>;48>14>31>;48>29>;48>29>14>;48>29>30>;48>29>48>;48>29>48>29>;48>30>;48>30>30>;48>48>;48>48>48>;49>14>;49>48>;49>49>;
27548-6547;1;;1;;3;;22;2;1;1;3;11;16;7;;;;;;6;;;6;;;;1;1;7;;1;;;;;;;;;;4;1;;2;;;;1;;2;;;1;;;1;1;;;2;1;;;;3;;1;1;;;;;;;;1;;1;;;;2;;2;1;;;;;4;;;;;;;1;1;;;1;1;;1;;3;1;1;2;2;3;2;;;;;;;;;;;;;;;;2;;;;;;;3;;;1;;2;1;1;1;;;;
31743-5102;;2;1;;;;13;2;1;;;13;16;2;3;2;9;3;8;4;;;2;1;1;;1;;5;;4;;2;;;;;;;;;;1;1;;;;1;;2;1;1;;1;;;;;;;;1;1;1;4;;;;;;;;;;;;;;;;;;;;;1;;;;9;;;4;;;;;;;;2;;1;;1;1;;;1;;1;1;1;;;;;6;2;2;;1;;1;;;;2;;1;;;;;;;;;;;;1;;;;1;
31883-4224;;;1;;;;25;2;2;;1;18;22;;2;2;3;2;7;9;;;4;;;;;;16;;5;;4;2;;3;1;;;;;;2;5;1;;;;;2;;1;;1;;1;;;;1;;2;1;;9;2;5;4;1;1;1;;;;1;1;;;;;;;1;2;;;;;;9;;;6;3;3;1;1;;;;4;2;;;1;;;;;;;;1;;;;;;1;2;;;;2;1;2;;2;;2;;;1;;1;;;1;;1;1;1;1;;;;
27352-6395;;;;;;;11;2;1;;;3;10;;;;;;;3;;;;;;;1;;7;1;2;1;1;1;;1;;;;;;;;2;1;;;;;1;1;;;;;1;;;;;;1;;;2;;1;;;;;1;1;;;1;;;;;;;;;;2;1;1;;2;1;;1;1;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;
31699-4912;;;;;2;;15;2;2;;;16;23;;1;1;2;1;2;12;;;1;;;;2;;8;;3;;1;;;2;2;;;;;;1;4;1;;;;;2;;2;;1;1;1;;;;;;;;;7;;3;3;2;;;;;;1;2;;1;;;;;;1;1;1;1;;;15;;;6;3;3;2;1;;;;2;2;;;;;;;;;;;;;;1;;;;;;1;1;1;;2;2;1;;1;;;;;;;;;;1;;;;;;;
31572-4912;2;;1;3;2;;27;1;1;;;6;17;2;3;3;5;4;7;5;;;2;;;2;1;1;7;2;1;;;;;2;;;1;;1;;1;4;1;;;;;1;;;1;;;1;;;;;;;;;2;;1;;;;;;;;;1;;;;;;;;;;3;1;;;3;;;1;1;;;;;;;3;;2;;;2;;1;1;;;;1;1;2;2;2;;1;;1;1;;2;1;1;;;;;;;;;;;;;;1;;1;1;;;;
31093-4428;1;;;;;;30;2;1;;1;19;23;4;3;3;10;3;5;15;;1;8;5;;;;;13;1;7;1;;;5;2;1;;3;1;;;1;8;2;1;;;1;2;;1;1;;;1;;1;;;;4;2;1;1;;;;;;;;;;;8;1;6;1;2;2;;;3;;3;2;1;1;13;2;1;1;;;;8;6;2;3;2;1;;3;1;4;1;1;4;4;;;1;1;1;3;1;2;2;;1;1;;2;;2;1;1;;;;;2;2;1;1;;;;1;;3;1;2;3;1;
35686-5102;;;1;;;;50;3;;2;;27;29;;2;2;2;3;7;16;2;;5;;;;3;;9;;4;;2;;;2;2;;;;;;3;8;2;2;1;1;;2;;2;;;;;2;;;;;2;;;12;;6;1;;;;;;;;2;;1;;;;;;1;;;;;;18;2;;6;3;;;2;1;;1;4;3;;;2;1;;;;;;;2;2;;;;;2;;1;1;;2;;5;3;6;2;2;1;;1;;;;;;;3;2;3;1;;;;
30812-4912;;;;;3;;19;4;4;4;;18;32;;2;2;2;2;6;15;;;4;;;;1;1;11;;2;;;;;4;1;;2;;;;2;1;;;;;;4;;1;1;3;2;1;1;;;;;1;1;;5;;1;1;;;;;1;1;;5;1;3;1;;;;;;;1;;;;11;;;2;;;;1;1;;;8;2;1;;1;3;;1;;;;;2;2;;;;;2;;;1;;1;;;;4;;1;;;;;;;;;;1;;1;1;;;;
21973-6547;;;1;;4;;35;2;4;3;;29;28;1;1;;;;2;3;;;14;;;;2;1;23;;12;3;;;2;6;5;1;1;;;;2;2;1;1;1;;;2;1;1;;3;;1;3;;;;;4;1;1;6;;2;2;2;2;2;;;;;2;;1;;;;1;;2;1;2;1;1;;19;3;1;1;;;;2;1;;1;7;5;;;1;2;;2;;;1;;;;;;;;;;;;;1;;1;1;1;;1;;;2;1;;;;;;4;3;1;;;;;
