aluno;1>;2>;3>;5>;6>;7>;16>;17>;30>;31>;32>;41>;43>;44>;46>;48>;49>;2>2>;2>41>;2 30>;2 31>;2 41>;5>5>;6>6>;7>5>;30>30>;30>30>30>;30>31>;30>31>30>;30>41>;30 31>;30 31>30>;30 41>;31>30>;31>30>30>;31>31>;31>41>;31 41>;31 41>30>;31 41>41>;41>2>;41>30>;41>31>;41>41>;41>41>41>;41>41>41>41>;41>43>;41>44>;41 43>;41 44>;43>44>;43>44>44>;43 44>;44>44>;44>44>44>;
31306-4433;;4;;;17;3;2;2;12;10;;22;11;15;;;;;;2;1;2;;2;;1;;;;;2;;5;3;;2;1;5;1;1;;1;2;5;1;;;3;4;8;7;1;5;4;2;
33161-5061;1;3;1;;;1;;;;1;;5;;;1;5;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;
21513-6030;1;9;4;;4;1;;;10;8;;20;1;1;1;;;;1;;;2;;;;4;1;;;1;2;;;3;1;2;;;;;;;1;4;1;;;;;;1;;;;;
31155-4433;1;11;1;9;1;6;;;18;32;;24;;;1;12;15;1;1;2;2;3;3;;3;6;2;3;;3;5;1;7;3;2;1;4;12;2;2;;4;2;7;1;;;;;;;;;;;
44172-6895;1;12;3;1;;1;2;;14;8;;37;;;1;1;;2;4;5;1;7;1;;1;6;5;2;1;4;2;2;11;2;1;;2;6;1;1;2;5;1;10;3;1;;;;;;;;;;
22423-4434;3;10;3;;;;1;;1;3;;22;;;3;;;1;2;;;3;;;;;;;;;;;1;;;1;1;3;;;1;;;7;3;1;;;;;;;;;;
27586-4435;4;35;8;;;;1;;1;10;;26;3;8;4;3;;7;;1;3;4;;;;1;;;;;1;1;;1;1;1;1;2;1;;2;1;1;1;;;;;2;1;1;;;1;;
39460-6401;;2;1;2;;3;;;3;4;1;7;1;3;;;1;;;;;;2;;2;;;;;1;;;1;2;;1;2;1;1;1;1;1;1;5;3;1;1;1;1;;1;;;1;;
43981-6401;2;11;;;;1;3;5;47;41;;36;8;9;2;9;6;;1;1;1;3;;;;15;6;4;3;4;5;3;4;24;8;;3;4;2;2;1;2;4;14;6;4;4;1;2;1;4;2;1;2;2;
30813-5490;1;14;1;;;;2;;14;19;;32;1;1;1;11;14;3;;;2;;;;;2;;;;;1;;1;5;;;2;5;1;1;;1;1;6;2;2;;1;1;;1;;;;;
31872-4603;1;10;1;;;;;;;4;;29;1;5;1;4;5;1;3;;1;1;;;;;;;;;;;;;;;;;;;;;1;5;2;;1;1;1;2;1;;;;;
31340-4433;;1;;;;1;;1;19;16;;38;2;4;;3;;;;;;;;;;4;2;1;1;2;5;2;6;8;1;;4;7;3;3;;4;1;7;4;1;;;1;;1;;;;;
27616-4435;4;17;11;1;;1;;3;17;15;;40;5;9;4;7;;2;1;;;2;1;;1;3;;3;2;;5;;4;3;;;2;2;1;1;;2;3;7;3;1;3;1;;3;3;1;1;3;3;
40162-6401;5;30;12;11;17;12;10;8;35;50;26;76;15;33;6;23;5;4;6;2;1;6;4;6;3;5;2;8;3;1;7;1;3;18;2;5;;;;;6;1;5;23;9;4;2;2;1;5;10;6;2;14;7;
41556-6400;;;;;;;;2;11;20;;7;;;;1;;;;;;;;;;1;;1;;;3;1;;4;;;;1;;;;;2;;;;;;;;;;;;;
31158-5799;1;3;1;;;;;;;;;9;;;1;;3;;1;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;
15247-6400;3;11;;;;4;;;9;21;4;64;10;26;3;4;;;1;1;;;;;;2;1;1;1;;3;2;1;5;1;1;2;5;1;1;;1;1;9;3;2;1;3;2;7;3;2;2;9;4;
32879-5489;1;8;;;1;3;;1;13;15;;17;;;1;5;;1;1;;1;3;;;;4;2;2;2;2;5;3;2;5;2;1;2;2;1;;1;1;2;6;2;;;;;;;;;;;
41126-6400;;2;;2;4;2;2;;;7;;18;10;19;;2;2;;;;;;;1;1;;;;;;;;;;;1;;1;;;;;;4;;;2;2;;2;6;3;5;5;4;
35866-5489;5;37;2;4;39;12;3;4;52;62;1;51;3;4;5;;2;2;2;;;4;3;5;1;17;7;1;1;4;3;1;3;29;9;1;1;5;1;;2;3;3;11;4;1;1;1;;2;;;2;2;;
44058-7297;1;7;2;1;11;4;;;17;12;;30;3;2;1;;;;3;1;1;2;1;;1;3;1;4;1;1;;;4;6;1;;;3;;;;;3;7;2;1;;;;;1;1;;1;;
34845-5799;1;10;2;1;;1;;;3;15;;23;;;1;;;;;;1;4;1;;;;;;;;1;;3;;;;;5;;;;;;2;;;;;;;;;;;;
32278-4434;3;15;;;;;1;;3;11;;18;4;14;3;1;;;;;;1;;;;;;;;;1;;;;;;1;2;;1;1;1;;4;;;2;1;;1;2;;;3;1;
44258-7297;1;3;;;;;;;3;2;;8;1;1;1;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;1;;;;1;;;;;
27764-4603;2;17;2;3;4;3;1;;11;22;2;27;;;2;4;7;1;2;2;2;7;;1;1;1;;2;1;1;;;2;6;1;2;;5;1;;3;1;2;3;1;;;;;;;;;;;
31612-4603;1;9;;2;;2;1;;8;12;;22;4;7;1;;;1;1;;;1;;;1;;;1;;1;2;;3;4;;1;1;3;1;;1;1;;4;2;1;;2;1;3;3;;;2;;
31170-5490;3;15;2;;12;5;1;1;11;14;1;66;10;16;3;1;;;;1;1;;;4;;2;1;;;;1;1;2;6;;1;1;4;2;;1;2;2;7;3;3;1;;3;2;5;;3;4;2;
31510-5489;;4;1;3;;2;;;6;6;;28;2;7;;;4;;1;;;3;2;;;;;1;;1;;;2;1;;;2;3;1;1;;1;2;7;1;;;;1;2;;;1;;;
31637-4603;1;10;;;;2;1;4;12;11;;33;6;10;1;;;;1;;1;2;;;;3;;1;;;1;1;;6;2;1;;1;;;1;;1;7;3;1;2;;;1;3;1;2;3;;
34088-6590;2;16;;;1;2;;;10;7;;23;2;7;2;1;;;;2;1;3;;;;4;1;1;;2;;;3;1;;;;4;1;;1;1;2;9;;;;;2;;;;;1;1;
40101-6590;5;20;10;;21;4;4;;9;17;;36;1;1;5;3;;5;;3;4;;;1;;3;2;1;;;1;;;2;2;1;3;3;;2;1;;2;6;3;;;;1;;;;;1;;
29016-5061;1;7;;5;7;6;1;1;16;19;;9;3;4;1;6;;;;4;3;;1;2;1;2;1;4;3;1;7;1;2;6;1;1;2;2;1;1;1;1;1;3;1;1;;;;;2;;;;;
31191-4434;1;5;1;4;9;7;7;5;27;34;1;36;12;23;1;;;;1;;1;2;4;3;;5;1;9;3;2;3;1;1;16;1;2;2;3;1;1;;1;4;8;1;;1;1;1;1;6;1;2;9;3;
40116-6030;6;14;;;1;2;2;;4;6;;47;7;18;4;4;2;1;1;;;1;;;;;;;;;1;;1;1;;;;3;;;;;;5;3;1;1;1;1;;5;;2;2;;
36637-5489;4;17;2;1;2;4;2;2;9;12;;57;12;17;4;2;;3;1;1;1;6;;;1;3;2;1;;1;2;1;2;5;3;1;1;2;1;1;3;1;;14;4;3;;2;5;1;7;3;2;6;2;
35972-5489;1;3;;6;;3;1;;5;8;;27;1;2;1;1;;;;1;1;1;;;2;1;;1;;1;2;1;3;3;;1;2;5;1;2;;1;2;8;2;;;;1;2;;;1;;;
31384-5061;;1;1;;;;;;1;1;;11;5;4;;;;;;;;;;;;;;;;;;;;1;;;;1;1;;1;1;;2;;;;;;1;2;;1;2;1;
32380-4434;3;28;;3;6;6;1;3;31;29;;34;11;14;4;11;;1;4;1;1;4;2;;2;10;5;2;1;4;4;3;4;12;5;2;4;5;1;2;2;1;3;11;6;2;3;2;1;2;6;1;3;6;3;
31787-4434;2;8;;1;;2;1;1;9;12;;29;;;2;;;;3;;;4;1;;1;2;;1;;4;1;;3;3;;;2;4;2;2;;2;5;10;2;1;;;;;;;;;;
