aluno;1>;2>;3>;5>;6>;7>;8>;14>;16>;17>;29>;30>;31>;32>;41>;42>;43>;44>;45>;46>;48>;49>;1>2>;1>46>;1>46>2>;2>1>;2>1>46>;2>1>46>2>;2>2>;2>3>;2>14>;2>14>41>;2>41>;2>46>;2>46>1>;2>46>1>2>;3>2>;3>14>;5>5>;6>6>;6>6>6>;6>6>6>6>;7>5>;7>5>5>;7>6>;7>14>;8>7>;14>2>;14>2>14>;14>3>;14>3>2>;14>7>;14>7>5>;14>7>5>5>;14>14>;14>14>14>;14>14>41>;14>31>;14>31>14>;14>31>30>;14>31>30>14>;14>31>30>30>;14>31>30>31>;14>31>31>;14>32>;14>41>;14>41>31>;14>41>41>;14>41>41>41>;14>41>41>41>41>;14>41>41>41>41>41>;14>41>43>;14>43>;14>43>44>;14>43>44>44>;14>48>;14>49>;16>31>;17>30>;30>14>;30>14>41>;30>30>;30>30>30>;30>30>30>30>;30>31>;30>31>30>;30>41>;30>48>;31>14>;31>14>31>;31>14>41>;31>30>;31>30>14>;31>30>30>;31>30>30>30>;31>30>30>30>30>;31>30>31>;31>30>31>30>;31>31>;31>31>30>;31>32>;31>41>;31>41>41>;31>48>;32>14>;32>31>;32>31>30>;41>2>;41>14>;41>31>;41>31>14>;41>31>30>;41>41>;41>41>2>;41>41>31>;41>41>41>;41>41>41>41>;41>41>41>41>41>;41>41>41>41>41>41>;41>41>41>41>41>41>41>;41>41>43>;41>41>43>44>;41>43>;41>43>44>;41>43>44>44>;41>43>44>44>44>;43>14>;43>41>;43>44>;43>44>14>;43>44>44>;43>44>44>14>;43>44>44>44>;43>44>44>44>44>;43>44>44>44>44>44>;44>14>;44>14>41>;44>14>41>41>;44>14>43>;44>14>43>44>;44>44>;44>44>14>;44>44>14>41>;44>44>44>;44>44>44>14>;44>44>44>44>;44>44>44>44>14>;44>44>44>44>44>;44>44>44>44>44>44>;45>43>;46>1>;46>1>2>;46>2>;48>14>;48>29>;48>30>;48>48>;49>48>;49>49>;
27747-5061;3;15;2;2;6;9;;78;2;3;;31;35;5;56;1;17;19;4;3;8;1;3;;;;;;1;;3;1;4;2;2;2;2;;2;4;1;1;2;2;2;1;;8;2;1;1;5;2;2;4;;;23;1;17;;6;2;1;;18;1;3;1;1;1;1;5;5;4;;;2;3;1;1;13;7;4;5;3;2;1;4;2;;24;;11;5;3;4;3;1;1;;3;1;1;4;1;1;2;1;6;1;;12;1;3;3;1;1;;;1;1;5;4;3;;2;1;15;4;12;3;4;3;2;8;2;1;4;3;14;5;2;5;1;4;1;3;1;3;3;3;;;;1;5;1;1;
27780-7297;;;;;;;;2;1;;;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;1;;1;1;;;;;;;;;1;;;;;;;;;;;1;1;;;;;;;;;;;;1;;;;;;;;;;;1;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27780-5799;1;9;1;1;4;5;;24;2;;;3;9;;12;;7;9;2;1;5;2;;1;1;;;;2;;1;;3;;;;1;;1;2;1;1;1;1;3;;;4;;;;2;;;;;;4;;2;;;;;;3;;3;1;1;1;;;;;1;2;2;;;;;;;;;;1;;;;2;;;;;;;;;;;;2;;;;;;;;;6;;;2;1;1;1;1;2;2;3;2;1;;1;;5;1;2;1;;;;3;2;2;;;4;2;1;;;;;;;1;;;1;1;;1;;2;1;
26616-7114;4;13;;4;;4;3;59;2;1;1;24;22;;29;;1;1;;4;3;5;1;2;2;2;2;2;1;;5;1;4;2;2;1;;;4;;;;4;4;;;2;7;1;;;;;;3;1;;16;;9;;2;;4;;8;;3;1;;;;1;1;1;1;2;2;1;2;1;6;2;1;3;3;2;;1;;;16;;2;1;1;2;1;5;3;;4;4;;;;;;;2;;1;16;;2;6;1;;;;;;;;;;;;1;;1;1;;;;1;1;1;;;1;1;1;;;;;;;;2;1;2;2;1;;;2;4;
27928-5384;;4;2;2;;1;1;6;;;;1;1;;3;;;;;;2;2;;;;;;;;;;;;;;;2;;1;;;;1;1;;;1;;;2;2;;;;1;;;;;;;;;;;1;;;;;;;;;;;2;;;1;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;
31831-7297;;;;;;;;4;;;;1;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27482-4435;1;8;1;2;4;5;;35;;;;6;10;;28;;7;18;;1;6;;;1;1;1;1;1;1;;2;;;;;;;;2;;;;2;2;1;;;2;1;1;;1;;;6;;;3;;1;;;;1;;9;;;;;;;2;2;;1;;;;;;4;3;2;1;1;;;;;;6;;4;3;2;1;;3;2;;2;1;;;;;;;2;;1;4;;1;1;;;;;2;2;2;2;;;;;7;;1;;1;1;;1;;;;;4;1;;2;;2;;1;1;;;;1;4;;;;;;
18444-5384;;4;;;;;;11;;;;;1;;7;;3;5;1;;2;1;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;1;1;1;;;;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;2;;1;;;1;;;1;;;;;;;;;;;;1;2;;2;1;1;1;;3;1;1;;;3;3;1;2;1;2;1;1;;1;;;;;;;1;1;;
27403-4435;6;25;2;6;12;10;;98;1;2;;15;29;;57;;14;25;1;6;4;;3;3;2;2;2;2;3;;4;;3;2;2;2;;1;5;8;6;;4;4;3;;;13;;2;;2;1;1;3;;;16;;5;;;1;5;;21;2;7;2;1;;;5;4;;1;;1;2;1;;4;2;1;1;;2;;;;;11;;3;1;1;1;;5;2;;6;2;1;;;;2;1;4;;1;18;1;;4;1;;;;1;;3;1;;;;2;11;1;4;;3;3;1;8;3;2;1;1;10;3;1;6;3;6;3;2;1;;3;3;2;;;1;2;;;
31359-6590;1;11;1;;12;2;;32;1;1;;7;7;;14;;9;15;1;1;8;;;1;1;1;1;1;1;;1;;;;;;;;;3;2;1;;;1;1;;1;;1;;;;;2;;;5;1;4;2;1;;;;3;1;1;1;;;1;3;3;3;4;;;1;5;2;2;2;1;;;1;1;2;;1;5;2;2;2;1;;;;;;;;1;;;;1;;1;;1;7;1;;2;;;;;;;1;1;;;;;7;2;3;1;2;1;1;4;;;3;3;4;4;;3;3;1;1;1;1;1;;;1;4;;;;;;
31755-4917;1;6;;2;;2;;18;;;;14;11;;7;;4;5;2;1;5;;;1;1;1;1;1;;;1;;;;;;;;2;;;;2;2;;;;2;;;;;;;;;;6;;4;;2;1;;;1;;;;;;1;2;2;1;1;;;;2;;7;3;1;2;1;;;;;;7;;3;2;;1;1;2;1;;1;;;;;;1;;2;;2;3;1;2;;;;;;;;1;1;;;;1;3;;2;1;1;1;;2;1;;2;2;3;2;1;1;1;1;1;;;;;;1;1;;;;;;
36099-6895;;1;;;;;;12;1;;;3;4;;25;;4;10;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;6;;2;;;;;;;;;;1;;1;1;;;;2;1;;;;;;3;1;;;;2;1;;;;;;1;;;;;;;;;9;;;1;1;1;;;1;1;2;2;1;1;;;4;2;2;;1;;;2;1;;;;3;;;1;;;;;;1;;;;;;;;;;
31810-4435;1;4;1;2;;1;1;12;1;;;3;6;1;20;;2;1;;1;;;;;;;;;1;1;1;;;;;;1;;1;;;;1;1;;;;2;;;;1;1;1;;;;1;;;;;;;;3;;;;;;;;;;;;1;;1;;2;;;;;;;1;;1;3;1;2;;;;;;;1;;;;;1;;;;;;;1;;;1;;;;;;;2;1;;;;1;1;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;
17491-4917;3;8;3;;;;;27;2;;;3;7;1;26;;5;13;;3;;;2;2;2;2;2;2;1;;2;;;2;2;2;2;2;;;;;;;;;;3;;3;2;;;;2;;;1;;;;;;;;10;1;3;;;;;;;;;;2;;1;1;;;;2;1;;;3;1;;3;1;;;;2;;;;1;1;;;1;;;1;;1;;;4;;;1;;;;;;;2;2;;;;;5;;1;;;;;1;1;1;;;2;1;1;1;1;;;;;;2;2;2;;;;;;;
25326-5490;1;8;5;;;;;11;1;1;;8;10;;6;;3;2;1;1;3;;1;;;;;;;3;3;;;1;1;1;4;1;;;;;;;;;;2;;1;1;;;;;;;4;1;3;;1;1;1;;2;1;;;;;;1;;;;;1;1;1;;6;4;4;1;1;1;3;2;1;;6;;4;4;4;1;1;1;1;;;;;;;;;;1;;1;1;;;1;;;;;;;;;;;1;;2;1;1;;;;;1;;;1;;1;;;;;;;;;1;1;1;;2;;;;;;
27760-6030;1;5;;1;;1;;10;;;1;2;5;;13;;5;11;;1;1;;;1;1;1;1;1;1;;1;;;;;;;;;;;;1;;;;;2;;;;;;;1;;;3;;2;;1;;;;;;;;;;;1;1;1;;;;;;;1;;;;;;;;;;2;;1;;;;;;;;2;1;;;;;;;1;;;2;;;1;1;;;;;;;;;;;;5;;1;1;1;1;1;1;;;1;1;1;1;;1;;1;;1;;;;;1;1;1;;1;;;
27820-4603;1;10;4;;6;4;;36;1;;;1;4;;21;;9;11;;1;3;3;1;;;;;;;;;;1;;;;2;;;3;1;;;;;1;;3;;3;1;3;;;1;;;1;;;;;;;;10;;3;1;1;1;2;1;1;;;1;1;;1;1;;;;;;;;1;1;;;;;;;;;;;;;;1;;;;1;1;1;;;6;;;2;2;1;1;;;;2;2;2;2;;;7;;6;;6;3;2;3;2;;;;7;3;2;7;3;5;3;3;1;;1;1;;1;;1;;2;2;
36131-6030;1;13;;;;6;;43;;;1;20;20;;47;;10;14;1;1;7;;;1;1;;;;2;;2;;2;;;;;;;;;;;;;;;5;1;;;2;;;;;;3;;1;;;;;;13;2;6;1;1;;1;1;1;;;;;;1;;4;2;2;;;;;1;;;10;;3;1;1;;;1;;;1;;4;;;;1;;7;;5;13;1;3;1;1;;;;1;;2;1;;;;2;8;1;1;;;;;1;1;1;;;1;;;;;;;;;1;;;1;1;1;3;;;;
36123-5384;2;5;1;;;;;15;;;;5;6;1;16;;8;14;3;2;1;;1;1;1;;;;;;;;;;;;;1;;;;;;;;;;2;;;;;;;;;;2;;1;;;;;1;7;;2;1;;;2;1;1;;;;;;2;1;2;;;2;2;;;;;;5;2;1;;;1;1;;;;;;1;;1;1;;;;;;7;;;4;2;2;2;;2;2;5;5;2;2;;1;8;2;3;;3;1;1;5;2;2;1;1;6;2;;5;1;2;;1;1;3;1;1;1;;;1;;;;
31601-4917;;1;;;;4;;30;1;;;;4;;17;;4;9;;;3;;;;;;;;;;;;;;;;;;;;;;;;;1;;1;;;;4;;;2;1;;;;;;;;;;5;;1;1;1;1;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;1;;;1;1;1;1;1;;;;;;;;;4;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;
36328-5061;3;13;7;;10;7;;43;;;2;12;18;8;34;;5;9;1;3;5;5;1;2;2;2;2;2;;4;2;;1;1;1;1;;6;;1;;;;;1;1;;5;;1;;4;;;5;1;2;9;1;4;;;2;;1;15;1;4;;;;;1;1;1;;1;;;1;;;;;5;2;;;2;1;;10;;;;;5;2;1;;7;;;2;5;4;2;4;;5;1;2;10;1;2;2;2;2;1;1;;;;;;;;;4;1;3;;1;;;2;;;1;1;7;1;;3;1;;;;;1;1;1;2;;2;;;1;;
35936-5489;;4;1;;;2;;19;;;1;;5;;24;;8;11;3;;1;;;;;;;;;;1;1;;;;;;1;;;;;;;;;;2;1;1;;1;;;1;;;3;;;;;;;;5;;1;1;1;1;1;2;1;1;;;;;;;;;;;;;;1;;;;;;;;;;;;;1;1;1;;;;2;;1;;;11;;1;3;2;2;1;1;1;;3;2;1;1;1;1;5;2;3;;2;1;;5;2;;1;1;5;1;;3;;2;;1;1;3;;;;;1;;;;;
23182-4433;;;;;1;;;2;;;;1;1;;6;;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
35908-5490;;8;6;2;1;5;1;51;;;1;14;10;4;31;5;12;8;4;;3;;;;;;;;1;2;;;2;;;;4;1;2;;;;2;2;;;1;2;;3;2;2;1;1;2;1;1;4;;1;;1;;;3;15;1;6;4;3;1;;1;1;1;;;;;;;6;1;1;2;2;;;;;;5;;2;;;1;1;1;1;1;2;1;1;;2;;1;3;2;;1;13;1;;5;3;2;2;1;4;3;6;3;2;1;;2;8;;6;1;5;2;;4;2;1;;;6;4;2;5;3;2;1;;;4;;;;;1;1;;;;
27587-4917;;;;;;;;;;;;;;;;;1;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;
28101-5384;;4;;;;;;12;2;;;2;3;;13;;8;8;;;;;;;;;;;3;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;2;;1;;1;;;;3;;2;;;;1;;;;;;2;;;;2;2;2;;;1;;2;1;;2;;2;2;2;;;;;;;;;;;;1;1;;;;7;;;1;;;;;1;1;2;2;1;1;;;8;;5;;2;;;3;2;1;;;6;3;2;2;2;;;;;;;;;;;;;;;
29379-6895;1;5;;;1;1;;25;;1;2;13;5;2;13;;2;6;;1;4;;1;;;;;;;;1;;;1;1;1;;;;;;;;;1;;;4;;;;1;;;1;;;1;;;;;;;;6;;2;2;2;1;;1;;;3;;;;;;6;5;2;1;1;;;;;;5;;2;1;1;;;;;2;;;;;2;2;1;;1;;;3;;;3;3;2;1;1;;;;;;;;;2;;2;;2;2;2;2;1;1;1;;4;2;1;2;2;2;2;2;2;;1;1;;;1;;;;;
33680-5384;3;5;;1;;2;1;21;1;;;5;9;;34;2;5;3;1;3;;;1;2;2;;;;;;1;;1;;;;;;1;;;;1;1;;1;1;;;;;;;;1;;;3;;2;;1;;1;;6;;1;;;;;1;1;1;;;;;1;;3;2;2;;;1;;1;;;5;;3;2;2;;;1;1;;;;;;;;;;4;1;1;10;;2;2;2;1;;;;;;;;;;;3;1;3;1;1;1;;2;;;1;1;3;1;;1;;1;;;;1;1;1;2;;;;;;;
32030-5061;4;23;4;3;5;14;3;146;3;1;4;35;52;8;138;4;23;25;3;4;10;6;1;3;3;2;2;2;4;;4;1;3;1;1;1;2;1;3;2;1;1;3;3;1;5;3;10;;2;1;6;2;2;10;1;1;18;3;4;1;1;;1;1;46;2;22;7;2;2;1;3;3;1;1;3;3;1;5;2;12;7;2;6;4;5;1;6;1;3;29;2;7;4;2;4;2;6;2;3;5;2;6;1;8;5;4;3;11;1;7;55;2;6;23;12;7;4;2;3;3;10;9;6;3;2;3;18;;10;4;7;5;3;8;4;3;1;1;11;8;4;7;4;5;3;3;2;2;1;1;3;1;4;3;4;1;4;
31986-4435;;2;;1;2;5;1;20;;;1;3;8;;25;;1;1;;;5;;;;;;;;;;1;1;;;;;;;1;;;;1;1;1;;;1;1;;;1;;;1;1;1;4;2;2;;;;;;7;;3;1;1;1;1;1;1;1;;;;;;;1;;;1;;;;4;3;3;2;;;;;1;;1;;;1;;2;;;;1;;3;1;;7;1;2;3;1;1;1;1;;;1;1;;;;;1;1;1;;;;;1;;;1;1;1;;;;;;;;;;;;;;1;1;1;;;
22607-5384;2;7;;;2;3;3;13;;;;3;2;;8;1;2;12;;2;2;1;2;2;2;2;2;2;;;;;1;1;1;1;;;;1;;;;;;;3;;;;;;;;;;;1;;1;;;;;;3;;2;;;;;1;1;;;;;;1;1;;;;;;;;;;;2;1;;;;;;;;;;;;;;;1;1;;;;3;;;;;;;;1;1;1;1;;;;;2;;;;;;;2;1;1;;;3;1;1;1;1;1;1;1;1;;2;2;2;;;;1;;1;
31747-5061;2;11;4;1;;1;;42;;;1;4;7;;40;;3;3;;2;6;;1;1;1;1;1;1;1;;5;3;;1;1;1;1;2;1;;;;1;1;;;;4;1;4;1;1;1;1;6;;3;1;;;;;;;;13;1;6;4;;;;1;;;4;;;;;;;;;;;1;;;;;3;;;;;;;2;2;;1;;;;;;2;;1;;;17;1;;7;1;1;1;1;1;1;1;1;1;1;1;;2;;1;;1;1;;1;;;1;;1;;;1;;1;;;;;1;1;1;;1;;;;;
31805-6030;1;3;3;3;;4;1;37;1;3;7;15;14;1;35;;7;6;;1;12;7;1;;;;;;;;;;2;1;1;1;1;;2;;;;2;2;;1;1;2;;1;;2;1;1;2;;1;2;;1;1;;;;;11;1;3;1;;;;1;1;;;5;1;3;1;;1;1;;;;;1;;;;6;1;;;;;;2;;;1;;3;;1;1;;1;1;;1;8;;;3;2;1;;;2;1;4;3;1;1;;1;4;1;1;;1;1;;3;2;;;;1;1;1;1;1;1;1;;;;1;1;;;5;;1;6;2;
27455-7297;3;11;1;;11;4;1;47;1;;;7;10;;28;;10;20;;3;;;1;2;2;2;2;2;1;1;2;;2;1;1;1;1;;;3;1;;;;1;;1;5;;;;1;;;1;;;2;;1;;;;;;14;1;4;2;;;1;4;4;2;;;1;;2;2;1;1;1;;;;;1;;1;6;1;1;1;1;;;1;;;1;;;;;;2;;3;;2;6;1;1;2;;;;;;;3;3;1;1;;;10;1;3;;2;1;;2;1;;1;1;6;2;1;3;1;1;1;;;;1;1;2;;;;;;;
31158-5384;4;20;13;;10;8;1;34;;;;;4;1;24;;2;1;1;4;1;;2;1;;1;1;;2;;2;;3;3;3;2;8;1;;;;;;;;;;4;1;9;6;4;;;3;;;1;1;;;;;;;7;;3;1;1;1;;1;;;;;;;;;;;;;;;;2;1;;;;;;;;;1;;1;;;1;;;;;;3;2;;8;;2;3;2;2;2;2;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;1;3;2;1;;;;;;;
27002-5489;2;7;;;;;;11;;;;;3;;8;;;;;2;;;1;1;1;;;;1;;1;;;;;;;;;;;;;;;;;4;;;;;;;2;;1;;;;;;;;;4;;2;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;1;1;;;;;1;;2;1;;5;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;;;;;;;
16014-5799;1;1;;1;;1;;12;1;;;3;6;;4;1;1;4;2;1;;1;;1;1;1;1;1;;;;;;;;;;;1;;;;;;;;;;;;;;;;1;;;3;1;;;;;;;;;;;;;;;;;;;1;;1;;;;;;;1;;1;;;1;;;;;;;3;;;1;1;;;;;;;;;;2;;;;;;;;;;;;;;;;1;;;;;;;1;;;;;2;1;;1;1;;;;;1;;;1;;;;;;;
31386-4435;;1;;;12;1;;8;1;;;2;4;;10;;;;;;1;;;;;;;;;;1;;;;;;;;;4;;;;;1;;;;;;;1;;;;;;;;;;;;;;2;;;;;;;;;;;;1;;1;1;2;;;;;;;1;;;2;;2;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28256-5061;;;;1;;1;;5;;;;3;3;1;1;1;1;1;1;;6;1;;;;;;;;;;;;;;;;;1;;;;1;1;;;;;;;;1;1;1;;;;;;;;;;;1;;;;;;;;;;;;;;;;;2;1;;;;;1;;;;3;;2;;;;;;;;;;;;;;;;1;;1;;;;;;;;;;;;;;;;;1;;1;1;;;;1;;;;;1;1;;;;;;;;1;;;;;;1;5;;;
30609-5061;1;2;;;5;1;;5;;;;;1;;1;;;;;1;;;1;;;;;;;;1;;;;;;;;;;;;;;1;;;1;;;;1;;;;;;1;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;1;1;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;;;;
31436-4433;1;2;;;;1;;18;7;3;;24;24;;41;;6;8;;1;2;1;;1;1;1;1;1;2;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;2;;1;;;;;;7;1;1;1;1;1;;;;;;;6;3;;;12;1;;1;;2;;1;;1;12;;6;1;;1;;1;;;1;1;2;;;;;;3;;1;5;;1;2;1;1;;;;;;;;;1;;3;;;;;;;;;;;;2;;;;;;;;;;;;1;;;2;;;;
17491-5799;1;6;;;;;;15;;;;2;3;;17;;1;5;;1;;;;1;1;1;1;1;;;3;1;1;;;;;;;;;;;;;;;3;2;;;;;;;;;2;;1;;1;;;;7;;;;;;;;;;;;;;;;1;1;;;;1;;;;;2;;1;1;;;;;;;1;;;;;;2;;1;;1;3;1;;;;;;;;;;;;;;;1;;;;;;;;;;;;1;;;1;;1;;;;;;;1;;;;;;;
31671-4434;;4;;;5;2;;39;3;;3;4;11;;26;;1;3;;;4;;;;;;;;;;1;1;;;;;;;;;;;;;1;;;;;;;1;;;1;;;6;1;1;;1;;;;10;;3;1;;;;;;;;;3;;;;2;1;;;;;;2;2;;4;;2;1;;;;;;;;;2;;;;2;1;;;;9;1;;2;;;;;;;;;;;;;1;;1;;;;;;;;;;3;;;;;;;;;;;;;;3;;;;;
35962-6895;1;6;;1;;3;;23;;;;2;2;;13;;;;;1;;;;1;1;;;;;;2;;1;;;;;;;;;;1;;;;;3;1;;;2;1;;1;1;;1;;1;;1;;;;3;;1;1;1;1;;;;;;;;;;;2;1;;;;;;1;;;1;;1;;;;;1;;;;;;;;;1;;;;;1;1;;1;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;
24407-6030;3;26;13;1;;1;2;61;3;;1;11;16;2;42;1;3;1;1;3;4;3;;3;3;2;2;2;1;4;12;4;;;;;10;1;1;;;;1;1;;;;12;8;7;6;;;;16;5;2;9;3;6;3;;1;;;21;;3;1;;;;;;;2;1;3;;5;3;;;;3;1;;1;7;1;1;10;5;;;;3;1;;;2;;;1;1;2;2;3;;1;1;;10;;1;4;1;1;;;;;;;;;1;;1;;1;;;;;;;;;;1;;;;;;;;;1;;;3;1;1;1;;1;2;
30588-5490;;2;1;;2;2;;16;1;;;2;5;2;12;;2;2;;;;;;;;;;;;1;;;;;;;1;;;;;;;;;1;;1;;1;1;1;;;;;;1;1;;;;;;1;5;;1;;;;1;;;;;;;;1;;1;;;;;;;2;;1;1;;;;;;;;;;1;;;1;1;;;;;;;2;;;;;;;;;;1;;;;;;1;;1;;;;;1;1;;;;1;;;;;;;;;;;;;;;;;;;
35754-5489;;2;;1;1;4;4;22;2;3;7;24;12;6;13;;4;12;1;;8;2;;;;;;;;;;;;;;;;;;;;;1;;1;1;3;;;;;;;;5;1;;1;;1;;1;;;2;5;;;;;;;2;1;;3;1;2;3;3;1;7;3;2;3;2;;5;1;;;10;;6;3;2;1;1;;;1;;;;1;4;3;;1;;;;1;;;;;;;;;;;;;;;;4;;;;;;;1;;;1;;3;1;;2;1;1;;1;;1;;;;1;6;;;1;;
17228-6401;1;5;2;;6;2;1;17;;;;;4;;18;;4;5;;1;1;;1;;;;;;1;1;1;;;;;;1;;;4;;;;;2;;1;2;;;;;;;1;;;2;;;;;;;;3;;1;;;;;2;2;1;;;;;;;;;;;;;;1;;1;;;;;;;;1;;;2;;;;;;;1;;;;5;;;2;1;;;;;;;;;;;;3;;1;;1;1;;1;;;1;1;2;;;2;;1;;;;;1;1;;;;;;;;
27482-5799;1;1;;;3;2;1;10;;;;1;3;;5;1;;;1;1;;;;1;1;1;1;1;;;1;;;;;;;;;1;1;1;;;2;;1;;;;;;;;5;;;;;;;;;;;1;;1;;;;;;;;;;;;;;1;;;1;;1;;;;;1;;1;;;;;1;1;;;;;;;;;;1;;;2;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;
27553-4434;;;;;2;;;;;;;;;;;;;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30993-4435;1;11;7;;24;8;;47;1;;;3;12;;43;;14;14;2;1;2;1;1;;;;;;;1;3;2;3;1;1;1;3;1;;6;1;1;;;5;;;5;;3;;6;;;7;2;4;3;1;2;1;;1;;;20;1;11;10;5;3;2;6;3;2;;1;1;;1;1;;;;1;1;1;;7;2;3;2;1;;;;1;1;2;;;;;2;;;;3;2;8;4;;18;1;7;13;8;5;4;3;2;2;7;6;3;3;3;3;11;1;7;;6;5;4;5;;;3;1;8;4;;7;4;5;4;4;2;1;1;1;;;;1;;;;
31410-6400;1;5;;;;;;25;1;;;1;3;1;9;;1;1;;1;1;1;1;;;;;;;;1;1;;1;1;1;;;;;;;;;;;;2;;;;;;;;;;1;;;;;;;;4;;2;2;1;;;;;;;1;1;;1;;;;;;;;;1;;;1;1;;;;;;;;1;;;;1;;;;1;;;;3;;;2;1;;;;;;;;;;;;1;;1;;;;;;;;;;1;;;;;;;;;;1;1;;;;;;1;;
35962-6401;;11;1;7;1;9;;33;;;;4;10;;12;;3;3;;;2;1;;;;;;;;;1;;1;;;;1;;6;;;;6;5;;;;6;;1;1;6;3;3;6;1;;2;;;;;;;;7;1;3;1;1;1;;;;;1;1;;;;;1;;;1;;;;1;;;2;;1;;;;;1;1;;1;;;;;;;;1;;;5;;;1;1;1;;;;;1;1;1;1;;;3;;3;1;2;1;1;1;;;;;3;1;;2;;1;;1;1;;;;;1;;;1;1;;
30588-6590;;;;;;1;1;3;;;;;;;1;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;
31311-5489;;3;1;3;2;5;1;19;2;;;7;13;1;17;1;2;9;1;;1;1;;;;;;;1;;1;;2;;;;1;;2;;;;;;1;;1;2;;;;1;;;2;;1;6;1;3;1;;1;1;;4;1;2;;;;;1;1;1;1;1;2;;1;1;;;;3;3;;;2;2;;7;1;;;;3;3;2;;1;1;;;1;;;1;1;2;;;7;1;1;2;;;;;;;;;;;;;1;1;1;;1;1;;2;;;1;1;4;;;3;;1;;;;1;;;;1;;;1;1;;
31525-4435;;;;;;1;;10;1;;;3;3;;12;;3;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;1;;;1;;1;;;1;;;5;;1;;;;;;;;;;1;;1;;1;1;1;1;;;;;;;3;;1;1;1;1;;;;;;;;;;;;;;;;4;;;1;;;;;1;1;1;1;1;1;;;3;;3;;2;1;1;1;;;;;3;1;;2;1;1;;1;;;;;;;;;;;;
36089-5384;;3;;;10;4;;36;;;;4;6;;27;;7;13;;;16;5;;;;;;;;;;;;;;;;;;;;;;;2;;;2;;;;3;;;;;;1;;;;;;;;13;1;3;;;;1;3;2;1;6;;;;;;1;1;1;;;1;2;;;;3;;;;;;;;;;1;;;;;;;;2;;1;6;;;1;1;;;;;;1;1;;;;;7;1;1;;;;;3;;;1;;1;;;;;;;;;;;;;2;;;8;5;2;
