aluno;1>;2>;3>;5>;6>;7>;8>;14>;16>;17>;29>;30>;31>;32>;41>;42>;43>;44>;45>;46>;48>;49>;1>2>;1>46>;1>46>2>;2>1>;2>1>46>;2>1>46>2>;2>2>;2>3>;2>14>;2>14>41>;2>41>;2>46>;2>46>1>;2>46>1>2>;3>2>;3>14>;5>5>;6>6>;6>6>6>;6>6>6>6>;7>5>;7>5>5>;7>6>;7>14>;8>7>;14>2>;14>2>14>;14>3>;14>3>2>;14>7>;14>7>5>;14>7>5>5>;14>14>;14>14>14>;14>14>41>;14>31>;14>31>14>;14>31>30>;14>31>30>14>;14>31>30>30>;14>31>30>31>;14>31>31>;14>32>;14>41>;14>41>31>;14>41>41>;14>41>41>41>;14>41>41>41>41>;14>41>41>41>41>41>;14>41>43>;14>43>;14>43>44>;14>43>44>44>;14>48>;14>49>;16>31>;17>30>;30>14>;30>14>41>;30>30>;30>30>30>;30>30>30>30>;30>31>;30>31>30>;30>41>;30>48>;31>14>;31>14>31>;31>14>41>;31>30>;31>30>14>;31>30>30>;31>30>30>30>;31>30>30>30>30>;31>30>31>;31>30>31>30>;31>31>;31>31>30>;31>32>;31>41>;31>41>41>;31>48>;32>14>;32>31>;32>31>30>;41>2>;41>14>;41>31>;41>31>14>;41>31>30>;41>41>;41>41>2>;41>41>31>;41>41>41>;41>41>41>41>;41>41>41>41>41>;41>41>41>41>41>41>;41>41>41>41>41>41>41>;41>41>43>;41>41>43>44>;41>43>;41>43>44>;41>43>44>44>;41>43>44>44>44>;43>14>;43>41>;43>44>;43>44>14>;43>44>44>;43>44>44>14>;43>44>44>44>;43>44>44>44>44>;43>44>44>44>44>44>;44>14>;44>14>41>;44>14>41>41>;44>14>43>;44>14>43>44>;44>44>;44>44>14>;44>44>14>41>;44>44>44>;44>44>44>14>;44>44>44>44>;44>44>44>44>14>;44>44>44>44>44>;44>44>44>44>44>44>;45>43>;46>1>;46>1>2>;46>2>;48>14>;48>29>;48>30>;48>48>;49>48>;49>49>;
31410-5384;2;10;7;1;6;6;1;35;1;;;1;4;1;24;;2;2;1;2;;;;1;1;;;;1;;2;1;;;;;3;2;1;1;;;1;1;1;2;1;3;1;5;3;2;;;5;1;1;3;1;1;1;;;;1;9;;6;3;2;1;;1;1;1;;;1;;1;;;;;;;;;2;;1;1;1;;;;;;;;;;;;1;;;2;;;;;9;1;;3;2;1;1;1;2;2;2;2;1;1;1;;2;1;1;1;1;1;1;2;2;2;1;1;1;1;1;1;1;1;1;1;1;;1;;1;;;;;;;
31508-4435;;;;;;;;22;1;;;2;7;;13;;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;1;;;;;;;;6;2;2;1;1;1;;;;;;;1;;;;1;1;;;;1;;1;;;2;;1;1;;;;1;;;1;;;;;;;1;3;;2;5;;1;2;2;2;2;1;1;1;2;2;1;1;;;2;;1;;1;;;;;;;;1;;;1;;;;;;;;;;;;;;;;
28391-5489;;2;;1;;1;;4;;;1;3;2;1;;;;;;;1;;;;;;;;;;;;;;;;;;1;;;;1;1;;;;2;;;;1;1;1;;;;;;;;;;;1;;;;;;;;;;;;;;;1;;1;1;;;;;;;;;2;;1;1;;;;;;;;;1;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;
31733-6030;1;2;1;;;;;20;1;;;4;8;1;18;;2;2;1;1;;;;1;1;;;;;;1;;;;;;1;;;;;;;;;;;;;1;1;;;;2;;1;1;;1;1;;;;;6;1;4;;;;;;;;;;1;;1;;1;1;1;1;1;;;1;;;4;1;1;1;1;1;1;;;;;;;1;;;;2;2;;;7;;1;2;2;2;2;2;1;1;1;1;1;;;;2;;2;;1;;;1;;;;;2;1;;1;1;;;;;1;;;1;;;;;;;
22957-6590;;1;;2;4;6;;20;1;;1;3;10;;9;1;2;3;;;6;2;;;;;;;1;;1;;;;;;;;1;1;;;1;;3;1;;1;;;;5;1;;2;;;7;5;3;2;;1;;;5;;2;1;;;;;;;2;2;1;;2;;;;;1;1;;1;6;1;3;3;2;;;;1;1;;;;;;1;;;;;;1;;;3;;1;1;;;;;1;1;1;1;1;1;;;2;;2;;2;1;1;1;1;1;;;3;1;1;2;1;1;1;1;1;;;;;3;1;;;1;2;
21955-4603;2;12;;2;;4;;54;1;;;10;21;1;21;;1;;;2;;2;;2;;2;2;;;;4;1;1;;;;;;2;;;;2;2;;1;;6;1;;;1;1;1;2;;;15;;6;;3;1;2;;8;;5;3;3;3;;1;;;;1;1;;1;1;6;3;1;2;;;;3;;;10;1;6;3;1;1;;3;2;;2;1;;;;;3;2;2;1;1;13;1;1;9;6;6;5;4;1;;1;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;
31853-4603;1;3;1;1;;1;;28;;1;2;4;8;3;31;1;6;5;3;1;5;;1;;;;;;;;;;;1;1;1;;1;1;;;;1;1;;;;2;;1;;;;;1;;;3;1;1;;;;;;10;;3;1;;;1;2;2;2;;;;1;;;;;;2;2;1;;1;;;3;;;;;;;;;1;1;;2;2;;;;2;;;;7;;;2;;;;;;;2;2;2;1;;;5;;5;1;3;2;1;3;1;1;1;1;5;3;1;3;2;2;2;1;;3;1;1;;1;;1;;;;
27889-4434;1;5;;4;;3;1;24;1;;;6;10;;21;;2;3;;1;4;3;;1;1;;;;;;2;1;;;;;;;2;;;;3;2;;;1;2;;;;1;1;1;1;;;5;1;3;1;;;1;;6;;2;2;2;2;;1;1;;;2;1;;3;2;1;;;;;;;3;;1;5;3;;;;;;1;1;;1;1;;;;;2;;1;;;5;;;3;3;2;1;1;;;1;1;;;;;2;;1;;1;1;1;1;;;1;1;1;1;;1;1;1;1;1;;;;;1;;;;1;3;1;
28101-7297;1;3;;2;;1;;15;1;;;2;5;;14;;5;7;;2;;;1;;;;;;;;1;;;1;1;1;;;1;;;;1;1;;;;1;;;;;;;1;;1;1;;;;;;;;7;1;2;;;;;1;1;;;;1;;;;2;1;1;;;1;;1;;;2;;2;1;1;;;;;;1;1;;;;;;;1;;1;3;;;1;;;;;;;1;1;1;1;1;;4;;2;;1;;;3;2;1;1;1;5;3;2;1;1;;;;;;1;1;;;;;;;;
31271-4434;1;14;3;1;3;2;1;45;1;;6;13;17;3;28;;2;7;;1;8;2;;1;1;;;;1;;4;1;1;;;;1;1;1;3;2;2;1;1;1;;1;8;3;2;1;2;1;1;4;2;;11;1;7;;4;2;;1;7;;1;;;;;;;;2;;1;;3;;5;1;1;4;4;;2;2;;;9;1;5;1;1;3;3;1;1;1;;;3;1;2;1;2;1;2;;;6;1;1;2;1;1;;;;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;1;2;6;;;;;
