aluno;1>;2>;3>;5>;6>;7>;8>;13>;14>;16>;17>;30>;31>;32>;41>;43>;44>;45>;46>;48>;49>;1>2>;1>46>;1>46>2>;2>1>;2>1>46>;2>1>46>2>;2>2>;2>14>;2>14>41>;2>41>;2>46>;2>46>1>;2>46>1>2>;3>2>;3>14>;5>5>;6>6>;6>6>6>;6>6>6>6>;7>5>;7>5>5>;7>6>;14>2>;14>2>2>;14>2>14>;14>3>;14>3>2>;14>7>;14>7>5>;14>7>5>5>;14>14>;14>14>41>;14>31>;14>31>14>;14>31>30>;14>31>30>14>;14>31>30>30>;14>31>30>30>30>;14>31>30>31>;14>31>31>;14>32>;14>41>;14>41>2>;14>41>41>;14>41>41>41>;14>41>41>41>41>;14>41>41>41>41>41>;14>43>;14>43>44>;14>43>44>44>;14>48>;14>49>;16>31>;17>30>;30>14>;30>14>31>;30>14>41>;30>30>;30>30>14>;30>30>30>;30>30>30>30>;30>30>30>30>30>;30>31>;30>31>30>;30>41>;30>48>;31>14>;31>14>31>;31>14>41>;31>30>;31>30>14>;31>30>30>;31>30>30>30>;31>30>30>30>30>;31>30>31>;31>30>31>30>;31>31>;31>31>30>;31>41>;31>48>;32>31>;32>31>30>;41>2>;41>14>;41>31>;41>31>30>;41>41>;41>41>31>;41>41>41>;41>41>41>41>;41>41>41>41>41>;41>41>41>41>41>41>;41>41>41>41>41>41>41>;41>41>43>;41>43>;41>43>44>;41>43>44>44>;43>44>;43>44>44>;43>44>44>44>;43>44>44>44>44>;44>14>;44>14>41>;44>44>;44>44>14>;44>44>14>41>;44>44>44>;44>44>44>14>;44>44>44>44>;44>44>44>44>14>;44>44>44>44>44>;46>1>;46>1>2>;46>2>;48>14>;49>48>;49>49>;
40169-6400;2;6;2;6;;7;;1;68;1;;5;12;;67;12;17;;2;6;;2;;;;;;2;1;;2;2;2;2;;;5;;;;4;4;;4;2;;1;;4;4;4;8;3;6;;1;;1;1;;3;;22;;5;5;1;1;5;3;2;;;1;;;;;2;;2;1;;;;1;1;1;1;;3;;2;2;1;;;5;;2;3;;;;2;1;1;18;;12;6;3;3;2;2;2;2;1;9;4;1;1;3;1;6;2;1;1;1;1;1;1;2;2;;1;;;
40777-6400;2;8;;1;;1;;;87;1;;18;17;;61;7;5;2;2;3;2;1;1;1;1;1;1;;4;;1;1;1;1;;;1;;;;1;1;;4;;1;;;;;;4;;8;;5;;3;2;;1;;26;1;6;1;;;1;1;1;;2;1;;3;1;;9;1;4;1;;3;;1;1;1;;;13;;8;3;;1;;1;;2;;;;2;4;4;4;26;2;12;7;4;4;1;4;4;3;2;5;4;2;1;2;2;4;2;2;2;2;1;1;;1;1;1;;;1;
30703-5384;2;21;2;9;9;13;;;84;;4;45;50;1;52;9;18;4;2;18;5;2;;;;;;3;1;1;2;1;1;1;2;;7;1;;;7;7;;8;1;;1;1;3;2;2;7;;13;;5;;;;1;4;1;13;1;5;3;;;;;;;3;;4;2;;;18;1;9;7;4;5;4;6;8;1;;;31;1;10;4;3;4;3;10;5;6;2;1;1;2;1;7;2;24;4;13;6;4;3;3;1;3;2;1;4;3;3;3;;;4;;;4;;4;;3;2;2;;1;4;2;
40960-6401;2;15;4;3;;4;;;37;1;;13;14;1;29;8;7;;2;1;;1;1;1;1;1;1;2;1;;3;;;;1;4;2;;;;3;2;;9;1;1;1;;1;;;1;;2;;1;;;;;;;9;;5;2;1;1;1;1;1;;;1;;;;;4;;3;2;1;2;1;2;;1;;;11;;3;2;2;2;;;;;1;1;1;1;;1;1;12;;5;3;2;2;;1;4;3;2;7;3;;;1;;3;;;;;;;;1;1;1;;;;
38975-5384;2;14;2;;2;6;;;61;;;3;3;;52;6;10;1;2;;1;;2;1;2;2;1;;3;1;2;;;;;1;;;;;;;1;4;;1;1;;3;;;1;;2;;1;;;;;;;12;;4;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;1;;;;16;;7;3;3;1;;1;1;1;1;4;4;3;1;1;1;10;1;1;5;1;3;1;2;;;1;;;1;
30926-4433;2;23;14;6;;7;2;;118;;1;20;23;4;98;13;34;3;2;5;13;1;1;1;1;1;1;3;8;4;;1;1;1;4;5;5;;;;4;4;;11;1;4;8;2;2;1;1;37;7;7;2;3;;;;3;1;2;29;;14;8;6;5;3;3;1;1;12;;1;1;1;;7;;6;4;3;10;6;;;3;3;1;17;;7;6;4;8;3;8;8;1;3;4;1;2;1;6;4;29;2;11;6;5;4;2;1;2;2;1;11;4;3;1;3;2;10;1;;4;1;1;1;1;1;1;1;;1;8;
1436-6400;3;10;1;;;4;;;64;;;9;16;3;73;9;24;;3;4;;1;2;2;2;2;2;;4;1;1;;;;;1;;;;;;;;7;;3;1;;3;;;5;2;4;3;1;;;;1;;2;25;;7;5;3;1;5;5;3;1;;;;2;;;;;;;;4;3;;;7;1;4;8;1;;;;4;3;;;;1;3;3;;2;1;;22;;10;6;1;;;;1;1;1;8;6;3;3;5;1;8;3;;5;2;3;1;2;1;1;2;4;;;
31369-4433;2;25;25;4;;5;;;72;;2;14;15;9;33;11;20;3;2;3;2;;2;2;2;2;2;3;10;4;;;;;14;4;2;;;;4;2;;10;1;3;24;13;3;3;2;7;1;3;1;3;2;;;;;7;21;1;10;4;3;2;3;2;;;;;2;5;2;1;;;;;;5;3;;;3;;;12;5;;;;5;3;2;2;1;1;9;7;1;3;1;;12;1;4;3;2;2;2;2;8;8;5;9;5;3;3;6;3;8;3;1;6;;6;;5;;;2;;;;
43464-6400;2;23;4;8;;11;2;2;166;;1;36;39;2;136;10;22;2;2;5;2;1;1;1;1;1;1;6;3;2;5;1;1;1;2;;8;;;;7;7;;5;3;;;;5;4;4;9;3;15;;7;2;1;1;;;1;33;1;14;5;2;;;;;1;2;;1;7;1;2;12;2;7;5;3;1;;5;1;;;;23;3;6;3;2;1;;;;10;;1;1;4;3;8;4;40;3;13;5;2;;;1;2;2;;6;2;1;1;4;2;3;1;1;1;1;1;1;1;1;1;1;1;1;;
30745-5490;2;9;;10;3;13;;;111;12;10;60;79;;61;6;20;;2;5;;;2;2;1;1;1;;2;;;;;;;;10;2;;;9;8;;5;;2;;;8;5;4;2;1;37;2;29;3;7;3;4;;;25;;8;2;1;1;2;1;;1;;11;10;12;1;3;9;1;3;1;;12;4;2;3;8;3;2;46;8;8;3;1;7;3;2;1;3;;;;1;;7;2;22;5;10;8;4;2;1;;1;1;1;4;2;1;;2;;6;2;;2;1;;;;;;2;;;;
31313-6401;2;28;2;4;12;12;;2;97;;3;41;42;;55;9;11;;2;21;2;;2;2;1;1;1;5;6;1;4;;;;;;3;2;1;;4;3;2;14;2;1;1;;7;2;2;5;1;29;;20;1;10;6;;2;;17;;9;4;3;2;2;2;;7;2;;3;11;3;2;25;9;12;7;4;2;2;5;5;1;;1;33;1;20;10;5;1;1;3;1;4;1;;;3;1;9;5;24;6;14;9;4;2;1;4;5;4;3;8;4;3;2;4;3;4;3;2;3;2;2;2;;;;2;4;2;2;
31673-5384;2;22;;2;14;5;;2;48;2;3;26;29;;57;6;10;;2;3;;2;;;;;;2;1;1;3;2;2;2;;;2;5;1;1;2;2;;7;2;;;;3;2;2;1;1;10;;7;;3;2;1;3;;11;;6;2;1;1;;;;1;;2;3;;;;11;;5;2;;3;2;1;2;;;;20;;8;3;1;1;;5;3;5;;;;3;;3;1;24;;11;4;2;1;1;2;3;;;3;1;1;1;2;2;4;2;2;3;2;2;1;;2;2;;;;;
42237-6402;2;5;1;;;;;;25;1;;3;6;;43;9;21;1;2;;;2;;;;;;;;;;2;2;2;;1;;;;;;;;2;;;;;;;;2;;2;1;1;;;;;;;14;1;11;5;3;;4;4;3;;;1;;;;;1;;;;;;;1;;1;;1;3;;1;;;;;;;;;;;2;;2;2;23;2;12;9;3;2;1;2;3;3;1;9;4;3;2;4;2;9;1;;5;;3;;1;2;2;;;;;
28092-4434;2;10;;;;1;;;49;1;;7;8;1;35;4;12;;2;2;;1;2;2;2;2;2;;4;1;;1;1;1;;;;;;;;;;5;;2;;;;;;4;1;4;1;3;2;;;1;;;12;1;4;1;;;3;3;;;;1;;2;1;;2;;1;;;3;3;;1;2;1;1;7;2;2;1;;3;3;;;;;;;2;;1;1;10;1;2;;;;;;1;1;;4;1;1;;3;1;2;2;;2;2;1;1;;1;1;2;;;;
31529-4917;3;9;;3;30;7;;;52;2;;9;19;;53;4;14;;3;1;;3;2;2;1;1;1;1;1;;3;3;3;3;;;2;15;10;5;3;2;2;3;;;;;3;1;1;1;;8;;3;;;;1;1;;15;;10;3;1;1;1;1;;;;2;;;;;3;;1;1;;1;;2;;2;1;;9;;3;1;1;1;;3;;4;;;;1;;4;1;23;4;11;5;2;2;1;;;;;4;;;;3;2;2;1;;1;1;;;;3;3;2;;;;
30739-4434;2;10;3;2;20;7;2;;51;2;3;10;15;2;66;13;27;4;2;1;;2;;;;;;;2;;;2;2;2;1;2;2;7;5;3;;;3;2;;;2;1;1;;;;;4;1;2;1;1;;;1;;19;;2;1;;;3;3;;;;2;3;4;2;1;5;;1;;;2;2;;;5;;1;8;3;4;1;;1;1;2;;;;2;2;;;2;1;12;1;4;;;;;1;1;1;1;12;3;1;;5;1;8;4;1;4;3;3;2;1;2;2;;;;;
36787-6401;2;17;2;4;;5;;;41;;;19;8;;29;4;3;;2;7;4;1;1;1;1;1;1;4;5;1;1;1;1;1;1;;4;;;;4;4;;10;3;2;;;1;1;1;2;1;3;;3;;3;1;;;;13;1;5;1;1;1;;;;;2;;;2;;;14;1;7;5;3;1;1;1;1;;;;7;;6;3;2;1;1;;;;;;;3;;2;2;8;2;1;1;1;;;;1;1;;3;1;;;1;1;1;1;1;;;;;;1;1;1;4;4;3;
35558-5384;3;45;3;8;8;10;;1;137;5;4;41;51;;64;3;7;1;3;4;1;2;1;1;1;1;1;7;15;1;1;1;1;1;2;;8;;;;8;8;;16;3;3;1;1;9;7;7;6;1;15;;7;;4;2;1;4;;12;;4;1;;;;;;2;1;5;4;12;;;28;7;11;8;5;3;;3;;6;1;2;32;2;22;10;8;2;;11;7;2;;;;;1;5;2;19;2;9;2;2;;;;1;;;2;1;1;1;2;1;1;1;1;1;1;1;1;;2;2;1;1;1;;
41089-6400;2;10;;1;;1;;;30;;;2;6;;32;3;5;;2;2;;1;1;1;1;1;1;1;2;1;2;1;1;1;;;1;;;;1;1;;3;;;;;;;;2;;3;;1;;;;;;;16;3;2;1;;;1;1;;;;;;;;;1;;;;;;;1;1;;;;2;;1;;;;;1;1;2;;;;7;;1;;6;;3;;;;;;;;;1;;;;;;1;;;;;;;;1;1;1;;;;
41289-6400;2;9;;1;;1;;;66;;;3;5;;37;6;12;1;2;;1;;1;;1;1;;4;;;1;1;1;;;;1;;;;1;1;;6;2;;;;;;;3;1;2;;1;;1;;;1;;15;;4;2;1;1;1;1;1;;;;;;;;1;;;;;1;;2;;;;;3;;1;;;1;;1;;2;;;;;2;3;2;10;3;4;3;2;2;2;2;3;1;1;4;2;1;;;;5;;;2;;;;;1;;;;;1;
31759-4917;2;8;;;;;;;20;;;2;7;;19;2;2;;2;2;3;1;;;;;;;;;1;1;1;;;;;;;;;;;2;;;;;;;;;;2;;1;;;;;;;3;;;;;;;;;;2;;;;;;;;;;;;;;;1;;;1;;;;;;;1;;1;;;;;;;;3;;;;;;;;;;;1;;;;1;1;;;;;;;;;2;1;;1;1;2;
30808-4435;3;11;;8;1;11;;;44;1;2;43;38;1;42;8;7;2;3;2;1;3;1;1;;;;;1;1;2;2;2;2;;;8;;;;6;6;1;2;;;;;3;1;1;2;;18;;16;;14;10;;1;;9;1;3;2;1;1;4;2;1;;;1;2;2;;1;31;2;23;19;15;5;2;4;;2;;;31;;24;19;17;2;1;4;3;2;;;;3;;6;3;13;1;7;3;3;3;2;1;3;1;1;3;3;2;;3;1;6;1;;4;1;2;;2;3;3;1;1;;1;
27995-4435;2;28;;12;16;16;;;64;3;3;82;53;1;79;8;18;;2;10;1;2;;;;;;;2;;3;2;2;2;;;10;4;1;;11;10;1;9;;1;;;1;;;1;;19;1;14;;3;1;3;2;;19;;4;1;;;;;;;;2;3;5;1;1;34;3;14;6;4;9;4;9;2;4;3;1;40;;15;6;3;3;;4;2;5;;1;;1;;8;4;21;1;7;2;1;;;;2;2;1;8;5;4;1;6;3;10;5;2;5;2;2;1;;2;2;;;1;1;
31783-4433;2;27;28;;30;3;;;73;1;1;16;19;8;38;10;12;1;2;2;;1;1;1;1;1;1;2;10;5;;1;1;1;12;10;;15;9;4;;;2;6;2;2;24;10;;;;3;;8;;5;1;1;1;1;2;3;13;;4;3;1;1;3;2;1;;;1;1;7;2;1;9;4;5;3;1;4;3;1;;1;;;15;3;9;5;3;4;3;7;5;2;1;6;4;1;;1;;10;;6;1;1;1;;2;6;3;2;7;4;1;1;4;2;5;2;1;2;2;1;1;1;1;1;1;;;;
13405-5490;2;7;1;5;7;5;;;135;;;23;26;;107;14;26;;2;11;13;1;1;1;1;1;1;1;1;;;1;1;1;1;;5;2;2;;4;4;;1;;;1;1;1;1;1;5;1;14;;12;;4;1;1;;;44;1;12;4;1;1;5;5;1;;7;;;4;1;1;10;2;3;2;1;4;2;1;2;2;;;18;1;8;3;2;1;1;2;;3;1;;;3;4;1;;34;1;12;4;2;2;2;;2;1;;11;4;3;2;3;;7;2;;4;2;3;1;1;1;1;1;;7;2;
31652-4434;3;21;3;;;4;;;46;5;5;21;29;;55;8;4;2;3;2;;2;1;1;1;1;1;4;4;2;6;1;1;1;1;1;;;;;;;;7;1;;2;;1;;;2;;9;;7;;6;2;;;;18;1;8;2;;;;;;;;5;5;2;2;;11;;3;1;;3;3;3;2;4;;3;18;1;9;3;1;1;1;1;1;;;;;5;;3;1;23;3;10;5;4;3;2;1;2;1;1;4;3;3;2;4;2;3;3;1;3;3;2;2;;2;2;1;;;;
36331-4917;4;15;5;9;52;11;1;1;90;7;1;19;33;12;74;5;12;;5;9;3;3;1;1;;;;;3;1;;2;2;2;1;3;8;20;12;6;4;4;2;5;;1;3;1;5;1;1;4;1;13;3;7;2;;;1;;2;19;1;3;;;;2;1;;2;3;7;1;4;;1;3;1;1;;;8;3;1;;9;1;;15;3;1;;;7;3;1;;2;3;9;4;2;;2;1;19;1;9;4;3;;;;2;1;;3;1;1;1;2;2;5;2;2;1;1;1;1;;3;3;1;1;1;3;
24082-4603;2;4;;;;1;2;;13;;;;;;5;;;;2;10;;1;1;1;1;1;1;;2;;;;;;;;;;;;;;;2;;;;;;;;2;;;;;;;;;;;4;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;3;;;
44195-6402;2;7;1;3;1;6;;;38;1;;10;12;2;26;10;18;2;2;8;1;;2;2;2;2;2;1;1;;1;;;;;;2;;;;2;2;1;1;;;;;1;;;3;;3;;2;;1;1;1;;;9;;4;2;;;1;1;;;1;1;;;;;6;;3;1;1;2;;;2;;;;7;;5;2;1;1;;1;1;1;1;1;1;1;2;;;9;;3;;;;;4;5;4;2;8;3;;;5;3;5;3;3;;;;;;;;2;;1;;
35799-5384;2;21;3;1;28;14;1;;100;4;2;25;35;2;79;12;18;1;2;8;3;1;2;2;1;1;1;;6;1;;1;1;1;2;;;16;11;8;1;;3;10;;3;2;1;6;;;2;;14;1;9;3;1;;;1;;27;;8;1;1;1;4;3;1;1;;4;2;11;4;3;6;2;4;1;1;2;2;;;7;3;2;19;7;3;2;;1;;3;1;1;5;1;;2;;2;1;20;1;5;2;2;1;1;;4;2;1;7;4;2;2;7;2;5;3;2;2;2;2;2;;1;1;2;1;;;
37121-6401;4;39;;1;23;6;1;;139;;2;45;45;1;41;13;25;2;4;14;3;2;2;2;;;;11;5;1;1;1;1;1;;;1;15;3;;1;1;2;24;8;1;;;5;1;1;6;;35;3;29;13;3;3;;1;;14;2;7;;;;3;2;;5;;;2;16;7;1;7;;6;;;;;;1;5;;1;36;13;6;6;;;;2;2;1;1;1;;3;;;;13;;5;2;2;2;2;1;2;1;1;7;3;3;;2;;9;1;;4;1;1;1;1;2;2;2;2;3;2;
31570-5490;3;9;;4;4;5;;;55;7;;28;34;1;62;5;6;;3;7;3;2;1;1;1;1;1;2;;;3;2;2;2;;;4;;;;3;3;2;4;;;;;2;1;1;1;;12;;7;;3;1;;2;;22;1;10;4;2;2;;;;;2;6;;1;;;6;;1;1;;2;;2;3;1;;;20;;4;1;1;1;;3;1;3;1;1;1;2;;4;1;16;3;6;3;2;1;1;1;1;;;3;;;;;;;;;;;;;;2;2;1;;2;1;
31826-4603;2;3;;;;1;;;23;;;;;;33;9;23;1;2;;;2;;;;;;;1;;;2;2;2;;;;;;;;;;1;;;;;;;;3;1;;;;;;;;;;8;;3;1;;;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;8;;1;;;;;1;1;;;7;2;1;;1;1;5;;;1;;;;;2;2;;;;;
39676-6030;2;20;7;10;7;19;4;;87;3;11;35;40;4;66;22;35;7;2;10;;1;1;;;;;1;4;;1;;;;2;;8;1;;;8;7;2;11;1;2;6;1;3;2;2;2;;20;;11;3;3;;;1;;16;;13;7;4;3;3;3;1;1;;2;10;11;4;1;14;4;6;1;;7;3;;2;5;;1;24;4;9;3;;1;1;7;2;3;2;3;2;2;2;8;4;30;5;14;5;4;1;1;5;9;8;5;16;8;5;2;8;4;18;6;3;11;5;7;3;4;1;1;;1;;;
31784-4448;2;12;;3;1;7;;;39;;;5;13;;52;5;21;;2;2;;2;;;;;;2;2;1;;1;1;1;;;3;;;;3;3;;5;;;;;4;1;1;2;;5;1;1;;;;;1;;12;;3;;;;2;1;;;;;;;;;2;;;;;;;2;;2;;;5;;2;;;;;2;;2;2;;;;1;2;1;11;;5;1;;;;;;;;5;1;;;2;1;5;;;1;;;;;2;2;;;;;
18607-4917;2;3;;;;;;;21;1;1;3;8;;17;;;;2;1;;1;1;1;1;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;4;;3;1;1;;;;;;;10;;4;3;1;1;;;;;;1;1;;;;1;;;;;;;;;2;;2;2;;;;;;;;;1;1;;;;;2;;5;1;4;2;2;2;2;;;;;;;;;;;;;;;;;;;1;1;1;;;;
36170-5384;1;8;;;;;;;21;;;;1;;8;;;;1;;;;1;1;1;1;1;3;1;;1;;;;;;;;;;;;;3;;;;;;;;1;;;;;;;;;;;6;1;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;1;;2;;1;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;
31604-4435;2;11;;;29;3;;;16;;;2;2;;9;2;2;;2;;;1;1;1;;;;1;1;;1;1;1;1;;;;18;11;6;;;2;4;1;;;;2;;;;;;;;;;;;;;4;1;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;1;;;;1;;;;;;;;;;;;;;;2;1;;;;;1;;;;;;;;1;1;1;;;;
31888-4433;3;24;9;;7;2;;;42;;;6;8;1;23;3;4;2;3;5;4;2;1;1;1;1;1;;3;;1;;;;7;;;4;1;;;;2;10;;;6;6;2;;;1;;4;2;2;;;;1;;;9;;3;;;;;;;;4;;;;;;1;;;;;1;1;1;1;3;1;1;5;;1;;;1;1;1;1;;1;1;;;1;1;1;7;1;1;1;1;1;;1;1;1;;3;;;;;;1;;;;;;;;2;2;1;3;3;3;
39946-6401;5;37;9;3;44;12;11;2;736;19;21;163;241;27;121;19;25;6;5;36;32;3;2;2;2;2;2;1;20;1;;3;3;3;6;3;3;13;4;1;3;3;2;27;1;12;4;3;8;1;;125;11;174;53;98;36;1;1;36;7;;60;;23;11;5;1;6;5;5;9;27;17;21;67;14;2;1;;1;;;66;45;;9;91;23;5;146;54;1;1;;63;43;9;6;1;3;25;10;2;12;5;3;43;3;24;11;3;3;3;4;5;4;3;17;16;13;10;11;6;21;9;4;13;5;10;4;4;3;3;2;16;11;16;
35816-5799;2;5;2;;1;1;;;27;;;1;7;2;14;;;;2;12;3;;2;2;1;1;1;2;3;1;;;;;;1;;;;;;;1;3;1;;2;;1;;;3;1;2;;;;;;;1;;6;1;2;2;1;;;;;2;;;;;;;;;;;;;;;;1;;1;;;;;;;;2;;;3;1;;1;;4;;5;3;3;1;;;;;;;;;;;;;;;;;;;;;;;;2;2;1;;
41299-6401;1;11;;;8;2;;9;37;;;4;3;1;21;1;1;;1;11;;;1;1;1;1;1;1;3;;3;;;;;;;1;;;;;1;5;1;1;;;2;;;1;;1;;;;;;;;1;7;;2;2;;;;;;9;;;;;;;1;;;;;;;;;;;;1;;;;;;;;;;;;;2;;;;4;;3;1;;;;;;;;1;;;;;;;;;;;;;;;;1;;;;
18398-5384;3;17;5;1;22;4;;;60;3;;24;23;;62;3;11;1;3;;;2;1;1;1;1;1;;3;1;1;1;1;1;;1;1;6;3;1;1;1;3;9;;;4;;3;1;1;;;9;;3;;2;;;4;;17;;2;2;1;;;;;;;3;;8;;3;13;4;5;3;2;1;;;;6;3;1;14;2;6;2;1;1;;5;3;3;;;;;;1;1;9;;3;1;;;;;1;1;1;3;1;1;1;3;2;4;3;2;3;3;3;3;1;2;2;1;;;;
36057-7297;2;5;;;;1;1;;43;;1;6;7;;36;3;3;;2;1;;2;;;;;;;;;;2;2;2;;;;;;;;;;2;;;;;;;;8;6;2;;1;1;;;;;;17;;2;;;;;;;1;;;1;4;;2;3;2;;;;;;;;;;;6;2;3;;;;;;;;;;;1;;1;1;2;;;;;;;;1;1;;3;1;;;3;2;1;1;;;;;;;2;2;;1;;;
22525-4435;2;12;7;;;;;;18;;;;1;;1;;;;2;;;1;1;;1;1;;1;1;;;1;1;1;6;;;;;;;;;3;;;6;5;;;;2;;1;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;
32508-4448;2;13;1;1;7;4;1;;62;4;4;14;23;5;32;10;29;;2;9;;;1;;1;1;;;1;;;1;1;;;;1;2;2;1;1;1;;7;;1;1;;4;;;7;;8;2;3;1;;;;;;8;;1;1;1;1;6;6;2;;;4;4;3;;;3;1;2;;;;;;1;5;1;1;9;2;1;;;;;2;;1;3;3;1;1;1;;;4;;2;2;1;1;1;;1;1;;8;3;2;1;2;;6;;;3;;2;;1;1;;;2;;;
35686-5489;3;19;;6;;7;;;80;;;15;23;;148;15;30;3;3;2;;;3;3;2;2;2;2;4;2;3;;;;;;6;;;;6;6;;7;1;1;;;2;2;2;8;1;6;1;4;;1;;;;;29;;10;8;7;5;4;2;2;;;;;1;;;4;;2;1;;;;2;1;1;;;14;;4;2;1;;;1;1;2;;;;1;1;10;3;56;4;29;16;11;7;4;2;4;2;1;9;6;2;2;3;1;13;3;1;3;2;2;2;2;;;3;;;;
33169-6402;4;9;;;23;3;;;40;4;;3;10;;13;;;;4;1;;;3;3;3;3;3;1;;;;1;1;;;;;6;3;1;;;1;5;;;;;2;;;4;1;2;;1;1;;;;;;9;2;2;;;;;;;1;;4;;1;;;2;;1;1;;1;;;;1;;;2;1;1;1;1;;;;;1;;;;2;;2;;5;1;2;;;;;;;;;;;;;;;;;;;;;;;1;;3;;;;
30639-5489;2;10;;3;;3;;;38;;;14;20;;24;3;3;1;2;;;2;;;;;;1;3;;1;2;2;2;;;3;;;;3;3;;7;1;1;;;2;2;2;3;;8;1;4;1;1;;;;;13;;2;;;;1;1;1;;;;;3;;;6;2;4;1;1;;;2;;2;;;13;1;5;4;1;;;;;2;;;;1;;2;1;5;1;1;;;;;;1;1;1;3;3;2;2;1;1;3;1;1;2;1;2;1;2;2;2;;;;;
24192-6401;2;11;;;;1;;;28;;;7;6;;26;4;5;;2;5;;;2;2;2;2;2;1;;;;;;;;;;;;;;;;6;1;;;;;;;1;;4;;4;;2;1;;;;8;;3;1;;;;;;;;;;1;;;3;1;1;1;;;;;5;;;;6;;3;1;1;;;;;;;;;1;;;;9;;1;;;;;;2;;;2;2;2;1;;;2;;;2;;1;;1;;;2;;;;
43058-6400;2;7;;3;18;14;4;;259;8;19;109;129;1;194;28;30;5;2;10;2;2;;;;;;;2;1;2;1;1;1;;;3;3;;;3;3;1;3;;;;;4;1;1;9;2;76;5;50;10;18;8;2;8;1;72;3;24;9;3;3;8;5;3;;;8;19;28;21;4;33;5;16;7;4;4;3;3;4;17;5;5;74;16;25;12;7;2;2;15;5;15;3;;;3;5;19;7;72;9;29;15;13;8;5;5;14;13;8;23;14;6;6;13;6;16;6;4;8;3;7;2;2;2;2;;2;1;2;
41125-7114;2;13;1;1;;3;;;30;2;2;14;14;;26;4;3;;2;1;;2;;;;;;3;4;1;2;1;1;1;;1;1;;;;1;1;;8;2;1;;;;;;2;2;4;;3;;;;;;;11;;3;2;1;1;;;;;;2;2;;;;1;;;;;2;;2;1;1;;;12;;1;;;1;;;;1;;;;2;1;5;5;7;1;3;2;1;1;1;1;4;3;;3;;;;;;;;;;;;;;2;2;;1;;;
36400-5799;2;7;6;3;2;3;;;47;1;;5;6;;34;9;9;1;2;;;2;;;;;;;2;1;;1;1;1;1;3;2;;;;2;2;1;4;;1;6;1;2;1;1;1;;4;;2;;1;1;;;;16;;6;3;1;;5;5;3;;;1;;3;1;1;3;2;1;;;1;;;;;;;4;1;2;1;;;;;;;;;;;2;1;1;14;;5;3;1;;;;4;3;3;8;6;5;4;7;3;7;6;3;5;5;4;4;2;2;2;;;;;
27350-6401;2;21;;3;;3;1;;93;1;;40;50;;31;4;4;;2;3;;1;1;1;;;;1;3;;2;1;1;1;;;3;;;;2;2;;10;1;;;;2;1;1;5;1;13;;8;;6;3;;3;;15;1;7;3;2;2;1;1;1;1;;1;;6;2;2;23;2;13;7;3;6;2;4;;5;1;2;28;3;15;10;6;1;;8;6;3;1;;;4;1;7;3;16;3;9;4;4;3;1;3;3;1;1;2;1;1;1;2;1;1;1;1;1;1;1;1;1;1;1;1;;;;
32015-4917;2;7;;;;;;;41;1;;1;4;;34;1;1;;2;;;1;1;1;1;1;1;1;3;;1;1;1;1;;;;;;;;;;4;;;;;;;;3;1;2;;1;;;;1;;;8;1;2;1;;;;;;;;1;;;;;;;;;;1;1;;;2;1;1;1;;;;;1;1;;;;;;;1;;2;;8;;1;;;;;;1;1;;1;;;;;;;;;;;;;;1;1;1;;;;
30586-4434;5;18;3;2;;1;;;31;;;2;2;;45;7;10;3;5;1;;2;1;1;;;;1;6;1;1;1;1;1;1;1;2;;;;1;1;;7;1;3;2;1;;;;1;;1;;1;;;;;;;12;1;6;2;2;1;3;1;1;;;;;1;;;1;1;1;;;;;1;1;;;;2;;1;1;;;;;;;;;;2;;1;1;17;1;7;5;3;1;1;1;1;1;1;4;3;2;1;3;1;5;3;1;3;2;2;1;1;4;2;1;;;;
31358-4435;2;27;17;8;21;20;10;;171;2;3;53;58;51;143;25;42;5;2;15;1;;1;1;;;;;1;;;;;;12;1;7;6;4;1;7;6;1;4;;;14;9;6;1;1;8;3;1;;;;;;;;40;46;;17;8;5;2;8;8;4;3;1;2;3;7;;1;24;4;13;10;6;6;4;1;4;6;;2;45;3;18;9;8;4;4;3;2;1;1;46;37;1;7;1;1;51;1;18;10;6;4;2;1;9;7;2;21;8;5;4;7;6;17;6;3;8;3;5;2;3;1;;1;3;1;;
39955-6401;4;26;1;5;;6;;;140;12;5;84;103;1;62;17;29;1;4;28;;2;2;2;1;1;1;1;1;;;2;2;2;;;3;;;;4;3;;9;1;;1;;4;3;3;8;1;55;1;28;;8;4;1;6;1;15;;9;7;5;4;6;6;2;1;;12;5;4;4;;32;4;17;8;5;10;8;4;20;3;2;;64;;23;12;3;2;2;14;10;2;7;1;1;4;2;7;6;29;1;18;14;12;7;5;3;4;1;1;14;9;6;5;4;2;13;4;2;7;4;6;3;2;2;2;2;1;;;
