aluno;1>;2>;3>;5>;6>;7>;8>;13>;14>;16>;17>;30>;31>;32>;41>;43>;44>;45>;46>;48>;49>;1>2>;1>46>;1>46>2>;2>1>;2>1>46>;2>1>46>2>;2>2>;2>14>;2>14>41>;2>41>;2>46>;2>46>1>;2>46>1>2>;3>2>;3>14>;5>5>;6>6>;6>6>6>;6>6>6>6>;7>5>;7>5>5>;7>6>;14>2>;14>2>2>;14>2>14>;14>3>;14>3>2>;14>7>;14>7>5>;14>7>5>5>;14>14>;14>14>41>;14>31>;14>31>14>;14>31>30>;14>31>30>14>;14>31>30>30>;14>31>30>30>30>;14>31>30>31>;14>31>31>;14>32>;14>41>;14>41>2>;14>41>41>;14>41>41>41>;14>41>41>41>41>;14>41>41>41>41>41>;14>43>;14>43>44>;14>43>44>44>;14>48>;14>49>;16>31>;17>30>;30>14>;30>14>31>;30>14>41>;30>30>;30>30>14>;30>30>30>;30>30>30>30>;30>30>30>30>30>;30>31>;30>31>30>;30>41>;30>48>;31>14>;31>14>31>;31>14>41>;31>30>;31>30>14>;31>30>30>;31>30>30>30>;31>30>30>30>30>;31>30>31>;31>30>31>30>;31>31>;31>31>30>;31>41>;31>48>;32>31>;32>31>30>;41>2>;41>14>;41>31>;41>31>30>;41>41>;41>41>31>;41>41>41>;41>41>41>41>;41>41>41>41>41>;41>41>41>41>41>41>;41>41>41>41>41>41>41>;41>41>43>;41>43>;41>43>44>;41>43>44>44>;43>44>;43>44>44>;43>44>44>44>;43>44>44>44>44>;44>14>;44>14>41>;44>44>;44>44>14>;44>44>14>41>;44>44>44>;44>44>44>14>;44>44>44>44>;44>44>44>44>14>;44>44>44>44>44>;46>1>;46>1>2>;46>2>;48>14>;49>48>;49>49>;
40116-6030;2;17;;;19;7;;;114;1;;7;11;;28;6;7;;2;10;2;1;1;1;1;1;1;;3;;;;;;;;;2;;;;;4;12;;2;;;3;;;3;2;7;;4;;1;;1;;;18;1;8;4;1;;3;3;;2;1;1;;1;1;;2;1;1;1;1;1;1;;1;;;;6;;2;1;1;1;1;2;2;;1;;;1;4;;;11;;5;2;;;;;3;;;3;;;;1;;2;1;;1;1;1;1;1;1;1;1;1;2;;
36637-5489;2;11;;4;;9;;;77;2;;16;19;1;127;16;14;4;2;3;;1;;;;;;;2;;;1;1;1;;;4;;;;4;4;;5;;1;;;3;1;1;23;4;7;;5;;3;1;;2;;26;1;8;4;2;;7;6;4;;;2;;2;;;10;1;5;3;3;1;1;;1;2;;1;12;;8;3;1;1;1;2;;2;1;1;1;1;2;4;3;34;3;17;10;6;4;1;2;5;1;1;10;9;5;4;5;3;11;4;3;5;2;4;2;3;2;1;;1;;;
31384-5061;2;11;3;1;;1;;;19;1;1;8;8;;9;;;;3;1;;2;;;;;;;6;2;;2;2;2;3;;1;;;;1;1;;6;;1;;;;;;;;2;1;2;;;;;;;3;1;;;;;;;;;;;1;3;;;2;;2;1;1;;;;1;2;1;;7;1;2;2;1;;;;;;1;;;1;;4;4;2;1;;;;;;;;;;;;;;;;;;;;;;;;2;2;;1;;;
35972-5489;2;6;1;;;;;;29;1;1;7;7;;27;5;12;;2;2;;;2;2;2;2;2;1;1;;;;;;;;;;;;;;;3;;;;;;;;1;1;2;;;;;;;1;;9;1;3;1;;;;;;;;1;1;1;;;;;;;;;;;;2;;;2;;;;;;;1;1;;2;;;1;;2;;7;1;1;;;;;;1;1;1;5;3;1;;1;;5;1;;1;;;;;;;2;;;;
32380-4434;4;17;6;9;1;8;8;2;90;5;1;46;41;25;110;13;24;3;6;10;2;3;1;1;;;;;4;1;1;2;2;2;1;3;7;1;;;6;6;1;7;;2;1;;1;1;1;4;1;8;;4;;2;2;;2;11;36;;6;3;;;3;3;3;1;1;4;1;4;;1;29;3;17;12;7;7;6;;5;6;1;3;27;1;20;13;9;2;2;4;2;;3;19;14;;;2;1;19;1;8;3;1;1;;;2;1;1;10;8;4;3;1;1;14;1;1;7;1;4;1;1;3;3;1;1;2;1;
31787-4434;3;16;13;1;19;8;6;;34;;;1;1;2;13;2;;2;3;4;;1;1;;;;;2;1;;;2;2;1;6;1;1;12;5;3;1;1;3;2;1;;11;5;;;;2;;;;;;;;;;;6;2;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;1;;1;;;
34561-4433;3;18;7;12;12;13;2;;123;7;8;26;35;20;78;7;9;2;3;32;11;;3;3;3;3;3;1;4;1;1;;;;;4;9;10;9;8;10;8;2;13;1;3;4;;9;6;5;7;2;19;;8;;;;2;1;4;41;;6;3;3;1;4;3;1;6;8;7;8;7;;1;2;;1;1;1;7;3;;;5;2;;16;2;2;1;1;4;2;3;2;1;2;8;5;2;5;4;;21;1;10;6;2;2;1;1;2;2;1;6;3;3;3;2;1;5;1;;4;1;4;1;1;;;3;11;10;1;
42411-7297;2;10;;;;;;;25;;;;2;;5;;;;2;;;;2;1;1;1;;1;2;1;;;;;;;;;;;;;;7;1;2;;;;;;10;2;2;;;;;;;1;;3;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;2;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;
32369-4603;2;8;1;;;1;;;41;2;;;11;1;35;1;1;;2;4;2;1;1;1;;;;2;3;1;;1;1;1;;1;;;;;;;;;;;1;;1;;;3;1;3;;;;;;;1;;12;;3;2;;;;;;;1;2;;;;;;;;;;;;;;2;;1;;;;;;;;2;;2;1;;;1;1;3;;11;;6;3;2;2;1;;1;1;1;1;1;1;;1;;1;1;;1;1;;;;1;1;1;1;2;2;
39980-6400;2;6;7;3;;3;1;;46;1;;8;10;3;46;15;38;2;2;;;;2;2;1;1;1;;1;;;;;;2;3;3;;;;3;3;;3;;;2;;1;1;1;;;3;1;2;;1;;1;;1;18;1;5;1;1;;7;5;1;;;1;;2;;2;2;;;;;2;2;;;2;2;;8;2;2;;;1;1;1;;;;3;2;1;1;;;18;;4;4;2;;;1;2;;;10;3;;;4;1;5;;;1;;1;;1;;;2;;;;
