aluno;1>;2>;3>;5>;6>;7>;8>;14>;16>;17>;29>;30>;31>;32>;41>;43>;44>;45>;46>;48>;49>;1>2>;1>46>;1>46>2>;2>1>;2>1>46>;2>1>46>2>;2>2>;2>14>;2>41>;2>46>;2>46>1>;2>46>1>2>;3>2>;5>5>;6>6>;6>6>6>;6>6>6>6>;7>5>;7>5>5>;7>6>;7>14>;8>7>;14>2>;14>2>14>;14>3>;14>7>;14>7>5>;14>7>5>5>;14>14>;14>14>41>;14>31>;14>31>14>;14>31>30>;14>31>30>14>;14>31>30>30>;14>31>30>30>30>;14>31>30>31>;14>31>31>;14>32>;14>41>;14>41>41>;14>41>41>41>;14>41>41>41>41>;14>41>43>;14>43>;14>43>44>;14>43>44>44>;14>43>44>44>44>;14>48>;14>49>;14>49>49>;16>31>;16>31>14>;17>30>;30>14>;30>14>31>;30>14>41>;30>30>;30>30>14>;30>30>30>;30>30>30>30>;30>30>30>30>30>;30>31>;30>31>30>;30>41>;30>48>;31>14>;31>14>41>;31>30>;31>30>14>;31>30>30>;31>30>30>30>;31>30>30>30>30>;31>30>30>30>30>30>;31>30>31>;31>30>31>30>;31>30>41>;31>31>;31>31>30>;31>41>;31>41>41>;31>48>;32>31>;32>31>30>;41>2>;41>14>;41>31>;41>31>30>;41>41>;41>41>31>;41>41>41>;41>41>41>31>;41>41>41>41>;41>41>41>41>41>;41>41>41>41>41>41>;41>41>43>;41>43>;41>43>44>;41>43>44>44>;43>41>;43>44>;43>44>14>;43>44>44>;43>44>44>44>;43>44>44>44>44>;43>44>44>44>44>44>;44>14>;44>14>41>;44>14>43>;44>14>43>44>;44>44>;44>44>14>;44>44>14>41>;44>44>44>;44>44>44>14>;44>44>44>44>;44>44>44>44>14>;44>44>44>44>44>;45>43>;46>1>;46>1>2>;46>2>;48>14>;48>30>;48>48>;49>48>;49>49>;
40101-6590;1;8;;1;23;3;;61;;2;;32;34;;20;2;5;;1;11;12;1;;;;;;;1;1;1;1;1;;1;9;4;1;1;1;2;;;4;;;1;;;3;2;21;;15;2;3;2;;4;;11;1;;;1;;;;;;10;7;;;2;5;1;2;7;1;4;2;;3;2;2;1;;;24;2;6;3;1;;1;1;1;6;2;2;1;;;;;;3;1;3;1;1;1;;;;;1;1;;;2;1;1;;;;1;;;;2;;;;;;;;;1;1;;1;1;1;9;10;
31784-4448;1;7;;1;1;4;;22;;;2;1;5;;27;4;17;;1;2;;1;;;;;;2;2;;;;;;1;;;;1;1;;2;;4;;;3;1;1;2;;1;;1;;;;;;;7;1;;;;2;1;;;;;;;;;;;;;;;;;;;;;1;;1;;;;;;;;;1;;1;;2;;;;1;1;;2;;;;;;;;;;;;4;;1;;;;1;;;;3;;;1;;;;;;1;1;;;;1;;;
18607-4917;1;2;;;;;;8;;;;;2;;8;;;;1;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1;1;;;;;;;;5;2;1;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;1;;;;;;;1;;2;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;;;
36170-5384;1;4;;;;;;11;;;;;1;;4;;;;1;;;;1;1;1;1;1;1;1;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;4;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;
31604-4435;1;5;;;29;3;;8;;;;2;2;;6;2;2;;1;;;;1;1;;;;;;1;;;;;;18;11;6;;;2;;;1;;;2;;;;;;;;;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;2;;1;;;;;;;;1;;;;;;;;;;;1;;;;;;
29016-5061;1;8;1;1;;1;;24;1;1;;7;12;5;15;1;1;;1;;2;;1;1;;;;;3;;;;;;1;;;;;;;;;5;3;;;;;2;;4;;2;;;;;;2;5;;;;;1;1;1;;;1;;1;;1;3;;1;;;;;;4;3;;;7;1;6;3;;;;;3;3;;;;;;;3;2;;;;;4;;1;;;;;;;;;;1;1;1;;;;1;1;1;1;1;1;;;;;;;;;;1;;;;;1;
31191-4434;1;13;;12;;12;;67;;;2;30;29;;28;11;12;2;1;12;12;1;;;;;;4;9;1;1;1;1;;9;;;;10;8;;1;;9;3;;5;3;3;2;1;15;;11;;4;2;1;1;;13;7;5;5;2;1;1;1;1;1;9;8;;;;5;1;1;12;2;4;1;;6;4;1;2;5;1;23;3;9;3;1;;1;;1;3;3;2;;1;;;1;3;8;2;13;4;8;3;7;4;3;1;4;3;1;1;8;2;3;2;1;;4;2;;;5;2;1;4;2;1;1;;2;1;1;;4;1;;7;10;
32895-6590;;8;;;11;2;;60;2;2;;25;29;3;27;4;2;;;3;;;;;;;;;6;;;;;;;1;;;;;;1;;7;6;;1;;;2;;18;3;12;7;;;3;1;;15;3;1;1;1;;;;;;;;2;1;2;10;4;2;2;;;;;3;2;;;5;1;20;8;1;;;;3;2;;1;1;;;1;;;1;;2;1;8;;3;;3;1;1;1;3;1;1;1;2;;2;2;1;;1;1;;;2;1;1;2;1;1;1;;;;;;2;;;;;
41258-6590;1;2;;1;;2;;11;;;;5;6;;15;;;;1;1;3;1;;;;;;;;;1;1;1;;1;;;;1;1;;;;;;;;;;1;;2;1;1;;;;;;;5;2;;;;;;;;;2;;;;;;;;3;;2;1;;;;1;;1;;5;;3;2;1;;;;;;;;;;;;1;1;;;3;;1;;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;1;1;;
31888-4433;2;13;5;;7;2;;23;;;;6;6;1;10;2;3;2;2;4;4;2;;;;;;;1;;;;;3;;4;1;;;;2;;;4;;2;2;;;1;;4;2;2;;;;1;;;5;2;;;;;;;;;4;3;;;;;;;1;;;;;1;1;1;1;2;;5;;1;;;;1;1;;1;1;;;;1;;;1;1;1;4;1;1;1;1;1;1;1;1;1;;;2;;;;;;;;;;1;;;;;;;;1;2;2;;3;;;3;3;
