aluno;1>;2>;3>;5>;6>;7>;8>;14>;16>;17>;29>;30>;31>;32>;41>;42>;43>;44>;45>;46>;48>;49>;1>2>;1>46>;1>46>2>;2>1>;2>1>46>;2>1>46>2>;2>2>;2>3>;2>14>;2>14>41>;2>41>;2>46>;2>46>1>;2>46>1>2>;3>2>;3>14>;5>5>;6>6>;6>6>6>;7>5>;7>5>5>;7>6>;7>14>;8>7>;14>2>;14>2>14>;14>3>;14>3>2>;14>7>;14>7>5>;14>8>;14>14>;14>14>14>;14>14>41>;14>31>;14>31>14>;14>31>30>;14>31>30>30>;14>31>31>;14>32>;14>32>31>;14>41>;14>41>31>;14>41>41>;14>41>41>41>;14>41>41>41>41>;14>41>43>;14>43>;14>43>44>;14>43>44>44>;14>48>;14>49>;16>31>;16>31>14>;17>30>;30>14>;30>14>41>;30>30>;30>30>30>;30>30>30>30>;30>31>;30>31>30>;30>32>;30>41>;30>48>;31>14>;31>14>31>;31>14>41>;31>30>;31>30>14>;31>30>30>;31>30>30>30>;31>30>30>30>30>;31>30>31>;31>30>31>30>;31>31>;31>31>30>;31>32>;31>41>;31>41>41>;31>48>;32>14>;32>31>;32>31>30>;41>2>;41>14>;41>31>;41>31>14>;41>31>30>;41>41>;41>41>2>;41>41>31>;41>41>31>30>;41>41>41>;41>41>41>41>;41>41>41>41>41>;41>41>41>41>41>41>;41>41>41>41>41>41>41>;41>41>43>;41>41>43>44>;41>43>;41>43>44>;41>43>44>44>;41>43>44>44>44>;43>14>;43>41>;43>44>;43>44>14>;43>44>44>;43>44>44>44>;43>44>44>44>44>;43>44>44>44>44>44>;44>14>;44>14>41>;44>14>41>41>;44>14>43>;44>44>;44>44>14>;44>44>14>41>;44>44>44>;44>44>44>14>;44>44>44>44>;44>44>44>44>14>;44>44>44>44>44>;44>44>44>44>44>44>;45>43>;46>1>;46>1>2>;46>2>;48>14>;48>29>;48>30>;48>48>;49>48>;49>49>;
42261-6402;;1;;3;21;6;;47;2;2;;16;26;;33;;7;9;;;1;2;;;;;;;;;;;;;;;;;3;10;5;3;3;2;;;;;;;2;1;;;;;15;;9;5;2;;;9;;3;1;1;;1;1;1;;1;2;1;2;4;3;8;4;1;2;1;;;;2;;;15;2;8;4;1;;;3;2;;2;;1;;;;;1;3;;;9;;1;;3;1;1;;;1;1;2;1;;;1;2;4;1;2;1;1;1;2;;;1;3;;;1;;1;;1;1;;;;;;;;;;2;
31755-7114;;1;;3;;2;;13;;;1;2;4;;18;;4;6;;;1;1;;;;;;;1;;1;;;;;;;;3;;;2;2;;;;;;;;1;;;1;;;2;;1;;;;;4;;;;;;1;1;1;;;;;;;;1;;;;;;;1;;;;2;;1;;;;;1;;;1;;;;;;;;;;;1;;;;;;;;;;;;;;;;;4;1;3;3;1;1;4;4;;;3;2;2;3;2;1;;1;;;;;;;1;;;;;
31836-6401;1;19;6;5;;5;2;52;;;1;31;29;4;30;;2;6;1;1;5;;;1;1;;;;1;2;4;;1;;;;2;3;5;;;5;5;;;1;11;4;3;1;3;3;;7;2;1;17;1;14;4;1;1;1;14;;5;2;1;;1;1;1;1;;;;;8;1;7;1;1;11;11;2;;3;2;;;26;6;5;1;1;9;9;3;3;1;1;1;;1;3;2;3;3;1;;1;7;2;;;2;1;;;;;;;;;;;;1;1;1;;;;1;;;1;1;;;;;;;;;1;;;1;1;1;;;;;
36259-6590;1;6;2;;;;;11;1;;;1;3;1;4;;;;;1;;;1;;;;;;1;1;1;1;;1;1;1;2;;;;;;;;;;1;;;;;;;1;;;1;;;;;;;4;;1;1;1;;;;;;;1;;;;;1;;;;;;;;1;;1;1;;1;;;;;;;1;;;;;1;;;;;;;1;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;;;;
41520-6895;1;3;1;;;;;10;;;;;;;3;;;;;1;;;1;;;;;;;1;3;2;;1;1;1;1;;;;;;;;;;3;2;;;;;;1;;;;;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;;;;
36066-6030;;;;;5;2;;9;1;;;;2;1;8;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;1;;;;;;;;;;;;;5;;2;2;1;1;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;4;;;;3;1;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
36400-5490;1;3;;;;;;10;;;;;;;14;;2;1;;1;;;;1;1;1;1;1;;;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;3;;;;1;;;;;;;2;1;1;;1;;1;;1;;;;1;1;1;;1;1;1;;;;;;;;;;1;;;;;;;
14770-5489;1;3;1;;;;;9;;;;2;4;;11;;1;2;;1;;;1;;;;;;1;1;2;1;;;;;1;;;;;;;;;;1;;;;;;;;;;;;;;;;;3;1;;;;;;;;;;;;;;;;;;;;;;;1;;1;1;;;;;;;1;1;;;;;;;;;;1;1;;1;;;;1;;;;;;;;;;;;;1;;1;1;1;;1;;;;2;1;;2;1;1;;;;;1;1;;;;;;;;
31488-4917;;1;;;;;;10;;;;2;2;;9;;3;7;1;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;1;;1;;;;;5;;3;1;1;;1;;;;;;;;1;1;;;;;;;;;;;;2;1;;;;;;;;;;;;;;;;1;;;;5;;;;2;1;;;;;;;;;;1;;2;;2;2;2;;;;;;3;;;2;;2;;;;;;;;;;;;;;
36099-5061;1;7;;1;;2;;33;1;;;5;8;1;20;;4;6;1;1;2;;1;;;;;;2;;1;;2;1;1;1;;;1;;;1;1;;;;2;;;;1;1;;;;;3;;1;1;;;;3;;1;;;;1;1;1;;;1;;;;;3;1;;;;;1;;;;;5;;3;1;;;;;;;;;1;1;;;1;;1;;1;7;1;1;1;1;1;;;;1;1;2;1;;;;;3;;1;1;1;;1;;;1;2;1;;2;1;1;1;;;1;1;1;;;;;1;;;
31256-5061;;7;;;;;;19;;;;;1;;11;1;3;2;;;;;;;;;;;;;3;1;;;;;;;;;;;;;;;4;2;;;;;;;;;1;;;;;;;8;;3;;;;3;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;5;1;;;2;;;;;;;;;;;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
32892-5490;1;1;;;;1;;15;8;3;;25;26;;24;;6;8;;1;2;;;1;1;1;1;1;1;;;;;;;;;;;;;;;;;;1;;;;;;;;;;2;;1;;;;;4;1;;;;;;;;;;7;;3;;;12;1;;2;1;;2;;1;;1;13;;6;1;;2;1;1;;;1;1;2;;;;;;3;;1;1;;1;;;;;;;;;;;;;1;;3;;;;;;;;;;2;;;;;;;;;;;;1;;;2;;;;
39095-5384;1;9;;;;;;34;;;;4;7;;16;;6;7;;1;1;;;1;;1;1;;;;5;1;;;;;;;;;;;;;;;6;4;;;;;;1;;;4;;3;;;;;11;1;1;;;;1;1;;;;;;;3;1;1;1;;3;2;;;;3;;;4;2;1;1;;3;2;;;;;;;;;;;;2;;2;5;;1;1;2;1;1;;;2;1;4;3;1;;1;;5;1;2;;;;3;2;;;2;1;1;;;;;;;;;;;;;;;;;
23668-5490;1;2;;;;;;12;;1;;6;4;1;11;;4;7;;1;;;;1;1;1;1;1;;;1;;;;;;;;;;;;;;;;1;1;;;;;;1;;1;;;;;;;;7;;1;1;1;2;;;;;;;;1;1;1;2;1;;1;;;;;1;;1;2;;1;1;;;;;;1;;;;;1;;;;;;;1;;;;1;1;1;1;;1;1;2;2;1;1;;1;3;;1;1;;;1;1;1;;3;1;1;3;1;2;;;;;;;1;;;;;;;
35698-6030;;1;;;2;4;;12;1;;;4;4;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;1;;;;;;;;;;2;;2;2;;;;;;;;;;;;;;;1;;;1;;3;1;1;2;;;;;;;;2;1;2;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
40390-6401;;1;;;;;;9;;;;2;2;;4;;;;;;1;;;;;;;;;;1;;;;;;;;;;;;;;;;1;1;;;;;;;;;1;;;;;;;2;;2;;;;;;;;;;;;;;2;1;1;;;;;1;;;;2;;2;1;1;;;1;1;;1;;;;;;;;2;;1;3;;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
31437-6590;1;2;;;;;;4;;;;4;3;;3;;1;1;;1;;;;1;1;1;1;1;;;;;;;;;;;;;;;;;;;2;;;;;;;1;;;1;;;;1;;;;;;;;;;;;;;;;;;;3;1;1;;;;;;;;;3;;2;1;1;;;1;1;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;1;;1;;;;;;;;1;;;;;;;;;;;;1;;;;;;;
