aluno;1>;2>;3>;5>;6>;7>;8>;14>;16>;17>;29>;30>;31>;32>;41>;42>;43>;44>;45>;46>;48>;49>;1>2>;1>46>;1>46>2>;2>1>;2>1>46>;2>1>46>2>;2>2>;2>3>;2>14>;2>14>2>;2>14>41>;2>41>;2>46>;2>46>1>;2>46>1>2>;3>2>;3>14>;5>5>;6>6>;6>6>6>;7>5>;7>5>5>;7>6>;8>7>;14>2>;14>2>2>;14>2>14>;14>3>;14>3>2>;14>7>;14>14>;14>14>2>;14>14>14>;14>14>41>;14>31>;14>31>30>;14>31>30>30>;14>31>31>;14>32>;14>32>31>;14>41>;14>41>31>;14>41>41>;14>41>41>41>;14>41>41>41>41>;14>41>41>41>41>41>;14>43>;14>43>44>;14>48>;14>49>;16>31>;17>30>;30>14>;30>14>41>;30>30>;30>30>14>;30>30>30>;30>30>30>30>;30>31>;30>31>30>;30>32>;30>41>;30>48>;31>14>;31>14>41>;31>30>;31>30>14>;31>30>30>;31>30>30>30>;31>30>30>30>30>;31>30>31>;31>30>31>30>;31>31>;31>31>30>;31>41>;31>48>;32>14>;32>31>;32>31>30>;41>2>;41>14>;41>31>;41>31>30>;41>41>;41>41>2>;41>41>31>;41>41>31>30>;41>41>41>;41>41>41>41>;41>41>41>41>41>;41>41>41>41>41>41>;41>41>41>41>41>41>41>;41>41>43>;41>41>43>44>;41>43>;41>43>44>;41>43>44>44>;43>41>;43>44>;43>44>14>;43>44>44>;43>44>44>44>;43>44>44>44>44>;44>14>;44>14>41>;44>44>;44>44>14>;44>44>14>41>;44>44>44>;44>44>44>14>;44>44>44>44>;44>44>44>44>44>;45>43>;46>1>;46>1>2>;46>2>;48>14>;48>29>;48>48>;49>48>;49>49>;
41520-6401;2;10;;;;1;1;25;;;1;1;1;;23;;6;13;;2;3;;1;1;1;1;1;1;1;;3;3;;;1;1;1;;;;;;;;;;5;;3;;;;2;1;;;;;;;;;4;;2;;;;1;1;2;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;2;;;;15;2;;;9;6;2;1;;1;1;3;3;1;1;6;1;5;3;1;2;2;7;;;3;;1;;;1;1;1;;1;;;;
32035-4114;2;4;;;45;6;5;39;1;;5;2;6;;28;1;3;2;;2;6;5;1;1;;1;1;;;;1;;1;1;1;1;1;;;;16;8;;;3;1;2;;;;;3;4;;;;3;;;;;;12;;5;4;4;2;;;;2;1;;1;1;;;;;1;;;;;2;;2;1;;;;1;;1;;;2;;;;1;2;2;1;16;1;2;1;6;4;2;2;2;2;1;3;2;1;;2;;1;;;1;;1;1;;;;;;;1;1;;4;3;3;4;;
36347-5799;1;3;;2;;3;1;31;;;;3;5;3;34;1;6;5;3;1;2;;1;;;;;;;;;;;;1;1;1;;;2;;;2;2;;;2;;;;;;4;;2;1;2;1;;;;;12;;3;1;;;2;2;;;;;;;;;;;;;2;1;;;;1;;;;;;;;;1;2;2;;;;1;;;7;;;;2;;;;;;;2;2;2;;5;;5;3;2;3;1;5;3;1;3;2;2;1;3;1;1;;;;;;;
14932-4114;;;;;;1;2;7;1;1;;3;6;3;4;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;2;;;;1;1;1;;;;;;;;;1;1;1;;;;;;;;;1;;;;;1;;;;;;;;;1;;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;
41365-6401;1;25;4;1;;5;;44;;;;6;12;;30;1;9;20;5;1;2;;;1;1;;;;6;1;6;1;1;1;;;;2;1;1;;;1;1;;;9;2;2;1;;1;12;4;2;4;5;3;2;;;;14;;9;6;5;3;3;3;;;;;;;2;;2;;;;;1;1;2;1;5;;2;2;;;;1;;3;1;;;;1;3;3;;18;;3;;12;9;7;5;3;1;1;4;4;;1;8;2;3;3;3;4;2;6;4;2;5;3;5;3;4;;;1;;;;;;
44169-6895;2;13;13;1;16;9;2;58;;;;5;11;3;45;1;2;;4;2;4;6;1;1;1;;;;2;1;2;;1;;1;1;1;5;1;1;4;1;1;1;;;3;1;;10;5;1;3;;1;1;2;;;;;;17;;7;3;2;;;;;2;;;1;;;;;;;;;;;1;;3;;;;;;;;;1;1;1;;;3;;;;14;;;;3;2;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;1;2;;2;2;3;
35700-5489;5;21;;9;;14;;94;6;4;;41;67;3;95;;11;15;1;6;2;;3;3;3;3;3;3;2;;6;1;2;2;1;1;1;;;9;;;9;9;;;8;2;4;;;6;3;;;1;33;16;3;;1;;29;2;12;8;3;1;1;1;;;6;3;19;10;10;3;3;2;7;5;1;5;2;16;4;37;15;8;2;2;5;4;4;4;3;1;1;1;;3;;7;5;38;1;3;1;18;8;5;1;1;;;1;1;1;;10;;7;2;2;2;;10;2;;3;;3;2;1;3;3;3;;;;;;
12626-7114;2;5;;;;2;3;17;1;;;;2;3;20;;1;;;2;9;;2;;;;;;;;2;;;;1;1;1;;;;;;;;;2;1;;;;;;;;;;;;;;;;2;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;2;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;2;2;;;;2;;;
30969-5799;;;;;;;;14;;;;;;;15;;3;11;;;14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;5;;;;;;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;1;;;;;;;;;;;3;;;;;;;1;;;;;;;;;;;9;;;;;
31743-5061;4;19;;9;38;7;;23;1;;;4;6;;29;;3;3;;4;3;1;2;3;3;1;1;1;;;;;;2;2;2;2;;;5;20;10;5;2;;;5;;;;;2;;;;;1;1;;;;;3;;2;;;;;;;;1;;;;1;;1;;;;;1;;1;;3;;;;;;;2;;1;;;;;1;1;3;2;13;;2;1;3;3;1;1;1;;;1;1;1;;3;;1;;;;;1;;;;;;;;2;2;3;;;2;;;
36672-5489;;1;;;;;;5;;;1;1;1;;2;;;;;;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;1;;;;;;2;;1;;;;;;;1;;;;;1;;;;;;;;;;;;;;;;;;;;;1;;;;1;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;1;
28198-5490;1;4;2;1;;2;;32;;;;3;5;;17;;7;10;1;1;;;;1;1;1;1;1;;;;;;1;;;;;1;1;;;;;;;2;;;2;;1;1;;;;1;;;;;;9;;3;1;1;;3;3;;;;;;;3;;1;1;;;;;;;;3;;3;1;1;;;;;;;;;;;1;1;1;9;;;;3;1;;;;1;;1;;;1;5;;1;;;3;2;4;2;1;2;2;2;1;1;;;1;;;;;;
36350-5799;;4;1;1;2;5;;31;;;1;2;6;;41;;1;1;;;4;;;;;;;;;;2;1;1;1;;;;;;1;;;1;1;1;;2;;1;1;;1;2;;2;1;4;2;;;;;8;;4;1;1;1;1;1;;;;;;;;;;;1;;;;;4;3;2;;;;;1;;;;;1;;;;1;1;2;;8;1;1;;3;2;1;1;1;;;1;1;;;1;1;1;;;1;;1;;;;;;;;;;;;1;;;;
23182-6895;;;;1;;2;;12;;;;;3;;7;;;;;;;;;;;;;;;;;;;;;;;;;1;;;1;1;;;;;;;;1;;;;;2;;;1;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
35751-5799;;1;;1;;1;;30;;1;;12;13;;44;;7;5;;;2;;;;;;;;;;;;;1;;;;;;;;;1;;;;;;;;;;1;;;;10;9;2;;;;11;;5;;;;2;1;;;;;4;2;2;;1;;4;4;;;;;;12;4;2;1;;3;3;;;2;;;;;;;;;9;;;;1;;;;;;;1;1;1;;5;1;4;2;1;5;3;4;4;2;2;2;1;;;;;;1;;;;;
40168-6402;3;11;;1;;2;2;41;2;;1;8;15;;54;2;6;4;1;3;3;;1;2;2;;;;2;;4;;1;1;;;;;;1;;;1;1;;1;2;1;;;;;4;;;1;6;2;1;2;;;12;;3;1;1;;1;1;;;;;1;;4;1;2;2;;;;4;;1;;7;;3;2;2;;;2;1;1;1;;;;2;1;4;1;17;1;2;1;3;3;1;;;;;1;1;1;;4;1;4;2;2;3;1;4;2;1;2;1;2;;1;1;1;2;;1;;;;
42261-6402;;3;;4;33;8;;57;2;2;;17;27;;41;;7;9;;;2;2;;;;;;;1;;;;;1;;;;;;4;15;9;4;4;2;;1;;;;;3;;;;;15;9;5;2;;;9;;3;1;1;1;1;1;;1;2;2;4;3;8;2;4;1;2;1;;;;2;;15;2;8;4;1;;;3;2;3;1;;;;;1;3;;14;;1;;7;5;2;;;1;1;2;1;;2;4;1;2;1;1;2;;3;;;1;;1;1;;;;;;;;;2;
31755-7114;;1;;3;;2;;13;;;1;2;4;;18;;4;6;;;1;1;;;;;;;1;;1;;;;;;;;;3;;;2;2;;;;;;;;1;1;;;;2;1;;;;;4;;;;;;1;1;;;;;;;1;;;;;;;;1;;;2;;1;;;;;1;;1;;;;;;;;;1;;;;;;;;;;;;;;;4;1;3;3;1;4;4;3;2;2;3;2;1;1;;;;;;1;;;;
31836-6401;2;24;8;6;;7;2;68;;;1;36;34;4;34;;2;6;1;2;6;;;2;1;1;1;;1;2;4;1;;1;;;;3;3;6;;;6;6;;1;16;1;4;5;2;5;9;2;2;1;22;19;5;1;1;1;15;;6;3;1;;1;1;2;;;;11;2;9;3;2;2;13;13;2;;3;2;;31;8;7;2;2;11;11;3;3;1;;1;3;2;3;3;1;1;8;2;;;3;1;;;;;;;;;;1;1;1;;;1;;1;;;;;;;1;;;1;1;1;;;;
36259-6590;3;16;4;4;;4;;40;3;;1;12;16;2;30;;2;2;;3;2;;2;1;1;1;1;1;1;1;3;1;2;2;1;1;1;3;;4;;;4;4;;;5;1;1;;;;3;;;;4;1;;;;;11;;2;1;1;;;;1;;3;;2;;5;2;1;1;1;1;;2;1;1;1;9;;5;1;1;1;1;1;1;;;;2;1;1;1;1;;6;;;;5;3;2;1;;1;1;2;2;;;2;2;;;;2;2;;;;;;;;;2;2;1;;1;;;;
41520-6895;1;4;1;;;;;13;;;;;;;5;;;;;1;;;1;;;;;;;1;4;1;3;;1;1;1;1;;;;;;;;;4;;3;;;;1;1;;;;;;;;;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;;;
36066-6030;;;;;5;2;;9;1;;;;2;1;8;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;1;;;;;;;;;;;5;;2;2;1;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;4;;;;3;1;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
36400-5490;5;12;1;;;;;27;;;;1;1;;28;;2;1;;5;;;2;4;4;4;4;4;;;5;;1;1;1;1;1;1;;;;;;;;;3;;;;;;1;;;1;;;;;;;9;;4;2;1;;;;;;;;1;;;;;;;;;;;;;1;1;;;;;;;;;;;;;1;1;;;12;;;;5;1;;;;;;2;1;1;;1;;1;;;1;1;1;1;1;;;;;;2;2;4;;;;;;
14770-5489;2;5;3;;;;;13;;;;2;4;;11;;1;2;;2;;;2;;;;;;2;3;2;;1;;1;1;1;2;;;;;;;;;2;;;;;;3;;;;;;;;;;3;1;;;;;;;;;;;;;;;;;;;;;;1;1;1;;;;;;;1;1;;;;;;;;1;;1;;;;1;;;;;;;;;;;1;;1;1;1;1;;2;1;;2;1;1;;;2;2;;;;;;;
31488-4917;;1;;;;;;12;;;;2;2;;9;;3;7;1;;;;;;;;;;;;1;;1;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;5;;3;1;1;;1;;;;;;1;1;;;;;;;;;;;;2;1;;;;;;;;;;;;;;1;;;5;;;;2;1;;;;;;;;;;2;;2;2;2;;;3;;;2;;2;;;;;;;;;;;
36099-5061;1;12;;1;;2;;44;1;;;5;8;1;24;;4;6;1;1;2;;1;;;;;;3;;1;;;2;1;1;1;;;1;;;1;1;;;6;2;;;;1;;;;;3;1;1;;;;3;;1;;;;1;1;;;1;;;;3;;1;;;;;1;;;;5;;3;1;;;;;;;1;1;;;1;;1;1;9;1;1;1;2;2;;;;1;1;2;1;;;3;;1;1;1;1;;2;1;;2;1;1;;1;1;1;;;;1;;;
31256-5061;;12;5;;;;;33;;;;;1;;21;2;5;10;;;;;;;;;;;;2;3;;1;;;;;2;2;;;;;;;;7;;2;2;1;;;;;;1;;;;;;12;;4;;;;4;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;7;1;;;2;;;;;;;;;;;3;;1;;;1;1;2;;;;;;;;;;;;;;;;
32892-5490;2;4;;;;1;;21;8;3;;26;28;;31;;6;8;;2;2;;;2;2;2;2;2;2;;1;;;;;;;;;;;;;;;;1;1;;;;;;;;;3;1;;;;;5;1;;;;;;;;;7;3;;;12;;1;;2;1;;2;;1;1;14;;6;1;;2;1;1;;1;2;;;;2;;3;1;1;;1;;;;;;;;;;;;;3;;;;;;;2;;;;;;;;;;2;;;;;;
39095-5384;2;21;6;;;;;61;;;;9;13;;23;;6;7;;2;1;;;2;1;2;2;1;;1;10;3;1;;;;;2;1;;;;;;;;14;;5;4;;;2;1;;;6;5;;;;;12;1;1;;;;1;1;;;;;4;1;1;1;1;;5;4;;;;4;;9;3;1;1;;5;4;;;;;;;;;;3;3;8;;2;2;5;3;1;;;2;1;4;3;1;;5;1;2;;;3;2;2;1;1;;;;;;;;1;;;;;;
23668-5490;2;3;;;;;;24;;1;;11;9;3;17;1;4;7;;2;1;;1;1;1;1;1;1;;;1;;;;1;1;1;;;;;;;;;;2;;1;;;;1;;;1;1;1;;;1;1;8;;2;2;1;1;;;;;;1;1;1;3;1;2;1;1;;;;;3;1;5;;2;2;1;;;;;;;1;2;1;;;;;5;;;;3;2;2;2;1;1;1;2;2;1;1;3;;1;1;;1;1;3;1;1;3;1;2;;;1;1;1;;;;;;
35698-6030;;1;;;2;4;;12;1;;;4;4;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1;;;;;;;;;;2;2;2;;;;;;;;;;;;;;1;;1;;3;;1;1;2;;;;;;;2;1;2;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
40390-6401;;1;;;;;;9;;;;2;2;;4;;;;;;1;;;;;;;;;;1;;;;;;;;;;;;;;;;1;;1;;;;;;;;1;;;;;;2;;2;;;;;;;;;;;;2;;1;1;;;;;1;;;2;;2;1;1;;;1;1;1;;;;;;;2;1;3;;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
31437-6590;2;3;1;;;;;7;;;;4;3;;8;1;1;1;;2;;1;1;1;1;1;1;1;;;;;;;1;1;1;;;;;;;;;;2;;;;;;1;1;;;1;;;1;;;2;;;;;;;;;;;;;;3;;1;1;;;;;;;;3;;2;1;1;;;1;1;;;;;;;;;;4;;;;1;1;;;;;;;;;;1;;1;;;;;1;;;;;;;;1;1;1;;;;;1;
44845-7114;;2;;1;;1;;20;1;;;2;9;1;12;;;;;;1;;;;;;;;;;;;;;;;;;;1;;;1;1;;;;;;;;;;;;;5;;;1;;;5;1;3;1;;;;;;;1;;;;;;;;1;;;;;6;2;2;;;;;1;;1;;;1;1;;;;;1;;3;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
44090-6402;3;9;1;1;51;6;1;92;2;3;;30;46;9;64;3;11;9;2;3;6;1;1;1;1;1;1;1;2;1;3;;1;1;2;2;1;1;;1;26;13;1;1;;1;5;2;;;;4;7;;1;3;28;19;5;;2;2;28;;14;7;3;;1;;;1;2;3;5;1;11;2;2;2;3;2;6;1;;7;2;26;2;8;2;2;2;2;4;1;4;1;;8;4;1;1;5;1;31;;1;;18;10;3;2;1;5;5;6;5;5;1;8;;8;1;1;3;2;9;3;2;1;1;1;;2;2;1;1;;;;1;1;
36589-5489;;;;;;;;1;;;;;;;;;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;
44109-6402;;;;;2;4;4;27;1;;;3;9;1;22;;2;2;;;;;;;;;;;;;;;;;;;;;;;1;;;;;4;;;;;;;1;;;1;3;1;;;;;15;;3;;;;;;;;1;;;;1;;;;1;;1;;;5;2;3;;1;;;1;;1;1;;;;1;1;;;3;;7;;1;;;;;;;;;1;1;;;2;2;;;;2;1;;;;;;;;;;;;;;;;;
40918-6402;1;12;2;;;2;;59;2;1;;14;15;1;59;;16;38;;1;5;2;;1;;;;;1;;1;;;;;;;2;;;;;;;;;3;;;;;;2;;1;1;5;4;2;1;;;21;1;2;1;;;7;5;;1;1;1;6;1;5;1;3;1;1;1;;;4;1;1;12;4;4;3;1;;;2;2;;;;1;1;1;4;2;1;8;;1;;3;;;;;;;1;1;;1;12;;;;;5;2;4;1;;2;1;;;;;;;1;;;;1;
44033-6402;3;9;1;1;56;9;5;59;1;;4;9;12;;49;2;3;2;;3;6;1;1;2;1;;;;;;3;1;1;;2;2;1;;1;1;11;4;1;1;4;3;2;;2;;;7;5;;1;;6;2;;;;;20;2;8;3;2;2;;;;;1;;6;;;;;;1;1;;;;3;2;5;3;;;;1;1;;;;6;;;;1;2;3;1;16;;;;6;3;3;2;2;1;;1;;;;1;;1;1;;2;1;1;1;;1;1;;;;2;1;1;1;4;;1;;
16014-6590;;3;4;;;;;12;;;;;;1;13;;1;3;1;;;;;;;;;;;3;1;;;;;;;3;2;;;;;;;;1;;;4;3;;2;;;;;;;;1;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;5;;;;3;2;1;1;;;;;;;;1;;1;1;1;1;;2;;;1;;1;;;;;;;;;;;
31601-6401;4;43;;;26;4;2;118;1;;1;48;53;;53;;12;10;;4;8;;3;1;1;;;;3;;8;1;;;;;;;;;10;3;;;1;1;23;2;4;;;2;5;1;1;1;22;10;3;7;;;19;1;4;;;;2;2;2;;;;6;;14;2;6;1;11;5;;2;;7;2;32;3;13;6;1;6;3;10;5;3;2;;;;;;5;4;8;;2;2;;;;;;;;2;2;1;;9;2;7;3;2;5;3;7;3;2;3;1;2;1;;3;3;1;;1;4;;;
22135-4114;2;8;2;1;2;2;2;21;1;;;1;4;1;17;;1;1;;2;4;2;;1;;;;;;;2;;1;;1;1;;1;1;;1;1;1;;1;1;2;;1;2;1;;3;1;;1;1;;;;;;6;;1;;;;1;1;1;;1;;;;;;;;;;;;1;2;;;;;;;;;2;;1;;;1;;1;;1;;5;1;;;1;;;;;;;;;;;1;1;1;1;1;1;1;1;1;;1;1;1;;;1;;;;;1;1;2;
44153-6895;2;5;;;6;3;;22;;;1;;3;;38;;5;5;;2;4;;1;1;1;1;1;;;;;;;;1;1;;;;;3;2;;;;;2;;;;;1;2;;;1;;;;;;;11;;8;4;2;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;2;1;;;;;;3;;21;;3;;12;6;4;4;2;3;2;4;3;2;;5;1;4;3;3;2;2;4;1;1;3;;3;3;;1;1;1;;1;;;;
28177-4114;2;8;3;3;16;4;;36;;;2;7;8;3;38;2;7;4;3;2;4;2;1;1;1;1;1;1;4;;2;;2;2;;;;1;1;1;4;2;2;1;1;;3;1;;2;1;2;7;1;1;3;1;1;;;1;;14;;3;1;1;1;1;;1;;;;4;2;2;1;1;1;2;2;;;;;;4;1;2;1;1;;;1;;1;1;;2;2;;1;2;;11;;;;3;2;2;1;;1;1;5;3;2;2;4;2;2;2;1;3;2;2;1;;2;1;1;1;3;1;1;1;1;;1;1;1;
36615-6895;;4;;;;;;22;;;;2;8;;15;;4;3;;;;;;;;;;;;;1;;;2;;;;;;;;;;;;;2;;;;;;2;;;1;5;;;;;;8;1;5;1;1;1;;;;;;;;;;;;;1;;;;;2;;2;;;;;1;;1;;1;;;;;1;;1;1;7;1;;;2;2;1;1;;1;1;3;3;3;1;3;;3;2;1;3;2;3;3;2;2;2;1;1;;;;;;;;;;
41124-6401;;2;2;;;;;6;;;;1;1;;3;;2;2;1;;;;;;;;;;;;;;;;;;;1;1;;;;;;;;;;;2;1;;1;;;;1;1;1;;;;2;;1;;;;;;;;;;;;1;;;;;;;1;;;;1;;1;;;;;;;;;;;;1;;;;2;1;;;;;;;;1;1;1;1;1;;2;;2;2;1;2;1;2;2;1;2;2;1;;1;;;;;;;;;
35754-6030;;7;;;;;;27;1;;1;;3;;17;;4;11;;;2;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;2;;;;;;2;2;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;4;;;;;1;;1;;;;;;;;;;;;1;;;;
41260-6400;2;10;;1;;2;;53;;;;2;4;;46;;3;9;;2;;;1;1;1;;;;;;2;;;1;1;1;1;;;;;;1;;;;5;;1;;;2;;;;;2;1;1;;;;17;;3;1;1;1;;;;;;;;;2;;1;;;;;;;;;1;;1;;;;;;;;;;;;2;2;;;8;1;;;2;2;1;1;1;;;2;2;;;3;;;;;;;2;;;1;;;;;1;1;1;;;;;;
44027-6402;1;4;1;;4;6;;29;;;;15;16;1;55;;11;29;1;1;4;;1;;;;;;;;;;;1;1;1;1;;;;;;;;;;1;;;;;;;;;;4;3;3;;;;2;;;;;;3;2;;;;;1;;10;;5;4;2;1;1;5;4;1;;11;;7;4;3;2;1;;;2;;;;;;;2;2;9;;1;1;1;;;;;1;1;3;3;;2;9;1;3;;;3;;7;2;;2;2;2;1;;1;1;;;;;;;
36173-5489;;;;;;;;6;1;;;2;3;1;3;;1;2;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1;;;;;;;;1;;;;;;;;;;;;;;;1;;1;;;;1;;;;;;;;;;;;;1;1;;;1;;;;;;;;;;;;;;;;;;;;;;;
22659-5490;1;2;3;;;;;49;1;;;25;28;27;24;6;4;3;3;1;1;1;;1;1;1;1;1;;2;;;;;;;;1;2;;;;;;;;1;;;2;1;;10;;2;4;6;3;;3;14;10;12;1;5;3;2;2;;;;;1;;7;;3;;2;1;19;14;12;;1;4;1;24;7;2;2;1;17;13;7;5;3;;11;20;16;;4;5;2;11;;3;1;6;4;4;3;2;1;;2;;;;2;1;1;1;1;1;;3;;;2;;2;2;3;;;1;1;;;;;
28136-4114;2;4;1;;;1;;14;;;;;;;7;;;;;2;1;;1;1;;1;1;;;;1;;;1;1;1;1;;;;;;;;;;1;;;;;1;2;;;;;;;;;;5;;3;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;6;;;;3;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;;;
36137-5384;2;19;2;;;1;;44;;;3;6;5;;56;;2;5;;2;6;;1;1;1;1;1;1;2;;4;;3;3;1;1;1;1;;;;;;;;;9;1;1;2;1;;7;1;;4;;;;;;;23;;14;11;6;5;;;4;;;;2;2;2;1;2;2;2;1;;;1;1;1;4;1;1;1;1;2;1;;;1;;;;;5;1;3;2;30;3;3;2;23;12;9;8;4;1;1;1;1;1;;2;;2;2;2;1;1;3;;;3;;2;1;;1;1;1;;2;;;;
37663-5490;;;;;;;;5;;;2;3;4;3;3;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;1;1;;;;;;;1;;;;;;1;;1;;;;2;;;;;1;;1;1;;;;1;1;;2;1;;;;;1;;1;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;;;
31476-6895;3;8;;1;;1;;29;;;;;4;;28;;2;;;3;;1;3;;;;;;2;;2;;;2;2;2;2;;;1;;;1;1;;;3;2;;;;1;5;1;;2;3;;;1;;;12;;1;;;;1;;;1;;;;;;;;;;;;;;1;;;;;;;;;1;;2;;;;;2;1;;;9;1;;;3;2;2;2;1;;;;;;1;;;;;;;;;;;;;;;;3;3;;;;;;;
27482-6590;;1;;;;;;13;1;;;4;5;;5;;;;;;;1;;;;;;;1;;;;;1;;;;;;;;;;;;;1;1;;;;;;;;;4;3;;1;;;3;;3;2;2;2;;;;;1;;;;;;;;;;;1;;;;4;;;;;;;1;1;;;;;;;;;;5;;;;3;2;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;
40983-6030;1;19;2;5;6;4;1;50;2;;7;16;14;1;28;2;7;14;3;1;8;1;;1;1;;;;2;;4;;2;2;;;;1;;2;2;;4;2;;1;8;1;2;1;1;1;2;1;1;;8;4;1;;1;1;8;;1;1;1;1;;;;;2;;2;;5;;;;3;3;;3;1;1;;8;1;1;;;3;3;;;2;3;;1;1;2;1;1;1;14;1;1;1;4;4;3;3;3;3;3;3;3;1;1;5;;1;1;1;1;1;3;1;1;3;1;1;1;2;;;1;;7;1;;;
43978-6401;;13;2;1;;9;;26;;;1;12;11;;19;;;;;;5;;;;;;;;3;1;2;;;2;;;;2;;;;;1;;;;5;2;;1;1;2;1;;;;2;1;;;;;2;1;1;;;;;;;;;;1;;2;;1;1;;;;;;;;7;;1;;;;;;;;2;;;;;;5;3;5;;3;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;
36352-5489;;3;;;;2;;17;;;;1;3;;27;;2;4;;;1;;;;;;;;1;;;;;2;;;;;;;;;;;;;;;;;;1;1;;;1;;;;;;;7;;2;;;;1;1;;;;;;;1;;;;;;;;;;;;;;;;;;1;;2;1;;;;2;;2;;11;1;1;;6;4;2;1;;;;;;;;2;;1;;;;;2;;;;;;;;;;;;;1;;;
36694-5489;;;;;;;;5;;;;1;2;;5;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;3;1;;;;;;;;;;;;;;;;;;1;;;;1;;;;;;;1;;1;;;;;;;2;1;5;;1;;2;1;;;;;;;;;;1;;1;1;1;1;1;1;1;1;1;1;1;1;;;;;;;;;;
40392-6400;1;3;;;1;1;;24;1;;;1;3;;37;;3;10;1;1;;;;1;1;1;1;1;1;;1;;1;1;;;;;;;;;;;;;1;1;;;;;1;;1;;;;;;;;11;;3;;;;;;;;1;;;;;;;;;;;;;2;1;1;;;;;;;;;;;;;;;1;1;1;8;;1;1;2;;;;;;;;;;;2;;1;;;;;1;;;;;;;1;;;1;;;;;;
40067-7114;2;11;;;;1;;20;;;;1;1;;26;;4;9;;2;;;;2;2;1;1;1;1;;3;1;1;2;;;;;;;;;;;;;4;;2;;;;1;1;;;;;;;;;7;;1;;;;1;1;;;;;;;;;;;;;;1;;;;1;;;;;;;;;;;;;;2;1;;;5;1;;;2;;;;;;;1;1;1;;4;;4;3;2;1;1;9;1;1;4;1;3;2;;;;2;;;;;;
44127-6402;;1;2;;;1;;19;;;;6;7;;25;;8;24;;;3;1;;;;;;;;;;;;;;;;1;;;;;;;;;;;;2;1;;2;;;1;3;3;;;;;7;;3;1;;;2;1;1;;;;3;2;3;3;2;;;;;2;1;2;1;5;;2;1;;;;;;1;1;;;;;;1;;11;;;;3;1;;;;1;1;2;2;2;1;5;1;3;1;1;5;2;9;3;2;5;2;5;4;;;;;;;1;;;
