aluno;1>;2>;3>;5>;6>;7>;8>;14>;16>;17>;29>;30>;31>;32>;41>;42>;43>;44>;45>;46>;48>;49>;1>2>;1>46>;1>46>2>;2>1>;2>1>46>;2>1>46>2>;2>2>;2>3>;2>14>;2>14>2>;2>14>41>;2>41>;2>46>;2>46>1>;2>46>1>2>;3>2>;3>14>;5>5>;6>6>;6>6>6>;7>5>;7>5>5>;7>6>;8>7>;14>2>;14>2>2>;14>2>14>;14>3>;14>3>2>;14>7>;14>14>;14>14>2>;14>14>14>;14>14>41>;14>31>;14>31>30>;14>31>30>30>;14>31>31>;14>32>;14>32>31>;14>41>;14>41>31>;14>41>41>;14>41>41>41>;14>41>41>41>41>;14>41>41>41>41>41>;14>43>;14>43>44>;14>48>;14>49>;16>31>;17>30>;30>14>;30>14>41>;30>30>;30>30>14>;30>30>30>;30>30>30>30>;30>31>;30>31>30>;30>32>;30>41>;30>48>;31>14>;31>14>41>;31>30>;31>30>14>;31>30>30>;31>30>30>30>;31>30>30>30>30>;31>30>31>;31>30>31>30>;31>31>;31>31>30>;31>41>;31>48>;32>14>;32>31>;32>31>30>;41>2>;41>14>;41>31>;41>31>30>;41>41>;41>41>2>;41>41>31>;41>41>31>30>;41>41>41>;41>41>41>41>;41>41>41>41>41>;41>41>41>41>41>41>;41>41>41>41>41>41>41>;41>41>43>;41>41>43>44>;41>43>;41>43>44>;41>43>44>44>;43>41>;43>44>;43>44>14>;43>44>44>;43>44>44>44>;43>44>44>44>44>;44>14>;44>14>41>;44>44>;44>44>14>;44>44>14>41>;44>44>44>;44>44>44>14>;44>44>44>44>;44>44>44>44>44>;45>43>;46>1>;46>1>2>;46>2>;48>14>;48>29>;48>48>;49>48>;49>49>;
28101-5384;2;11;;;;;;14;;;;;2;;13;;2;3;;2;;;1;1;1;;;;1;;1;;;2;;;;;;;;;;;;;5;1;;;;;3;1;;1;;;;;;;3;;1;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;2;;1;;5;2;;;;;;;;;;1;1;;;2;;1;1;1;;;1;;;1;;1;1;;1;1;1;;;;;;
40992-6400;;6;4;1;1;5;1;29;;;;7;9;3;18;2;5;4;2;;2;;;;;;;;1;2;;;;3;;;;3;;1;;;1;1;;1;2;;;1;1;2;;;;;2;;;;2;2;6;1;;;;;;;;;;;;;3;;1;1;1;1;;;;;;5;;2;;;;;;;2;1;;2;;;;3;2;4;;;;;;;;;;;1;;;;4;;2;2;;1;;2;1;;2;1;;;2;;;;;;;;;
29379-6895;;1;1;;5;1;;25;1;;1;;3;;16;;3;3;1;;7;1;;;;;;;;1;;;;;;;;;1;;;;;;1;;;;;;;1;2;;;;;;;;;;6;;2;1;;;1;1;;;1;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;1;;;;5;;;;2;;;;;;;;;;;3;1;1;1;;1;1;1;1;1;1;;;;1;;;;2;;;;;
33680-5384;;4;3;5;;5;;28;;;;2;2;;19;;4;7;;;;;;;;;;;;;1;1;;;;;;1;;2;;;4;2;;;2;;;2;1;3;3;;;;1;1;;;;;5;;1;1;1;1;1;1;;;;;;;1;;;;;;;;;;;2;;1;;;;;;;;;;;;;1;1;1;2;;;;1;1;1;;;;;2;1;;;3;;1;;;1;1;4;1;1;2;;1;;;;;;;;;;;
32030-5061;2;22;4;;54;9;;115;7;7;;38;43;;62;;17;29;1;2;11;;;2;2;2;2;2;2;;6;2;;2;;;;;1;;24;14;;;1;;6;2;2;2;;4;7;1;;1;14;9;3;;;;15;1;5;3;2;1;4;4;5;;6;7;18;2;8;5;2;1;3;2;;1;2;9;3;24;6;7;2;1;1;1;4;2;1;2;;;;3;2;4;3;19;2;2;1;10;6;4;2;1;;;4;2;;1;12;2;4;3;1;7;1;6;5;;5;4;1;1;1;;;2;4;;;;;
40950-6030;4;19;25;1;2;5;5;67;3;3;9;60;40;20;26;1;5;13;1;4;12;3;2;2;2;;;;2;1;3;1;;;;;;6;4;;1;;1;;2;3;3;1;2;8;3;;12;1;2;;4;1;1;1;6;5;6;;;;;;3;2;5;1;3;3;6;1;15;2;5;4;9;5;1;1;6;4;;31;1;10;4;3;4;2;6;5;;;1;17;13;;2;;;4;;;;;;;;;;;;;;;5;;1;1;;2;;4;2;;3;2;1;1;1;2;2;2;2;8;1;1;;
22607-5384;1;5;;2;;1;;24;2;1;;16;19;1;7;;;;;1;;;1;1;1;1;1;1;;;2;1;1;;1;1;1;;;1;;;1;1;;;3;;1;;;;1;;1;1;10;5;;;;;3;1;;;;;;;;;2;1;8;;2;;2;1;3;1;;;;2;;13;7;1;1;1;3;1;1;;;;;1;1;1;;3;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;;;;;;
39398-5490;;4;3;;;;;9;;;1;1;3;2;8;3;2;1;2;;4;1;;;;;;;;1;1;;;2;;;;2;1;;;;;;;;1;;;2;1;;2;;;1;;;;;;;2;;1;1;1;1;;;1;;;;;;1;;1;;1;;;;;;;1;;1;1;;;;;;2;2;;2;;;;2;1;5;;2;1;5;3;1;;;;;;;;;1;;1;1;;;;1;;;1;;;;2;;;;1;1;1;1;1;
31747-5061;2;29;6;;;;;39;2;;;10;9;2;42;1;6;4;1;2;;;1;1;1;1;1;1;2;;2;;;4;1;1;1;4;;;;;;;;;7;1;;5;4;;;;;;2;2;;;2;1;14;;11;5;3;3;1;;;;2;;1;;;;;;2;;;;;;;7;1;;;;1;;;;;;1;1;1;7;;1;;23;5;1;;11;9;7;5;5;3;;4;;;4;1;;;;;;;2;;;2;;2;2;;1;1;1;;;;;;
31759-4114;1;5;;;;2;;21;;;2;3;4;;39;;3;3;;1;3;;;1;1;1;1;1;1;;1;;1;;;;;;;;;;;;;;1;;;;;;5;1;;1;1;;;;;;5;;1;;;;;;1;;;;1;1;1;;1;1;;;;;;;;1;;1;1;1;;;1;;;2;;;;;1;1;;9;;;;1;1;;;;;;1;;;;3;;1;;;;;1;;;;;;;;;;1;;2;;;;
44113-6402;;;;;;1;;3;;1;;3;3;;1;;1;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;1;;;;;1;;;;;;;;;1;;1;1;1;1;;;;1;;;;;1;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
