aluno;1>;2>;3>;5>;6>;7>;8>;14>;16>;17>;29>;30>;31>;32>;41>;43>;44>;45>;46>;48>;49>;1>2>;1>46>;1>46>2>;2>1>;2>1>46>;2>1>46>2>;2>2>;2>14>;2>41>;2>46>;2>46>1>;2>46>1>2>;3>2>;5>5>;6>6>;6>6>6>;6>6>6>6>;7>5>;7>5>5>;7>6>;7>14>;14>2>;14>2>14>;14>3>;14>7>;14>7>5>;14>7>5>5>;14>14>;14>14>41>;14>31>;14>31>14>;14>31>30>;14>31>30>14>;14>31>30>30>;14>31>30>30>30>;14>31>30>31>;14>31>30>31>30>;14>31>31>;14>31>41>;14>32>;14>41>;14>41>31>;14>41>41>;14>41>41>41>;14>41>41>41>41>;14>41>43>;14>43>;14>43>44>;14>43>44>44>;14>43>44>44>44>;14>48>;14>49>;14>49>49>;16>31>;17>30>;30>14>;30>14>31>;30>14>31>30>;30>14>41>;30>30>;30>30>14>;30>30>30>;30>30>30>30>;30>30>30>30>30>;30>30>30>30>30>30>;30>31>;30>31>30>;30>31>30>31>;30>31>30>31>30>;30>41>;30>48>;31>14>;31>14>31>;31>14>41>;31>30>;31>30>14>;31>30>14>31>;31>30>30>;31>30>30>30>;31>30>30>30>30>;31>30>30>30>30>30>;31>30>31>;31>30>31>30>;31>30>31>30>31>;31>31>;31>31>30>;31>41>;31>41>41>;31>48>;32>31>;32>31>30>;41>2>;41>14>;41>31>;41>31>30>;41>41>;41>41>31>;41>41>41>;41>41>41>31>;41>41>41>41>;41>41>41>41>41>;41>41>41>41>41>41>;41>41>43>;41>41>43>44>;41>43>;41>43>44>;41>43>44>44>;43>41>;43>44>;43>44>14>;43>44>44>;43>44>44>44>;43>44>44>44>44>;43>44>44>44>44>44>;44>14>;44>14>41>;44>14>43>;44>14>43>44>;44>44>;44>44>14>;44>44>14>41>;44>44>44>;44>44>44>14>;44>44>44>44>;44>44>44>44>14>;44>44>44>44>44>;45>43>;46>1>;46>1>2>;46>2>;48>14>;48>29>;48>30>;48>48>;49>48>;49>49>;
31863-4448;4;13;;1;3;3;;45;1;1;1;10;14;;28;4;8;;4;4;;;3;3;2;2;1;;3;;;;;;;;;;1;;1;;5;;;1;;;;;3;;3;;1;1;1;1;;;;11;1;3;;;;1;1;1;1;;;;;1;1;;;1;4;;1;1;;;3;3;1;1;;2;5;;2;7;1;;3;1;1;;2;2;;1;;1;;1;;;;1;4;1;9;3;1;1;1;1;1;1;1;1;1;;;4;;1;1;;;2;1;1;1;2;2;1;2;2;;;;;1;;3;1;;;;;;
31331-4434;1;3;;;;;;10;;;;;2;;12;3;8;;1;;;;1;1;1;1;1;1;;;;;;;;;;;;;;;3;;;;;;1;;1;;;;;;;;;;;4;;2;2;1;;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;;3;;2;;;;;;;;;3;1;1;1;;;2;1;1;1;4;1;;2;;1;;;;;;1;;;;;;;
31801-4603;3;5;4;2;4;3;;20;1;;1;7;5;;20;2;2;;3;5;3;3;2;1;2;2;1;1;1;1;3;3;3;1;2;2;1;;2;2;1;;3;;2;;;;;;2;;2;1;;;;;;;;4;1;;;;;2;2;2;1;1;1;;1;;3;1;1;1;3;1;2;1;1;1;;;;;;;;;;4;2;1;1;;;;;;;1;1;;;;;;1;1;1;;4;;;;;;;;;;;;;2;;2;2;1;;2;;2;2;2;1;;2;1;1;1;;;3;3;1;;;;;3;;
40755-7114;1;8;;;10;3;;19;;;;3;5;;11;7;7;;1;;;;1;1;1;1;1;;;;;;;;;4;2;2;;;1;;3;;;1;;;4;2;2;;2;;;;;;;;;8;;2;1;1;1;3;3;2;2;;;;;;;;;;;;;;;;;;;;2;;2;;1;3;;;;;;;;;;;;;;;;;1;;1;;3;1;2;1;1;1;;;;2;1;;1;6;1;2;2;2;2;2;1;;;3;1;1;3;1;2;1;2;;;;1;;;;;;;
30904-4603;2;4;1;2;;2;;33;1;;;12;13;;28;8;12;1;2;;;1;1;1;1;1;1;;2;;1;1;1;;2;;;;2;2;;1;2;1;;1;1;1;1;;3;;3;2;;;1;1;;;;14;1;4;2;1;;3;2;1;;;;;1;;5;1;1;1;;;;;;;4;4;2;2;;;;;;11;4;1;;;;;4;4;2;1;;;;;;;1;;1;1;6;;3;;1;;;1;1;1;1;;;6;3;3;1;;;3;1;2;2;3;;;1;;;;;;1;1;1;;;;;;;
31295-4433;2;10;;3;1;3;;32;1;;;4;12;;9;;;;2;4;;2;;;;;;;1;;;;;;;1;1;1;1;;;;3;;;2;1;;1;;7;;;;;;;;1;;;4;;3;;;;;;;;;;;1;;1;;;;;;;;;;;;;;;2;2;1;;2;1;;;;;;;;;1;;;;;;;2;;1;1;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;;;;1;;;;
44965-7297;;6;1;2;2;3;;24;2;1;;9;14;;21;4;3;;;1;;;;;;;;2;1;2;;;;;1;;;;2;1;1;;5;1;;1;;;;;8;1;4;1;1;;1;1;;1;;10;;1;1;;;;;;;;;;2;1;2;;;;2;;;;;;2;1;;;;;3;;2;8;2;;2;;;;1;1;;;;1;;1;;;3;2;1;;3;;1;;;;;1;;4;1;;2;2;;;;;;;;;;;;;;;;;;;;;;1;;;;;;
30492-6030;1;6;;3;6;3;2;15;;;;7;5;;8;1;;;1;;;;;;;;;;;;;;;;1;;;;;;;1;3;;;;;;;;1;;1;;1;1;;;;;;2;;1;;;;;;;;;;;;;;;;;3;;2;1;;;;;;;2;;;;;4;;;1;1;;;;;;;;;;;;;;1;1;1;4;;1;;;;;1;;1;;;1;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;
41322-6400;1;2;;1;;1;;33;;;;5;5;;30;11;24;;1;1;1;;1;1;;;;;1;;;;;;1;;;;1;1;;;2;;;1;1;1;2;;;;;;;;;;;;;9;;2;2;;;4;2;1;1;;1;;;;;;;;;;;;;;;;;;1;;;;;3;;;;;;;;;;;;1;;;;;;;1;1;6;;3;;;;;1;1;1;1;1;2;6;1;2;2;;;3;2;1;;3;;;2;;;;;;;;1;;;1;;;;
18444-6895;1;3;1;;;;;6;;;;;;;3;1;1;;1;;;1;;;;;;;1;;1;1;1;1;;;;;;;;;2;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;1;1;;;;;;;;
31830-4435;2;14;1;5;56;10;3;37;;;;8;13;;5;1;1;;2;9;;;2;2;2;2;2;3;2;;;;;;5;22;10;3;2;2;6;;10;1;1;5;2;2;1;;5;;2;;1;;;;;;;3;;2;1;;;;;;;;;;;;;;;;2;;;;;;2;1;;;;;2;;1;5;;;1;;;;1;;;3;1;2;2;1;;;;;3;;3;3;2;2;;;;;;;;;;1;;1;1;1;;1;1;;;1;1;1;1;1;1;1;;;1;;2;;;;8;;;
26940-4917;1;7;;1;8;4;;33;;;;;7;1;11;;;;1;;;1;;;;;;;2;;1;1;1;;1;2;;;1;1;2;;3;1;;2;;;4;1;5;3;;;;;;;;;;9;1;2;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;5;1;1;;;;;;;;;;;;;;;;1;;2;2;2;;3;;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;;;;
