aluno;1>;2>;3>;5>;6>;7>;8>;14>;16>;17>;30>;31>;32>;33>;34>;36>;38>;39>;41>;46>;48>;49>;1>46>;2>1>;2>2>;2>2>14>;2>2>41>;2>3>;2>14>;2>14>31>;2>31>;2>31>30>;2>32>;2>32>31>;2>41>;2>41>41>;2 14>;2 14>2>;2 14 41>;2 31>;2 41>;3>2>;3>32>;3 14>;6>6>;7>5>;7>14>;7 14>;7 41>;14>2>;14>2>2>;14>2>14>;14>3>;14>3>2>;14>3>32>;14>7>;14>14>;14>14>31>;14>31>;14>31>30>;14>31>30>30>;14>32>;14>32>31>;14>32>31>30>;14>32>31>31>;14>38>;14>41>;14>41>41>;14>41>41>41>;14 30>;14 30>31>;14 30>31>30>;14 30>32>;14 30>32>31>;14 30 31>;14 31>;14 31>2>;14 31>31>;14 31>32>;14 31>32>31>;14 31 41>;14 32>;14 33>;14 36>;14 38>;14 38 41>;14 41>;14 41>41>;14 48>;16>31>;16 31>;17>30>;17 30>;17 30>30>;30>2>;30>3>;30>14>;30>17>;30>30>;30>30>14>;30>30>30>;30>30>30>30>;30>30>30>30>30>;30>30>31>;30>31>;30>31>30>;30>31>30>30>;30>32>;30>32>31>;30>41>;30>48>;30 31>;30 41>;31>2>;31>14>;31>30>;31>30>14>;31>30>30>;31>30>30>30>;31>30>30>30>30>;31>30>30>30>30>30>;31>30>31>;31>30>31>30>;31>31>;31>31>30>;31>31>30>30>;31>32>;31>32>31>;31>41>;31>48>;31 41>;32>31>;32>31>30>;32>31>30>30>;32>31>31>;33>36>;33 36>;34>38>;36>14>;36>34>;36>36>;36>36>34>;36>36>36>;36>36>36>36>;36>36>36>36>36>;36 41>;38>14>;38>36>;38>41>;38 41>;39>38>;41>2>;41>2>41>;41>14>;41>14>41>;41>30>;41>31>;41>31>30>;41>38>;41>41>;41>41>2>;41>41>31>;41>41>41>;41>41>41>41>;41>41>41>41>41>;41 48>;46>2>;48>30>;48>48>;
18163-4605;1;17;17;5;;3;2;29;;;12;10;10;1;;1;2;3;6;1;;;1;1;;;;3;;;;;3;2;4;2;11;;1;;1;5;3;9;;3;;;;1;;;7;3;1;;;;;;;5;5;3;2;;2;1;;3;;;1;1;;;;;;;;;1;1;;;2;;;;;;;;2;2;;;6;;3;2;2;4;5;4;1;3;1;;;;;;;10;;6;3;2;2;2;1;2;2;2;;;;;;10;8;3;2;;1;;;;;;;;;;;;;;2;3;2;;;;;;;3;2;;;;;;1;;;
18926-4605;1;9;1;;;3;;29;2;2;16;17;;1;1;3;6;1;14;1;5;3;;1;2;1;1;;4;;;;;;1;;5;1;2;;2;;;1;;;2;1;;4;1;3;;;;2;1;1;11;7;;;;;;5;4;1;;5;1;1;;;;2;;2;;;;;1;1;;;7;;3;2;1;;1;;;;3;1;2;;1;1;1;;4;3;;;;1;1;1;;;1;9;3;;;;;2;1;2;1;;;;;1;1;;;;;;;1;;1;1;1;1;;;2;3;;;;;1;;2;;;1;1;;1;;;;;;;;1;1;
20306-7274;2;12;6;;;;;19;;1;7;9;1;;;;1;;10;2;1;;2;2;3;2;;1;4;1;4;2;;;1;1;4;1;;1;1;2;;;;;;;;5;;1;2;;;;1;1;5;4;;;;;;;5;;;;;;;;;;;;;;;;;;;;6;2;1;;;1;;;;;2;1;1;;1;1;;;3;2;;;;1;;;;1;1;7;2;1;1;1;;3;2;1;1;1;1;1;;;1;1;1;;;;;;;;;;;;;;;;1;;;2;1;;;;2;1;1;3;;;1;1;;;2;;;
18571-4604;;1;1;;;;;3;;;2;1;1;;;;;;1;;;;;;;;;;;;;;1;1;;;;;;;;1;;1;;;;;;;;;1;1;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;1;1;;;;;;;;;;1;;;;;;1;1;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13342-4130;1;8;1;;;;;28;;1;6;9;;1;;;6;;24;1;2;;1;;2;1;;1;3;1;;;;;;;3;1;;;1;;;;;;;;;3;;1;;;;;3;;4;1;;;;;;1;6;2;1;1;;;;;;2;;;;;;;;;1;;12;3;1;;;1;1;1;;;3;;1;1;;;;;1;;;;;1;;2;;;5;1;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;2;;1;1;;2;;2;;;;;2;8;1;;5;4;1;1;1;;;
18900-7118;1;18;5;;;5;;28;1;4;13;17;1;3;;2;8;4;9;1;2;;;1;2;1;;;3;2;2;1;1;;1;1;6;;;;;2;;;;;3;3;2;5;;3;1;1;;2;1;;7;2;;;;;;1;;;;2;1;;;;;4;1;;;;1;;1;;1;1;5;;1;1;;2;3;2;1;;2;;6;;1;;;1;3;2;1;;;;;1;1;2;2;7;2;2;1;;;;;2;1;;;;1;1;1;;;;;1;;;;;;;;;;;1;1;;2;1;1;1;1;;1;;;;2;;;1;1;1;;;;;
23725-4605;1;9;;;2;3;;26;1;;7;8;;1;1;19;2;;19;1;14;;1;1;3;1;1;;1;;2;2;;;2;1;4;;2;;2;;;;;;;1;2;4;2;;;;;;;;;;;;;;;1;6;3;3;2;;;;;;5;;;;;2;;;;1;;13;4;3;1;1;;;;;;;;1;;;;;;;;;;;;1;;1;1;;3;;;;;;;;1;1;;;;;;2;;;;;1;1;;;1;9;;6;6;2;;;;;;;2;1;2;1;;;;;6;1;;3;3;1;1;;1;3;
22522-4604;;8;1;2;;2;;22;;1;4;4;;2;2;4;11;;20;;1;;;;;;;;2;;1;;;;1;;5;;;;;;;;;1;;;;1;;;;;;1;3;;1;1;;;;;;2;9;2;;1;;;;;;;;;;;;;1;;4;1;6;4;1;;;1;;;1;;1;1;1;1;;;;;;;;;;;;;;1;;2;;;;;;;;;;;;;;;2;;;;;;;2;;2;1;1;1;1;;1;1;;2;4;;2;;2;1;;;;;6;;;;;;;;;;
22614-4604;3;21;;;;1;;28;1;1;10;17;;;;;8;;21;3;2;;3;2;6;;1;;;;1;1;;;3;1;7;2;;;1;;;;;;;;;6;1;;;;;;;;5;1;1;;;;;3;2;1;;3;2;1;;;;5;3;2;;;1;;;;2;;9;;1;1;1;;1;;1;;2;;3;1;1;1;;;2;1;1;;;1;;3;2;4;1;3;;2;1;1;;;;3;1;1;;;1;;2;;;;;;;;;;;;;;;;;;4;1;;2;1;;;1;3;;3;5;;;1;1;1;;2;1;;
21708-5468;;9;;2;;3;;37;2;;10;23;;4;2;10;6;;30;;;;;;;;;;;;1;;;;2;;6;;3;2;4;;;;;1;1;;;;;;;;;2;5;1;4;;;;;;;2;2;1;1;6;;;;;2;10;;1;;;2;;2;1;3;2;14;;;2;2;;;;;;1;;3;1;1;1;;;;;;;;;;3;;;6;;;;;;;;;3;;;;;2;;4;;;;;1;;;;1;5;1;4;3;2;;2;1;;2;;2;1;1;;1;3;;;7;2;3;4;3;1;;;;;
21340-5468;1;10;8;;12;2;;40;1;4;9;13;1;3;2;11;12;6;28;1;1;;;1;1;;1;1;2;;1;1;;;2;2;3;;;;;3;;3;7;;;1;1;1;1;;4;2;;;1;;6;3;1;;;;;3;7;;;;;;;;;3;;;;;;1;;1;1;;13;2;;1;1;2;2;1;;;4;1;3;2;1;;;1;2;2;;;;;;;;;;5;1;2;1;;;1;1;2;;;;;1;;;;;;;2;3;1;3;1;6;1;2;2;2;;2;1;;3;3;1;;2;2;;1;1;1;4;;1;;;;;;;;
110-7098;;5;1;4;;2;;15;;;3;9;;;;;;;15;;2;;;;1;;;;1;;2;;;;4;1;2;;;;;;;;;2;;;;1;;;;;;;1;;;;;;;;;;7;2;1;1;;;;;1;5;;;;;1;;;;;;5;1;;;;;;;;;3;;;;;;;;;;;;;;;1;;1;2;;;;;;;;;;;;;;2;2;2;;;;;;;;;;;;;;;;;;;;;4;1;;;;2;;;4;1;;4;;;;;1;;
18184-7098;;3;4;;;;;9;;;1;3;2;;;6;3;1;3;;;;;;;;;;;;;;;;1;1;;;;;;1;1;4;;;;;;1;;;2;1;;;1;;;;;2;1;1;;;;;;;;;;;;2;1;;;;;;;2;;;1;;;;;;;;;;;;1;;;;;;1;1;1;;;;;;;1;;1;;1;;;;1;1;;;;;;;;;1;1;;;;;;1;;1;;1;1;;;;2;;1;1;;;;;;;;1;1;;;;;;;;;;
22316-4130;;7;1;;;1;;17;1;1;14;14;;2;2;5;4;;15;;1;;;;1;;;;;;1;;;;;;4;;;;;;;;;;;1;;2;1;;;;;;;;1;1;;;;;;1;2;2;;4;;;;;1;4;1;;;;1;;;;;;5;1;1;1;;;1;;1;;;;2;;1;;;;1;;;;;;;3;;1;1;5;;1;1;;;;;1;;;;;1;;2;;;;;1;2;2;1;1;2;1;1;1;1;;;2;;1;;;;;;1;3;2;1;3;;1;1;;;;;;;
21367-4605;;9;;2;2;6;;30;1;3;16;18;1;2;2;12;4;1;12;;7;;;;1;;;;3;1;1;1;;;1;;4;;;1;2;;;;;1;3;1;1;4;1;1;;;;3;6;3;11;6;2;;;;;2;1;1;1;6;2;1;;;;5;1;1;;;;;;;;;4;1;2;1;;;;;;;1;;4;;3;3;2;;2;1;;1;;;3;;1;1;1;9;;4;3;3;2;1;1;2;;;;;1;1;;;;;;2;1;2;2;2;6;2;5;3;1;1;1;1;;1;;;;3;1;;;;;1;;;1;1;1;;;;;
23953-5468;1;13;;1;;5;;33;1;4;14;13;;4;3;10;9;;30;1;7;;;1;1;;;;;;;;;;1;;9;1;3;1;3;;;;;1;;2;2;3;;;;;;;;;3;2;2;;;;;1;2;1;1;4;1;1;;;1;6;1;;;;4;;1;;2;;13;1;3;;1;2;4;2;;;;;7;;4;3;2;1;3;3;3;;;;1;1;1;1;;4;;4;2;2;2;;;;;;;;1;;7;;;;;1;;;;3;8;2;6;3;1;1;2;3;1;3;;;;;;1;1;;;2;;;2;1;1;3;;1;1;
