aluno;1>;2>;3>;5>;6>;7>;13>;14>;16>;17>;29>;30>;31>;32>;33>;34>;36>;38>;39>;41>;46>;48>;49>;1>46>;2>1>;2>2>;2>14>;2>31>;2>31>30>;2>41>;2>46>;2 14>;2 14>31>;2 14 41>;2 31>;2 41>;3>2>;3 14>;6 14>;7>5>;7 14>;14>2>;14>3>;14>7>;14>14>;14>31>;14>31>30>;14>31>30>30>;14>31>30>30>30>;14>38>;14>41>;14>41>41>;14>49>;14 30>;14 30>31>;14 30>31>30>;14 30 31>;14 30 41>;14 31>;14 31>31>;14 31 41>;14 36>;14 38>;14 38 41>;14 41>;14 41>31>;14 41>31>30>;14 41>41>;14 48>;16>31>;17>30>;17 30>;17 30>30>;17 31>;30>2>;30>14>;30>14>31>;30>17>;30>30>;30>30>14>;30>30>30>;30>30>30>30>;30>30>30>30>30>;30>30>30>30>30>30>;30>30>31>;30>31>;30>31>30>;30>31>30>30>;30>41>;30>48>;30 31>;30 41>;31>14>;31>30>;31>30>14>;31>30>30>;31>30>30>30>;31>30>30>30>30>;31>30>30>30>30>30>;31>30>31>;31>31>;31>31>30>;31>41>;31>48>;31 41>;31 41>30>;32>31>;33 36>;36>34>;36>36>;36>36>34>;36>36>36>;36>36>36>36>;36>36>36>36>36>;36>36>36>36>36>36>;36>36>36>36>36>36>36>;36>38>;36 38>;36 41>;38>14>;38>33>;38>36>;38 41>;41>2>;41>14>;41>30>;41>31>;41>31>30>;41>38>;41>41>;41>41>41>;41>41>41>41>;46>1>;48>14>;48>29>;48>30>;48>48>;49>49>;
13342-5468;1;16;2;;;;;46;;4;2;25;28;2;2;;6;7;1;11;1;10;1;;;4;3;8;2;;1;8;3;1;;1;2;1;;;;6;1;;1;16;5;1;;2;;;1;11;3;;1;;7;2;1;;2;1;9;3;1;;4;;3;4;3;;3;4;1;;6;;;;;;;3;;;;2;1;1;2;9;2;1;;;;;3;1;;2;2;;2;1;;2;;1;1;1;1;1;;1;;;;;1;;;;3;1;2;;;;1;1;1;;1;1;
21598-4604;2;21;11;;;;;34;1;;;12;18;;2;2;16;10;;15;2;6;2;2;;6;3;1;1;2;1;12;;;;;3;6;;;;3;5;;1;3;2;;;2;2;;;3;;;1;;7;2;1;;3;;5;;;;3;1;;;;;;1;;;3;;2;1;;;;1;1;1;;1;1;;;8;1;3;2;1;;;3;3;1;;3;;;1;1;10;1;4;1;1;1;1;1;;1;1;1;1;;3;;;;;;2;2;1;;;;;1;2;
22418-4130;1;30;3;5;3;8;;107;;2;2;22;30;3;5;2;24;22;;82;1;5;9;1;;;6;2;1;1;;16;1;6;1;13;;1;2;2;;4;;3;5;11;4;1;;8;9;3;4;6;;;;1;4;1;1;3;3;;35;;;2;2;;1;1;1;1;1;7;2;;7;1;3;3;3;3;2;5;4;;1;;2;1;6;12;3;4;2;2;2;4;2;;;1;7;1;2;2;2;7;1;5;5;3;1;;;;3;6;1;1;3;2;6;1;3;2;4;11;4;1;;;1;1;;3;
21393-4605;1;32;27;2;;1;;68;2;1;;34;44;3;1;1;10;10;10;26;1;17;2;;;3;3;5;2;4;1;12;;1;2;5;6;8;;1;;6;19;;1;11;4;1;1;1;3;3;;8;1;;;;13;4;;;3;1;9;2;1;1;6;1;;;;;5;;;;14;;5;2;1;1;;5;2;1;;9;3;2;1;15;;8;4;2;1;2;5;1;2;1;1;;1;1;;4;;4;2;2;2;2;;;;1;;;3;1;2;;4;2;1;7;4;2;1;1;;6;1;1;
23180-5388;;7;1;;2;1;;13;1;1;1;10;11;2;;;;;;4;;7;;;;;1;2;2;;;4;;1;;2;;;1;;;2;;1;;3;;;;;1;;;3;;;;;1;;;;;;1;;;;1;1;1;1;1;;1;;;;2;;2;1;1;1;;1;;;1;2;2;;;3;;1;;;;1;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;;
17874-5388;1;16;5;;7;5;;58;2;1;;11;21;;2;2;2;6;1;31;2;5;5;1;1;2;7;1;1;;;7;1;1;;4;;1;4;;1;4;2;2;8;8;3;;;1;7;1;3;1;;;;;2;;;;2;;11;1;;1;2;1;1;1;1;;;8;2;;2;1;;;;;;2;1;;1;;1;;7;7;4;;;;;2;1;1;2;;4;;;1;2;2;;2;2;1;1;1;1;;;1;1;2;1;3;5;;2;1;;6;2;1;;1;;;;4;
18027-4130;2;19;4;;;1;1;43;;1;1;14;12;2;3;2;18;15;;23;2;6;1;1;1;1;6;2;1;;1;10;2;;;;2;;;;;3;2;1;1;8;5;;;5;4;2;1;5;;;;;3;;;;2;1;7;2;1;;2;;1;1;1;;2;6;1;;2;1;1;;;;;1;1;;;;;;;6;3;;;;;1;;;;1;;;;1;1;5;;3;2;1;;;1;;;3;2;1;6;;3;;2;1;2;6;4;3;1;2;1;1;;;
22499-5388;1;9;1;4;;3;;31;;3;;19;21;7;1;;2;4;;15;1;5;;;1;1;4;2;1;;;3;;;1;1;;;;2;1;3;;1;3;12;7;2;1;2;2;;;7;3;3;;;2;1;;;1;1;7;2;1;1;1;;3;1;1;;1;3;1;1;8;1;4;3;1;1;;4;3;;;2;;;2;13;1;7;4;3;1;;6;2;;;2;;6;1;;;;;;;;;;;1;1;;;1;1;1;;3;2;1;2;;;1;;;1;1;;
22906-7098;3;15;1;5;;3;;29;;3;;6;7;;3;2;11;9;;12;2;;2;1;1;4;3;;;;1;12;;4;1;4;;;;3;1;5;;;3;1;;;;1;;;;1;;;;;2;;;1;4;1;9;;;;;;2;3;2;1;;;;;2;;;;;;;;;;;;3;;1;1;;;;;;;;;;;1;;;1;;1;;;;;;;1;2;;;;;2;1;1;;;;;;;;2;;;;;1;
18875-7118;;4;1;2;;1;;31;;2;2;18;13;2;1;1;14;6;1;19;;2;3;;;;1;;;;;2;;1;;2;;;;1;;;1;;;4;;;;;1;;;10;2;;;4;2;;1;4;2;1;11;;;1;;;1;2;1;;;1;;;2;;1;;;;1;3;1;;;1;1;5;;4;;2;1;;;;1;1;;;3;;2;1;1;3;;1;1;1;;;;1;1;1;;;2;;2;;;;;1;;;;;2;;;1;
271-7274;;17;5;1;;1;;39;1;8;;33;23;4;1;1;4;6;3;19;3;10;;;;;2;3;2;2;;7;2;1;1;5;2;2;;1;1;1;3;;1;9;5;4;2;1;3;;;9;5;3;1;1;3;;;1;;;10;;;1;;1;2;6;1;;;3;;3;10;1;6;3;1;;;6;3;3;1;6;1;2;1;7;1;5;2;2;1;;1;;;;1;;3;;;2;;2;1;1;1;1;1;1;;;;;;1;;;2;;;3;;;;1;;2;3;;
10786-5469;1;4;;2;;1;;17;;;;5;5;;1;1;8;7;;13;1;3;3;;;;;;;1;1;3;;;;1;;;;1;;;;1;;2;1;1;1;1;1;;2;;;;;;1;;;1;1;;4;;;1;3;;;;;;;1;;;2;;2;2;2;1;1;1;1;;1;;;2;;2;;2;2;2;2;;;;;;1;1;;;;1;;;;;;;1;;1;;;1;1;;;1;;;;3;;;1;;;;;1;
22189-4604;1;22;1;2;;2;;57;2;6;;18;23;2;1;2;22;16;;28;4;2;1;;;3;8;1;;2;1;11;1;;1;1;1;;;1;;6;;2;6;10;1;;;9;14;4;1;10;;;;;7;1;1;3;;;8;1;;3;;;;3;;1;1;3;;;;;;;;;;2;1;;1;;;;7;3;3;;;;;2;5;1;1;1;2;;1;;1;11;1;7;6;4;3;3;3;;1;8;1;3;2;5;3;;3;1;2;5;5;1;1;1;;;1;;
23725-5468;1;10;;;1;2;;37;;9;1;31;22;;2;;25;8;;22;1;11;;;1;;;5;3;1;;4;1;1;;1;;;1;;1;4;;;1;6;1;;;2;2;1;;12;2;;1;1;3;;1;4;3;2;15;2;;1;3;;4;8;3;;3;;;;8;;1;1;;;;4;;;;4;2;1;;8;;4;1;1;;;;;;1;3;1;;2;;11;;5;1;1;1;1;;;;;;;4;1;1;1;2;;1;3;2;1;1;1;1;3;1;;
21251-5469;2;6;1;;;;;12;;;;8;5;2;;;;1;1;12;2;;2;1;2;;1;;;;2;3;;2;;4;;;;;;1;1;;1;2;;;;;2;1;;5;1;;1;2;1;;;;;;6;1;;1;;;;;;;;1;;;1;;1;;;;1;2;1;1;2;;1;3;;1;;1;1;;;;1;;;;1;;2;;;;;;;;;;;;;1;;;;;;;1;;;3;1;1;1;;;;;;
