aluno;1>;2>;3>;5>;6>;7>;14>;16>;17>;28>;29>;30>;31>;32>;33>;34>;36>;38>;39>;41>;46>;48>;49>;1>2>;1>46>;1>46>2>;2>1>;2>1>46>;2>2>;2>3>;2>14>;2>31>;2>31>30>;2>31>30>30>;2>41>;2>46>;2>46>1>;2 14>;2 14>2>;2 14>31>;2 14 30>;2 14 31>;2 14 41>;2 30>;2 31>;2 41>;3>2>;5 14>;6>6>;6 14>;7>5>;7 14>;7 41>;14>2>;14>3>;14>7>;14>14>;14>30>;14>31>;14>31>30>;14>31>30>30>;14>31>30>30>30>;14>38>;14>41>;14>41>41>;14>49>;14 30>;14 30>31>;14 30>31>30>;14 30 31>;14 30 41>;14 31>;14 31>31>;14 31 41>;14 36>;14 38>;14 38 41>;14 41>;14 41>31>;14 41>41>;14 48>;14 49>;16>31>;16 31>;16 31>31>;17>30>;17>30>30>;17 30>;17 30>30>;30>2>;30>14>;30>14>31>;30>14>31>30>;30>17>;30>30>;30>30>14>;30>30>30>;30>30>30>14>;30>30>30>30>;30>30>30>30>30>;30>30>30>30>30>30>;30>30>30>30>30>30>30>;30>30>31>;30>30>31>30>;30>31>;30>31>30>;30>31>30>30>;30>41>;30>48>;30 31>;30 31>30>;30 41>;30 48>;31>2>;31>14>;31>30>;31>30>14>;31>30>30>;31>30>30>30>;31>30>30>30>30>;31>30>30>30>30>30>;31>30>30>30>30>30>30>;31>30>31>;31>31>;31>31>30>;31>41>;31>48>;31 41>;31 41>30>;32>31>;33 36>;36>34>;36>36>;36>36>36>;36>36>36>36>;38>14>;38 41>;41>2>;41>14>;41>30>;41>31>;41>31>30>;41>38>;41>41>;41>41>41>;41>41>41>41>;41 48>;46>1>;46>1>2>;46>2>;48>14>;48>30>;48>48>;49>49>;
30732-4130;1;25;4;5;13;6;42;1;7;1;;38;40;2;1;;6;7;;32;1;6;;;1;1;1;1;1;2;6;7;5;5;4;;;8;;1;;1;1;1;2;5;1;1;4;1;3;3;;4;1;1;1;;16;7;4;2;3;;;;6;3;1;;;5;;1;3;2;;12;2;;4;;;1;;3;3;5;2;;4;2;2;2;17;2;11;1;4;3;2;;3;1;6;2;1;1;1;1;;2;;5;2;16;1;10;7;2;2;1;;3;1;;2;3;;2;1;;1;1;1;;;4;;;4;1;3;5;2;;1;;;1;1;;;;
27888-4130;3;26;8;6;2;7;52;3;9;2;;53;38;12;2;;7;10;3;32;5;7;;2;1;1;1;1;3;;1;4;3;;1;3;3;9;;1;2;;3;3;1;7;1;;;1;3;1;1;4;1;1;1;;14;8;5;2;2;5;;;17;2;;;1;1;;;1;1;;8;;1;1;;3;2;2;6;2;7;4;2;8;2;2;2;19;3;12;2;8;4;2;1;1;;7;1;;;;3;2;2;3;2;2;15;;9;5;4;3;1;;3;;;2;5;;4;1;;4;2;;;4;2;;;4;1;;5;3;1;2;3;1;1;1;;;;
11848-7098;;7;;;;;13;1;7;;;13;8;1;;;;;;6;;1;;;;;;;1;;;4;1;;;;;5;1;2;1;;2;1;;2;;;;;;;;1;;;;;4;1;;;;1;1;;5;2;;;;1;;;;;;3;1;;;;1;1;1;1;;6;1;;;;;;1;;;;;;;;;;2;;;;;;;;1;1;;1;;;;;;;;1;;1;;;;;;;;;;;;1;;;2;;;3;2;;;;;;;;;;
18030-4130;2;19;;2;;1;18;;;;;9;8;;;;;1;;16;2;1;1;;1;;;;1;;2;1;1;;;1;;8;;;;1;;;2;5;;1;;;1;;;;;;2;;;;;;;3;;;2;;;;;2;;1;;1;1;4;;;;;;;;;;;;;1;;;;2;1;1;1;1;1;;;;;;;;1;1;1;1;;;1;;3;;;;;;;;;;;;4;1;;;;;;;;1;1;;1;2;1;;;;;;;;;;;1;1;
22034-4605;2;16;2;;5;4;44;5;;1;;10;19;2;2;2;4;5;;27;5;5;4;1;2;1;2;1;3;;8;1;;;2;1;1;8;2;1;;;;;;;2;;2;1;;1;;4;1;;1;;6;4;;;1;5;2;3;1;;;;;5;;;;1;;16;1;2;3;1;4;2;2;;;;;;;;;;1;;;;;;;;1;;3;;;1;;1;1;;;1;3;7;;;;;;;2;2;1;1;1;3;;1;2;;;;;1;2;;2;;1;1;;5;1;;;1;1;1;1;;;2;
18672-6398;5;19;;6;7;7;41;1;1;;;19;26;;2;2;5;13;;31;6;5;4;2;3;2;2;2;3;;2;1;1;;4;3;2;5;;1;1;;;1;2;3;;1;1;3;3;1;1;2;;2;2;2;9;2;;;1;2;2;3;8;3;;;2;6;1;;1;3;1;11;2;;3;;;;;;;1;;;;;;;3;;2;;;;;;1;;4;;;1;;2;1;3;;2;;7;;2;;;;;;3;1;1;;2;;;2;2;4;2;1;1;2;4;;;3;;4;7;3;2;1;3;1;2;;;1;;
19254-6389;3;15;2;7;1;7;56;1;9;;;23;28;;1;;;3;1;28;2;3;3;3;1;1;2;1;1;;4;2;2;;3;2;2;7;1;2;;;2;;;3;2;3;;1;3;5;1;7;;1;2;5;6;4;;;;6;1;1;6;;;3;1;9;;2;;2;1;15;2;1;1;;1;1;1;7;1;5;4;;5;;;4;9;3;;;;;;;4;3;7;5;;;1;7;3;1;1;;6;12;1;;;;;;5;1;;;;5;;;;;;;;1;2;2;1;;4;2;;2;;;;2;2;1;1;1;;2;
21367-6398;1;8;1;;;;41;2;3;;;33;33;;2;1;5;10;;25;1;11;12;1;;;1;;;;;5;2;1;1;1;;1;;1;;;1;1;1;1;;;;;;;;1;;;1;;8;4;1;1;2;5;;2;20;2;2;3;3;8;;;3;5;;10;3;2;6;5;2;1;1;2;;3;2;1;2;1;1;;7;;2;;;;;;;;4;3;2;4;1;3;;4;1;1;;11;1;4;2;;;;1;2;;1;;2;;;1;;;;;;;2;;;9;5;;4;;;;;;1;;;1;4;
21888-7274;2;9;3;5;;4;37;;13;2;;43;28;1;2;1;13;11;;17;4;;;1;1;;;;1;1;1;;;;;2;1;3;;;;;1;;;2;;1;;;3;1;;;;;3;;15;6;1;;4;1;;;17;8;3;;2;2;;1;3;2;;10;3;;;;;;;4;2;11;4;;2;1;1;2;8;;2;;1;;;;2;;13;4;1;;;4;1;2;;;;10;;2;;;;;1;1;1;2;;2;;1;2;;2;2;1;2;;;;;5;3;4;;;;;1;;;;;;;
14034-6398;;5;;;3;1;21;1;1;;;15;14;;;;;;;6;;2;4;;;;;;1;;1;1;1;;;;;2;;;;;1;;;1;;;;2;;1;;;;;;;3;3;;;;1;1;3;6;;;1;1;6;1;;;;;3;;;1;2;1;1;1;1;;1;1;;3;1;1;;1;;;;;;;;1;1;3;1;;;;1;;1;;;;6;2;;;;;;1;2;2;1;;2;1;;;;;;;;;;;1;;;;2;2;2;1;;;;;;;2;
