aluno;1>;2>;3>;5>;6>;7>;13>;14>;16>;17>;29>;30>;31>;32>;38>;41>;46>;48>;49>;1>46>;2>1>;2>2>;2>2>2>;2>2>31>;2>3>;2>14>;2>14>31>;2>31>;2>31>30>;2>31>30>30>;2>31>30>30>30>;2>41>;2 14>;2 14>2>;2 14>3>;2 14>14>;2 14>31>;2 14>31>30>;2 14 31>;2 14 41>;2 30>;2 31>;2 41>;2 48>;3>2>;5 14>;6>6>;6 14>;6 41>;6 48>;7>5>;7>31>;7 14>;7 41>;14>2>;14>2>2>;14>2>14>;14>2>31>;14>3>;14>7>;14>14>;14>14>31>;14>31>;14>31>30>;14>31>30>30>;14>31>30>30>30>;14>31>30>30>30>30>;14>41>;14>41>41>;14>41>41>41>;14>49>;14 30>;14 30>2>;14 30>31>;14 30>31>30>;14 30 31>;14 30 41>;14 31>;14 31>31>;14 31>41>;14 31 41>;14 41>;14 41>31>;14 41>31>30>;14 41>41>;14 48>;16>31>;16 30>;16 30>31>;16 31>;17>30>;17>31>;17 30>;17 30>30>;17 31>;30>2>;30>14>;30>14>31>;30>17>;30>30>;30>30>14>;30>30>30>;30>30>30>30>;30>30>30>30>30>;30>30>30>30>30>30>;30>30>30>30>30>30>30>;30>30>31>;30>30>48>;30>31>;30>31>30>;30>31>30>30>;30>31>30>31>;30>41>;30>48>;30>48>30>;30 31>;30 31>30>;30 41>;30 48>;31>2>;31>14>;31>30>;31>30>14>;31>30>30>;31>30>30>30>;31>30>30>30>30>;31>30>30>30>30>30>;31>30>30>30>30>30>30>;31>30>30>30>30>30>30>30>;31>30>31>;31>30>31>30>;31>30>48>;31>31>;31>31>30>;31>32>;31>41>;31>41>41>;31>48>;31 41>;32>31>;32>31>30>;41>2>;41>7>;41>14>;41>31>;41>31>30>;41>31>30>30>;41>41>;41>41>2>;41>41>41>;41>41>41>41>;41>41>41>41>41>;48>13>;48>14>;48>29>;48>30>;48>31>;48>48>;48>48>48>;49>48>;49>49>;
21788-5469;;3;;1;1;3;;14;;1;;;8;;1;12;;;1;;;;;;;;;;;;;;1;;;;;;;;;1;2;;;1;;;;;;;;;;;;;;1;1;;2;;;;;1;;;1;;;;;;;2;1;;;4;;;;;;;;;;1;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;2;;;;;;3;;;;1;;;;;;;;;;;;;;;;;;1;
26702-4605;3;28;9;2;3;5;;58;4;2;1;25;42;3;1;32;3;11;;2;1;1;;1;6;3;1;6;3;3;2;;17;1;6;;2;1;1;4;2;2;6;2;2;;;1;;2;2;;1;1;3;;1;2;8;1;1;;9;3;3;3;1;3;;;;7;;;;;2;14;;;2;17;4;3;;5;4;1;1;2;;1;;;2;1;1;1;;11;1;7;3;3;;;4;;5;2;1;;2;1;;3;1;2;1;1;3;12;;7;6;3;3;;;1;;;4;1;2;;;1;6;;;1;;;6;3;3;2;;1;1;1;;1;1;1;1;1;;;;
13342-5468;;14;2;;;;;38;;6;2;22;31;2;;9;;7;1;;;5;1;3;1;2;;5;2;;;1;7;1;;1;1;;1;1;1;1;1;;1;;;;;;;;;;4;3;;1;;;1;;12;3;;;;;;;1;9;2;3;;1;;10;2;;1;5;2;1;;3;;;;;3;1;4;3;2;3;4;1;;3;;;;;;;;;3;;;;;1;;1;;1;1;;2;7;2;;;;;;;;;;4;1;;1;;2;2;2;1;;;;3;1;;;;;;;;1;1;;1;1;;;1;
21598-4604;1;6;;;;;;20;;3;;4;15;;;9;1;2;;;1;;;;;3;;;;;;;5;;;2;;;1;1;;1;1;1;;;;;;;;;;;;;;;;;4;;4;2;2;2;1;1;1;;;1;;1;1;;;8;;;5;8;;;;2;;;;;;;;;2;;2;;1;4;2;2;1;;;;;;1;1;1;;;;;;;;;;1;3;;3;2;1;;;;;;;1;1;;;;;5;;;;;1;;;;1;;;;;;;;;;;;;;
22418-4130;;12;;2;1;2;;23;;4;1;8;13;;1;11;;3;;;;1;;;;3;1;;;;;;10;1;;1;;;1;4;;1;4;;;1;;;1;1;1;;2;;2;;2;;;1;1;;1;;;;;;;;;1;;;;;;5;;;1;7;;;;1;;;;;1;;4;1;2;;;;;1;;;;;;;;;;;;;;;;4;;1;;;2;;;;;;;;;;;;1;;;;;;4;;;1;;;;;;;;;;;;;1;;;;;;;
21393-4605;1;25;;2;11;4;;51;1;5;;12;24;;1;19;1;;1;1;1;6;3;2;;6;1;6;2;2;;1;16;4;;1;3;1;1;;;2;;;;1;1;3;;;1;;2;;8;4;1;;;2;6;2;9;2;1;;;6;1;1;1;3;;;;;;7;;2;2;8;1;1;;;1;1;1;;;1;;;3;;3;;1;5;1;2;;;;;2;;4;3;1;1;;;;;;;;1;3;7;2;4;1;;;;;1;1;;7;4;;2;2;;3;;;2;;2;3;2;;3;1;2;1;;;;;;;;;;;
23180-5388;;8;;;3;;;13;1;1;;7;12;;;6;;1;;;;2;;2;;;;3;2;2;1;;4;;;;;;;1;;1;2;;;;;;;;;;;;1;1;;;;;;;3;1;1;;;1;;;;2;;2;1;;;4;1;1;;2;;;;;1;1;1;;;;;;1;;;;;3;;1;;;;;1;;4;1;1;;;;;;;1;;1;2;4;;3;1;;;;;;;;1;;;1;;;;;;1;;;1;1;1;;;;;;;;;;;1;;;;
17874-5388;;10;;;2;2;2;18;;3;2;9;15;3;;12;;5;;;;1;;1;;1;;1;;;;;4;;;;;;1;3;1;1;4;;;;;1;2;;;;1;1;1;;;;;;;;4;3;1;;;1;;;;1;;1;;;;6;;;3;7;;;;1;;;;;;1;1;;2;2;1;;;2;;1;;;;;;;1;;;;;1;;;;;1;;;4;;1;;;;;;;;;1;;;;;2;4;1;1;;;1;;;;;;;;;1;;1;2;;1;1;;;
18027-4130;1;10;;;3;1;;12;;;;2;2;;;3;1;2;;;1;;;;;1;;;;;;;7;;;;;;2;;;2;;;;;2;1;;1;;;;;1;;;;;1;;;;;;;;;;;;;;;;;;2;;;;3;;;;;;;;;;;;;;;;;;2;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;
22499-5388;;4;;;1;1;;13;;;;8;5;;2;9;;;;;;2;2;;;;;;;;;2;4;2;;;;;;;;;;;;;;;1;;;;;;2;2;;;;;;;3;2;1;;;1;;;;2;;1;1;;;;;;;5;2;1;1;;;;;;;;;;;;;;;4;;2;2;1;1;;;;2;2;;;;;;1;1;1;;;;4;;2;1;1;1;;;;;;;;;1;;;1;;;1;1;;2;1;1;3;1;1;1;1;;;;;;;;;;
