aluno;1>;2>;3>;5>;6>;7>;14>;16>;17>;30>;31>;32>;38>;41>;46>;48>;49>;2>2>;2>2>31>;2>2>31>30>;2>14>;2>30>;2>31>;2>31>30>;2>31>30>30>;2>31>30>30>30>;2>31>30>30>30>30>;2>41>;2 14>;2 14>2>;2 14>31>;2 14>31>30>;2 14 30>;2 14 31>;2 14 41>;2 30>;2 30 31>;2 31>;2 31>30>;2 41>;6>6>;6>6>6>;6>31>;6 7>;6 14>;6 30>;6 31>;6 41>;6 48>;7>5>;7 14>;7 41>;14>2>;14>2>2>;14>2>31>;14>2>31>30>;14>7>;14>14>;14>31>;14>31>30>;14>31>30>14>;14>31>30>30>;14>31>30>30>30>;14>31>30>30>30>30>;14>31>30>30>30>30>30>;14>31>31>;14>41>;14>41>2>;14>41>41>;14>41>41>41>;14>49>;14 30>;14 30>2>;14 30>31>;14 30>31>30>;14 30>31>30>30>;14 30>41>;14 30 31>;14 30 41>;14 31>;14 31>31>;14 31>31>30>;14 31 41>;14 41>;14 41>31>;14 41>31>30>;14 41>41>;14 48>;14 49>;16>31>;16>31>30>;16 30>;16 30>31>;16 31>;16 31>31>;17>30>;17>30>14>;17>30>30>;17 30>;17 30>30>;17 30>30>14>;17 30>30>30>;30>2>;30>2>31>;30>14>;30>14>2>;30>14>31>;30>14>31>30>;30>17>;30>17>30>;30>30>;30>30>14>;30>30>14>31>;30>30>17>;30>30>17>30>;30>30>30>;30>30>30>14>;30>30>30>30>;30>30>30>30>14>;30>30>30>30>30>;30>30>30>30>30>30>;30>30>30>30>30>30>30>;30>30>30>30>30>30>30>30>;30>30>30>30>30>30>30>30>30>;30>30>30>31>;30>30>31>;30>30>31>30>;30>30>48>;30>31>;30>31>30>;30>31>30>30>;30>31>30>30>30>;30>31>30>31>;30>41>;30>41>41>;30>48>;30>48>30>;30 31>;30 31>30>;30 31 41>;30 41>;30 48>;31>2>;31>14>;31>30>;31>30>14>;31>30>17>;31>30>17>30>;31>30>30>;31>30>30>30>;31>30>30>30>30>;31>30>30>30>30>30>;31>30>30>30>30>30>30>;31>30>30>30>30>30>30>30>;31>30>30>30>30>30>30>30>30>;31>30>31>;31>30>31>30>;31>31>;31>31>30>;31>31>30>30>;31>41>;31>41>41>;31>48>;31 41>;31 48>;32>31>;41>2>;41>2>31>;41>7>;41>14>;41>30>;41>31>;41>31>30>;41>31>30>30>;41>31>30>30>30>;41>41>;41>41>31>;41>41>41>;41>41>41>41>;48>14>;48>30>;48>31>;48>48>;49>49>;
19260-6389;;2;2;;3;1;7;;;8;6;2;;3;;1;;1;;;1;;1;1;1;1;1;;;;;;;;;;;;;;;;1;;3;;1;1;;;;1;1;;1;1;;;1;;;;;;;;1;;;;;;;;;;;;;1;;;1;1;;;;;;;;;;;;;;;;;;;;;3;;;;;;5;2;;;;2;1;1;1;1;;;;;;;;;;;;;;;;1;;1;1;;;1;;;4;1;;;2;2;1;1;;;;;;1;1;1;;;;1;;2;;;;;;;;;;;;;;1;;;1;;
17874-5388;;3;;2;4;2;14;2;5;17;18;;;8;1;2;3;;;;;3;;;;;;;;;;;;;;;;3;3;;1;;;1;2;;1;2;;1;1;1;;;;;;1;5;3;;;;;;;1;;;;1;6;;2;2;;1;1;1;5;1;;1;3;1;1;;;2;1;1;1;1;;;1;;1;3;1;;1;;;1;;;;2;;3;;;;;2;;;;;;;;;1;1;;;5;3;;;;1;;;;3;;2;3;;;;7;;2;;2;1;;;;;;1;;1;;;;;;4;;;;;;;;1;1;;;;;;;;;;1;1;
13179-5714;;3;;;;1;6;1;3;13;10;1;;9;;2;;;;;;;1;1;;;;;1;;;;;1;;;;1;;2;;;;;;;;;;;1;;;;;;;;1;;;;;;;;;;;;;2;;;;;;;1;1;;;;3;1;;;;;1;;1;1;;;2;;;2;1;;;;;;;;;1;1;2;;;;;;;;;;;;;;;;;;1;;;;;1;1;;;3;;;2;1;;;2;;1;1;;;;;;;;;;;;;;;;1;2;1;;;;;;3;1;;;2;1;2;;;1;;;;
18027-4130;;4;;;;;14;1;;13;13;;;5;;1;1;;;;;;1;1;;;;;2;;;;1;1;2;1;1;1;;2;;;;;;;;;;;;;1;;;;;;2;1;;;;;;;1;;1;;;5;;;;;;4;1;8;;;3;4;;;1;;;1;1;;;;;;;;;;;;;;1;;1;;;;4;;;;;1;;1;;1;;;;;;;;;;;;;;;;;;5;1;2;2;;1;;4;;;;1;;;;;;;;;;;;1;1;;4;;;;;;;;;;;;1;;1;;1;;;;;
10786-5469;;;;;;;4;;;3;6;;;10;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;2;;2;1;;;;;;;;;;1;;;;2;1;;1;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;1;1;;;;;1;1;1;1;;;;1;;;;2;;;;2;;;;;;;;;;;;1;;;1;;;;;;;;3;1;1;;3;1;1;1;;1;;;;
22189-4604;;4;1;2;;1;13;2;4;18;13;1;1;11;;8;;1;;;;;;;;;;1;2;;;;;;2;1;;;;2;;;;;;;;;;1;;;;;;;;;2;1;;;;;;;;;;;;7;;;;;;1;1;1;;;1;5;1;;;2;;2;1;;;1;1;2;;1;1;;;;;;;;;;1;1;3;;;;;1;;1;;;;;;;;;;;2;1;;;;;;2;;3;;1;2;3;;;4;;1;1;;;;;;;;2;1;2;;;1;1;2;3;;;;;;;;2;1;;;1;;;;;2;1;;;
21251-5469;1;7;;2;;1;17;1;4;16;15;;;6;1;2;1;;;;1;;4;2;1;;;1;6;;4;2;;;;;;;;;;;;;;;;;;1;;;1;;;;1;1;9;3;2;1;;;;1;3;;3;1;;6;;3;1;;1;;1;;;;;1;;;1;1;;;;1;;1;;4;1;1;3;3;1;;;;5;1;2;1;1;1;5;3;2;;;1;1;1;1;;;;;;;;;;5;2;;;1;1;1;1;;1;;1;2;;;;8;3;1;1;2;1;1;;;;;2;1;1;1;;1;;;2;;;;;;1;;3;3;;;4;2;2;;;;;;;
17604-4130;3;24;;2;1;5;54;3;9;41;42;;1;38;3;2;3;5;2;2;3;;5;3;;;;3;13;3;2;1;;1;1;;;2;;3;;;;1;;;;;;2;;1;7;1;2;1;2;;16;7;1;3;3;2;2;;4;;1;;;15;1;8;3;1;2;;1;9;3;;;10;2;2;1;1;1;1;1;2;1;;;2;1;;8;2;1;;3;;4;2;;;1;;10;1;;1;;4;;3;;3;3;2;1;;;;;;11;5;2;1;;3;1;;;3;;2;3;;2;1;14;3;;;6;4;3;3;3;2;1;1;;5;1;1;4;2;;5;;;2;1;1;;;5;3;1;1;11;1;5;2;1;;1;;1;
13142-6388;;12;;2;8;2;23;1;9;24;20;;2;24;;3;;3;2;1;1;;6;3;3;3;2;1;5;3;;;;;;;;;;1;1;1;1;;;1;2;2;1;1;;;5;1;2;;1;1;4;2;;2;2;2;1;;2;;2;;;4;;1;;;;;;1;;;1;6;1;1;;;;1;;;;1;1;6;4;1;6;4;4;;1;1;6;;1;;2;2;12;5;1;1;1;6;1;6;1;4;4;1;1;1;;2;1;1;4;1;;;1;;;2;1;1;1;;;;1;;7;;1;1;5;5;5;3;3;1;1;1;1;4;2;1;3;1;;7;;;3;3;;;;6;1;1;1;5;;3;1;;1;;;;
13511-6389;;7;;1;4;6;37;2;3;18;26;2;;26;;11;4;;;;2;;3;2;1;;;1;3;;1;;;1;1;;;1;;2;;;;1;1;;;;2;1;1;;3;;2;2;3;1;8;4;;3;;;;;6;;2;2;2;4;;1;1;;;1;;5;1;;2;12;2;;2;2;1;1;;;;2;1;3;1;;2;2;;;;;4;;1;;;;7;1;1;;;2;;2;;1;1;1;;;;;;2;1;1;;;;;;3;1;1;;;;;1;3;9;1;;;4;1;1;1;1;1;;;;3;;;2;2;3;5;;1;;;3;1;;6;1;;;8;1;3;1;2;4;;2;;
18163-6398;;;;4;3;3;4;;;2;1;;;1;;2;3;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;1;;2;;;;;;;1;;;;;;;;;;;;;;1;1;;;;;;1;;1;;;;1;;;;2;1;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;
13005-6398;;8;;;;;17;1;3;13;15;1;;8;;1;;2;1;1;;1;2;2;2;1;1;1;2;;;;;;;;;2;1;2;;;;;;;;;;;;;3;1;1;1;;1;7;6;1;5;2;;;1;1;;1;;;5;;3;3;3;;;;4;2;2;1;2;;;;;;;;;;;;3;1;1;1;1;;;;;5;3;2;;2;2;9;3;1;2;2;5;3;3;1;3;3;3;3;1;1;1;1;1;4;4;4;1;;;;1;1;;;;;;;2;10;1;;;8;4;2;2;2;2;1;;;2;2;1;;;;2;;;1;;;1;1;;;;;3;;;;;1;;;;
11091-6388;;9;;;5;2;23;1;3;30;25;1;;11;;14;;1;1;;1;1;3;;;;;;4;1;;;1;1;1;2;1;2;;1;1;;1;;;2;;;1;;;;3;;2;;2;1;8;6;;2;1;;;;3;;2;;;10;1;4;3;1;;1;1;4;1;1;2;2;;;;2;;;;;;1;;3;1;1;2;2;1;;1;1;5;1;3;2;;;12;2;1;;;5;;3;;2;1;1;1;;1;2;1;3;7;5;1;1;1;;;8;4;3;;1;1;3;1;1;10;2;;;4;2;;;;;;1;1;3;2;;1;1;1;6;2;1;1;1;;;2;1;;;;2;;;;;5;;1;;
22305-5468;;7;;5;;5;21;1;2;24;24;;;12;;3;4;3;1;;2;1;3;1;1;1;1;;1;;1;1;;;;1;;1;1;;;;;;;;;;;3;;;2;1;;;2;;12;9;1;5;4;3;2;1;2;1;;;;5;;2;1;1;;;;4;3;2;;3;1;1;;;1;;;;;;;2;2;;2;2;2;;1;;3;1;2;1;1;1;15;2;1;1;1;9;;5;;3;2;1;1;1;1;1;1;;4;2;2;1;;1;;1;;2;1;;;;;;15;1;;;11;8;4;2;1;;;1;1;5;4;2;3;;2;2;;;2;;1;1;;4;1;1;1;;;;;;1;;;2;
13420-6398;1;6;;;;;26;1;6;27;18;;1;14;1;;;;;;2;;3;2;1;1;1;1;3;;2;1;1;;;1;;;;;;;;;;;;;;;;;1;;1;1;;1;14;10;;7;6;5;3;2;5;2;1;1;;10;;4;3;2;4;;;;;;;7;3;2;1;;;1;;1;1;;;1;;;5;1;;;1;;1;;1;1;1;;13;1;1;;;9;1;8;;5;3;3;3;2;;;;;5;3;2;1;;6;1;;;;;;;;;1;16;;1;;12;9;8;5;3;3;3;;;3;2;1;1;1;;;;;3;;;1;;7;5;4;3;4;1;2;;;;;;;
21911-4130;;11;1;1;;3;14;;4;13;13;1;1;8;;8;;3;2;1;1;1;4;1;;;;;2;;;;;;;2;2;2;1;1;;;;;;;;;;1;;1;2;1;1;;;2;2;1;;;;;;;1;1;;;;5;1;1;;;;;1;;;;;4;1;1;;1;;;;;;;;1;;;2;;;;1;1;;;;;1;1;1;;;1;1;;;;;;;;;;;;;;2;;;;;;;1;;2;1;;1;2;;;3;;1;1;;;;;;;;1;;1;;;;;2;;1;1;1;;1;;;1;1;;;;;;;3;;;2;;
22222-4130;1;8;;1;;2;12;1;3;18;11;;;5;1;2;;2;1;;;;4;1;;;;;2;;2;1;;;;1;;1;;1;;;;;;;;;;1;;;1;1;;;1;1;4;1;;;;;;;;;;;;7;;2;;;;2;1;3;;;1;2;;;;1;;1;1;1;1;;;1;;;3;1;;;;;1;1;;;;;5;;;;;2;;2;;2;2;2;2;2;;;;1;3;1;;;;;;1;;3;1;1;1;;;;3;;;;;;;;;;;;;1;;;;;;1;1;;1;;1;;;;;;;1;;;;1;;;1;;
