aluno;1>;2>;3>;5>;6>;7>;8>;14>;16>;17>;29>;30>;31>;32>;41>;46>;48>;49>;2>2>;2>2>14>;2>2>31>;2>2>41>;2>3>;2>14>;2>14>31>;2>31>;2>31>30>;2>31>30>30>;2>32>;2>32>31>;2>32>31>31>;2>41>;2>41>41>;2 3>;2 14>;2 14>2>;2 14>31>;2 14>32>;2 14>32>31>;2 14 31>;2 14 41>;2 31>;2 41>;3>2>;3>32>;3 14>;5 14>;6>6>;6>6>6>;6>6>6>6>;6>6>48>;6>48>;6 14>;6 41>;6 48>;7>5>;7>14>;7>31>;7 14>;7 41>;14>2>;14>2>2>;14>2>14>;14>2>31>;14>3>;14>3>2>;14>3>32>;14>7>;14>7>31>;14>14>;14>31>;14>31>14>;14>31>30>;14>31>30>30>;14>31>30>31>;14>31>31>;14>32>;14>32>31>;14>32>31>30>;14>32>31>31>;14>32>31>31>30>;14>41>;14>41>2>;14>41>41>;14>41>41>41>;14>41>41>41>41>;14 30>;14 30>31>;14 30>31>30>;14 30>32>;14 30>32>31>;14 30>32>31>30>;14 30 31>;14 31>;14 31>2>;14 31>31>;14 31>32>;14 31>32>31>;14 31>41>;14 31 41>;14 32>;14 41>;14 41>3>;14 41>31>;14 41>41>;14 41>41>41>;14 48>;14 49>;16>31>;16>31>30>;16 30>;16 31>;16 31>31>;17>30>;17 30>;17 30>30>;17 31>;30>2>;30>3>;30>14>;30>14>2>;30>17>;30>17>30>;30>30>;30>30>14>;30>30>30>;30>30>30>30>;30>30>30>30>30>;30>30>30>30>30>30>;30>31>;30>31>30>;30>31>30>30>;30>32>;30>32>31>;30>32>31>30>;30>41>;30>48>;30>48>30>;30 31>;30 31>14>;30 41>;30 48>;31>2>;31>14>;31>14>31>;31>30>;31>30>14>;31>30>30>;31>30>30>30>;31>30>30>30>30>;31>30>31>;31>30>31>30>;31>31>;31>31>14>;31>31>30>;31>31>30>30>;31>32>;31>32>31>;31>41>;31>41>41>;31>48>;31 41>;32>31>;32>31>30>;32>31>30>30>;32>31>31>;32>31>31>30>;32>32>;41>2>;41>2>41>;41>3>;41>7>;41>14>;41>30>;41>31>;41>41>;41>41>2>;41>41>14>;41>41>31>;41>41>41>;41>41>41>14>;41>41>41>41>;41>41>41>41>41>;48>30>;48>48>;48>48>48>;49>49>;49>49>49>;
20306-7274;;;;;9;1;;3;1;;;3;2;;5;;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;1;;2;2;;4;5;;;;;1;;;;;;;;;;;1;;1;1;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;1;;;;;;;;;1;;;;1;;1;1;1;1;;;;;;;;;;;;;;;;;1;;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;1;;;;;2;;;;
13342-4130;;3;;;;;;5;;3;;2;9;;5;;2;;;;;;;;;;;;;;;1;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;4;;;;;1;;;1;;;;;1;;;;;;;;;;3;;;;;;;;;;;;;;;;;;;1;;;;;;1;;;;1;;;;;;;1;;;;;;1;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
18900-7118;;19;7;2;;1;1;32;2;6;;15;16;5;9;;1;;1;1;;;2;1;1;3;2;1;1;1;1;3;1;;11;;;1;1;;1;;2;2;;3;1;;;;;;;;;1;;;;;2;;;1;4;2;;;;;5;;3;3;;1;3;2;1;1;1;2;;1;;;5;3;2;;;;1;2;;1;;;;1;;5;;;;;;;1;;;;;4;2;1;;1;1;2;;4;3;7;1;2;1;1;;4;3;3;1;;;;;;1;;1;;;1;;10;;6;2;;;;3;;2;2;;;;;1;1;5;3;;2;1;1;4;1;;;;;;2;2;;;;;;;;;;;;
22522-4604;;5;1;1;;4;1;11;1;;;6;14;;11;;2;;2;1;;;;1;;1;1;;;;;;;;1;1;;;;;;;;1;;;;;;;;;;;;;;;1;2;4;1;;1;;;;;;;1;;1;1;;;;;;;;;;;;;2;;;;;;;4;1;;;;;2;;3;;;;;1;;1;;;1;1;;;;;2;;1;;;;1;1;1;;;;1;1;;;;;;;;;;;;1;1;;5;;1;1;;1;1;1;1;;;;;;;1;4;;;;;;;;;;;1;;2;1;;1;;1;1;;;;;;;;
23725-4605;;6;;;1;1;;14;1;;;1;4;;13;;6;;2;;;1;;;;;;;;;;2;1;;3;1;;;;;;;;;;;;;;;;1;;;1;;;;;;3;;;;;;;;;;;;;;;;;;;;;5;;3;3;2;1;;;;;;1;3;1;;;;;2;;8;;;3;1;2;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1;;1;;;;;;;;;;;;;;;;;;;3;;;;;;;2;1;;;1;;;5;1;1;;3;1;3;1;;2;2;;;
22614-4604;2;17;;;2;3;;22;1;;;5;14;;13;2;2;2;5;;1;;;1;;2;1;;;;;1;;;6;1;1;;;1;;1;1;;;;;;;;;;1;;;;;2;1;;4;2;1;;;;;1;1;1;5;;;;;;;;;;;3;;1;;;2;1;;;;;;4;1;2;;;;;;6;;;1;;1;1;1;1;;1;1;;;;;;;2;;;;1;1;1;1;;;1;;;;;;1;;;1;1;;;2;1;;2;;1;1;1;;;3;;1;1;;;1;;;;;;;;;;;;;1;;;1;3;;;;;;;;;;;1;1;
21708-5468;;8;;2;13;7;;30;2;4;;12;17;;17;;3;;2;;1;1;;1;;2;2;1;;;;3;1;;5;;1;;;;;1;;;;;;7;6;5;1;1;3;3;;1;3;1;1;2;2;2;;;;;;3;1;2;8;;3;;1;;;;;;;3;;1;1;1;5;1;1;;;;;4;;1;;;;;;6;;;2;1;;;2;;;1;1;1;1;;;;;1;1;1;1;2;;2;2;1;1;2;2;;;;;;1;;;;;;;2;;5;;2;2;2;1;1;3;1;;;;;1;;;1;;;;;;;;;;;3;;1;5;;1;1;2;1;2;1;;;;;;
21340-5468;1;13;1;;;1;1;20;1;5;;9;16;2;16;1;3;;2;;;1;;2;1;2;1;;;;;3;2;1;4;;1;;;1;;1;4;;;;;;;;;;;;;;;1;;;3;1;1;1;;;;1;1;1;6;1;4;;2;1;;;;;;3;1;1;1;1;;;;;;;;4;1;1;;;1;1;;8;;1;2;1;1;;1;1;;;;4;2;2;1;;;1;;2;2;4;;3;1;1;1;4;2;;;;;1;2;1;;;;;1;1;1;8;1;1;1;1;4;2;2;;1;;1;1;2;1;;3;1;1;;;;;2;;;1;2;1;5;5;1;1;;2;1;1;;1;;;;;
110-7098;;2;1;4;;2;;12;;;;2;9;;11;;1;;1;;1;;;;;2;;;;;;2;;;1;;;;;;;;;;;;1;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;4;2;;;;1;;;;;;1;5;;;;;2;1;;3;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;1;;;;1;1;;;;;;;;;;;;;;;2;;1;2;;;;;;;2;;;2;;;1;1;;;;1;;;;;;;;;
18184-7098;;1;3;1;;2;;9;;;;10;9;7;3;;2;;;;;;;;;;;;1;1;;;;;;;;;;;;;;1;2;;;;;;;;;;;1;;1;;;;;;;2;;2;1;1;1;2;;;;;1;4;2;;;;;;;;;4;;;1;;;;2;;;1;1;;;;1;;1;;;1;;;;;;;;;;;;1;1;;;;4;;1;1;;;;;;1;;;2;1;1;2;;;;;1;1;4;;3;1;1;;;2;;1;1;1;1;1;1;;;5;3;2;;;;;;;;1;;1;1;;1;;1;1;1;;1;;;;;
22316-4130;;3;;;;;;11;1;;;9;15;;12;;;;1;;1;;;;;1;;;;;;;;;2;;;;;;2;;2;;;;;;;;;;;;;;;;;;1;1;;;;;;;;;1;;;;;;;;;;;2;;1;;;4;;;;;;3;6;;;;;2;2;;4;;;;;;;1;;;1;1;;;;;;;1;;;;3;1;1;;;;;;;;;;1;;;4;;;;;1;;2;;1;1;;;;1;;;;;;3;2;;3;;;;;;;;;;;;1;2;4;;;2;2;;2;1;;;;;;
21367-4605;;6;6;;;;;13;;1;;1;7;;11;;;;2;2;1;;1;4;;2;;;;;;;;2;1;1;;;;;;1;1;2;;1;;;;;;;;;;;;;;;2;;;2;2;;;;;;1;;;;;1;;;;;;4;1;;;;;;;;;;;2;;;;;1;;;5;1;;1;;;;;;;;;;;;1;;;;;;;1;;1;1;;;;;;;;;;;;;;;;1;;;1;;1;1;1;;;2;;1;1;;;1;;;1;;;;;;;1;;1;;;;;1;;;;;;;;;;;;;
23953-5468;;4;;;;2;;12;;;;1;5;;8;;1;;;;;;;;;;;;;;;;;;2;;;;;1;2;1;2;;;;;;;;;;;;;;;;2;;1;;;;;;;;;;1;;;;;;;;;;;1;;1;1;1;1;;;;;;;3;;;;;;2;;6;;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;3;;;;;;;;;;;;;1;1;;;;1;;1;1;;;;;;
