aluno;1>;2>;3>;5>;6>;7>;14>;16>;17>;30>;31>;32>;33>;34>;36>;38>;39>;41>;46>;48>;49>;1>46>;2>1>;2>2>;2>2>31>;2>14>;2>31>;2>31>30>;2>31>30>30>;2>41>;2>46>;2 14>;2 14>2>;2 14>31>;2 14 30>;2 14 41>;2 30>;2 31>;2 41>;6>6>;6 14>;7>5>;7 14>;7 41>;14>2>;14>2>31>;14>7>;14>14>;14>31>;14>31>30>;14>31>30>30>;14>31>30>30>30>;14>31>30>30>30>30>;14>31>30>30>30>30>30>;14>31>31>;14>38>;14>41>;14>41>41>;14>49>;14 30>;14 30>31>;14 30>31>30>;14 30>31>30>30>;14 30>41>;14 30 31>;14 30 41>;14 31>;14 31>31>;14 31 41>;14 33>;14 36>;14 38>;14 38 41>;14 41>;14 41>31>;14 41>31>30>;14 41>41>;14 48>;16>31>;16 30>;16 31>;17>30>;17>30>14>;17>30>30>;17 30>;17 30>30>;30>2>;30>14>;30>14>31>;30>17>;30>17>30>;30>30>;30>30>14>;30>30>17>;30>30>30>;30>30>30>30>;30>30>30>30>30>;30>30>30>30>30>30>;30>30>30>30>30>30>30>;30>30>30>30>30>30>30>30>;30>30>31>;30>31>;30>31>30>;30>31>30>30>;30>38>;30>41>;30>48>;30 31>;30 31>30>;30 31 41>;30 41>;30 48>;31>2>;31>14>;31>30>;31>30>14>;31>30>17>;31>30>30>;31>30>30>30>;31>30>30>30>30>;31>30>30>30>30>30>;31>30>30>30>30>30>30>;31>30>30>30>30>30>30>30>;31>30>31>;31>31>;31>31>30>;31>31>30>30>;31>41>;31>41>41>;31>48>;31 41>;31 41>30>;33 36>;36>34>;36>36>;36>36>36>;36>36>36>36>;36>36>36>36>36>;36>38>;36 38>;36 41>;38>14>;38>31>;38>36>;38 41>;41>2>;41>14>;41>30>;41>31>;41>31>30>;41>31>30>30>;41>31>30>30>30>;41>38>;41>41>;41>41>31>;41>41>41>;41>41>41>41>;41 48>;46>2>;48>14>;48>30>;48>48>;49>49>;
15669-6398;2;8;1;;2;3;25;1;2;13;14;2;2;1;12;9;;17;1;7;1;1;1;1;;2;1;;;1;1;2;;1;;;1;;2;;;;;;3;;1;;5;3;3;2;1;;;;5;2;;4;2;1;1;1;1;;4;;;;3;3;2;7;1;1;;2;1;;;1;;;1;;;1;;1;1;6;1;;3;2;1;1;1;1;2;5;3;2;1;3;;2;;;1;1;;;8;;1;6;3;2;1;1;1;1;1;1;;2;2;1;;;2;1;4;2;2;;;1;;1;;;2;2;;;4;2;2;1;1;4;1;1;1;;1;;;;;
19260-6389;1;9;;4;1;3;41;1;7;33;31;;2;1;11;7;;11;1;3;2;;;1;;1;5;3;2;2;1;7;1;4;;;;;1;;1;2;;1;3;1;2;2;19;3;1;;;;4;3;3;2;1;15;7;1;;;2;1;3;1;1;;2;;;3;;;;3;;1;1;6;1;3;6;5;;11;2;1;1;8;6;;3;1;;;;;;8;2;;1;;;4;;2;2;1;;1;9;4;1;3;1;1;;;;1;5;2;;;;;3;1;1;1;2;;;;1;;;1;1;1;;;1;1;2;1;;;1;3;2;2;;;;;;;;
17874-5388;3;13;4;;;1;55;4;8;35;34;1;1;;4;10;1;29;3;3;;2;1;4;;3;;;;2;3;4;2;;1;;1;1;1;;;;;;5;;1;8;16;2;;;;;3;3;5;;;15;3;1;;1;1;3;12;4;1;;3;4;2;14;;;1;3;1;1;2;3;1;;8;3;;5;1;;;6;1;;1;;;;;;;5;2;;;1;;4;1;1;3;;1;5;8;;;2;1;;;;;2;8;1;;1;;;2;;;;;;;;;;1;4;;;5;2;5;;2;1;;;3;4;;1;;;2;1;;;;
13179-5714;;3;1;;;;4;;;2;2;;1;2;12;8;;4;;;;;;;;;;;;1;;1;;;1;;1;;1;;;;;;;;;;2;1;;;;;;2;;;;1;;;;;;;;;;;2;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;2;2;1;;;2;2;1;;;2;1;;;;;;;;1;;;;;;;;;;;
18027-4130;;6;;2;4;2;33;1;4;28;31;;1;1;3;3;;19;1;2;3;;;;;;2;2;;;;4;;2;;2;;2;2;1;2;1;1;1;;;;1;10;6;;;;;;;2;1;1;10;2;1;;1;3;;10;;2;;;2;;8;2;2;;;1;1;;1;;1;2;1;;2;1;2;;5;;;2;1;;;;;2;7;4;;;2;;5;;2;2;;;;12;;2;2;;;;;;2;;;;1;;;6;1;;;1;;;;1;;1;;1;;;;;1;2;2;;;1;3;;;;;;;;1;1;
10786-5469;1;3;3;;;;13;;;4;8;;3;2;17;6;1;20;1;1;2;1;1;2;;;;;;1;1;;;;;;;;;;;;;;1;;;1;3;2;1;;;;;1;;;1;;;;;;;;1;1;;;2;3;;6;1;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;1;1;;;;1;;;;3;;;2;;;;;;;1;1;1;3;;;1;;2;2;8;4;3;1;2;;1;;1;1;1;;1;;2;1;1;;;5;1;2;;;1;;1;;1;
22189-4604;;15;5;6;5;7;26;1;8;28;24;1;1;;2;7;1;34;;12;;;;4;;;1;;;2;;4;;1;1;3;4;3;7;3;;5;;;1;;3;3;2;;;;;;;2;;;;6;1;;;;2;1;3;;2;;;;;8;1;;;2;1;;1;5;;2;6;3;;;;1;1;10;;;2;2;1;;;;2;5;2;1;1;;;4;;2;6;;;;7;;1;4;2;2;1;;;2;2;2;2;;;;11;1;1;;1;;;;;;;;1;;3;2;3;1;3;1;;;1;1;;;;5;;8;;4;;
21251-5469;2;6;;;;;17;2;2;14;17;;;;;1;;14;1;1;;;1;2;;2;;;;;1;1;;;;;;;2;;;;;;2;;;1;7;3;2;;;;;1;1;;;5;1;;;;;2;2;;1;;;;;4;1;1;;;1;1;1;2;1;;1;1;1;3;2;1;1;5;1;;;;;;;;1;4;;;;;1;1;;;2;;;1;7;;1;4;;;;;;1;;;;1;;;4;1;;;;;;;;;;1;;;;;1;1;3;3;1;;;2;1;;;;;;;;;
17604-4130;8;38;3;8;;10;106;5;11;83;77;;6;6;18;21;;58;6;13;11;3;5;6;2;4;6;5;1;3;3;20;3;2;;3;2;;5;;;6;;2;9;2;2;3;39;24;8;6;4;3;1;5;11;2;3;28;15;8;3;3;1;;8;3;;1;2;4;;18;6;5;2;7;4;3;1;4;1;;8;2;4;7;1;3;2;18;3;;10;7;6;6;5;3;1;22;10;4;1;6;3;5;;2;4;1;1;1;37;3;3;13;8;5;4;4;3;2;8;3;;7;2;1;8;2;2;5;7;4;3;1;2;3;2;4;4;3;1;3;3;2;12;9;5;3;3;12;2;3;3;2;4;3;1;1;6;
13142-6388;2;24;1;7;;6;58;2;18;46;50;;3;1;8;12;;35;2;1;1;2;;5;3;3;11;6;6;3;2;8;4;2;;;;1;1;;;4;;;11;4;1;2;18;10;8;6;4;2;1;2;6;3;;13;3;1;;;2;;7;1;3;;1;1;;11;3;2;2;;1;;1;15;8;4;8;7;4;15;5;9;8;27;9;7;17;13;8;7;4;4;1;5;2;1;3;1;1;3;;;;;1;;24;;2;19;14;10;6;5;3;;8;6;5;5;3;;9;;1;1;4;4;3;2;;1;1;;4;1;1;4;;;11;5;5;4;1;10;2;5;1;;;1;;;1;
