aluno;1>;2>;3>;5>;6>;7>;8>;14>;16>;17>;29>;30>;31>;32>;33>;34>;36>;38>;39>;41>;46>;48>;49>;1>2>;1>46>;1>46>2>;2>1>;2>1>46>;2>1>46>2>;2>2>;2>2>31>;2>3>;2>14>;2>14>2>;2>14>41>;2>31>;2>31>30>;2>31>30>30>;2>38>;2>41>;2>41>41>;2>46>;2>46>1>;3>2>;3>14>;5>5>;6>6>;7>5>;7>5>5>;7>6>;14>2>;14>2>2>;14>2>14>;14>2>31>;14>2>41>;14>3>;14>3>2>;14>7>;14>7>5>;14>7>5>5>;14>14>;14>31>;14>31>14>;14>31>30>;14>31>30>30>;14>31>30>30>30>;14>32>;14>32>31>;14>38>;14>41>;14>41>2>;14>41>31>;14>41>41>;14>41>41>41>;14>49>;16>31>;16>31>30>;17>30>;17>30>14>;30>2>;30>14>;30>14>41>;30>17>;30>17>30>;30>30>;30>30>14>;30>30>30>;30>30>30>30>;30>30>30>30>30>;30>30>30>30>30>30>;30>30>31>;30>31>;30>31>30>;30>41>;30>48>;31>2>;31>14>;31>30>;31>30>14>;31>30>30>;31>30>30>30>;31>30>30>30>30>;31>30>30>30>30>30>;31>30>31>;31>30>31>30>;31>30>41>;31>30>48>;31>31>;31>31>30>;31>41>;31>48>;32>31>;32>31>30>;34>36>;36>34>;36>36>;36>36>36>;36>36>36>36>;36>36>36>36>36>;36>36>36>36>36>36>;36>38>;38>14>;38>33>;38>36>;38>41>;41>2>;41>14>;41>31>;41>31>30>;41>38>;41>41>;41>41>2>;41>41>31>;41>41>41>;41>41>41>41>;41>41>41>41>41>;46>1>;46>1>2>;46>2>;48>14>;48>29>;48>30>;48>48>;49>48>;49>49>;49>49>48>;
37448-5469;1;3;;1;4;3;;7;;;1;5;4;;1;;;1;;6;1;5;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;2;;1;1;;;;;;;;;;3;;2;1;1;;;;;;;;;;;;;;;;;;;;;1;;;;;1;1;;3;;;;;;1;;;;;;;;;;
24794-4130;3;11;2;3;5;5;;30;1;;;6;10;;2;2;11;4;;21;3;;1;;3;3;2;2;2;2;;1;7;3;1;;;;;;;1;1;;2;3;;3;3;1;9;1;4;;;1;;3;2;2;;4;2;2;;;;;2;18;;;5;1;1;1;1;;;;3;1;;;;;;;;;;2;1;;;;5;6;3;;;;;2;1;;;;;;;;;1;1;8;3;1;1;1;1;2;2;;;2;2;;;1;6;1;;1;;;1;;3;;;;;;1;;
31964-4605;;3;;;;1;;11;;;;;1;;;;;1;;5;;;;;;;;;;;;;1;;;;;;1;;;;;;;;;;;;2;;1;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1;;;1;;;;;;;;;;;;;
22611-4130;;;;;2;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
35642-5469;2;10;1;1;;2;;31;2;4;;17;20;1;2;1;1;3;1;23;2;5;1;2;;;1;;;1;;1;;;;3;2;;;4;;2;2;;1;1;;1;;;2;;;1;1;;;;;;1;9;;4;3;2;;;;5;;1;2;;1;2;;4;;1;2;;2;2;6;;3;1;1;;1;2;2;;3;;;13;2;5;2;1;1;;;;3;4;3;4;1;;;;;;;;;;;;1;1;;2;;2;1;;7;;;;;;2;2;;;;2;;;;;
19683-4605;1;13;1;1;;3;;31;;1;;5;4;;1;1;2;3;;6;1;2;1;;1;1;1;1;1;4;1;;1;1;;1;1;;2;1;;;;1;;1;;;;;5;1;1;;;1;1;2;;;4;;;;;;;;1;1;;;;;1;;;1;1;;2;1;;;3;1;2;;;;;;;;1;;;3;;2;2;;;;;;1;1;;1;;;;;;2;2;2;1;1;1;;1;;1;;;;;1;;;;;;;;;1;;;1;;1;1;1;
31095-7274;;6;;;;;;19;1;;;6;10;;;;;;;7;;;;;;;;;;3;1;;1;;;3;1;;;1;1;;;;;;;;;;3;2;;1;;;;;;;2;;;;;;;;;2;;;1;;;1;;;;;2;;;;2;1;1;1;1;;;;;;;1;1;4;;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;2;1;;3;;;2;2;;;;;;;;;;;;
36453-5468;1;15;12;4;;4;5;21;;;4;7;8;6;;;;3;4;4;1;21;;;1;1;1;1;1;4;;2;;;;;;;;;;;;10;2;1;;4;1;;2;;;;;10;7;1;;;5;;;;;;3;3;;1;;;;;;;;;;;;;;;4;;2;;;;1;1;1;;;;;6;;3;2;;;;;;;4;3;;;6;2;;;;;;;;;;;;;1;;;;;1;;;1;;;;;1;15;4;;9;;;;
31543-5468;;1;1;;;1;;8;;3;;6;6;;;;;;;11;;1;;;;;;;;;;;;;;1;1;1;;1;1;;;;;;;;;;1;;;;1;1;;;;;;1;;;;;;;;;;;;;;;;3;;;;;;;4;;1;;;;1;2;1;;1;;1;2;;1;1;;;;;;;;;1;;;;;;;;;;;;;;;;;;3;;;2;;1;;;;;;;;;1;;;;;
32853-5468;1;5;12;;;1;;27;1;1;;6;5;2;;;;1;;5;1;3;;;;;;;;;;;1;;;;;;;1;;;;2;1;;;;;;2;;;;1;11;2;1;;;1;3;;1;1;1;1;1;1;3;1;;;;;1;;1;;;1;;;;4;;3;2;1;;;;;;;;1;2;1;1;1;1;;;;;;;;;2;2;1;;;;;;;;;1;;;;2;;;;;1;;;;;;1;;;;;3;;;;;
