aluno;1>;2>;3>;5>;6>;7>;8>;14>;16>;17>;29>;30>;31>;32>;41>;42>;46>;48>;49>;2>2>;2>2>31>;2>2>31>30>;2>3>;2>14>;2>14>2>;2>14>31>;2>14>41>;2>31>;2>31>30>;2>31>30>30>;2>41>;2>41>41>;3>2>;3>2>2>;3>14>;5>5>;6>6>;6>6>6>;7>5>;7>5>5>;7>6>;7>14>;7>31>;14>2>;14>2>2>;14>2>14>;14>2>31>;14>2>31>30>;14>2>41>;14>3>;14>3>2>;14>7>;14>7>5>;14>7>5>5>;14>14>;14>31>;14>31>14>;14>31>30>;14>31>30>14>;14>31>30>30>;14>31>30>30>30>;14>31>30>30>30>30>;14>31>41>;14>32>;14>32>31>;14>32>31>30>;14>41>;14>41>2>;14>41>31>;14>41>41>;14>41>41>41>;14>49>;16>31>;16>31>30>;17>30>;17>30>14>;30>2>;30>14>;30>14>2>;30>14>31>;30>14>41>;30>17>;30>17>30>;30>30>;30>30>14>;30>30>30>;30>30>30>30>;30>30>30>30>30>;30>30>30>30>30>30>;30>30>31>;30>31>;30>31>30>;30>32>;30>41>;30>48>;31>2>;31>14>;31>14>41>;31>30>;31>30>14>;31>30>30>;31>30>30>30>;31>30>30>30>30>;31>30>30>30>30>30>;31>30>31>;31>30>31>30>;31>30>41>;31>30>48>;31>31>;31>31>30>;31>41>;31>48>;31>48>30>;32>31>;32>31>30>;32>31>30>30>;32>31>31>;41>2>;41>7>;41>14>;41>31>;41>31>30>;41>41>;41>41>2>;41>41>31>;41>41>41>;41>41>41>41>;41>41>41>41>41>;48>14>;48>29>;48>30>;48>48>;49>48>;49>49>;49>49>49>;
28149-6388;;3;;;10;1;;17;1;3;;4;8;;14;;;1;;1;;;;2;1;;1;;;;1;1;;;;;9;6;;;1;;;2;1;;;;;;;;;;;5;;3;;;;;;;;;9;1;1;2;;;1;;2;1;;1;1;;;1;1;;;;;;;;1;1;;;;;1;;3;;;;;;1;1;;;1;;1;;;;;;;1;;1;1;;4;;;1;;;1;;;;;;;
31385-4130;;5;;;1;3;;21;1;;1;8;10;;8;;;5;;1;;;;;;;;1;;;2;1;;;;;;;;;1;;;1;1;;;;;;;1;;;2;;;;;;;;;;;;;;;;;;1;;;;1;;;;;;;6;;3;;;;;;;;1;1;;1;;5;;4;1;;;;;;;;;2;;;;;;;1;1;;2;1;1;;1;1;;;1;1;1;3;;;;
32725-4605;;11;;;;1;;27;1;1;;11;19;;21;;;10;4;2;1;1;;3;;1;1;4;3;;;;;;;;;;;;;1;;5;;3;1;1;;;;;;;;8;2;2;1;;;;2;;;;8;;;2;;1;1;;1;;1;2;;;1;;;1;;;;;;;1;1;;;6;;4;1;9;1;1;;;;;;;6;;;5;1;1;;;;;;;1;2;2;6;;2;2;1;;5;;1;;3;2;2;
36196-5388;;1;2;;;;;12;1;;;4;4;1;4;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;1;;;;;2;;;;;;;;;1;;;2;;;;;;1;1;;;;1;;;;;;1;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;
15396-4130;;;;;;2;;10;1;;;4;6;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;4;;1;;;;;;;;;2;;;;;;1;1;;;;1;;;;;;1;;1;1;;;;;;;;;;;;3;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
36390-5468;1;10;;;1;1;;13;;;1;;4;;23;;1;4;;1;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;5;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;3;;;;;;;;;1;;6;;;3;3;2;;1;;1;;;;
19850-6398;;3;1;;;2;;11;1;;;5;5;;2;1;;;;;;;;1;;;;1;;;1;1;1;;;;;;;;;;;1;;1;;;;1;1;1;;;1;1;;1;;;;;;;;;;;;;;;1;1;;;;;;;;;;3;;2;1;;;;;;;;;;;;3;;2;1;1;;;;;;;;1;;;;;;;1;;;;;1;;;1;1;1;;;;;;;;
32588-4130;;8;1;2;;2;;19;1;;;5;5;;11;;;;1;1;;;;1;;;;;;;1;;1;;;2;;;2;2;;;;3;;;;;;1;1;2;2;2;;1;;;;;;;;;;;4;1;;1;;;;;;;;;;;;;;3;;;;;;;;;;;;;;;2;;1;;;;;;;;;;;;;;;;;1;;;;;2;;;;;;;;;;;;;
31927-4604;;1;;;3;1;;6;;;;1;1;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;2;;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;1;1;1;;;1;;;;;;;;;;
31791-6389;;4;;;;;;10;1;1;;5;5;;8;;;1;;;;;;2;;2;;1;1;1;;;;;;;;;;;;;;4;;2;;;;;;;;;;5;1;1;;1;1;1;;;;;4;1;;1;;;1;1;1;;;2;2;;;;;2;2;1;1;;;;;;;;;;1;1;3;1;2;1;1;;;;;;;;;1;1;;;;;1;;;1;1;4;;1;1;;;;;1;;;;;
