aluno;1>;2>;3>;5>;6>;7>;8>;14>;16>;17>;29>;30>;31>;32>;41>;42>;46>;48>;49>;2>2>;2>2>31>;2>2>31>30>;2>3>;2>14>;2>14>2>;2>14>31>;2>14>41>;2>31>;2>31>30>;2>31>30>30>;2>41>;2>41>41>;3>2>;3>2>2>;3>14>;5>5>;6>6>;6>6>6>;7>5>;7>5>5>;7>6>;7>14>;7>31>;14>2>;14>2>2>;14>2>14>;14>2>31>;14>2>31>30>;14>2>41>;14>3>;14>3>2>;14>7>;14>7>5>;14>7>5>5>;14>14>;14>31>;14>31>14>;14>31>30>;14>31>30>14>;14>31>30>30>;14>31>30>30>30>;14>31>30>30>30>30>;14>31>41>;14>32>;14>32>31>;14>32>31>30>;14>41>;14>41>2>;14>41>31>;14>41>41>;14>41>41>41>;14>49>;16>31>;16>31>30>;17>30>;17>30>14>;30>2>;30>14>;30>14>2>;30>14>31>;30>14>41>;30>17>;30>17>30>;30>30>;30>30>14>;30>30>30>;30>30>30>30>;30>30>30>30>30>;30>30>30>30>30>30>;30>30>31>;30>31>;30>31>30>;30>32>;30>41>;30>48>;31>2>;31>14>;31>14>41>;31>30>;31>30>14>;31>30>30>;31>30>30>30>;31>30>30>30>30>;31>30>30>30>30>30>;31>30>31>;31>30>31>30>;31>30>41>;31>30>48>;31>31>;31>31>30>;31>41>;31>48>;31>48>30>;32>31>;32>31>30>;32>31>30>30>;32>31>31>;41>2>;41>7>;41>14>;41>31>;41>31>30>;41>41>;41>41>2>;41>41>31>;41>41>41>;41>41>41>41>;41>41>41>41>41>;48>14>;48>29>;48>30>;48>48>;49>48>;49>49>;49>49>49>;
35935-5388;;6;1;;;;;9;;;;1;2;;6;;;3;1;3;;;;1;;;;;;;;;1;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;1;1;;;;;;;;;;1;;;1;;;;;;2;;;;;;;
31430-4130;;6;3;;12;1;3;16;1;;;4;6;1;8;1;;2;1;1;;;;2;;;;;;;;;1;;2;;3;;;;1;;;2;;1;;;;2;;;;;;1;;;;;;;;1;;;2;;;;;1;1;;;;;3;;1;1;;;3;3;1;;;;;1;1;;;;;;;4;;3;1;;;1;1;;;1;;1;;;1;1;;;;;;1;1;2;;1;;;;;;;1;1;;;
18926-4605;1;4;;;;;;12;1;;;1;4;;8;;1;4;1;1;;;;1;1;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;2;1;;;;;;;;;;2;;;1;;;1;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;2;1;;;;;1;;;;;3;;;2;1;1;;;1;;;;;
31761-5469;;16;1;;1;3;;33;1;;;11;14;;36;2;;2;;5;;;1;2;;;2;;;;2;;1;1;;;;;;;;2;;4;1;1;;;1;;;1;;;1;8;1;5;;1;;;;;;;14;1;;5;1;;1;;;;;1;;;;;;3;;;;;;;;;;4;1;;1;;7;;2;;;;;;4;;;;1;;;;;;;3;1;2;;;7;1;;1;;;;;1;2;;;;
36230-5468;;1;;2;;2;;9;;;;1;3;;5;;;1;;;;;;1;1;;;;;;;;;;;1;;;2;1;;;;1;;;;;;;;1;1;1;;1;;;;;;;;;;;2;;1;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;1;;;;;;;;1;;;;;;;;;;;;;;1;1;1;;;;;;;;;1;;;;
27658-4604;1;5;;;;;;6;1;;;1;4;;2;;2;;;1;;;;1;;;1;;;;1;;;;;;;;;;;;;1;;;;;;;;;;;;1;;;;;;;;;;;1;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;1;;1;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;
31838-4605;;5;1;1;;2;;10;1;;;2;6;;4;;;;;3;1;1;;2;;;;1;1;1;1;;1;1;;;;;1;;;1;;2;1;;;;1;1;1;1;;;1;1;;1;;1;1;;;;;;;;;;;;1;;;;;;;;;;;2;;1;;;;;;;;;;;;;2;;2;1;;;;;;;;;2;;;;;;;1;;;;;;;;;;;;;;;;;;
36227-5469;;3;;2;;3;;9;1;;1;3;3;;6;1;;2;;;;;;1;;1;;;;;1;1;;;;2;;;2;2;;;;1;;;;;;;;2;1;1;2;2;;1;;1;1;;;;;;2;;;1;;;1;;;;;;;;;;;1;;1;;;;;;;;;;;;;1;;1;1;;;;;;;;;;1;;;;;;1;;;;;4;;;2;1;1;;1;;1;;;;
37601-5469;;;;;;;;1;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
31794-4605;2;6;1;;10;2;;12;1;1;;3;5;;15;;2;;;3;;;1;2;1;;;;;;1;;1;1;;;;;;;1;;;3;1;;;;;;;;;;;2;;;;;;;;;;;2;1;;;;;1;1;1;;;;;;;;;2;;;;;;;;;;;;;;;1;;1;;;;;;;;1;;2;;;;;;;1;1;;1;;3;;;2;;;;;;;;;;
33006-4130;;8;;;26;4;;27;1;3;;20;20;1;15;;;2;2;1;1;1;;3;1;;2;2;2;1;2;2;;;;;5;2;;;2;;;5;1;1;1;1;;;;2;;;2;12;;9;3;2;;;;1;1;;8;;;5;3;1;1;1;3;3;1;8;1;1;1;;;6;1;3;2;;;1;3;2;;1;;1;2;1;14;4;5;2;1;;2;1;;;1;;2;;;1;;;;2;1;2;4;2;11;2;3;6;3;1;;;;;2;;;
21708-5468;;6;;;;1;;43;;3;;21;28;;6;;;1;1;1;;;;;;;;2;;;;;;;;;;;;;;;;5;;;2;;;;;;;;;21;;11;1;5;3;3;;;;;2;;;;;;;;3;1;;4;1;1;;1;1;11;1;5;3;1;;2;5;3;;;;1;1;1;17;1;8;4;3;1;3;2;;;2;;;;;;;;;;;;2;2;1;;1;;;;;;;;1;1;;
21340-5468;;7;5;;1;2;3;18;3;;;11;11;2;17;;;2;2;1;;;;3;;;1;;;;2;;1;;1;;;;;;1;;;4;1;;;;1;;;1;;;2;2;;1;;1;;;;;;;4;;1;;;1;3;;;;;2;1;;;;;5;1;2;1;;;1;1;1;;2;1;;1;;7;1;5;2;1;;;;1;1;1;1;2;;;2;2;2;;1;;1;2;1;2;;;;;;;;;;;1;1;
36150-5388;;14;;;;2;;32;2;1;;19;23;3;19;;;2;;3;2;2;;1;;;1;5;4;1;2;;;;;;;;;;;;1;6;3;;;;2;;;1;;;1;6;;3;;1;1;1;;1;1;1;7;;;1;1;;2;1;1;;1;1;1;;;;;4;;1;1;1;1;;;;1;3;2;1;1;;15;;3;1;1;1;;;1;;;;1;1;1;2;1;;;3;;1;1;1;3;1;;2;1;1;;;1;1;;;;
36318-6398;;1;;;;1;;9;;;;;3;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;1;;;;;;;1;;;;3;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;2;;;1;1;1;;;;;;;;
30760-5388;;5;;1;;1;;22;;6;;13;7;;6;;;3;;1;;;;;;;;1;1;;1;1;;;;1;;;;;;;;4;1;;;;1;;;1;;;;4;;4;;1;;;;;;;4;1;;1;;;;;5;2;;2;1;;;1;;2;;;;;;;;;;1;2;;;;6;;1;;;;;;1;1;;;;;;;;;;2;;;;;2;1;;;;;1;;;1;;;;
21367-4605;;4;2;3;;2;;12;1;;2;6;7;;4;1;;3;1;;;;1;1;;;1;;;;;;2;;;2;;;2;2;;;;3;;1;;;;1;1;1;1;1;;3;2;1;;;;;;;;;2;;;1;1;;1;1;;;;1;;;;;;3;;2;;;;1;1;1;;;;;2;1;4;;2;2;;;1;1;;;;;1;;;;;;;;;;;;1;;;1;1;1;;2;;2;1;1;;
32853-4605;1;10;8;;15;3;;21;1;;3;2;7;1;4;;1;6;1;2;;;1;2;;1;;1;1;;;;4;2;1;;3;;;;;;;3;;1;1;1;;6;2;3;;;;3;;;;;;;1;1;;;1;;;;;;1;;;;1;;;;;;;1;;;;;;;;;;;;;1;;2;;1;;;;;;;;;;1;2;;;;;;;;;1;1;;;;;;;;3;;;1;1;1;
35973-5388;;10;;2;1;3;1;52;;;1;13;17;;14;;;4;;3;;;;2;1;;;4;4;1;2;;;;;2;;;2;2;1;;;4;1;1;1;1;;;;2;1;1;2;8;;5;;;;;;;;;7;1;1;2;2;;;;;;1;2;2;;;;;2;1;1;;;;;;;;;3;;;;12;;2;1;;;;;;2;;;;;;;;;;3;1;;4;1;3;1;;3;3;2;;1;2;1;;;;
36318-5469;;2;;;2;2;1;23;1;;;1;7;;7;;;;1;;;;;1;;;;;;;;;;;;;1;;;;1;1;;1;;;;;;;;;;;;3;;1;;;;;1;;;;1;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;1;;;;;;;;;;1;;;;;;;;;;;;;;;
31479-4605;;2;;;;1;;3;;;;;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;1;;;;;;;;;;;1;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;1;1;;1;;;;;;;;;;
10088-5714;;3;1;2;;2;;14;;;;4;10;;13;;;2;;1;1;1;;;;;;2;1;;2;1;;;1;2;;;2;2;;;;1;;;;;1;;;;;;1;1;;;;;;;;;;;7;2;1;2;1;;;;;;;2;;;2;;;;;;;;;;;;;;;1;1;1;1;;;;;;;;;;1;;1;2;2;;;;;2;2;;4;;4;;1;3;3;;;;2;;;;;
31505-5468;;3;;;;2;;4;;;;;2;;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;1;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;1;;1;;;3;;;2;2;1;;;;;;;;
35743-5388;;10;4;;1;1;1;34;1;4;;18;19;6;6;;1;;;;;;1;2;;1;;;;;;;1;;3;;;;;;;1;;6;;1;;;;2;1;;;;;11;3;7;2;;;;;4;4;3;5;1;;;;;1;1;4;1;;4;1;1;;;;;;;;;;;1;1;1;;;;4;1;14;3;;;;;1;1;;;1;1;;;;6;4;;1;1;;;;;;;;;;;;;;;;;;
11848-6398;;4;;1;;1;;17;1;1;;9;9;;12;;;1;;;;;;1;;;;1;1;1;;;;;;1;;;1;1;;;;3;;1;1;1;;;;;;;;2;;2;;1;;;;;;;4;;;;;;1;1;1;;;;;;;;;4;;;;;;;1;;;2;1;;1;;6;;4;;;;;;1;;;;;;;;;;;1;1;;1;1;1;;;;;;;;1;;;;;
35554-5388;;4;;;8;3;;35;3;8;;26;19;2;6;;;4;;2;2;2;;;;;;3;3;1;;;;;;;3;2;;;;;2;4;2;;1;1;;;;2;;;2;8;;4;;2;1;1;;;;;5;;;2;1;;3;;8;;1;1;;;;2;2;7;1;4;2;1;;1;2;;1;;;;1;;12;;4;2;2;1;;;;;3;2;;1;1;1;;;;;1;;;;3;;;1;1;1;;;2;2;;;;
36320-5388;;7;;;6;2;;20;1;;;3;7;;16;;;;;1;;;;;;;;1;1;1;;;;;;;;;;;1;;;3;;;1;1;;;;2;;;;3;;2;;;;;;;;;3;1;;;;;1;;;;;;;;;;;1;;;;;;;;;;1;;;1;;3;;1;;;;;;1;;;;;;;;;;;2;;;;;8;;;4;2;2;;;;;;;;
29300-4605;;2;;;;;;3;;;;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;1;1;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;1;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
31095-4605;;6;;;1;2;;22;1;;;22;15;1;13;;;2;;1;;;;1;;;;1;;;1;1;;;;;;;;;;1;;2;;;1;;;;;1;;;1;8;;4;1;1;1;;1;;;;3;;;1;;;1;1;;;;4;2;;1;;;7;2;4;2;2;2;1;3;2;;;1;1;1;1;9;2;3;1;;;2;1;;1;;;1;;;;;;;;;;1;1;5;;1;;;;;;1;;;;;
36015-5469;;4;;1;1;3;;14;;;1;1;2;1;6;;;1;;;;;;2;;;;;;;;;;;;;;;1;;1;1;;2;;1;;;;;;3;1;;1;2;1;1;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;2;;1;;;;;;;;;;;;;1;;1;;;;;1;;;;2;;;;;;;1;;;;;;
31273-4605;1;19;;2;5;5;;35;1;2;1;19;24;;24;;1;1;1;2;;;;1;1;;;2;;;1;;;;;2;1;;2;2;1;1;1;7;1;;;;1;;;1;;;2;7;;3;;1;;;;;;;7;1;;3;1;;1;1;2;;;1;;1;;;;6;1;2;2;2;1;1;3;1;;;;2;1;;12;;2;;;;1;;;;;;1;;;;;;;3;;;;;8;;;2;1;;;1;;;;1;;
31618-5468;;3;2;2;;5;2;21;;3;;14;15;8;7;2;;1;;1;1;1;1;1;;;1;1;1;;1;1;1;;;1;;;1;1;;;1;2;1;;;;;1;;3;1;1;;3;1;3;;2;;;;3;3;2;4;;2;;;;;;3;1;;2;;1;;1;1;6;;4;3;1;;1;3;1;1;;1;1;2;1;11;1;5;2;2;;1;;;1;;;2;;;7;5;1;;1;;;2;2;2;1;;;;;1;;;;;;;
30771-5469;;14;2;5;4;6;3;45;2;4;;18;16;1;16;;;1;3;;;;1;1;;;;;;;1;;1;;1;1;;;1;1;2;;;8;;;;;1;;;1;;;2;7;1;4;;;;;;;;;12;1;1;3;2;2;2;;4;;;4;2;1;1;;;3;;2;1;;;1;2;1;1;;;;4;1;9;1;3;2;1;;;;;;1;;;;;1;1;;;2;;;1;;3;1;;2;;;;;;;1;2;1;
31756-4605;;1;;;;;;2;;;;;1;;1;;;;;;;;;;;;;1;;;1;;;;;;;;;;;;;1;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13016-5468;;5;1;3;;3;;22;1;5;;23;16;1;8;;;4;;1;;;;2;1;;;;;;1;1;;;;3;;;2;2;;;;3;1;2;;;1;;;2;1;1;2;8;2;5;;4;4;4;;1;;;4;;;2;1;;1;1;5;;;1;1;;;2;2;12;;8;6;4;3;3;4;3;;;;;2;1;11;;7;6;5;3;1;1;;;1;;1;;;;;;;;1;;;;3;;;1;;;1;;;;;;;
31473-4605;;8;;;4;1;;18;1;;;2;9;;5;;;;;;;;;2;1;;1;2;;;1;1;;;;;4;2;;;;;;5;;;1;;1;;;;;;;3;;1;;1;1;1;;;;;2;;;1;1;;1;;;;;1;;;1;;;2;1;1;1;;;1;1;;;;;2;1;;1;;1;1;1;;;;;;;;;;;;;;;2;;;1;;2;1;;1;;;;;;;;;;
35934-5469;;8;;1;5;3;;35;1;3;;18;20;;10;;;1;;2;2;2;;;;;;3;3;1;;;;;;1;1;1;1;1;1;;;4;1;;;;;;;2;1;1;1;12;;10;;3;1;1;;;;;4;;;2;;;1;1;3;2;;5;1;1;;;;6;1;3;2;1;;;1;1;;1;1;;;;16;2;6;3;2;1;1;1;1;;;;;;;;;;;3;;;1;1;5;2;1;1;;;;;1;;;;;
22256-4605;;;;2;7;2;;5;;;;1;3;;2;;;;;;;;;;;;;;;;;;;;;2;4;2;1;1;1;;;;;;;;;;;1;1;1;;2;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18208-6389;;10;;;;;;17;2;6;;9;10;1;2;;;1;;2;;;;2;;1;;3;2;1;;;;;;;;;;;;;;7;1;;1;1;;;;;;;1;6;;3;;3;2;1;1;1;;;1;;;;;;2;;6;3;;3;;;;4;4;5;;3;2;1;1;;1;1;;;;;1;;6;;5;3;1;;;;;;2;1;1;1;1;1;;;1;;;;;;;;;;;;;;1;;;;;
36028-5468;;4;;;;;;6;1;1;;4;5;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;2;;;1;1;;;;;;;;2;;2;;1;1;1;;;;;;;;;;;1;;1;1;;1;;1;;1;1;1;;1;1;;;;;;;;;1;;;3;;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
36030-6398;;4;;;2;3;;16;;;;1;2;;14;;;8;;1;;;;;;;;;;;3;1;;;;;;;;;1;;;1;;;;;1;;;;;;;;;;;;;;;;;;10;;;6;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;3;;1;;;6;1;;3;3;1;;;;7;;;;
