aluno;1>;2>;3>;5>;6>;7>;14>;16>;17>;29>;30>;31>;32>;33>;34>;36>;38>;39>;41>;46>;48>;49>;1>2>;1>46>;1>46>2>;2>1>;2>1>46>;2>2>;2>14>;2>14>41>;2>31>;2>31>30>;2>41>;2>46>;2>46>1>;2>46>1>2>;3>2>;5>5>;6>6>;6>6>6>;7>5>;7>5>5>;7>6>;14>2>;14>2>2>;14>2>14>;14>2>31>;14>2>41>;14>3>;14>3>2>;14>7>;14>14>;14>31>;14>31>30>;14>31>30>14>;14>31>30>30>;14>31>30>30>30>;14>31>30>30>30>30>;14>31>31>;14>32>;14>38>;14>38>36>;14>41>;14>41>2>;14>41>31>;14>41>41>;14>41>41>41>;14>49>;14>49>49>;16>31>;16>31>30>;17>30>;17>30>14>;17>30>30>;30>2>;30>14>;30>14>31>;30>14>41>;30>17>;30>17>30>;30>30>;30>30>14>;30>30>30>;30>30>30>14>;30>30>30>30>;30>30>30>30>30>;30>30>30>30>30>30>;30>30>30>30>30>30>30>;30>30>31>;30>30>41>;30>31>;30>31>30>;30>41>;30>48>;31>2>;31>14>;31>30>;31>30>14>;31>30>30>;31>30>30>30>;31>30>30>30>30>;31>30>30>30>30>30>;31>30>30>30>30>30>30>;31>30>30>30>30>30>30>30>;31>30>31>;31>30>31>30>;31>31>;31>31>30>;31>41>;31>48>;32>31>;32>31>30>;36>34>;36>36>;36>36>36>;36>36>36>36>;36>36>36>36>36>;36>36>36>36>36>36>;36>38>;38>14>;38>33>;38>36>;38>41>;41>2>;41>14>;41>31>;41>31>30>;41>38>;41>41>;41>41>31>;41>41>41>;41>41>41>41>;46>1>;46>1>2>;46>2>;48>14>;48>29>;48>30>;48>48>;49>48>;49>49>;49>49>48>;
32005-4604;2;10;;1;;1;20;1;;;8;12;;2;2;4;10;;31;2;6;;1;1;1;;;2;1;;;;2;2;2;1;;1;;;1;1;;2;;;;;;;;;3;1;;;;;;;3;;5;;1;1;;;;1;;;;;;;;;;;2;;2;;2;;;;;;2;2;2;1;;;6;;2;2;2;;;;1;1;1;;1;4;;;1;4;3;1;1;1;2;1;2;;4;3;;5;3;2;10;;6;2;2;1;1;1;;2;2;;;;
35994-5468;3;17;;3;;3;51;3;1;;25;25;;2;1;1;8;;37;3;1;;3;;;2;;2;1;;3;1;6;3;3;3;;3;;;3;3;;9;;;1;3;;;;11;10;5;;1;1;;;;2;;7;;1;2;;;;3;1;1;;;2;;;;;;11;;5;;3;2;2;1;;1;;;2;;2;1;15;;7;5;3;2;2;1;;;1;1;1;1;;;1;1;1;1;1;1;1;;2;;;4;;1;1;3;11;;1;1;3;3;1;;;;;;;;
33035-4605;2;42;1;5;37;22;131;4;7;2;71;86;4;3;2;31;33;;70;3;14;1;1;1;1;1;;10;7;1;4;1;10;1;1;;1;5;17;8;5;5;2;14;3;1;;3;1;1;12;14;44;30;1;12;4;3;5;;16;6;26;5;3;7;2;1;;3;3;7;;;3;11;3;2;1;1;29;5;12;3;8;3;2;2;1;2;10;7;4;3;2;8;60;6;27;10;7;3;2;2;3;2;10;8;9;2;3;;;7;3;1;1;1;4;;2;13;1;11;4;11;6;4;18;2;4;3;1;;2;3;1;4;3;1;;;
35833-5469;2;14;;;;1;28;;;;5;6;;1;1;5;2;;24;2;1;;1;2;2;1;1;2;1;1;2;1;4;1;1;1;;;;;;;;6;1;;2;1;;;1;1;;;;;;;;;;;8;;2;3;;;;;;;;;;1;;;;;3;1;1;;;;;;;;1;1;;1;;1;5;;3;1;;;;;1;1;;;;;;;1;4;3;1;1;1;;;;;;2;;4;4;;6;1;;;1;1;2;;;1;;;;;
36389-5469;2;25;3;1;2;3;52;1;1;;8;14;;2;1;4;3;;40;2;;;1;1;;1;;3;3;;3;2;6;1;1;1;2;1;;;1;1;1;5;;;;2;;;2;2;3;2;;1;;;;;;;15;4;;4;2;;;1;1;1;;1;1;;;;;;2;;1;;1;1;;;;2;;;3;;;2;7;;1;;;;;;;;;;3;;;;1;3;2;1;1;;1;;2;;;7;1;4;2;;18;2;7;4;1;1;;;;;;;;;
22212-4604;2;25;23;;;;45;1;;;7;26;;4;2;17;15;7;27;2;4;;1;2;2;2;2;8;1;;6;2;4;1;1;1;10;;;;;;;1;1;;;;20;8;;6;12;1;;;;;2;;2;;5;;;4;1;;;1;1;;;;1;;;;;;4;;2;;1;;;;1;2;1;1;2;1;4;1;7;;3;1;1;;;;;;2;1;5;3;;;1;9;7;5;4;2;2;1;4;;3;5;2;4;1;1;16;1;8;6;1;1;2;;;1;3;;;;
30708-5468;4;21;8;;;1;44;;1;1;5;5;;2;1;10;4;;38;4;3;1;2;3;3;4;3;1;3;1;;;2;2;2;2;6;;;;;;;7;;1;;;7;6;;4;;;;;;;;;;;12;1;;4;1;1;1;;;1;;1;;1;;;;;2;;1;;1;1;1;1;1;;2;2;;;;;3;;1;1;1;1;1;1;;;;;;;;;1;5;3;2;2;2;1;;2;1;;1;1;;;;8;;1;1;2;2;3;;;;;1;1;1;
36050-5469;1;13;;3;9;8;67;2;1;;28;41;1;1;1;6;5;;52;2;10;1;1;;;1;;1;1;;3;2;;1;;;;2;1;;3;2;2;2;;;;;;;3;2;19;11;1;8;2;1;1;;2;;10;;;1;;1;1;1;1;1;1;;1;5;1;;;;17;3;6;1;5;4;3;1;1;;1;;1;4;1;3;21;1;14;5;4;3;2;1;;;2;1;4;3;;;;1;1;;;;1;1;1;;;1;;1;;;11;;2;;;;1;;;3;2;;1;;
36316-5468;2;13;;;;1;50;2;9;1;24;21;2;1;1;4;5;1;29;2;7;3;1;1;1;1;1;1;4;1;1;;2;1;1;1;;;;;;;;8;;1;;2;;;;1;9;6;;1;1;;;;;;13;3;1;2;;2;2;2;2;9;3;;;6;2;1;3;3;4;1;3;1;1;;;;1;;5;4;;2;;2;16;1;4;3;1;;;;2;1;;;;2;;;;1;;;;;;;1;1;;4;1;3;3;1;4;;1;;1;1;1;2;1;2;;2;3;2;
36634-7098;;20;;4;6;10;111;2;8;1;93;90;;2;1;17;15;;60;;11;4;;;;;;6;2;;4;3;2;;;;;4;3;1;4;4;2;6;3;;;;;;4;5;57;43;2;21;10;6;4;;6;1;16;1;;2;;1;;1;1;8;2;1;3;13;5;1;1;1;42;7;20;3;10;8;7;3;2;6;5;3;11;1;2;3;69;3;33;16;8;6;5;2;3;3;6;4;7;3;;;;5;2;2;2;2;;1;2;4;4;2;4;7;3;2;12;2;2;;;;;;1;2;1;3;2;2;
