aluno;1>;2>;3>;5>;6>;7>;14>;16>;17>;29>;30>;31>;32>;33>;34>;36>;38>;39>;41>;46>;48>;49>;1>2>;1>46>;1>46>2>;2>1>;2>1>46>;2>2>;2>14>;2>31>;2>31>30>;2>31>30>30>;2>41>;2>46>;2>46>1>;3>2>;5>5>;6>6>;7>5>;7>5>5>;7>6>;14>2>;14>2>2>;14>2>14>;14>2>31>;14>2>41>;14>3>;14>3>2>;14>7>;14>14>;14>31>;14>31>30>;14>31>30>14>;14>31>30>30>;14>31>30>30>30>;14>31>30>30>30>30>;14>31>31>;14>38>;14>38>36>;14>41>;14>41>2>;14>41>31>;14>41>41>;14>41>41>41>;14>49>;16>31>;16>31>30>;17>30>;17>30>14>;17>30>30>;30>2>;30>14>;30>14>2>;30>14>31>;30>14>31>30>;30>14>41>;30>17>;30>17>30>;30>30>;30>30>14>;30>30>30>;30>30>30>14>;30>30>30>30>;30>30>30>30>30>;30>30>30>30>30>30>;30>30>30>30>30>30>30>;30>30>31>;30>30>41>;30>30>48>;30>31>;30>31>30>;30>41>;30>48>;31>2>;31>14>;31>30>;31>30>14>;31>30>17>;31>30>17>30>;31>30>30>;31>30>30>30>;31>30>30>30>30>;31>30>30>30>30>30>;31>30>30>30>30>30>30>;31>30>30>30>30>30>30>30>;31>30>31>;31>30>31>30>;31>30>48>;31>31>;31>31>30>;31>41>;31>48>;32>31>;34>38>;36>14>;36>34>;36>36>;36>36>34>;36>36>36>;36>36>36>36>;36>36>36>36>36>;36>36>36>36>36>36>;36>36>36>36>36>36>36>;36>38>;38>14>;38>33>;38>36>;38>41>;41>2>;41>14>;41>31>;41>31>30>;41>38>;41>41>;41>41>31>;41>41>41>;41>41>41>41>;41>41>41>41>41>;46>1>;46>1>2>;46>2>;48>14>;48>30>;48>48>;49>48>;49>49>;
31300-5469;4;14;;;;1;18;1;;;3;11;;1;1;4;6;;17;4;;;3;2;1;1;1;4;3;1;;;4;2;2;;;;;;;3;2;;;;;;1;;3;1;;;;;;1;;4;1;;3;2;;1;;;;;;;;;;;;;2;;1;;;;;;1;;;1;;1;;2;1;2;;;;1;;;;;;;;;;;1;;;1;;1;2;1;2;1;1;1;1;;1;1;;3;8;;1;;3;6;1;4;2;1;3;2;1;;;;;;
23180-5388;;6;5;2;;2;18;1;1;;9;7;;1;;3;1;1;5;;10;;;;;;;;4;;;;;;;4;1;;1;1;;1;;1;;;1;1;1;;4;3;1;1;;;;;;3;;;;;;1;;1;1;;;3;;1;1;1;;;2;;1;;1;;;;;;1;;;;3;;1;4;1;;;1;;;;;;;;2;;;;2;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;3;2;2;;;
36482-7118;2;7;1;;;;30;2;4;;24;16;1;;;;;;8;2;13;;1;1;;1;1;1;;;;;;1;1;;;;;;;3;;;;;1;;;2;9;5;;;;;1;;;4;1;;;;;2;1;4;;;1;;;;;;;;2;;1;;1;;;;;;1;1;;2;8;;1;10;;;;;;;;;;1;;2;2;1;1;3;;;;;;;;;;;;;;;;;1;;1;;;2;1;;;;1;1;;;3;2;;;
29492-7118;2;17;;;8;4;58;1;1;;12;15;;1;1;17;8;;40;2;1;;2;1;1;1;1;2;3;;;;2;1;1;;;1;;;2;5;;;;;;;2;1;6;5;1;2;1;;;1;;15;;;6;2;;1;1;1;;;;3;;2;2;;;;2;1;1;;;;;;;;;2;2;1;;1;1;10;3;;;2;1;;;;;2;2;;;;1;;;;;1;3;1;2;1;1;1;1;1;1;;2;;2;;1;1;;13;;7;2;2;1;1;1;;;;;;
19260-6389;;15;2;3;;5;61;1;4;;21;22;;2;1;8;13;;14;;1;;;;;;;2;5;4;4;1;3;;;2;3;;3;3;;11;2;1;1;1;;;2;4;15;8;;2;2;2;2;8;1;7;;;2;;;1;1;4;1;;1;6;;5;1;;1;1;6;3;2;2;2;2;2;;;;;3;2;;1;5;;17;3;;;6;2;2;2;2;;2;1;1;3;;1;;;1;;1;7;1;2;1;;;;;1;2;2;2;1;;3;;1;5;1;2;;;;;;;1;;;;
17874-5388;1;24;;3;;5;58;1;4;1;29;30;;2;1;5;11;;37;2;13;6;1;;;;;6;2;6;6;2;6;1;1;;3;;3;3;;8;1;1;;2;;;2;1;4;4;;3;1;1;;2;;9;1;1;3;;2;1;1;3;;1;2;4;1;1;1;1;1;;15;4;6;3;5;4;3;1;2;2;;5;5;5;2;1;;24;;;;13;6;5;4;3;1;;;1;2;;2;;;;1;;3;;3;2;1;;;1;;2;1;2;6;1;3;2;2;13;2;5;1;1;1;1;;2;;3;6;6;
22554-6398;2;12;;;;1;41;1;;;7;6;;1;1;6;10;1;33;2;3;;2;1;1;1;1;1;4;;;;3;2;2;;;;;;;3;;1;;;;;;3;2;2;;1;;;;4;;13;;;5;1;;1;;;;;1;1;;;;;;;2;;1;;1;1;;;;;;;;;2;;;4;;;;2;1;1;1;;;;;1;;;;2;;1;;1;2;1;;;;;;;3;1;;1;2;;3;1;;10;1;1;1;;2;2;1;1;2;1;;;
28231-6388;1;7;;;;;40;1;7;1;13;24;1;2;2;9;7;;8;1;7;4;1;;;;;4;1;;;;1;1;1;;;;;;;3;3;;;;;;;3;16;10;;4;3;;;5;1;6;;;3;3;4;1;;4;;;;4;;;;1;3;3;5;4;4;3;1;;;;;;;2;1;;3;1;2;11;;1;1;5;4;1;;;;;;2;1;;;1;1;1;1;2;7;2;5;2;1;1;1;1;1;2;1;;;1;2;1;;4;1;4;1;;1;1;;1;;;2;3;
18875-7118;;17;;;;2;64;2;12;;31;41;1;2;1;5;9;;34;;3;1;;;;;;6;1;7;5;5;2;;;;;;;;;10;4;1;3;1;;;;2;27;15;1;12;9;4;2;3;1;11;;;3;2;;;;12;7;4;2;15;4;7;4;1;7;7;21;7;17;6;10;8;6;4;1;1;2;1;1;2;2;3;1;26;1;1;1;19;16;10;8;6;4;;;;5;5;4;;;1;;1;4;1;4;3;3;2;2;;1;2;1;3;1;;6;2;;11;3;6;1;1;;;;1;1;;;1;
36357-5388;4;25;5;4;1;5;37;;1;1;13;9;;1;1;4;4;;20;4;2;1;2;2;1;3;1;2;2;1;1;1;3;2;2;3;4;1;4;4;1;8;;;;;4;2;3;;3;2;1;1;1;1;;2;;10;1;1;3;1;1;;;1;1;;;4;2;;;2;;;5;2;1;1;1;;;;;1;;;;1;;;1;7;1;;;5;1;1;;;;;;;;;1;1;;1;;1;3;1;3;1;1;1;1;;2;1;;;2;;2;;;4;1;1;;;2;2;1;;;;1;;
