aluno;1>;2>;3>;5>;6>;7>;14>;16>;17>;29>;30>;31>;32>;38>;41>;46>;48>;49>;2>2>;2>2>31>;2>2>41>;2>14>;2>14>2>;2>14>31>;2>31>;2>31>30>;2>31>30>30>;2>31>30>30>30>;2>41>;3>2>;5>5>;6>6>;6>6>6>;7>5>;7>5>5>;7>6>;7>31>;14>2>;14>2>2>;14>2>14>;14>2>31>;14>2>31>30>;14>3>;14>3>2>;14>7>;14>14>;14>14>31>;14>31>;14>31>14>;14>31>30>;14>31>30>14>;14>31>30>30>;14>31>30>30>30>;14>31>30>30>30>30>;14>31>30>30>30>30>30>;14>31>31>;14>31>41>;14>41>;14>41>2>;14>41>31>;14>41>41>;14>41>41>41>;14>49>;16>31>;16>31>30>;17>30>;17>30>14>;17>30>30>;30>2>;30>14>;30>14>2>;30>14>31>;30>14>31>30>;30>14>41>;30>17>;30>17>30>;30>30>;30>30>2>;30>30>14>;30>30>30>;30>30>30>14>;30>30>30>30>;30>30>30>30>30>;30>30>30>30>30>30>;30>30>30>30>30>30>30>;30>30>30>30>30>30>30>30>;30>30>31>;30>30>41>;30>30>48>;30>31>;30>31>30>;30>31>30>30>;30>41>;30>48>;30>48>30>;31>2>;31>14>;31>14>41>;31>30>;31>30>14>;31>30>17>;31>30>17>30>;31>30>30>;31>30>30>30>;31>30>30>30>30>;31>30>30>30>30>30>;31>30>30>30>30>30>30>;31>30>30>30>30>30>30>30>;31>30>30>30>30>30>30>30>30>;31>30>31>;31>30>31>30>;31>30>48>;31>31>;31>31>30>;31>41>;31>41>41>;31>48>;31>48>30>;32>31>;32>31>30>;41>2>;41>2>2>;41>14>;41>31>;41>31>30>;41>31>30>30>;41>41>;41>41>2>;41>41>31>;41>41>41>;41>41>41>41>;41>41>41>41>41>;48>14>;48>29>;48>30>;48>48>;49>48>;49>49>;49>49>48>;49>49>49>;
36274-7098;;8;;;8;5;14;1;4;;12;15;;1;23;;3;1;1;;1;1;;1;1;1;;;1;;;3;1;;;2;;2;1;;1;1;;;;1;;4;;4;1;1;;;;;;2;1;;;;;1;1;4;;2;;1;;;;1;1;1;5;;;4;;2;1;;;;;1;;;;;1;;;1;;;8;1;;;3;2;1;;;;;;;;;;2;;2;1;;;2;;;1;1;1;5;1;;1;;;;;1;;;;;;
36387-5388;;9;1;;27;3;33;1;3;;19;21;5;;19;;3;1;1;;;2;;1;;;;;;;;5;2;;;2;;5;1;2;;;;;2;3;;13;;9;1;7;3;2;2;;;12;;1;2;1;1;1;1;3;;3;;6;1;5;4;1;;;16;;2;7;1;4;3;;;;8;;;9;6;3;;;;;6;4;15;5;;;12;6;4;3;;;;3;3;;;;;;;;;;;;2;1;;;3;;;1;1;;1;;1;1;;;;;
28245-5468;1;5;;;1;2;14;1;;;1;5;;;4;1;;;2;1;1;;;;4;;;;1;;;;;;;1;;1;1;;;;;;2;;;;;;;;;;;;;1;;;;;;1;;;;;;;;;;;;;1;;;;;;;;;;1;;;1;;;;;;1;1;;1;;;;1;;;;;;;;;;;;1;;;;;;2;;;;;;;;;;;;;;;;;;;;
31915-5468;1;9;1;1;;1;24;1;1;;21;17;1;;16;1;10;;1;;;1;;;;;;;1;1;;;;1;;;;4;1;;;;;;;;;4;;2;;1;;;;;;3;;;1;1;;1;;1;;;2;3;1;;;1;1;1;9;1;1;4;1;1;1;1;1;;;1;4;2;1;;2;7;3;;1;;10;2;;;4;1;1;1;1;1;;1;1;;;;;;1;1;;;1;;;3;3;2;2;1;1;1;1;;1;;3;5;;;;;
23754-6398;;4;;;;;9;;1;;6;6;;;8;;2;;2;1;;1;;;1;;;;;;;;;;;;;1;;;;;;;;;;2;;1;;1;;;;;;3;;1;;;;;;1;1;;1;1;;;;;;;3;;;;;;;;;;;;;;;;;;;;;;3;;;;2;;;;;;;;;;;;1;;1;1;;;;;;1;;;;;;;;;;;1;1;;;;;
36577-6398;2;4;;;;;19;2;;;9;10;;;14;2;1;;;;;1;1;;1;1;;;;;;;;;;;;1;;;1;1;;;;;;5;1;3;;;;;;;;4;;;;;;2;2;;;;;;;;;;;;;;;;;;;;;;;;;2;1;;;;;;2;1;7;;;;;;;;;;;2;1;;;;;;;;;;;;1;;;;2;;;1;1;1;;;;1;;;;;
28022-6388;;8;;;;;13;1;1;;2;10;3;;3;;1;;5;1;2;1;;1;3;1;;;2;;;;;;;;;5;3;;2;;;;;;;3;;1;;1;1;1;1;;;1;1;;;;;1;;;;;1;;;;;;;;2;;;2;;1;1;1;1;;;;1;;;;;1;;;1;;2;;;;1;1;1;1;1;1;;;;;;;;;;;3;;3;2;;;;;1;1;;1;1;;;;;1;;;;;
28132-5468;;5;;;;;16;2;2;;7;9;;;10;1;1;;;;;1;;;;;;;1;;;;;;;;;2;;;;;;;;1;;4;;4;;;;;;;;7;;;;;;2;;2;1;;;2;1;;;;1;1;2;;1;;;;;;;;;;;3;3;;;1;;;2;1;6;;1;1;2;;;;;;;3;3;1;;;;;;;;;1;;;;;;1;1;;;;;;;;;;;;;
3371-6398;;5;3;;;;10;;;;1;3;;;1;;;;;;;1;1;;;;;;;1;;;;;;;;4;;1;;;3;1;;1;;;;;;;;;;;;1;;;1;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;1;;;;;;1;1;;;;;;;;;;;;;
21340-6398;1;11;4;;12;4;45;1;;;6;16;;1;27;1;3;3;2;;;5;1;1;;;;;;;;;;;;2;1;9;1;2;;;1;;3;8;2;9;4;4;2;;;;;;1;11;;;3;1;2;1;;;;;;3;;1;1;1;;;;;;;;;;;;;;;;2;1;;1;;;;8;2;5;3;;;;;;;;;;2;1;;;;3;2;;;;;;;2;;;;11;;;2;1;1;1;;;;3;3;3;2;
36240-6398;1;5;;1;1;2;18;1;;;3;6;;;10;1;;1;2;;;;;;;;;;;;1;;;1;1;;;3;2;;;;;;;;;4;;2;;1;;;;;;5;;1;1;1;;1;;;;;;1;;;;;;;2;;1;1;1;;;;;;;;;;;;;;;;;;3;;;;2;1;;;;;;;;;;;;;;;;;1;;1;1;1;1;3;1;;1;1;;;;;;;1;;1;
36196-6398;;5;2;;;1;10;;;;1;4;;1;5;;;;1;;;;;;1;1;1;;;;;;;;;;;2;1;;;;2;;1;;;2;;;;;;;;;;2;1;1;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;1;;;;1;;;;;;;;;;;;;;;;;;2;;1;1;;;;;;;;;;;;;;;;;
15432-5469;;10;;;9;4;42;1;1;;13;18;3;;10;;5;;2;;;2;1;;1;;;;1;;;;;;;1;2;4;1;1;;;;;1;2;1;12;1;3;2;;;;;;1;7;2;;2;2;;1;1;1;1;;;4;;2;;1;;;2;;;;;;;;;;;;;;;;;1;;2;1;1;7;3;;;;;;;;;;;;1;;;1;;;;1;;2;1;1;1;1;;3;;1;2;2;1;2;;1;1;;;;;
31068-7118;;6;1;;7;1;21;1;4;;17;15;;;4;;7;;3;;;;;;;;;;;;;3;;;;1;;4;2;;;;;;1;;;6;;5;;;;;;;;2;;;1;1;;1;1;4;2;;;3;2;2;2;1;2;2;3;;1;2;;2;1;1;;;;1;;1;;;1;3;;;;;11;;1;1;2;2;2;1;1;;;;;3;2;1;;;2;;;;1;;;2;1;1;2;;2;2;1;1;;;;;;;;;
36375-7098;;6;;;12;2;22;1;6;;26;19;;;5;2;;;;;;;;;2;2;;;;;;6;4;;;;;2;;;;;;;2;;;14;;12;;2;1;;;2;;2;;;;;;1;1;5;;;2;1;1;;;;1;1;7;;;4;;2;2;1;1;1;;;;;;;;;;;;;18;1;1;1;5;3;2;2;1;1;1;;;;2;1;;;;;;;;;;;;;1;;;;;;;;;;;;;;
29497-5469;;6;1;1;3;3;22;1;;;12;17;;;14;;3;1;1;;1;;;;2;2;1;1;4;1;;1;;1;;;;4;1;;1;1;1;1;;1;;7;;3;;2;1;;;;1;8;;;2;;;1;1;;;;;2;;;;1;;;4;;1;3;1;;;;;;;;;;;;;;;;;;10;;;;3;2;;;;;;;;;;;1;;1;;;;4;;1;1;;;3;;;;;;;;;;1;1;1;1;
36030-7118;;8;;;3;2;29;2;6;;21;27;2;;11;;2;;;;;;;;1;1;;;1;;;1;;;;1;;5;;;;;;;1;3;1;11;;7;2;2;2;1;;1;;5;;;2;;;2;1;6;3;;;7;3;2;1;;4;4;4;;;2;;1;;;;;;;;2;2;1;;;;1;2;;18;4;2;2;4;2;1;;;;;1;1;;2;2;1;;1;1;1;1;1;;;1;;;4;;1;2;;;;;1;;;;;;
24986-5469;1;11;;1;;1;23;1;;;10;9;;;24;1;14;;1;;;1;;;2;1;;;1;;1;;;1;1;;;3;;;;;;;;;;1;;1;;;;;;;;9;;;2;;;1;;;;;1;;;;;;;;4;;;;;;;;;;;;1;;;;;1;;1;;;4;;;;1;;;;;;;;;;;;1;;;;;;;;;;;;5;;;;;;12;;;;;;;;
31535-5468;;5;1;;4;2;26;1;;;6;9;1;;12;;;;1;;;3;2;1;;;;;;1;;;;;;;;3;;2;;;;;2;1;;5;2;3;1;;;;;;;5;1;;2;1;;1;;;;;;3;;1;;;;;;;;;;;;;;;;;;2;2;;;;;;3;;5;2;;;;;;;;;;2;2;;;;;;;;;;1;;1;1;1;;4;;;1;;;;;;;;;;;
36263-5468;;10;;1;9;4;38;2;3;;24;28;1;1;21;;5;;2;;1;;;;2;1;;;1;;1;3;;1;1;;;2;1;;;;;;2;2;1;14;;9;1;5;1;1;;;;6;;1;1;;;2;1;3;;1;2;1;;;;;;;11;1;;7;;6;2;1;1;1;;;2;2;;;1;2;;;1;;18;1;;;9;5;4;1;;;;1;;;;;1;;;;;;2;;1;5;4;1;4;;1;1;;;;;;1;;;;;
