aluno;1>;2>;3>;5>;6>;7>;8>;14>;16>;17>;29>;30>;31>;32>;38>;41>;46>;48>;49>;2>2>;2>2>31>;2>14>;2>14>2>;2>14>31>;2>14>41>;2>31>;2>31>30>;2>31>30>30>;2>41>;3>2>;5>5>;6>6>;6>6>6>;7>5>;7>5>5>;7>6>;7>14>;7>31>;14>2>;14>2>2>;14>2>14>;14>2>31>;14>2>31>30>;14>2>41>;14>3>;14>3>2>;14>7>;14>7>5>;14>14>;14>14>31>;14>31>;14>31>14>;14>31>30>;14>31>30>14>;14>31>30>30>;14>31>30>30>30>;14>31>30>30>30>30>;14>31>30>30>30>30>30>;14>31>30>31>;14>31>31>;14>31>41>;14>32>;14>41>;14>41>2>;14>41>31>;14>41>41>;14>41>41>41>;14>49>;14>49>49>;16>31>;16>31>30>;17>30>;17>30>14>;17>30>30>;17>30>31>;30>2>;30>14>;30>14>2>;30>14>31>;30>14>31>30>;30>14>41>;30>17>;30>17>30>;30>30>;30>30>2>;30>30>14>;30>30>30>;30>30>30>14>;30>30>30>30>;30>30>30>30>30>;30>30>30>30>30>30>;30>30>30>30>30>30>30>;30>30>30>30>30>30>30>30>;30>30>31>;30>30>48>;30>31>;30>31>30>;30>31>30>30>;30>41>;30>48>;31>2>;31>14>;31>14>41>;31>30>;31>30>14>;31>30>30>;31>30>30>30>;31>30>30>30>30>;31>30>30>30>30>30>;31>30>30>30>30>30>30>;31>30>30>30>30>30>30>30>;31>30>31>;31>30>31>30>;31>30>41>;31>30>48>;31>31>;31>31>30>;31>41>;31>41>41>;31>48>;32>31>;32>31>30>;41>2>;41>7>;41>14>;41>31>;41>31>30>;41>41>;41>41>2>;41>41>31>;41>41>41>;41>41>41>41>;48>14>;48>29>;48>30>;48>48>;48>48>48>;49>48>;49>49>;49>49>48>;49>49>49>;
35996-5468;;2;;1;;1;;17;;;;3;5;;;8;;;;;;2;1;;1;;;;;;1;;;1;1;;;;2;;2;;;;;;;;1;;4;1;2;1;;;;;1;;;;3;1;;1;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;1;;;;;;2;;3;2;;;;;;;1;;;;;;;;;;;1;;;;;4;;;2;;;;;;;;;;;
28026-7118;;12;1;;11;2;;48;1;2;;25;23;1;1;29;;;;2;1;;;;;5;3;1;1;1;;1;;;;2;;;2;;;;;;;;1;;2;1;10;;9;;4;3;1;1;;;;;13;;;8;2;;;1;;2;;1;;3;1;;;;;1;1;14;2;1;7;;2;2;1;;;;;;;;3;;;;;14;;6;4;1;1;;;;;3;;;;3;3;;1;;3;;1;1;;15;;1;7;5;;;;;;;;;;
31106-4130;;4;;;6;1;;13;1;1;;6;5;;;18;;10;;;;;;;;1;;;2;;;;;;;;;;2;;;1;;;;;;;;;1;;1;;1;;;;;;;;4;;;2;1;;;1;;1;;;;;;;;;;;;2;;;;;;;;;;;;;;;;1;;;;3;;2;;;;;;;;;1;;;1;;1;;;2;;;1;1;4;;;3;2;;;1;4;2;;;;;
18027-4130;2;9;1;5;;3;;17;2;1;;4;11;1;1;10;2;1;;1;;1;1;;1;;;;;1;4;;;3;2;;;;3;;1;;;;;;;;;;3;1;;;;;;;;;2;;5;1;1;2;;;;2;;1;;;;;1;;;;1;;;2;;1;1;1;;;;;;;;;;;2;;;3;1;4;;2;1;;;;;;;1;;;;2;;1;1;;1;1;1;2;2;3;;1;1;;1;;;1;;;;;;
36354-5388;1;11;5;1;8;6;1;24;;5;;16;16;4;1;15;2;;;2;1;1;1;;;1;;;2;3;1;;;1;1;1;1;;2;;;;;;1;1;3;1;1;;5;;3;;;;;;;;1;2;4;1;;1;;;;;;5;1;4;;;3;;;;2;;;6;;2;1;;;;;;;1;;2;2;2;;;1;1;1;10;;2;;;;;;1;1;;;;;1;;;3;2;4;1;;3;1;5;1;1;1;1;;;;;;;;;;
22906-7098;1;12;;;;1;;27;1;2;;6;11;;;23;1;2;;;;1;1;;1;2;2;1;2;;;;;;;;;;5;;;1;1;;;;;;1;;1;;1;;1;;;;;;;;9;1;;2;;;;1;;2;1;;;1;2;1;;;;;;2;;;;;;;;;;;1;;;;;2;;;;3;;2;;;;;;;;;1;1;;4;2;;;;3;;1;5;;7;;1;2;1;1;;;;;;;;;
31752-4130;1;9;;;4;5;;20;1;;;4;7;;;9;1;;1;1;;2;;1;;;;;2;;;;;;;;;;2;;;;;;;;4;;;;3;;1;;1;;;;;;;;3;;;1;;1;1;1;;;;;;2;;;;;;;;3;1;;1;;;;;;;;;;;;;;;1;1;2;;2;1;;;;;;;;;;;;;;;;3;;;2;1;3;1;1;;;;;;;;;1;;;
36899-5388;;12;;;;2;2;27;2;5;;13;11;;1;10;;8;2;5;2;1;1;;;3;;;2;;;;;;;;;1;8;4;;;;;;;;;;;4;;2;;;;;;;;;;5;1;;1;1;1;1;2;2;5;;2;;;;;;;;1;1;7;;;1;;1;1;1;;;;2;;;;;4;;;;5;;2;;;;;;;;;;;;2;;4;;;2;;;2;1;1;;1;1;;;;4;2;;;2;;1;
31187-4605;;1;;;1;3;;13;1;2;;9;7;;;2;;;;;;1;1;;;;;;;;;;;;;;;;1;;;;;;;;1;;;;3;2;1;;;;;;;;;;2;;1;;;;;1;1;2;;;;;2;;;;1;;;1;;;1;;;;;;;;;;;;;;;2;2;5;2;1;1;;;;;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;
36212-5469;1;14;;6;17;8;;42;2;3;;27;27;1;;29;1;1;;2;;1;;;;;;;;;5;5;1;4;3;1;;1;3;;;;;;;;4;2;1;;7;;4;;2;1;1;;;;;;3;;;;;;;2;2;3;;2;;;1;;;;;;;12;;1;6;;4;1;1;;;;1;;;;1;1;;;;12;;4;3;3;;;;;;;;;;2;;;;;2;;1;1;;3;1;;1;;;;;;;;;;;
